#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
LinuxPCM,2024-12-01T18:54:06.164Z,0.00,0.28,0.01,1.02,4.29,0.00,0.02,0.96,0.43,0.0003,0.0089,0.00,0.00,2.10,7.44,107.12,0.57,14.13,0.00,0.12,0.85,13.99,0.00,2.13,83.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.28,0.01,1.02,4.29,0.00,0.02,0.96,0.43,0.0003,0.0089,0.00,0.00,0.00,0.00,0.00,20,2.10,7.44,107.12,0.57,14.13,0.00,0.12,0.85,13.99,0.00,2.13,83.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.20,0.00,0.00,0.34,0.01,1.00,4.19,0.00,0.00,0.97,0.43,0.0002,0.0076,1.20,2.31,0.00,0.00,96.49,21,0.44,1.28,107.12,0.68,17.00,0.01,0.20,0.00,0.25,0.01,1.03,4.33,0.00,0.00,0.98,0.43,0.0002,0.0100,0.72,3.28,0.00,0.00,96.00,20,0.20,0.80,107.12,0.50,12.50,0.00,0.09,0.00,0.32,0.01,1.03,4.31,0.00,0.00,0.91,0.44,0.0007,0.0078,1.39,47.52,0.00,8.52,42.58,22,0.49,1.53,107.12,0.64,16.12,0.01,0.23,0.00,0.23,0.01,1.03,4.32,0.00,0.00,0.96,0.43,0.0003,0.0096,0.51,2.63,0.00,0.00,96.86,19,0.13,0.56,107.12,0.46,11.53,0.00,0.06,0.00,0.30,0.00,1.02,4.30,0.00,0.00,0.98,0.48,0.0001,0.0077,0.44,2.81,0.00,0.00,96.75,21,0.14,0.48,107.12,0.60,14.99,0.00,0.07,0.00,0.28,0.01,1.03,4.31,0.00,0.00,0.98,0.42,0.0001,0.0104,0.80,3.08,0.00,0.00,96.12,20,0.25,0.88,107.12,0.56,14.00,0.00,0.12,0.00,0.22,0.01,1.03,4.31,0.00,0.00,0.97,0.45,0.0003,0.0103,1.05,47.78,0.00,8.53,42.64,22,0.26,1.16,107.12,0.45,11.19,0.00,0.12,0.00,0.26,0.01,1.03,4.32,0.00,0.00,0.98,0.37,0.0002,0.0103,0.68,2.45,0.00,0.00,96.86,19,0.20,0.75,107.12,0.52,13.02,0.00,0.09,
LinuxPCM,2024-12-01T18:54:06.190Z,0.00,0.54,0.00,0.76,3.20,0.00,0.01,0.95,0.42,0.0002,0.0041,0.00,0.00,2.22,4.12,107.41,1.08,26.96,0.01,0.13,0.63,1.38,0.00,3.50,94.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.54,0.00,0.76,3.20,0.00,0.01,0.95,0.42,0.0002,0.0041,0.00,0.00,0.00,0.00,0.00,20,2.22,4.12,107.41,1.08,26.96,0.01,0.13,0.63,1.38,0.00,3.50,94.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.04,0.00,0.00,0.48,0.01,0.68,2.84,0.00,0.00,0.98,0.43,0.0001,0.0063,0.93,2.75,0.00,6.49,89.84,21,0.32,0.68,107.41,0.95,23.80,0.01,0.15,0.00,0.27,0.00,0.73,3.06,0.00,0.00,0.96,0.48,0.0002,0.0070,0.38,0.16,0.00,0.00,99.47,20,0.08,0.29,107.41,0.54,13.53,0.00,0.04,0.00,0.25,0.00,0.74,3.10,0.00,0.00,0.97,0.45,0.0002,0.0077,0.44,2.06,0.00,7.50,90.00,22,0.09,0.35,107.41,0.50,12.54,0.00,0.04,0.00,0.29,0.00,0.71,2.99,0.00,0.00,0.91,0.41,0.0007,0.0082,0.43,0.88,0.00,0.00,98.68,21,0.09,0.33,107.41,0.57,14.26,0.00,0.04,0.01,0.98,0.01,0.87,3.66,0.00,0.00,0.92,0.40,0.0002,0.0020,1.47,2.28,0.00,6.48,89.77,21,1.35,1.38,107.41,1.96,48.99,0.03,0.63,0.00,0.28,0.00,0.73,3.05,0.00,0.00,0.97,0.51,0.0001,0.0059,0.37,0.15,0.00,0.00,99.48,20,0.08,0.29,107.41,0.56,14.08,0.00,0.04,0.00,0.22,0.00,0.73,3.05,0.00,0.00,0.99,0.37,0.0001,0.0108,0.60,1.90,0.00,7.50,90.00,22,0.11,0.47,107.41,0.45,11.17,0.00,0.05,0.00,0.30,0.00,0.75,3.14,0.00,0.00,0.97,0.43,0.0002,0.0076,0.40,0.92,0.00,0.00,98.68,21,0.10,0.32,107.41,0.60,15.05,0.00,0.05,
LinuxPCM,2024-12-01T18:54:06.216Z,0.00,0.57,0.00,0.36,1.50,0.00,0.01,0.94,0.44,0.0002,0.0041,0.00,0.00,2.26,3.93,108.86,1.15,28.71,0.01,0.13,1.27,1.04,0.00,0.44,97.26,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.57,0.00,0.36,1.50,0.00,0.01,0.94,0.44,0.0002,0.0041,0.00,0.00,0.00,0.00,0.00,20,2.26,3.93,108.86,1.15,28.71,0.01,0.13,1.27,1.04,0.00,0.44,97.26,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.03,0.00,0.00,0.51,0.00,0.28,1.18,0.00,0.00,0.99,0.45,0.0001,0.0053,1.78,1.61,0.00,0.00,96.61,22,0.28,0.54,108.86,1.02,25.62,0.01,0.13,0.00,0.29,0.00,0.33,1.38,0.00,0.00,0.96,0.51,0.0002,0.0060,0.82,0.15,0.00,0.00,99.03,20,0.08,0.29,108.86,0.57,14.27,0.00,0.04,0.00,0.25,0.00,0.33,1.37,0.00,0.00,0.97,0.49,0.0002,0.0064,0.88,2.23,0.00,1.00,95.89,23,0.08,0.31,108.86,0.49,12.37,0.00,0.04,0.00,0.29,0.00,0.39,1.64,0.00,0.00,0.93,0.36,0.0006,0.0097,1.12,0.67,0.00,0.75,97.47,21,0.14,0.47,108.86,0.58,14.46,0.00,0.06,0.01,1.20,0.01,0.45,1.89,0.00,0.00,0.86,0.47,0.0002,0.0017,2.31,0.98,0.00,0.00,96.72,22,1.36,1.13,108.86,2.40,60.04,0.02,0.62,0.00,0.29,0.00,0.33,1.37,0.00,0.00,0.97,0.49,0.0002,0.0065,0.81,0.20,0.00,0.00,98.99,20,0.08,0.29,108.86,0.59,14.73,0.00,0.04,0.00,0.25,0.01,0.34,1.43,0.00,0.00,0.97,0.34,0.0003,0.0122,1.60,1.47,0.00,1.00,95.93,23,0.15,0.59,108.86,0.49,12.28,0.00,0.07,0.00,0.32,0.00,0.34,1.44,0.00,0.00,0.97,0.50,0.0002,0.0068,0.80,1.01,0.00,0.75,97.44,21,0.10,0.30,108.86,0.63,15.83,0.00,0.04,
LinuxPCM,2024-12-01T18:54:06.240Z,0.00,0.64,0.00,0.19,0.80,0.00,0.01,0.98,0.48,0.0001,0.0033,0.00,0.00,1.99,3.12,102.44,1.27,31.87,0.00,0.12,1.99,0.85,0.00,0.00,97.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.64,0.00,0.19,0.80,0.00,0.01,0.98,0.48,0.0001,0.0033,0.00,0.00,0.00,0.00,0.00,20,1.99,3.12,102.44,1.27,31.87,0.00,0.12,1.99,0.85,0.00,0.00,97.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.02,0.00,0.00,0.56,0.00,0.19,0.80,0.00,0.00,0.99,0.50,0.0001,0.0047,2.32,3.31,0.00,0.00,94.37,22,0.25,0.45,102.44,1.12,28.01,0.00,0.12,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.97,0.52,0.0002,0.0064,1.39,0.15,0.00,0.00,98.46,21,0.08,0.27,102.44,0.59,14.66,0.00,0.04,0.00,0.28,0.00,0.19,0.80,0.00,0.00,0.97,0.49,0.0002,0.0069,1.45,1.00,0.00,0.00,97.54,23,0.08,0.28,102.44,0.56,14.09,0.00,0.04,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.97,0.50,0.0002,0.0072,1.38,0.34,0.00,0.00,98.28,22,0.08,0.27,102.44,0.58,14.42,0.00,0.04,0.01,1.34,0.01,0.19,0.80,0.00,0.00,0.99,0.44,0.0000,0.0013,4.68,1.04,0.00,0.00,94.28,22,1.23,0.92,102.44,2.68,66.90,0.02,0.60,0.00,0.30,0.00,0.19,0.80,0.00,0.00,0.97,0.51,0.0002,0.0066,1.38,0.12,0.00,0.00,98.50,21,0.08,0.27,102.44,0.61,15.24,0.00,0.04,0.00,0.26,0.00,0.19,0.80,0.00,0.00,0.98,0.43,0.0001,0.0097,1.86,0.63,0.00,0.00,97.51,23,0.09,0.36,102.44,0.52,12.99,0.00,0.05,0.00,0.32,0.00,0.19,0.80,0.00,0.00,0.97,0.48,0.0002,0.0068,1.48,0.22,0.00,0.00,98.31,22,0.09,0.29,102.44,0.64,16.11,0.00,0.05,
LinuxPCM,2024-12-01T18:54:06.266Z,0.00,0.65,0.00,0.19,0.80,0.00,0.01,0.98,0.46,0.0001,0.0032,0.00,0.00,1.99,3.07,106.70,1.30,32.47,0.00,0.12,1.88,0.85,0.00,0.00,97.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.65,0.00,0.19,0.80,0.00,0.01,0.98,0.46,0.0001,0.0032,0.00,0.00,0.00,0.00,0.00,21,1.99,3.07,106.70,1.30,32.47,0.00,0.12,1.88,0.85,0.00,0.00,97.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.03,0.00,0.00,0.54,0.00,0.19,0.80,0.00,0.00,0.99,0.46,0.0001,0.0049,2.46,3.00,0.00,0.00,94.54,21,0.27,0.50,106.70,1.07,26.83,0.01,0.13,0.00,0.30,0.00,0.19,0.80,0.00,0.00,0.97,0.45,0.0002,0.0072,1.29,0.15,0.00,0.00,98.56,21,0.08,0.26,106.70,0.60,14.97,0.00,0.04,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.98,0.44,0.0001,0.0079,1.32,1.03,0.00,0.00,97.64,23,0.08,0.27,106.70,0.57,14.28,0.00,0.04,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.97,0.47,0.0002,0.0070,1.34,0.29,0.00,0.00,98.37,23,0.08,0.27,106.70,0.58,14.55,0.00,0.04,0.01,1.39,0.01,0.19,0.80,0.00,0.00,0.99,0.44,0.0000,0.0011,4.32,1.21,0.00,0.00,94.47,21,1.22,0.88,106.70,2.77,69.29,0.02,0.57,0.00,0.33,0.00,0.19,0.80,0.00,0.00,0.97,0.54,0.0002,0.0056,1.16,0.29,0.00,0.00,98.56,21,0.08,0.24,106.70,0.67,16.73,0.00,0.04,0.00,0.27,0.00,0.19,0.80,0.00,0.00,0.99,0.43,0.0001,0.0099,1.72,0.64,0.00,0.00,97.64,23,0.09,0.35,106.70,0.54,13.56,0.00,0.04,0.00,0.32,0.00,0.19,0.80,0.00,0.00,0.97,0.48,0.0002,0.0063,1.47,0.16,0.00,0.00,98.37,23,0.10,0.30,106.70,0.65,16.17,0.00,0.05,
LinuxPCM,2024-12-01T18:54:06.290Z,0.00,0.60,0.00,0.19,0.80,0.00,0.01,0.98,0.43,0.0001,0.0038,0.00,0.00,2.08,3.45,103.24,1.20,30.12,0.01,0.13,2.18,1.31,0.00,0.01,96.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.60,0.00,0.19,0.80,0.00,0.01,0.98,0.43,0.0001,0.0038,0.00,0.00,0.00,0.00,0.00,21,2.08,3.45,103.24,1.20,30.12,0.01,0.13,2.18,1.31,0.00,0.01,96.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.02,0.00,0.01,1.21,0.01,0.19,0.80,0.00,0.00,0.98,0.42,0.0000,0.0017,5.98,0.37,0.00,0.04,93.62,22,1.43,1.18,103.24,2.42,60.44,0.03,0.69,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.97,0.45,0.0001,0.0073,1.55,0.43,0.00,0.00,98.03,22,0.09,0.31,103.24,0.58,14.40,0.00,0.04,0.00,0.27,0.00,0.19,0.80,0.00,0.00,0.97,0.49,0.0002,0.0072,1.48,1.38,0.00,0.00,97.13,24,0.08,0.29,103.24,0.54,13.55,0.00,0.04,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.98,0.39,0.0001,0.0095,2.14,0.71,0.00,0.00,97.15,23,0.12,0.42,103.24,0.59,14.75,0.00,0.06,0.00,0.30,0.00,0.19,0.80,0.00,0.00,0.97,0.47,0.0002,0.0077,1.37,4.86,0.00,0.04,93.73,22,0.08,0.27,103.24,0.61,15.14,0.00,0.04,0.00,0.30,0.00,0.19,0.80,0.00,0.00,0.97,0.44,0.0002,0.0082,1.47,0.47,0.00,0.00,98.07,22,0.09,0.29,103.24,0.60,14.90,0.00,0.04,0.00,0.25,0.00,0.19,0.80,0.00,0.00,0.99,0.37,0.0001,0.0108,1.96,0.97,0.00,0.00,97.07,24,0.10,0.39,103.24,0.50,12.60,0.00,0.05,0.00,0.31,0.00,0.19,0.80,0.00,0.00,0.97,0.46,0.0002,0.0069,1.53,1.32,0.00,0.00,97.15,23,0.09,0.30,103.24,0.63,15.67,0.00,0.05,
LinuxPCM,2024-12-01T18:54:06.317Z,0.00,0.59,0.00,0.19,0.80,0.00,0.01,0.96,0.45,0.0001,0.0040,0.00,0.00,2.13,3.58,106.65,1.19,29.72,0.00,0.12,2.20,1.13,0.00,0.00,96.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.59,0.00,0.19,0.80,0.00,0.01,0.96,0.45,0.0001,0.0040,0.00,0.00,0.00,0.00,0.00,21,2.13,3.58,106.65,1.19,29.72,0.00,0.12,2.20,1.13,0.00,0.00,96.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.03,0.00,0.00,0.49,0.01,0.19,0.80,0.00,0.00,0.99,0.41,0.0001,0.0071,3.23,3.30,0.00,0.00,93.47,22,0.32,0.66,106.65,0.97,24.36,0.01,0.15,0.00,0.32,0.00,0.19,0.80,0.00,0.00,0.81,0.46,0.0014,0.0084,1.80,0.19,0.00,0.00,98.01,21,0.12,0.37,106.65,0.65,16.16,0.00,0.06,0.00,0.26,0.00,0.19,0.80,0.00,0.00,0.97,0.45,0.0002,0.0081,1.69,1.43,0.00,0.00,96.88,23,0.09,0.34,106.65,0.51,12.85,0.00,0.04,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.98,0.48,0.0002,0.0075,1.34,0.27,0.00,0.00,98.38,23,0.08,0.27,106.65,0.59,14.64,0.00,0.04,0.01,1.34,0.01,0.19,0.80,0.00,0.00,0.99,0.47,0.0000,0.0012,4.50,2.13,0.00,0.00,93.37,22,1.22,0.92,106.65,2.67,66.80,0.02,0.57,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.97,0.48,0.0001,0.0067,1.43,0.59,0.00,0.00,97.97,21,0.09,0.29,106.65,0.58,14.61,0.00,0.04,0.00,0.27,0.00,0.19,0.80,0.00,0.00,0.99,0.40,0.0001,0.0104,2.07,0.98,0.00,0.00,96.94,23,0.11,0.42,106.65,0.53,13.35,0.00,0.05,0.00,0.32,0.00,0.19,0.80,0.00,0.00,0.97,0.48,0.0002,0.0073,1.51,0.11,0.00,0.00,98.38,23,0.10,0.31,106.65,0.63,15.81,0.00,0.05,
LinuxPCM,2024-12-01T18:54:06.341Z,0.00,0.47,0.01,0.19,0.80,0.00,0.01,0.98,0.39,0.0001,0.0054,0.00,0.00,2.73,5.79,106.23,0.94,23.59,0.01,0.16,3.57,2.92,0.00,2.35,91.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.47,0.01,0.19,0.80,0.00,0.01,0.98,0.39,0.0001,0.0054,0.00,0.00,0.00,0.00,0.00,21,2.73,5.79,106.23,0.94,23.59,0.01,0.16,3.57,2.92,0.00,2.35,91.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.02,0.00,0.01,1.03,0.01,0.19,0.80,0.00,0.00,0.99,0.43,0.0000,0.0021,7.16,1.87,0.00,3.21,87.76,22,1.49,1.45,106.23,2.05,51.29,0.03,0.70,0.00,0.29,0.01,0.19,0.80,0.00,0.00,0.98,0.39,0.0001,0.0083,2.83,1.80,0.00,0.00,95.37,21,0.16,0.57,106.23,0.57,14.33,0.00,0.08,0.00,0.27,0.01,0.19,0.80,0.00,0.00,0.99,0.34,0.0001,0.0100,3.82,3.10,0.00,6.18,86.90,24,0.21,0.77,106.23,0.55,13.74,0.00,0.10,0.00,0.27,0.01,0.19,0.80,0.00,0.00,0.94,0.34,0.0005,0.0101,3.29,2.16,0.00,0.00,94.55,23,0.18,0.67,106.23,0.55,13.75,0.00,0.09,0.00,0.28,0.00,0.19,0.80,0.00,0.00,0.99,0.35,0.0001,0.0104,2.58,6.27,0.00,3.22,87.93,22,0.15,0.52,106.23,0.57,14.13,0.00,0.07,0.00,0.31,0.01,0.19,0.80,0.00,0.00,0.99,0.41,0.0001,0.0081,2.72,1.98,0.00,0.00,95.29,21,0.17,0.55,106.23,0.62,15.49,0.00,0.08,0.00,0.28,0.01,0.19,0.80,0.00,0.00,0.99,0.39,0.0001,0.0101,3.33,3.60,0.00,6.18,86.90,24,0.19,0.67,106.23,0.55,13.76,0.00,0.09,0.00,0.31,0.01,0.19,0.80,0.00,0.00,0.99,0.41,0.0001,0.0079,2.84,2.58,0.00,0.00,94.57,23,0.18,0.58,106.23,0.62,15.52,0.00,0.08,
LinuxPCM,2024-12-01T18:54:06.365Z,0.00,0.62,0.00,0.19,0.80,0.00,0.01,0.98,0.45,0.0001,0.0036,0.00,0.00,2.07,3.36,102.78,1.23,30.82,0.01,0.13,2.14,1.15,0.00,1.29,95.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.62,0.00,0.19,0.80,0.00,0.01,0.98,0.45,0.0001,0.0036,0.00,0.00,0.00,0.00,0.00,21,2.07,3.36,102.78,1.23,30.82,0.01,0.13,2.14,1.15,0.00,1.29,95.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.02,0.00,0.00,0.53,0.01,0.19,0.80,0.00,0.00,0.99,0.43,0.0001,0.0055,2.78,3.59,0.00,1.50,92.13,22,0.29,0.55,102.78,1.07,26.72,0.01,0.14,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.97,0.50,0.0002,0.0069,1.38,0.21,0.00,0.00,98.41,21,0.08,0.27,102.78,0.58,14.61,0.00,0.04,0.00,0.27,0.00,0.19,0.80,0.00,0.00,0.97,0.48,0.0002,0.0069,1.43,1.05,0.00,0.00,97.53,24,0.08,0.28,102.78,0.55,13.67,0.00,0.04,0.00,0.28,0.00,0.19,0.80,0.00,0.00,0.98,0.39,0.0001,0.0095,1.89,0.75,0.00,3.66,93.70,23,0.11,0.37,102.78,0.57,14.21,0.00,0.05,0.01,1.31,0.01,0.19,0.80,0.00,0.00,0.99,0.43,0.0000,0.0014,4.81,1.75,0.00,1.50,91.95,22,1.24,0.95,102.78,2.62,65.44,0.02,0.60,0.00,0.33,0.00,0.19,0.80,0.00,0.00,0.93,0.51,0.0003,0.0058,1.43,0.08,0.00,0.00,98.49,21,0.09,0.28,102.78,0.67,16.68,0.00,0.05,0.00,0.26,0.00,0.19,0.80,0.00,0.00,0.99,0.46,0.0001,0.0091,1.83,0.69,0.00,0.00,97.48,24,0.09,0.36,102.78,0.52,12.90,0.00,0.05,0.00,0.31,0.00,0.19,0.80,0.00,0.00,0.97,0.46,0.0002,0.0075,1.54,1.13,0.00,3.66,93.67,23,0.09,0.30,102.78,0.61,15.26,0.00,0.04,
LinuxPCM,2024-12-01T18:54:06.391Z,0.00,0.57,0.00,0.19,0.80,0.00,0.01,0.98,0.42,0.0001,0.0041,0.00,0.00,2.12,3.74,106.76,1.13,28.35,0.00,0.12,2.30,1.76,0.00,0.67,95.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.57,0.00,0.19,0.80,0.00,0.01,0.98,0.42,0.0001,0.0041,0.00,0.00,0.00,0.00,0.00,22,2.12,3.74,106.76,1.13,28.35,0.00,0.12,2.30,1.76,0.00,0.67,95.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.03,0.00,0.01,1.11,0.01,0.19,0.80,0.00,0.00,0.99,0.41,0.0000,0.0020,6.31,1.32,0.00,0.03,92.33,22,1.43,1.29,106.76,2.21,55.36,0.03,0.67,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.99,0.37,0.0001,0.0096,2.32,0.56,0.00,0.00,97.12,22,0.14,0.47,106.76,0.58,14.39,0.00,0.06,0.00,0.27,0.00,0.19,0.80,0.00,0.00,0.94,0.41,0.0004,0.0081,1.76,1.11,0.00,0.00,97.13,24,0.10,0.36,106.76,0.54,13.56,0.00,0.05,0.00,0.30,0.00,0.19,0.80,0.00,0.00,0.98,0.43,0.0001,0.0084,1.88,1.02,0.00,2.63,94.47,23,0.11,0.38,106.76,0.60,15.00,0.00,0.05,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.98,0.47,0.0001,0.0073,1.38,6.18,0.00,0.03,92.41,22,0.08,0.28,106.76,0.59,14.67,0.00,0.04,0.00,0.27,0.00,0.19,0.80,0.00,0.00,0.97,0.50,0.0002,0.0065,1.43,1.44,0.00,0.00,97.13,22,0.08,0.29,106.76,0.55,13.69,0.00,0.04,0.00,0.25,0.00,0.19,0.80,0.00,0.00,0.99,0.38,0.0001,0.0099,1.83,1.00,0.00,0.00,97.18,24,0.09,0.37,106.76,0.50,12.52,0.00,0.04,0.00,0.31,0.00,0.19,0.80,0.00,0.00,0.97,0.49,0.0002,0.0069,1.45,1.44,0.00,2.63,94.47,23,0.09,0.30,106.76,0.63,15.69,0.00,0.04,
