#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
LinuxPCM,2024-12-01T20:19:51.485Z,0.52,1.06,0.49,0.76,3.17,0.00,27.90,1.00,0.76,0.0000,0.0284,0.00,0.00,982.35,926.23,243.26,2.12,53.03,1.04,26.10,65.13,27.29,0.00,0.89,6.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,0.00,0.00,0.52,1.06,0.49,0.76,3.17,0.00,27.90,1.00,0.76,0.0000,0.0284,0.00,0.00,0.00,0.01,0.00, 0,982.35,926.23,243.26,2.12,53.03,1.04,26.10,65.13,27.29,0.00,0.89,6.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,1.55,0.00,0.33,0.63,0.53,0.76,3.19,0.00,7.28,1.00,0.25,0.0000,0.0896,70.31,29.69,0.00,0.00,0.00, 1,81.29,129.78,243.26,1.25,31.32,0.67,16.71,0.00,0.27,0.01,0.76,3.21,0.00,0.01,0.84,0.30,0.0025,0.0163,0.74,99.26,0.00,0.00,0.00, 0,0.32,1.20,243.26,0.53,13.25,0.00,0.08,0.59,0.79,0.75,0.75,3.17,0.00,5.37,1.00,0.64,0.0000,0.0428,99.66,0.34,0.00,0.00,0.00, 4,125.60,158.95,243.26,1.58,39.51,1.19,29.71,0.87,1.65,0.52,0.75,3.15,0.00,0.96,1.00,0.96,0.0000,0.0045,69.86,0.79,0.00,3.43,25.92, 3,210.59,127.50,243.26,3.30,82.59,1.73,43.31,0.68,0.92,0.74,0.76,3.18,0.00,7.65,1.00,0.61,0.0000,0.0460,97.68,2.32,0.00,0.00,0.00, 1,166.45,180.12,243.26,1.85,46.20,1.37,34.23,1.09,1.66,0.66,0.75,3.17,0.00,1.20,1.00,0.96,0.0000,0.0045,86.93,13.07,0.00,0.00,0.00, 0,264.18,159.53,243.26,3.31,82.80,2.17,54.32,0.55,0.80,0.69,0.76,3.18,0.00,5.43,1.00,0.66,0.0000,0.0407,91.32,8.68,0.00,0.00,0.00, 4,133.61,167.95,243.26,1.59,39.78,1.10,27.47,0.00,0.27,0.00,0.78,3.26,0.00,0.00,0.94,0.41,0.0005,0.0095,0.64,70.03,0.00,3.43,25.90, 3,0.32,1.20,243.26,0.54,13.40,0.00,0.07,
LinuxPCM,2024-12-01T20:19:51.535Z,0.59,1.27,0.46,0.74,3.10,0.00,23.75,1.00,0.80,0.0000,0.0238,0.00,0.00,997.25,787.59,212.72,2.53,63.31,1.17,29.29,62.65,37.35,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.59,1.27,0.46,0.74,3.10,0.00,23.75,1.00,0.80,0.0000,0.0238,0.00,0.00,0.00,0.00,0.00, 0,997.25,787.59,212.72,2.53,63.31,1.17,29.29,62.65,37.35,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,1.36,0.00,0.01,0.75,0.01,0.74,3.10,0.00,0.01,0.95,0.40,0.0002,0.0053,1.41,98.59,0.00,0.00,0.00, 1,1.66,2.22,212.72,1.50,37.38,0.02,0.39,1.22,1.66,0.74,0.74,3.10,0.00,1.17,1.00,0.96,0.0000,0.0045,99.87,0.13,0.00,0.00,0.00, 0,260.59,156.93,212.72,3.32,83.03,2.45,61.24,0.50,0.68,0.74,0.74,3.10,0.00,10.10,1.00,0.21,0.0000,0.0951,99.86,0.14,0.00,0.00,0.00, 4,106.21,156.93,212.72,1.35,33.84,1.00,24.96,1.23,1.66,0.74,0.74,3.10,0.00,1.18,1.00,0.96,0.0000,0.0045,99.84,0.16,0.00,0.00,0.00, 3,261.24,156.92,212.72,3.33,83.24,2.45,61.37,1.23,1.66,0.74,0.74,3.10,0.00,1.19,1.00,0.96,0.0000,0.0046,99.88,0.12,0.00,0.00,0.00, 1,261.11,156.95,212.72,3.33,83.18,2.45,61.36,0.00,0.29,0.00,0.74,3.10,0.00,0.00,0.87,0.53,0.0008,0.0068,0.18,99.82,0.00,0.00,0.00, 0,0.08,0.29,212.72,0.59,14.67,0.00,0.02,0.50,0.68,0.74,0.74,3.10,0.00,10.10,1.00,0.21,0.0000,0.0951,99.85,0.15,0.00,0.00,0.00, 4,106.20,156.89,212.72,1.35,33.85,1.00,24.96,0.00,0.33,0.00,0.74,3.10,0.00,0.00,0.95,0.39,0.0005,0.0108,0.29,99.71,0.00,0.00,0.00, 3,0.15,0.46,212.72,0.67,16.64,0.00,0.04,
LinuxPCM,2024-12-01T20:19:51.585Z,0.52,0.86,0.60,0.75,3.14,0.00,46.12,1.00,0.55,0.0000,0.0537,0.00,0.00,859.50,1005.16,208.08,1.71,42.75,1.03,25.82,80.88,19.12,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.52,0.86,0.60,0.75,3.14,0.00,46.12,1.00,0.55,0.0000,0.0537,0.00,0.00,0.00,0.00,0.00, 1,859.50,1005.16,208.08,1.71,42.75,1.03,25.82,80.88,19.12,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,1.35,0.00,0.01,0.69,0.01,0.75,3.16,0.00,0.01,0.95,0.38,0.0002,0.0048,1.40,98.60,0.00,0.00,0.00, 1,1.52,2.19,208.08,1.38,34.61,0.01,0.36,0.78,1.05,0.74,0.75,3.13,0.00,4.84,1.00,0.75,0.0000,0.0297,99.60,0.40,0.00,0.00,0.00, 1,163.09,154.64,208.08,2.11,52.73,1.57,39.19,0.47,0.63,0.74,0.75,3.13,0.00,9.48,1.00,0.18,0.0000,0.0974,99.60,0.40,0.00,0.00,0.00, 4,97.38,154.63,208.08,1.26,31.49,0.94,23.41,0.52,0.70,0.74,0.75,3.13,0.00,8.44,1.00,0.35,0.0000,0.0784,99.62,0.38,0.00,0.00,0.00, 4,107.70,154.64,208.08,1.39,34.82,1.04,25.89,1.22,1.64,0.74,0.75,3.13,0.00,1.15,1.00,0.96,0.0000,0.0046,99.60,0.40,0.00,0.00,0.00, 1,253.39,154.62,208.08,3.28,81.94,2.44,60.91,0.30,0.66,0.45,0.75,3.15,0.00,4.38,1.00,0.40,0.0000,0.0708,59.80,40.20,0.00,0.00,0.00, 1,61.78,93.34,208.08,1.32,33.09,0.59,14.85,0.47,0.63,0.74,0.75,3.13,0.00,9.49,1.00,0.19,0.0000,0.0976,99.61,0.39,0.00,0.00,0.00, 4,97.22,154.63,208.08,1.26,31.44,0.93,23.37,0.37,0.57,0.66,0.75,3.14,0.00,8.32,1.00,0.09,0.0000,0.1075,87.79,12.21,0.00,0.00,0.00, 4,77.43,136.48,208.08,1.13,28.37,0.74,18.61,
LinuxPCM,2024-12-01T20:19:51.635Z,0.48,0.68,0.70,0.76,3.20,0.00,62.60,1.00,0.35,0.0000,0.0773,0.00,0.00,810.03,1188.67,212.26,1.36,34.07,0.95,23.85,91.90,8.10,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.48,0.68,0.70,0.76,3.20,0.00,62.60,1.00,0.35,0.0000,0.0773,0.00,0.00,0.00,0.00,0.00, 0,810.03,1188.67,212.26,1.36,34.07,0.95,23.85,91.90,8.10,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,1.44,0.00,0.16,0.56,0.28,0.77,3.24,0.00,3.44,1.00,0.09,0.0000,0.1033,36.56,63.44,0.00,0.00,0.00, 2,33.27,59.80,212.26,1.11,27.81,0.31,7.84,0.48,0.63,0.76,0.76,3.20,0.00,8.25,1.00,0.32,0.0000,0.0810,99.82,0.18,0.00,0.00,0.00, 0,101.86,161.29,212.26,1.26,31.58,0.96,23.99,0.45,0.60,0.76,0.76,3.20,0.00,9.46,1.00,0.18,0.0000,0.0983,99.81,0.19,0.00,0.00,0.00, 4,96.25,161.28,212.26,1.19,29.84,0.91,22.67,0.42,0.56,0.76,0.76,3.20,0.00,9.77,1.00,0.09,0.0000,0.1086,99.80,0.20,0.00,0.00,0.00, 4,89.96,161.25,212.26,1.12,27.90,0.85,21.19,0.94,1.24,0.76,0.76,3.20,0.00,4.20,1.00,0.82,0.0000,0.0210,99.81,0.19,0.00,0.00,0.00, 2,200.30,161.28,212.26,2.48,62.10,1.89,47.17,0.48,0.63,0.76,0.76,3.20,0.00,8.25,1.00,0.32,0.0000,0.0809,99.81,0.19,0.00,0.00,0.00, 0,101.99,161.26,212.26,1.26,31.62,0.96,24.02,0.45,0.60,0.76,0.76,3.20,0.00,9.43,1.00,0.18,0.0000,0.0978,99.81,0.19,0.00,0.00,0.00, 4,96.45,161.27,212.26,1.20,29.90,0.91,22.72,0.42,0.56,0.76,0.76,3.20,0.00,9.79,1.00,0.09,0.0000,0.1089,99.81,0.19,0.00,0.00,0.00, 4,89.95,161.24,212.26,1.12,27.89,0.85,21.19,
LinuxPCM,2024-12-01T20:19:51.685Z,0.46,0.60,0.76,0.77,3.21,0.00,69.71,1.00,0.23,0.0000,0.0921,0.00,0.00,756.87,1268.39,207.94,1.19,29.84,0.91,22.75,99.68,0.32,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.46,0.60,0.76,0.77,3.21,0.00,69.71,1.00,0.23,0.0000,0.0921,0.00,0.00,0.00,0.00,0.00, 0,756.87,1268.39,207.94,1.19,29.84,0.91,22.75,99.68,0.32,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,1.42,0.00,0.45,0.59,0.76,0.77,3.21,0.00,8.64,1.00,0.22,0.0000,0.0924,99.66,0.34,0.00,0.00,0.00, 2,93.51,158.55,207.94,1.18,29.49,0.90,22.48,0.49,0.64,0.76,0.77,3.21,0.00,7.58,1.00,0.38,0.0000,0.0745,99.69,0.31,0.00,0.00,0.00, 0,101.78,158.50,207.94,1.28,32.11,0.98,24.49,0.46,0.60,0.76,0.77,3.21,0.00,9.02,1.00,0.21,0.0000,0.0945,99.69,0.31,0.00,0.00,0.00, 4,95.45,158.55,207.94,1.20,30.10,0.92,22.96,0.42,0.55,0.76,0.77,3.21,0.00,9.59,1.00,0.09,0.0000,0.1092,99.69,0.31,0.00,0.00,0.00, 3,87.77,158.57,207.94,1.11,27.68,0.84,21.11,0.45,0.59,0.76,0.77,3.21,0.00,8.66,1.00,0.23,0.0000,0.0927,99.68,0.32,0.00,0.00,0.00, 2,93.39,158.54,207.94,1.18,29.45,0.90,22.46,0.49,0.64,0.76,0.77,3.21,0.00,7.60,1.00,0.38,0.0000,0.0745,99.68,0.32,0.00,0.00,0.00, 0,101.95,158.57,207.94,1.29,32.15,0.98,24.51,0.46,0.60,0.76,0.77,3.21,0.00,9.03,1.00,0.21,0.0000,0.0948,99.68,0.32,0.00,0.00,0.00, 4,95.26,158.56,207.94,1.20,30.04,0.92,22.91,0.42,0.55,0.76,0.77,3.21,0.00,9.59,1.00,0.09,0.0000,0.1093,99.68,0.32,0.00,0.00,0.00, 3,87.77,158.55,207.94,1.11,27.68,0.84,21.11,
LinuxPCM,2024-12-01T20:19:51.735Z,0.44,0.56,0.79,0.79,3.30,0.00,78.85,1.00,0.12,0.0000,0.1046,0.00,0.00,753.90,1335.67,212.37,1.13,28.22,0.89,22.19,99.94,0.06,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.09,0.00,0.00,0.44,0.56,0.79,0.79,3.30,0.00,78.85,1.00,0.12,0.0000,0.1046,0.00,0.00,0.00,0.01,0.00, 0,753.90,1335.67,212.37,1.13,28.22,0.89,22.19,99.94,0.06,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.09,1.54,0.00,0.44,0.56,0.79,0.79,3.30,0.00,9.73,1.00,0.11,0.0000,0.1038,99.94,0.06,0.00,0.00,0.00, 1,93.70,166.95,212.37,1.12,28.06,0.88,22.06,0.44,0.56,0.79,0.79,3.30,0.00,10.30,1.00,0.08,0.0000,0.1098,99.95,0.05,0.00,0.00,0.00, 0,93.84,167.01,212.37,1.12,28.09,0.88,22.09,0.46,0.59,0.79,0.79,3.30,0.00,9.33,1.00,0.21,0.0000,0.0953,99.93,0.07,0.00,0.00,0.00, 4,97.83,166.96,212.37,1.17,29.30,0.92,23.03,0.43,0.55,0.79,0.79,3.30,0.00,10.07,1.00,0.08,0.0000,0.1100,99.94,0.06,0.00,0.00,0.00, 4,91.55,166.94,212.37,1.10,27.42,0.86,21.56,0.44,0.56,0.79,0.79,3.30,0.00,9.76,1.00,0.13,0.0000,0.1043,99.95,0.05,0.00,0.00,0.00, 1,93.56,166.96,212.37,1.12,28.02,0.88,22.03,0.44,0.56,0.79,0.79,3.30,0.00,10.31,1.00,0.08,0.0000,0.1099,99.95,0.05,0.00,0.00,0.00, 0,93.79,166.96,212.37,1.12,28.09,0.88,22.09,0.46,0.59,0.79,0.79,3.30,0.00,9.29,1.00,0.21,0.0000,0.0947,99.93,0.07,0.00,0.00,0.00, 4,98.06,166.95,212.37,1.17,29.37,0.92,23.09,0.43,0.55,0.79,0.79,3.30,0.00,10.07,1.00,0.08,0.0000,0.1100,99.91,0.09,0.00,0.00,0.00, 4,91.56,166.94,212.37,1.10,27.42,0.86,21.55,
LinuxPCM,2024-12-01T20:19:51.785Z,0.47,0.63,0.75,0.76,3.20,0.00,64.18,1.00,0.31,0.0000,0.0823,0.00,0.00,779.92,1246.39,208.05,1.25,31.29,0.94,23.44,98.29,1.71,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.47,0.63,0.75,0.76,3.20,0.00,64.18,1.00,0.31,0.0000,0.0823,0.00,0.00,0.00,0.01,0.00, 0,779.92,1246.39,208.05,1.25,31.29,0.94,23.44,98.29,1.71,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,1.42,0.00,0.48,0.63,0.76,0.76,3.20,0.00,7.52,1.00,0.36,0.0000,0.0757,99.62,0.38,0.00,0.00,0.00, 2,99.28,157.93,208.05,1.26,31.43,0.95,23.86,0.41,0.60,0.68,0.76,3.20,0.00,7.66,1.00,0.25,0.0000,0.0902,88.86,11.14,0.00,0.00,0.00, 0,85.01,140.97,208.05,1.21,30.15,0.82,20.43,0.47,0.62,0.76,0.76,3.20,0.00,8.46,1.00,0.27,0.0000,0.0871,99.65,0.35,0.00,0.00,0.00, 4,97.23,157.92,208.05,1.23,30.78,0.94,23.38,0.45,0.60,0.76,0.76,3.20,0.00,8.38,1.00,0.26,0.0000,0.0887,99.64,0.36,0.00,0.00,0.00, 4,94.48,157.92,208.05,1.20,29.92,0.91,22.71,0.48,0.63,0.76,0.76,3.20,0.00,7.53,1.00,0.37,0.0000,0.0758,99.63,0.37,0.00,0.00,0.00, 2,99.43,157.91,208.05,1.26,31.48,0.96,23.90,0.54,0.72,0.76,0.76,3.20,0.00,7.78,1.00,0.43,0.0000,0.0689,99.63,0.37,0.00,0.00,0.00, 0,112.93,157.90,208.05,1.43,35.76,1.09,27.15,0.47,0.61,0.76,0.76,3.20,0.00,8.46,1.00,0.28,0.0000,0.0871,99.65,0.35,0.00,0.00,0.00, 4,97.07,157.92,208.05,1.23,30.73,0.93,23.34,0.45,0.60,0.76,0.76,3.20,0.00,8.38,1.00,0.26,0.0000,0.0887,99.66,0.34,0.00,0.00,0.00, 4,94.49,157.91,208.05,1.20,29.92,0.91,22.72,
LinuxPCM,2024-12-01T20:19:51.835Z,0.55,1.01,0.55,0.72,3.02,0.00,28.79,1.00,0.74,0.0000,0.0312,0.00,0.00,922.92,918.03,209.02,2.01,50.27,1.10,27.59,76.23,23.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.55,1.01,0.55,0.72,3.02,0.00,28.79,1.00,0.74,0.0000,0.0312,0.00,0.00,0.00,0.00,0.00, 0,922.92,918.03,209.02,2.01,50.27,1.10,27.59,76.23,23.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,1.26,0.00,1.12,1.56,0.72,0.72,3.02,0.00,1.50,1.00,0.95,0.0000,0.0064,99.81,0.19,0.00,0.00,0.00, 2,234.56,150.11,209.02,3.13,78.13,2.24,56.11,0.00,0.30,0.00,0.73,3.05,0.00,0.00,0.94,0.29,0.0008,0.0159,0.45,99.55,0.00,0.00,0.00, 0,0.21,0.69,209.02,0.61,15.13,0.00,0.05,0.55,0.76,0.72,0.72,3.02,0.00,5.78,1.00,0.58,0.0000,0.0505,99.77,0.23,0.00,0.00,0.00, 4,114.40,150.11,209.02,1.52,38.11,1.09,27.36,0.47,0.66,0.72,0.72,3.02,0.00,7.06,1.00,0.40,0.0000,0.0713,99.76,0.24,0.00,0.00,0.00, 4,99.04,150.10,209.02,1.32,32.99,0.95,23.68,0.06,0.73,0.08,0.74,3.12,0.00,0.51,1.00,0.66,0.0000,0.0413,10.79,89.21,0.00,0.00,0.00, 2,12.29,16.77,209.02,1.47,36.64,0.12,2.94,1.19,1.66,0.72,0.72,3.02,0.00,1.12,1.00,0.96,0.0000,0.0045,99.75,0.25,0.00,0.00,0.00, 0,248.63,150.08,209.02,3.31,82.83,2.38,59.45,0.55,0.76,0.72,0.72,3.02,0.00,5.78,1.00,0.58,0.0000,0.0504,99.76,0.24,0.00,0.00,0.00, 4,114.70,150.09,209.02,1.53,38.21,1.10,27.43,0.47,0.66,0.72,0.72,3.02,0.00,7.04,1.00,0.40,0.0000,0.0710,99.76,0.24,0.00,0.00,0.00, 4,99.10,150.08,209.02,1.32,33.01,0.95,23.70,
LinuxPCM,2024-12-01T20:19:51.885Z,0.52,0.96,0.54,0.71,3.00,0.00,40.02,1.00,0.62,0.0000,0.0457,0.00,0.00,875.61,909.91,212.39,1.92,48.12,1.03,25.77,75.03,24.97,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.52,0.96,0.54,0.71,3.00,0.00,40.02,1.00,0.62,0.0000,0.0457,0.00,0.00,0.00,0.00,0.00, 0,875.61,909.91,212.39,1.92,48.12,1.03,25.77,75.03,24.97,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,1.26,0.00,0.01,0.81,0.01,0.72,3.00,0.00,0.01,0.96,0.39,0.0002,0.0046,1.23,98.77,0.00,0.00,0.00, 1,1.52,1.87,212.39,1.63,40.67,0.01,0.36,1.10,1.65,0.67,0.71,3.00,0.00,1.06,1.00,0.96,0.0000,0.0045,93.94,6.06,0.00,0.00,0.00, 0,234.63,142.35,212.39,3.30,82.41,2.21,55.24,0.46,0.65,0.71,0.71,3.00,0.00,9.99,1.00,0.15,0.0000,0.1015,99.81,0.19,0.00,0.00,0.00, 4,98.47,151.28,212.39,1.30,32.55,0.93,23.18,0.42,0.59,0.71,0.71,3.00,0.00,8.87,1.00,0.17,0.0000,0.0996,99.79,0.21,0.00,0.00,0.00, 4,89.10,151.27,212.39,1.18,29.45,0.84,20.97,1.18,1.65,0.71,0.71,3.00,0.00,1.13,1.00,0.96,0.0000,0.0045,99.80,0.20,0.00,0.00,0.00, 1,249.65,151.31,212.39,3.30,82.49,2.35,58.76,0.07,1.60,0.04,0.72,3.01,0.00,0.07,1.00,0.96,0.0000,0.0045,6.09,93.91,0.00,0.00,0.00, 0,14.79,9.26,212.39,3.19,79.87,0.14,3.48,0.46,0.65,0.71,0.71,3.00,0.00,9.99,1.00,0.16,0.0000,0.1017,99.81,0.19,0.00,0.00,0.00, 4,98.31,151.29,212.39,1.30,32.49,0.93,23.14,0.42,0.59,0.71,0.71,3.00,0.00,8.89,1.00,0.17,0.0000,0.0998,99.80,0.20,0.00,0.00,0.00, 4,89.13,151.28,212.39,1.18,29.46,0.84,20.98,
LinuxPCM,2024-12-01T20:19:51.942Z,0.54,1.23,0.44,0.72,3.04,0.00,22.69,1.00,0.79,0.0000,0.0246,0.00,0.00,923.62,751.12,207.90,2.46,61.48,1.09,27.25,61.14,32.25,0.00,0.00,6.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.54,1.23,0.44,0.72,3.04,0.00,22.69,1.00,0.79,0.0000,0.0246,0.00,0.00,0.00,0.00,0.00, 0,923.62,751.12,207.90,2.46,61.48,1.09,27.25,61.14,32.25,0.00,0.00,6.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,1.21,0.00,0.01,0.79,0.01,0.72,3.03,0.00,0.01,0.96,0.38,0.0002,0.0049,1.33,98.67,0.00,0.00,0.00, 0,1.57,2.00,207.90,1.57,39.36,0.02,0.38,0.91,1.65,0.55,0.72,3.04,0.00,1.00,1.00,0.96,0.0000,0.0046,76.41,0.21,0.00,0.00,23.38, 0,219.01,132.59,207.90,3.30,82.59,1.83,45.73,0.50,0.69,0.72,0.72,3.04,0.00,8.88,1.00,0.30,0.0000,0.0851,99.88,0.12,0.00,0.00,0.00, 4,104.41,150.58,207.90,1.39,34.67,1.00,25.10,0.04,0.54,0.07,0.72,3.01,0.00,0.87,1.00,0.07,0.0000,0.1153,9.38,90.62,0.00,0.00,0.00, 2,7.56,13.97,207.90,1.08,27.06,0.07,1.82,1.20,1.66,0.72,0.72,3.04,0.00,1.14,1.00,0.96,0.0000,0.0046,99.87,0.13,0.00,0.00,0.00, 0,250.00,150.53,207.90,3.32,83.04,2.40,60.12,0.00,0.29,0.00,0.73,3.06,0.00,0.00,0.87,0.43,0.0011,0.0092,0.22,72.85,0.00,0.00,26.93, 3,0.10,0.33,207.90,0.58,14.46,0.00,0.02,0.50,0.69,0.72,0.72,3.04,0.00,8.89,1.00,0.29,0.0000,0.0849,99.86,0.14,0.00,0.00,0.00, 4,104.60,150.55,207.90,1.39,34.74,1.01,25.15,1.14,1.57,0.72,0.72,3.04,0.00,1.91,1.00,0.93,0.0000,0.0081,99.87,0.13,0.00,0.00,0.00, 2,236.36,150.56,207.90,3.14,78.49,2.27,56.83,
