#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
LinuxPCM,2024-12-01T17:19:41.232Z,0.66,1.67,0.40,1.05,4.41,0.00,4.43,1.00,0.96,0.0000,0.0049,0.00,0.00,912.48,546.72,171.80,3.34,83.45,1.33,33.18,37.86,39.71,0.00,0.00,22.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.66,1.67,0.40,1.05,4.41,0.00,4.43,1.00,0.96,0.0000,0.0049,0.00,0.00,0.00,0.00,0.00, 3,912.48,546.72,171.80,3.34,83.45,1.33,33.18,37.86,39.71,0.00,0.00,22.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,1.56,0.00,0.00,0.33,0.01,1.05,4.41,0.00,0.00,0.98,0.70,0.0002,0.0088,0.75,9.47,0.00,0.00,89.78,23,0.45,1.36,171.80,0.67,16.74,0.01,0.13,1.78,1.69,1.05,1.05,4.41,0.00,1.47,1.00,0.96,0.0000,0.0048,100.01,0.00,0.00,0.00,0.00, 3,305.28,180.66,171.80,3.38,84.49,3.55,88.75,1.76,1.68,1.05,1.05,4.41,0.00,1.46,1.00,0.96,0.0000,0.0048,100.02,0.00,0.00,0.00,0.00, 6,303.51,180.69,171.80,3.36,83.99,3.53,88.22,1.76,1.67,1.05,1.05,4.41,0.00,1.48,1.00,0.96,0.0000,0.0049,100.03,0.00,0.00,0.00,0.00, 5,302.07,180.54,171.80,3.35,83.66,3.52,87.89,0.00,0.35,0.01,1.05,4.41,0.00,0.00,0.96,0.44,0.0003,0.0081,0.65,9.69,0.00,0.00,89.67,23,0.40,1.17,171.80,0.69,17.29,0.00,0.12,0.00,0.42,0.00,1.05,4.41,0.00,0.00,0.98,0.79,0.0002,0.0104,0.27,99.73,0.00,0.00,0.00, 3,0.21,0.49,171.80,0.84,21.11,0.00,0.06,0.00,0.28,0.01,1.05,4.41,0.00,0.00,0.99,0.30,0.0002,0.0144,0.55,99.45,0.00,0.00,0.00, 6,0.28,0.99,171.80,0.56,13.90,0.00,0.08,0.00,0.34,0.00,1.05,4.41,0.00,0.00,0.98,0.38,0.0002,0.0120,0.45,99.55,0.00,0.00,0.00, 5,0.28,0.82,171.80,0.68,17.10,0.00,0.08,
LinuxPCM,2024-12-01T17:19:41.257Z,0.32,1.66,0.19,1.06,4.45,0.00,1.33,1.00,0.96,0.0000,0.0048,0.00,0.00,275.25,165.95,107.16,3.32,82.93,0.64,16.05,18.25,18.92,0.00,1.05,61.78,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.32,1.66,0.19,1.06,4.45,0.00,1.33,1.00,0.96,0.0000,0.0048,0.00,0.00,0.00,0.00,0.00, 0,275.25,165.95,107.16,3.32,82.93,0.64,16.05,18.25,18.92,0.00,1.05,61.78,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.96,0.00,0.01,0.83,0.02,1.05,4.41,0.00,0.00,0.93,0.37,0.0002,0.0026,1.69,1.58,0.00,4.21,92.53,23,1.58,1.90,107.16,1.66,41.59,0.03,0.74,1.79,1.69,1.05,1.06,4.47,0.00,0.92,1.00,0.96,0.0000,0.0048,98.94,1.06,0.00,0.00,0.00, 0,191.28,112.89,107.16,3.39,84.72,3.57,89.26,0.65,1.68,0.39,1.05,4.41,0.00,0.34,1.00,0.96,0.0000,0.0049,37.11,0.78,0.00,0.00,62.11,25,70.17,41.80,107.16,3.36,83.95,1.31,32.72,0.11,1.57,0.07,1.05,4.41,0.00,0.06,1.00,0.96,0.0000,0.0049,6.68,0.93,0.00,0.00,92.39,23,11.79,7.53,107.16,3.13,78.29,0.22,5.49,0.00,0.24,0.00,1.05,4.41,0.00,0.00,0.95,0.42,0.0004,0.0091,0.33,2.92,0.00,4.21,92.55,23,0.09,0.37,107.16,0.48,12.11,0.00,0.04,0.00,0.25,0.00,1.06,4.44,0.00,0.00,0.95,0.47,0.0004,0.0084,0.33,99.67,0.00,0.00,0.00, 0,0.09,0.37,107.16,0.50,12.54,0.00,0.04,0.00,0.19,0.01,1.05,4.41,0.00,0.00,0.96,0.38,0.0004,0.0108,0.48,37.40,0.00,0.00,62.12,25,0.10,0.54,107.16,0.38,9.58,0.00,0.05,0.00,0.26,0.01,1.05,4.41,0.00,0.00,0.97,0.33,0.0003,0.0118,0.49,7.04,0.00,0.00,92.47,23,0.14,0.55,107.16,0.52,12.88,0.00,0.07,
LinuxPCM,2024-12-01T17:19:41.282Z,0.23,1.66,0.14,1.07,4.50,0.00,0.93,1.00,0.96,0.0000,0.0048,0.00,0.00,193.52,116.62,106.63,3.32,82.97,0.45,11.34,12.75,13.30,0.00,0.00,73.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.23,1.66,0.14,1.07,4.50,0.00,0.93,1.00,0.96,0.0000,0.0048,0.00,0.00,0.00,0.00,0.00, 0,193.52,116.62,106.63,3.32,82.97,0.45,11.34,12.75,13.30,0.00,0.00,73.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.78,0.00,0.01,1.00,0.01,1.05,4.41,0.00,0.00,0.98,0.36,0.0000,0.0023,1.32,1.32,0.00,0.00,97.37,25,1.47,1.47,106.63,2.00,50.01,0.03,0.69,1.80,1.69,1.06,1.07,4.50,0.00,0.92,1.00,0.96,0.0000,0.0048,98.84,1.16,0.00,0.00,0.00, 0,191.48,113.01,106.63,3.39,84.71,3.59,89.81,0.00,0.27,0.00,1.05,4.41,0.00,0.00,0.97,0.46,0.0002,0.0065,0.26,0.69,0.00,0.00,99.05,28,0.08,0.29,106.63,0.54,13.57,0.00,0.04,0.00,0.29,0.00,1.05,4.41,0.00,0.00,0.96,0.43,0.0003,0.0083,0.36,0.28,0.00,0.00,99.37,25,0.11,0.40,106.63,0.57,14.33,0.00,0.05,0.00,0.29,0.00,1.05,4.41,0.00,0.00,0.96,0.40,0.0003,0.0095,0.34,2.30,0.00,0.00,97.36,25,0.11,0.38,106.63,0.59,14.68,0.00,0.05,0.00,0.28,0.00,1.06,4.43,0.00,0.00,0.97,0.57,0.0002,0.0064,0.25,99.75,0.00,0.00,0.00, 0,0.08,0.28,106.63,0.57,14.24,0.00,0.04,0.00,0.20,0.00,1.05,4.41,0.00,0.00,0.98,0.38,0.0002,0.0098,0.43,0.53,0.00,0.00,99.04,28,0.10,0.48,106.63,0.39,9.87,0.00,0.04,0.00,0.30,0.00,1.05,4.41,0.00,0.00,0.97,0.50,0.0002,0.0064,0.27,0.37,0.00,0.00,99.36,25,0.09,0.30,106.63,0.61,15.20,0.00,0.04,
LinuxPCM,2024-12-01T17:19:41.318Z,0.29,1.66,0.17,1.07,4.50,0.00,1.21,1.00,0.96,0.0000,0.0049,0.00,0.00,247.28,148.91,102.40,3.32,83.03,0.57,14.26,16.01,11.87,0.00,0.46,71.66,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.29,1.66,0.17,1.07,4.50,0.00,1.21,1.00,0.96,0.0000,0.0049,0.00,0.00,0.00,0.00,0.00, 8,247.28,148.91,102.40,3.32,83.03,0.57,14.26,16.01,11.87,0.00,0.46,71.66,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.65,0.00,0.01,1.02,0.01,1.05,4.41,0.00,0.00,0.98,0.37,0.0000,0.0021,1.32,1.80,0.00,1.94,94.93,26,1.45,1.42,102.40,2.03,50.87,0.03,0.71,1.63,1.69,0.96,1.07,4.51,0.00,1.20,1.00,0.96,0.0000,0.0049,89.77,1.99,0.00,0.00,8.24, 1,245.26,144.86,102.40,3.39,84.65,3.26,81.53,0.00,0.22,0.00,1.05,4.42,0.00,0.00,0.92,0.40,0.0006,0.0087,0.47,1.64,0.00,0.00,97.88,29,0.11,0.51,102.40,0.43,10.76,0.00,0.05,0.00,0.21,0.00,1.05,4.41,0.00,0.00,0.95,0.40,0.0003,0.0083,0.38,1.13,0.00,0.00,98.48,26,0.09,0.41,102.40,0.42,10.61,0.00,0.04,0.00,0.26,0.00,1.05,4.41,0.00,0.00,0.96,0.38,0.0004,0.0088,0.32,2.79,0.00,1.94,94.95,26,0.09,0.34,102.40,0.52,12.94,0.00,0.04,0.00,0.24,0.00,1.06,4.45,0.00,0.00,0.96,0.44,0.0004,0.0095,0.35,87.55,0.00,0.00,12.10, 8,0.09,0.38,102.40,0.48,11.90,0.00,0.04,0.00,0.18,0.01,1.05,4.41,0.00,0.00,0.96,0.38,0.0003,0.0098,0.53,1.58,0.00,0.00,97.89,29,0.10,0.57,102.40,0.37,9.16,0.00,0.05,0.00,0.23,0.00,1.05,4.41,0.00,0.00,0.95,0.44,0.0004,0.0076,0.40,1.12,0.00,0.00,98.48,26,0.10,0.43,102.40,0.47,11.64,0.00,0.05,
LinuxPCM,2024-12-01T17:19:41.332Z,0.13,1.62,0.08,1.07,4.50,0.00,0.49,1.00,0.96,0.0000,0.0048,0.00,0.00,102.00,63.02,104.10,3.24,80.93,0.26,6.50,7.49,14.24,0.00,1.30,76.96,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.13,1.62,0.08,1.07,4.50,0.00,0.49,1.00,0.96,0.0000,0.0048,0.00,0.00,0.00,0.00,0.00, 1,102.00,63.02,104.10,3.24,80.93,0.26,6.50,7.49,14.24,0.00,1.30,76.96,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.76,0.00,0.01,1.07,0.01,1.05,4.41,0.00,0.00,0.99,0.34,0.0000,0.0022,1.24,1.39,0.00,4.92,92.45,26,1.45,1.35,104.10,2.14,53.39,0.03,0.69,1.78,1.69,1.06,1.07,4.51,0.00,0.48,1.00,0.96,0.0000,0.0048,98.42,1.58,0.00,0.00,0.00, 1,99.99,59.27,104.10,3.37,84.35,3.56,89.10,0.00,0.23,0.00,1.05,4.41,0.00,0.00,0.95,0.43,0.0003,0.0072,0.37,1.13,0.00,0.00,98.50,29,0.09,0.41,104.10,0.45,11.26,0.00,0.04,0.00,0.24,0.00,1.05,4.41,0.00,0.00,0.96,0.41,0.0003,0.0084,0.32,0.50,0.00,0.00,99.17,26,0.09,0.35,104.10,0.48,12.04,0.00,0.04,0.00,0.29,0.00,1.05,4.41,0.00,0.00,0.96,0.40,0.0003,0.0086,0.27,2.40,0.00,4.91,92.41,26,0.09,0.30,104.10,0.58,14.50,0.00,0.04,0.00,0.27,0.00,1.06,4.44,0.00,0.00,0.97,0.34,0.0003,0.0105,0.32,99.68,0.00,0.00,0.00, 1,0.10,0.36,104.10,0.53,13.37,0.00,0.05,0.00,0.18,0.01,1.05,4.41,0.00,0.00,0.97,0.33,0.0002,0.0110,0.56,0.95,0.00,0.00,98.50,29,0.11,0.61,104.10,0.37,9.24,0.00,0.05,0.00,0.27,0.00,1.05,4.41,0.00,0.00,0.95,0.48,0.0003,0.0070,0.34,0.47,0.00,0.00,99.19,26,0.10,0.37,104.10,0.54,13.41,0.00,0.05,
LinuxPCM,2024-12-01T17:19:41.357Z,0.53,1.68,0.32,1.05,4.42,0.00,2.39,1.00,0.96,0.0000,0.0052,0.00,0.00,458.56,273.35,108.46,3.36,83.88,1.06,26.49,30.02,30.07,0.00,0.01,39.90,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.53,1.68,0.32,1.05,4.42,0.00,2.39,1.00,0.96,0.0000,0.0052,0.00,0.00,0.00,0.00,0.00, 8,458.56,273.35,108.46,3.36,83.88,1.06,26.49,30.02,30.07,0.00,0.01,39.90,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,1.28,0.00,1.75,1.67,1.05,1.05,4.43,0.00,0.92,1.00,0.96,0.0000,0.0049,99.60,0.40,0.00,0.00,0.00, 9,189.75,113.86,108.46,3.33,83.32,3.50,87.48,0.00,0.30,0.01,1.05,4.41,0.00,0.00,0.97,0.34,0.0002,0.0102,0.57,1.04,0.00,0.04,98.36,26,0.20,0.65,108.46,0.61,15.20,0.00,0.09,0.97,1.70,0.57,1.05,4.41,0.00,0.54,1.00,0.96,0.0000,0.0051,54.58,0.76,0.00,0.00,44.66,12,105.27,61.94,108.46,3.40,84.98,1.95,48.71,1.50,1.71,0.87,1.05,4.41,0.00,0.91,1.00,0.95,0.0000,0.0056,83.15,0.38,0.00,0.00,16.47, 8,161.77,94.35,108.46,3.43,85.73,2.99,74.86,0.01,0.96,0.01,1.06,4.47,0.00,0.00,0.99,0.39,0.0000,0.0037,1.13,98.87,0.00,0.00,0.00, 9,1.25,1.30,108.46,1.92,48.10,0.02,0.58,0.00,0.31,0.00,1.05,4.41,0.00,0.00,0.94,0.47,0.0004,0.0073,0.29,1.22,0.00,0.04,98.45,26,0.10,0.33,108.46,0.61,15.29,0.00,0.05,0.00,0.22,0.01,1.05,4.41,0.00,0.00,0.97,0.34,0.0003,0.0125,0.55,54.79,0.00,0.00,44.66,12,0.14,0.63,108.46,0.44,10.93,0.00,0.06,0.00,0.31,0.00,1.05,4.41,0.00,0.00,0.97,0.52,0.0002,0.0067,0.27,83.27,0.00,0.00,16.46, 8,0.09,0.30,108.46,0.61,15.29,0.00,0.04,
LinuxPCM,2024-12-01T17:19:41.382Z,0.66,1.67,0.40,1.05,4.41,0.00,2.64,1.00,0.96,0.0000,0.0049,0.00,0.00,542.70,325.87,102.35,3.33,83.27,1.33,33.15,37.90,37.41,0.00,0.79,23.90,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,0.66,1.67,0.40,1.05,4.41,0.00,2.64,1.00,0.96,0.0000,0.0049,0.00,0.00,0.00,0.00,0.00, 7,542.70,325.87,102.35,3.33,83.27,1.33,33.15,37.90,37.41,0.00,0.79,23.90,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,1.50,0.00,0.01,0.93,0.02,1.05,4.41,0.00,0.01,1.00,0.40,0.0000,0.0041,1.46,98.54,0.00,0.00,0.00, 7,1.46,1.57,102.35,1.86,46.52,0.03,0.71,0.00,0.23,0.01,1.05,4.41,0.00,0.00,0.87,0.37,0.0012,0.0106,0.56,0.64,0.00,3.16,95.64,28,0.14,0.60,102.35,0.46,11.55,0.00,0.07,1.77,1.68,1.05,1.05,4.41,0.00,0.87,1.00,0.96,0.0000,0.0048,100.04,0.00,0.00,0.00,0.00, 9,181.09,107.48,102.35,3.37,84.25,3.54,88.51,1.76,1.67,1.05,1.05,4.41,0.00,0.88,1.00,0.96,0.0000,0.0049,100.02,0.00,0.00,0.00,0.00, 8,179.90,107.49,102.35,3.35,83.68,3.52,87.90,1.76,1.67,1.05,1.05,4.41,0.00,0.88,1.00,0.96,0.0000,0.0049,100.02,0.00,0.00,0.00,0.00, 7,179.79,107.50,102.35,3.34,83.62,3.51,87.84,0.00,0.27,0.00,1.05,4.41,0.00,0.00,0.97,0.49,0.0002,0.0072,0.26,0.96,0.00,3.16,95.62,28,0.08,0.28,102.35,0.54,13.45,0.00,0.04,0.00,0.23,0.01,1.05,4.41,0.00,0.00,0.91,0.33,0.0011,0.0136,0.52,99.48,0.00,0.00,0.00, 9,0.13,0.56,102.35,0.45,11.28,0.00,0.06,0.00,0.33,0.00,1.05,4.41,0.00,0.00,0.98,0.46,0.0002,0.0089,0.36,99.64,0.00,0.00,0.00, 8,0.13,0.38,102.35,0.66,16.60,0.00,0.06,
LinuxPCM,2024-12-01T17:19:41.407Z,0.66,1.67,0.40,1.05,4.41,0.00,2.77,1.00,0.96,0.0000,0.0049,0.00,0.00,571.24,342.80,107.46,3.33,83.32,1.33,33.23,37.98,37.72,0.01,0.00,24.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,0.66,1.67,0.40,1.05,4.41,0.00,2.77,1.00,0.96,0.0000,0.0049,0.00,0.00,0.00,0.00,0.00, 6,571.24,342.80,107.46,3.33,83.32,1.33,33.23,37.98,37.72,0.01,0.00,24.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,1.56,0.00,0.00,0.46,0.01,1.05,4.41,0.00,0.00,0.99,0.36,0.0001,0.0095,0.77,99.23,0.00,0.00,0.00, 6,0.40,0.87,107.46,0.92,23.00,0.01,0.19,0.01,0.73,0.02,1.05,4.41,0.00,0.00,0.99,0.40,0.0000,0.0019,1.61,1.16,0.06,0.02,97.16,28,1.32,1.81,107.46,1.46,36.38,0.02,0.61,0.00,0.35,0.00,1.05,4.41,0.00,0.00,0.98,0.55,0.0002,0.0134,0.42,99.58,0.00,0.00,0.00, 7,0.17,0.48,107.46,0.70,17.51,0.00,0.08,1.76,1.67,1.05,1.05,4.41,0.00,0.92,1.00,0.96,0.0000,0.0049,99.99,0.01,0.00,0.00,0.00, 7,188.87,112.82,107.46,3.35,83.71,3.52,87.91,1.76,1.68,1.05,1.05,4.41,0.00,0.92,1.00,0.96,0.0000,0.0048,99.99,0.01,0.00,0.00,0.00, 6,189.51,112.81,107.46,3.36,83.99,3.53,88.21,0.00,0.31,0.01,1.05,4.41,0.00,0.00,0.97,0.39,0.0002,0.0090,0.57,2.20,0.06,0.02,97.16,28,0.20,0.64,107.46,0.63,15.71,0.00,0.09,1.77,1.69,1.05,1.05,4.41,0.00,0.92,1.00,0.96,0.0000,0.0048,99.99,0.01,0.00,0.00,0.00, 7,190.56,112.81,107.46,3.38,84.46,3.55,88.69,0.00,0.37,0.01,1.05,4.41,0.00,0.00,0.99,0.34,0.0001,0.0108,0.50,99.50,0.00,0.00,0.00, 7,0.21,0.56,107.46,0.74,18.62,0.00,0.10,
LinuxPCM,2024-12-01T17:19:41.432Z,0.76,1.68,0.45,1.05,4.41,0.00,3.09,1.00,0.96,0.0000,0.0049,0.00,0.00,624.89,372.50,102.53,3.36,83.88,1.52,38.09,43.24,42.70,0.66,0.00,13.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.00,0.00,0.76,1.68,0.45,1.05,4.41,0.00,3.09,1.00,0.96,0.0000,0.0049,0.00,0.00,0.00,0.00,0.00, 6,624.89,372.50,102.53,3.36,83.88,1.52,38.09,43.24,42.70,0.66,0.00,13.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,1.65,0.00,0.00,0.47,0.01,1.05,4.42,0.00,0.00,0.97,0.42,0.0002,0.0088,0.76,99.24,0.00,0.00,0.00, 6,0.39,0.82,102.53,0.95,23.66,0.01,0.19,0.78,1.72,0.45,1.05,4.41,0.00,0.45,1.00,0.95,0.0000,0.0057,43.22,0.49,2.66,0.00,53.64,11,79.98,46.49,102.53,3.44,86.01,1.56,39.04,1.77,1.68,1.05,1.05,4.41,0.00,0.88,1.00,0.96,0.0000,0.0049,100.00,0.00,0.00,0.00,0.00, 7,181.32,107.68,102.53,3.37,84.19,3.54,88.42,1.76,1.68,1.05,1.05,4.41,0.00,0.88,1.00,0.96,0.0000,0.0049,99.98,0.02,0.00,0.00,0.00, 8,180.72,107.70,102.53,3.36,83.90,3.52,88.09,1.76,1.68,1.05,1.05,4.41,0.00,0.87,1.00,0.96,0.0000,0.0048,100.00,0.00,0.00,0.00,0.00, 6,181.03,107.74,102.53,3.36,84.02,3.53,88.24,0.00,0.28,0.00,1.05,4.41,0.00,0.00,0.97,0.46,0.0002,0.0077,0.30,43.44,2.65,0.00,53.61,11,0.09,0.32,102.53,0.55,13.85,0.00,0.04,0.01,0.86,0.01,1.05,4.41,0.00,0.00,0.99,0.38,0.0000,0.0039,1.36,98.64,0.00,0.00,0.00, 7,1.26,1.46,102.53,1.73,43.20,0.02,0.62,0.00,0.37,0.00,1.05,4.41,0.00,0.00,0.98,0.47,0.0002,0.0087,0.27,99.73,0.00,0.00,0.00, 8,0.11,0.29,102.53,0.73,18.37,0.00,0.05,
LinuxPCM,2024-12-01T17:19:41.457Z,0.89,1.68,0.53,1.05,4.41,0.00,3.66,1.00,0.96,0.0000,0.0048,0.00,0.00,754.62,450.26,106.53,3.35,83.80,1.77,44.28,50.31,49.69,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,0.00,0.00,0.89,1.68,0.53,1.05,4.41,0.00,3.66,1.00,0.96,0.0000,0.0048,0.00,0.00,0.00,0.00,0.00, 5,754.62,450.26,106.53,3.35,83.80,1.77,44.28,50.31,49.69,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,1.96,0.00,0.01,0.92,0.02,1.05,4.41,0.00,0.01,1.00,0.40,0.0000,0.0043,1.46,98.54,0.00,0.00,0.00, 5,1.49,1.63,106.53,1.83,45.76,0.03,0.70,1.77,1.69,1.05,1.05,4.41,0.00,0.91,1.00,0.96,0.0000,0.0048,100.02,0.00,0.00,0.00,0.00, 7,188.66,111.87,106.53,3.37,84.32,3.54,88.58,1.78,1.69,1.05,1.05,4.41,0.00,0.91,1.00,0.96,0.0000,0.0048,99.99,0.01,0.00,0.00,0.00, 7,189.10,111.86,106.53,3.38,84.52,3.55,88.76,1.76,1.68,1.05,1.05,4.41,0.00,0.91,1.00,0.96,0.0000,0.0049,100.02,0.00,0.00,0.00,0.00, 6,187.61,111.88,106.53,3.35,83.85,3.52,88.08,1.76,1.68,1.05,1.05,4.41,0.00,0.91,1.00,0.96,0.0000,0.0049,99.99,0.01,0.00,0.00,0.00, 5,187.40,111.84,106.53,3.35,83.78,3.52,87.98,0.00,0.33,0.00,1.05,4.41,0.00,0.00,0.96,0.41,0.0004,0.0100,0.32,99.68,0.00,0.00,0.00, 7,0.12,0.36,106.53,0.65,16.27,0.00,0.05,0.00,0.23,0.00,1.05,4.41,0.00,0.00,0.98,0.37,0.0002,0.0132,0.39,99.61,0.00,0.00,0.00, 7,0.10,0.44,106.53,0.47,11.63,0.00,0.05,0.00,0.35,0.00,1.05,4.41,0.00,0.00,0.98,0.43,0.0002,0.0100,0.34,99.66,0.00,0.00,0.00, 6,0.13,0.39,106.53,0.70,17.51,0.00,0.06,
