#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
LinuxPCM,2024-12-01T17:26:17.439Z,0.80,1.26,0.64,1.05,4.41,0.00,16.92,1.00,0.84,0.0000,0.0196,0.00,0.00,864.08,685.55,106.30,2.52,63.02,1.61,40.24,60.81,31.12,0.00,0.78,7.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.80,1.26,0.64,1.05,4.41,0.00,16.92,1.00,0.84,0.0000,0.0196,0.00,0.00,0.00,0.00,0.00, 3,864.08,685.55,106.30,2.52,63.02,1.61,40.24,60.81,31.12,0.00,0.78,7.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,1.82,0.00,0.01,0.40,0.02,1.05,4.41,0.00,0.01,0.98,0.40,0.0002,0.0110,2.33,97.67,0.00,0.00,0.00, 3,1.05,2.60,106.30,0.81,20.15,0.02,0.49,1.34,1.65,0.81,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0046,77.41,22.59,0.00,0.00,0.00, 3,185.14,112.28,106.30,3.30,82.44,2.68,67.02,0.79,0.75,1.05,1.05,4.41,0.00,6.96,1.00,0.47,0.0000,0.0641,100.03,0.00,0.00,0.00,0.00, 8,108.58,145.10,106.30,1.50,37.41,1.57,39.31,0.78,1.64,0.47,1.05,4.41,0.00,0.49,1.00,0.96,0.0000,0.0046,45.14,23.51,0.00,3.04,28.30,19,107.68,65.54,106.30,3.29,82.14,1.56,38.94,1.74,1.66,1.05,1.05,4.41,0.00,1.10,1.00,0.96,0.0000,0.0046,100.03,0.00,0.00,0.00,0.00, 3,240.68,145.12,106.30,3.32,82.92,3.48,87.12,0.41,1.60,0.25,1.05,4.41,0.00,0.26,1.00,0.96,0.0000,0.0047,24.07,75.93,0.00,0.00,0.00, 3,56.05,34.93,106.30,3.21,80.24,0.81,20.28,0.79,0.75,1.05,1.05,4.41,0.00,6.99,1.00,0.46,0.0000,0.0644,100.02,0.00,0.00,0.00,0.00, 8,108.55,145.15,106.30,1.50,37.39,1.57,39.28,0.41,1.62,0.25,1.05,4.41,0.00,0.26,1.00,0.96,0.0000,0.0046,23.98,44.68,0.00,3.04,28.30,19,56.36,34.82,106.30,3.24,80.93,0.82,20.38,
LinuxPCM,2024-12-01T17:26:17.465Z,0.80,1.26,0.64,1.05,4.41,0.00,16.18,1.00,0.80,0.0000,0.0235,0.00,0.00,689.51,549.28,106.99,2.51,62.77,1.61,40.25,61.06,34.96,0.00,0.46,3.53,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.80,1.26,0.64,1.05,4.41,0.00,16.18,1.00,0.80,0.0000,0.0235,0.00,0.00,0.00,0.00,0.00, 3,689.51,549.28,106.99,2.51,62.77,1.61,40.25,61.06,34.96,0.00,0.46,3.53,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,1.93,0.00,0.01,0.39,0.02,1.05,4.41,0.00,0.01,0.98,0.37,0.0002,0.0120,1.45,98.55,0.00,0.00,0.00, 3,0.63,1.63,106.99,0.78,19.43,0.01,0.30,1.73,1.65,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0046,100.01,0.00,0.00,0.00,0.00, 4,185.21,112.49,106.99,3.29,82.32,3.46,86.46,0.73,0.70,1.05,1.05,4.41,0.00,6.86,1.00,0.27,0.0000,0.0874,100.02,0.00,0.00,0.00,0.00, 9,78.46,112.50,106.99,1.39,34.87,1.47,36.63,1.47,1.68,0.88,1.05,4.41,0.00,0.75,1.00,0.96,0.0000,0.0047,83.57,0.48,0.00,1.83,14.12, 6,157.52,93.92,106.99,3.35,83.86,2.94,73.61,1.75,1.66,1.05,1.05,4.41,0.00,0.86,1.00,0.96,0.0000,0.0046,100.01,0.00,0.00,0.00,0.00, 3,187.21,112.53,106.99,3.33,83.18,3.49,87.37,0.02,0.62,0.03,1.05,4.41,0.00,0.01,0.96,0.40,0.0002,0.0060,2.48,97.52,0.00,0.00,0.00, 4,1.74,2.79,106.99,1.25,31.22,0.03,0.81,0.73,0.70,1.05,1.05,4.41,0.00,6.85,1.00,0.28,0.0000,0.0873,100.01,0.00,0.00,0.00,0.00, 9,78.47,112.48,106.99,1.40,34.88,1.47,36.64,0.00,0.29,0.01,1.05,4.41,0.00,0.00,0.98,0.39,0.0002,0.0121,0.84,83.22,0.00,1.83,14.11, 6,0.28,0.95,106.99,0.59,14.72,0.01,0.13,
LinuxPCM,2024-12-01T17:26:17.490Z,0.66,0.97,0.68,1.05,4.41,0.00,23.73,1.00,0.64,0.0000,0.0424,0.00,0.00,560.43,578.40,106.84,1.94,48.45,1.31,32.79,64.45,18.94,0.20,0.54,15.87,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.66,0.97,0.68,1.05,4.41,0.00,23.73,1.00,0.64,0.0000,0.0424,0.00,0.00,0.00,0.00,0.00, 3,560.43,578.40,106.84,1.94,48.45,1.31,32.79,64.45,18.94,0.20,0.54,15.87,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,1.73,0.00,0.02,0.62,0.03,1.05,4.41,0.00,0.01,0.95,0.41,0.0003,0.0058,2.58,97.42,0.00,0.00,0.00, 3,1.80,2.90,106.84,1.24,31.04,0.03,0.84,0.55,1.62,0.34,1.05,4.41,0.00,0.27,1.00,0.96,0.0000,0.0047,32.25,1.30,0.80,2.15,63.49,10,58.68,36.18,106.84,3.24,81.08,1.10,27.47,0.71,0.68,1.05,1.05,4.41,0.00,7.18,1.00,0.22,0.0000,0.0943,100.00,0.00,0.00,0.00,0.00, 9,76.19,112.17,106.84,1.36,33.96,1.43,35.66,0.94,0.89,1.05,1.05,4.41,0.00,4.20,1.00,0.65,0.0000,0.0420,100.01,0.00,0.00,0.00,0.00,10,100.05,112.18,106.84,1.78,44.59,1.87,46.84,1.74,1.65,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0046,99.99,0.01,0.00,0.00,0.00, 3,185.37,112.18,106.84,3.30,82.62,3.47,86.77,0.00,0.33,0.01,1.05,4.41,0.00,0.00,0.98,0.38,0.0002,0.0096,1.30,32.26,0.80,2.15,63.49,10,0.48,1.45,106.84,0.66,16.61,0.01,0.23,0.72,0.68,1.05,1.05,4.41,0.00,7.19,1.00,0.21,0.0000,0.0941,100.01,0.00,0.00,0.00,0.00, 9,76.38,112.19,106.84,1.36,34.04,1.43,35.76,0.58,0.69,0.83,1.05,4.41,0.00,4.03,1.00,0.45,0.0000,0.0655,79.44,20.56,0.00,0.00,0.00,10,61.47,89.14,106.84,1.38,34.48,1.15,28.77,
LinuxPCM,2024-12-01T17:26:17.515Z,0.77,0.97,0.79,1.05,4.41,0.00,28.58,1.00,0.62,0.0000,0.0454,0.00,0.00,629.36,649.84,102.44,1.94,48.42,1.54,38.40,75.50,24.50,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00,0.77,0.97,0.79,1.05,4.41,0.00,28.58,1.00,0.62,0.0000,0.0454,0.00,0.00,0.00,0.00,0.00, 3,629.36,649.84,102.44,1.94,48.42,1.54,38.40,75.50,24.50,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,1.91,0.00,0.02,0.65,0.03,1.05,4.41,0.00,0.01,0.99,0.39,0.0001,0.0065,2.67,97.33,0.00,0.00,0.00, 3,1.88,2.88,102.44,1.31,32.67,0.04,0.92,1.73,1.65,1.05,1.05,4.41,0.00,0.80,1.00,0.96,0.0000,0.0045,100.01,0.00,0.00,0.00,0.00, 5,177.15,107.59,102.44,3.29,82.32,3.46,86.47,0.71,0.68,1.05,1.05,4.41,0.00,6.77,1.00,0.22,0.0000,0.0929,100.01,0.00,0.00,0.00,0.00, 9,72.84,107.62,102.44,1.35,33.84,1.42,35.54,0.62,0.59,1.05,1.05,4.41,0.00,6.70,1.00,0.12,0.0000,0.1049,100.00,0.00,0.00,0.00,0.00,10,63.81,107.58,102.44,1.19,29.65,1.25,31.15,1.73,1.64,1.05,1.05,4.41,0.00,0.82,1.00,0.96,0.0000,0.0046,100.02,0.00,0.00,0.00,0.00, 3,176.73,107.58,102.44,3.29,82.14,3.45,86.28,0.01,0.39,0.01,1.05,4.41,0.00,0.01,0.98,0.39,0.0002,0.0107,1.31,98.69,0.00,0.00,0.00, 5,0.55,1.41,102.44,0.78,19.48,0.01,0.27,0.71,0.68,1.05,1.05,4.41,0.00,6.76,1.00,0.22,0.0000,0.0931,99.99,0.01,0.00,0.00,0.00, 9,72.66,107.60,102.44,1.35,33.77,1.42,35.46,0.62,0.59,1.05,1.05,4.41,0.00,6.71,1.00,0.12,0.0000,0.1053,100.01,0.00,0.00,0.00,0.00,10,63.76,107.59,102.44,1.19,29.63,1.24,31.12,
LinuxPCM,2024-12-01T17:26:17.554Z,0.75,1.04,0.72,1.05,4.41,0.00,26.63,1.00,0.68,0.0000,0.0388,0.00,0.00,685.83,657.31,106.64,2.09,52.17,1.50,37.60,68.63,27.58,0.00,0.00,3.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.75,1.04,0.72,1.05,4.41,0.00,26.63,1.00,0.68,0.0000,0.0388,0.00,0.00,0.00,0.00,0.00, 3,685.83,657.31,106.64,2.09,52.17,1.50,37.60,68.63,27.58,0.00,0.00,3.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,1.91,0.00,0.02,0.69,0.02,1.05,4.41,0.00,0.01,0.99,0.42,0.0001,0.0058,2.30,81.49,0.00,0.00,16.21,16,1.78,2.57,106.64,1.38,34.54,0.03,0.83,1.74,1.66,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0045,100.00,0.00,0.00,0.00,0.00, 3,185.87,111.98,106.64,3.32,82.99,3.49,87.16,0.32,0.68,0.47,1.05,4.41,0.00,3.02,1.00,0.28,0.0000,0.0886,44.78,55.22,0.00,0.00,0.00, 5,34.12,50.16,106.64,1.36,34.01,0.64,15.99,0.61,0.58,1.05,1.05,4.41,0.00,7.17,1.00,0.09,0.0000,0.1104,100.00,0.00,0.00,0.00,0.00, 9,64.97,112.01,106.64,1.16,29.00,1.22,30.46,1.44,1.65,0.88,1.05,4.41,0.00,0.71,1.00,0.96,0.0000,0.0046,83.38,0.41,0.00,0.00,16.20,16,153.77,93.44,106.64,3.29,82.28,2.88,72.05,0.25,0.66,0.38,1.05,4.41,0.00,4.21,1.00,0.16,0.0000,0.1002,36.34,63.66,0.00,0.00,0.00, 6,41.97,63.12,106.64,1.33,33.24,0.51,12.69,1.30,1.23,1.05,1.05,4.41,0.00,3.49,1.00,0.79,0.0000,0.0253,100.00,0.00,0.00,0.00,0.00, 5,138.32,112.01,106.64,2.47,61.74,2.59,64.85,0.61,0.58,1.05,1.05,4.41,0.00,7.17,1.00,0.08,0.0000,0.1102,100.00,0.00,0.00,0.00,0.00, 9,65.03,112.01,106.64,1.16,29.03,1.22,30.49,
LinuxPCM,2024-12-01T17:26:17.565Z,0.71,1.24,0.57,1.05,4.41,0.00,13.35,1.00,0.79,0.0000,0.0246,0.00,0.00,543.12,437.25,102.51,2.48,62.11,1.43,35.68,54.70,31.29,0.00,0.00,14.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.00,0.00,0.71,1.24,0.57,1.05,4.41,0.00,13.35,1.00,0.79,0.0000,0.0246,0.00,0.00,0.00,0.00,0.00, 4,543.12,437.25,102.51,2.48,62.11,1.43,35.68,54.70,31.29,0.00,0.00,14.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.02,1.71,0.00,0.02,0.62,0.03,1.05,4.41,0.00,0.01,0.96,0.38,0.0002,0.0055,2.56,45.40,0.00,0.00,52.04, 7,1.71,2.76,102.51,1.24,31.07,0.03,0.84,0.69,0.66,1.05,1.05,4.41,0.00,7.48,1.00,0.12,0.0000,0.1052,99.98,0.02,0.00,0.00,0.00, 7,71.12,107.65,102.51,1.32,33.03,1.39,34.69,0.11,0.75,0.14,1.05,4.41,0.00,0.33,1.00,0.73,0.0000,0.0303,13.66,86.34,0.00,0.00,0.00, 6,11.06,14.70,102.51,1.50,37.61,0.22,5.40,1.76,1.68,1.05,1.05,4.41,0.00,0.82,1.00,0.96,0.0000,0.0045,99.99,0.01,0.00,0.00,0.00, 4,180.85,107.61,102.51,3.36,84.03,3.53,88.24,0.80,1.63,0.49,1.05,4.41,0.00,0.39,1.00,0.96,0.0000,0.0047,47.05,0.88,0.00,0.00,52.07, 7,82.39,50.63,102.51,3.25,81.36,1.61,40.21,0.68,0.65,1.05,1.05,4.41,0.00,3.28,1.00,0.07,0.0000,0.1102,99.94,0.06,0.00,0.00,0.00, 7,29.77,45.93,102.51,1.30,32.40,1.36,34.01,1.62,1.54,1.05,1.05,4.41,0.00,1.03,1.00,0.95,0.0000,0.0062,99.98,0.02,0.00,0.00,0.00, 6,166.10,107.62,102.51,3.09,77.17,3.24,81.03,0.00,0.35,0.00,1.05,4.41,0.00,0.00,0.92,0.46,0.0006,0.0087,0.32,99.68,0.00,0.00,0.00, 4,0.12,0.34,102.51,0.70,17.58,0.00,0.06,
LinuxPCM,2024-12-01T17:26:17.590Z,0.78,0.99,0.79,1.05,4.41,0.00,26.38,1.00,0.67,0.0000,0.0396,0.00,0.00,666.68,675.74,106.55,1.97,49.33,1.56,39.10,75.48,24.52,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.24,0.00,0.00,0.78,0.99,0.79,1.05,4.41,0.00,26.38,1.00,0.67,0.0000,0.0396,0.00,0.00,0.00,0.00,0.00, 4,666.68,675.74,106.55,1.97,49.33,1.56,39.10,75.48,24.52,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.24,1.99,0.00,0.02,0.61,0.04,1.05,4.41,0.00,0.02,0.98,0.41,0.0001,0.0067,3.40,96.60,0.00,0.00,0.00, 5,2.32,3.80,106.55,1.22,30.50,0.04,1.09,0.71,0.67,1.05,1.05,4.41,0.00,5.62,1.00,0.38,0.0000,0.0744,100.02,0.00,0.00,0.00,0.00, 8,75.51,111.92,106.55,1.35,33.73,1.42,35.44,0.67,0.64,1.05,1.05,4.41,0.00,6.73,1.00,0.21,0.0000,0.0943,100.01,0.00,0.00,0.00,0.00,10,71.38,111.92,106.55,1.28,31.89,1.34,33.49,1.75,1.67,1.05,1.05,4.41,0.00,0.84,1.00,0.96,0.0000,0.0045,100.02,0.00,0.00,0.00,0.00, 4,186.93,111.93,106.55,3.34,83.51,3.51,87.72,1.72,1.64,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0046,100.01,0.00,0.00,0.00,0.00, 5,183.38,111.92,106.55,3.28,81.92,3.44,86.04,0.71,0.68,1.05,1.05,4.41,0.00,5.60,1.00,0.38,0.0000,0.0741,100.02,0.00,0.00,0.00,0.00, 8,75.62,111.93,106.55,1.35,33.78,1.42,35.49,0.67,0.64,1.05,1.05,4.41,0.00,6.72,1.00,0.21,0.0000,0.0941,100.02,0.00,0.00,0.00,0.00,10,71.40,111.93,106.55,1.28,31.90,1.34,33.50,0.00,0.34,0.00,1.05,4.41,0.00,0.00,0.95,0.38,0.0005,0.0109,0.34,99.66,0.00,0.00,0.00, 4,0.13,0.38,106.55,0.69,17.14,0.00,0.06,
LinuxPCM,2024-12-01T17:26:17.614Z,0.76,0.96,0.79,1.05,4.41,0.00,28.33,1.00,0.62,0.0000,0.0452,0.00,0.00,626.99,654.12,103.16,1.92,47.93,1.52,37.99,75.48,24.52,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.76,0.96,0.79,1.05,4.41,0.00,28.33,1.00,0.62,0.0000,0.0452,0.00,0.00,0.00,0.00,0.00, 4,626.99,654.12,103.16,1.92,47.93,1.52,37.99,75.48,24.52,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,1.90,0.00,0.02,0.60,0.03,1.05,4.41,0.00,0.01,0.97,0.46,0.0002,0.0058,3.31,96.69,0.00,0.00,0.00, 4,2.16,3.59,103.16,1.20,30.10,0.04,1.05,0.63,0.60,1.05,1.05,4.41,0.00,7.15,1.00,0.08,0.0000,0.1099,99.99,0.01,0.00,0.00,0.00, 8,65.05,108.33,103.16,1.20,30.02,1.26,31.53,0.66,0.63,1.05,1.05,4.41,0.00,6.20,1.00,0.24,0.0000,0.0906,100.00,0.00,0.00,0.00,0.00, 9,68.48,108.32,103.16,1.26,31.61,1.33,33.20,1.75,1.66,1.05,1.05,4.41,0.00,0.82,1.00,0.96,0.0000,0.0045,99.98,0.02,0.00,0.00,0.00, 4,180.17,108.32,103.16,3.33,83.16,3.49,87.32,1.72,1.64,1.05,1.05,4.41,0.00,0.81,1.00,0.96,0.0000,0.0046,99.97,0.03,0.00,0.00,0.00, 4,177.56,108.31,103.16,3.28,81.97,3.44,86.06,0.63,0.60,1.05,1.05,4.41,0.00,7.14,1.00,0.09,0.0000,0.1100,99.98,0.02,0.00,0.00,0.00, 8,64.87,108.31,103.16,1.20,29.95,1.26,31.45,0.66,0.63,1.05,1.05,4.41,0.00,6.19,1.00,0.24,0.0000,0.0904,99.99,0.01,0.00,0.00,0.00, 9,68.46,108.31,103.16,1.26,31.60,1.33,33.19,0.00,0.38,0.01,1.05,4.41,0.00,0.00,0.96,0.35,0.0004,0.0116,0.59,99.41,0.00,0.00,0.00, 4,0.24,0.64,103.16,0.75,18.80,0.00,0.12,
LinuxPCM,2024-12-01T17:26:17.640Z,0.76,0.95,0.79,1.05,4.41,0.00,29.83,1.00,0.61,0.0000,0.0462,0.00,0.00,645.69,676.60,106.72,1.91,47.72,1.51,37.81,75.46,24.54,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.76,0.95,0.79,1.05,4.41,0.00,29.83,1.00,0.61,0.0000,0.0462,0.00,0.00,0.00,0.00,0.00, 3,645.69,676.60,106.72,1.91,47.72,1.51,37.81,75.46,24.54,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,1.98,0.00,0.02,0.62,0.04,1.05,4.41,0.00,0.02,0.99,0.42,0.0001,0.0067,3.35,96.65,0.00,0.00,0.00, 3,2.33,3.75,106.72,1.24,31.02,0.04,1.09,0.63,0.60,1.05,1.05,4.41,0.00,7.29,1.00,0.09,0.0000,0.1083,100.00,0.00,0.00,0.00,0.00, 8,67.34,112.06,106.72,1.20,30.05,1.26,31.55,0.65,0.62,1.05,1.05,4.41,0.00,6.78,1.00,0.18,0.0000,0.0978,100.00,0.00,0.00,0.00,0.00, 9,69.26,112.09,106.72,1.24,30.90,1.30,32.45,1.75,1.67,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0045,100.00,0.00,0.00,0.00,0.00, 4,186.77,112.07,106.72,3.33,83.33,3.50,87.51,1.72,1.63,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0046,100.02,0.00,0.00,0.00,0.00, 3,183.24,112.09,106.72,3.27,81.74,3.43,85.86,0.63,0.60,1.05,1.05,4.41,0.00,7.31,1.00,0.09,0.0000,0.1085,100.01,0.00,0.00,0.00,0.00, 8,67.34,112.09,106.72,1.20,30.04,1.26,31.55,0.65,0.62,1.05,1.05,4.41,0.00,6.75,1.00,0.19,0.0000,0.0974,100.00,0.00,0.00,0.00,0.00, 9,69.28,112.08,106.72,1.24,30.90,1.30,32.46,0.00,0.36,0.00,1.05,4.41,0.00,0.00,0.95,0.43,0.0004,0.0095,0.32,99.68,0.00,0.00,0.00, 4,0.13,0.36,106.72,0.72,17.95,0.00,0.06,
LinuxPCM,2024-12-01T17:26:17.665Z,0.76,0.96,0.79,1.05,4.41,0.00,29.49,1.00,0.62,0.0000,0.0453,0.00,0.00,650.41,678.05,106.94,1.92,47.96,1.52,38.01,75.46,24.54,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.76,0.96,0.79,1.05,4.41,0.00,29.49,1.00,0.62,0.0000,0.0453,0.00,0.00,0.00,0.00,0.00, 3,650.41,678.05,106.94,1.92,47.96,1.52,38.01,75.46,24.54,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,1.98,0.00,0.02,0.62,0.04,1.05,4.41,0.00,0.02,0.98,0.41,0.0001,0.0066,3.35,96.65,0.00,0.00,0.00, 3,2.32,3.76,106.94,1.24,30.88,0.04,1.09,0.63,0.60,1.05,1.05,4.41,0.00,7.39,1.00,0.08,0.0000,0.1095,99.99,0.01,0.00,0.00,0.00, 8,67.52,112.32,106.94,1.20,30.06,1.26,31.57,0.66,0.63,1.05,1.05,4.41,0.00,6.50,1.00,0.23,0.0000,0.0918,99.98,0.02,0.00,0.00,0.00,10,70.73,112.30,106.94,1.26,31.49,1.32,33.07,1.75,1.67,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0045,100.01,0.00,0.00,0.00,0.00, 4,187.53,112.32,106.94,3.34,83.48,3.51,87.68,1.72,1.64,1.05,1.05,4.41,0.00,0.85,1.00,0.96,0.0000,0.0046,99.98,0.02,0.00,0.00,0.00, 3,183.93,112.31,106.94,3.28,81.88,3.44,85.98,0.63,0.60,1.05,1.05,4.41,0.00,7.38,1.00,0.09,0.0000,0.1093,99.98,0.02,0.00,0.00,0.00, 8,67.52,112.30,106.94,1.20,30.06,1.26,31.57,0.66,0.63,1.05,1.05,4.41,0.00,6.50,1.00,0.23,0.0000,0.0920,100.00,0.00,0.00,0.00,0.00,10,70.73,112.34,106.94,1.26,31.48,1.32,33.06,0.00,0.33,0.00,1.05,4.41,0.00,0.00,0.95,0.43,0.0004,0.0101,0.36,99.64,0.00,0.00,0.00, 4,0.13,0.40,106.94,0.67,16.67,0.00,0.06,
