#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
LinuxPCM,2024-12-01T19:14:56.468Z,0.00,0.33,0.01,0.94,3.94,0.00,0.03,0.96,0.41,0.0003,0.0079,0.00,0.00,3.45,10.51,107.44,0.66,16.40,0.01,0.20,1.30,4.33,0.00,1.80,92.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.01,0.94,3.94,0.00,0.03,0.96,0.41,0.0003,0.0079,0.00,0.00,0.00,0.00,0.00,46,3.45,10.51,107.44,0.66,16.40,0.01,0.20,1.30,4.33,0.00,1.80,92.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.06,0.00,0.00,0.36,0.01,0.88,3.68,0.00,0.00,0.97,0.45,0.0002,0.0067,1.01,3.59,0.00,0.00,95.39,46,0.34,0.95,107.44,0.72,17.92,0.01,0.16,0.00,0.32,0.01,0.94,3.94,0.00,0.00,0.98,0.40,0.0002,0.0081,1.13,4.22,0.00,0.00,94.65,47,0.36,1.14,107.44,0.63,15.87,0.01,0.17,0.00,0.29,0.02,0.93,3.91,0.00,0.00,1.00,0.43,0.0000,0.0096,1.66,5.43,0.00,3.57,89.34,47,0.48,1.66,107.44,0.58,14.47,0.01,0.22,0.00,0.26,0.01,0.93,3.91,0.00,0.00,0.99,0.34,0.0001,0.0120,1.50,4.14,0.00,3.64,90.73,47,0.39,1.50,107.44,0.52,13.07,0.01,0.18,0.01,0.52,0.02,0.99,4.14,0.00,0.01,0.85,0.40,0.0007,0.0050,1.92,2.56,0.00,0.00,95.52,46,1.06,2.03,107.44,1.04,26.11,0.02,0.49,0.00,0.26,0.01,0.95,3.98,0.00,0.00,0.99,0.42,0.0001,0.0093,0.91,4.44,0.00,0.00,94.65,47,0.24,0.92,107.44,0.52,12.99,0.00,0.11,0.00,0.23,0.01,0.93,3.92,0.00,0.00,0.99,0.43,0.0001,0.0087,1.47,5.61,0.00,3.57,89.34,47,0.34,1.47,107.44,0.46,11.53,0.01,0.16,0.00,0.28,0.01,0.94,3.95,0.00,0.00,0.97,0.41,0.0003,0.0092,0.83,4.68,0.00,3.64,90.85,47,0.23,0.84,107.44,0.56,13.92,0.00,0.11,
LinuxPCM,2024-12-01T19:14:56.493Z,0.00,0.41,0.01,0.54,2.26,0.00,0.02,0.98,0.38,0.0001,0.0065,0.00,0.00,3.45,8.37,103.63,0.82,20.61,0.01,0.21,1.87,3.66,0.00,1.82,92.65,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.41,0.01,0.54,2.26,0.00,0.02,0.98,0.38,0.0001,0.0065,0.00,0.00,0.00,0.00,0.00,46,3.45,8.37,103.63,0.82,20.61,0.01,0.21,1.87,3.66,0.00,1.82,92.65,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.02,0.00,0.00,0.46,0.01,0.48,2.01,0.00,0.00,0.98,0.48,0.0001,0.0049,1.22,5.25,0.00,2.46,91.07,46,0.28,0.61,103.63,0.92,23.06,0.01,0.13,0.00,0.24,0.01,0.53,2.25,0.00,0.00,0.95,0.33,0.0005,0.0122,1.01,3.05,0.00,0.00,95.95,47,0.14,0.56,103.63,0.48,12.10,0.00,0.07,0.00,0.31,0.01,0.52,2.19,0.00,0.00,1.00,0.43,0.0000,0.0097,2.84,3.93,0.00,4.83,88.40,47,0.48,1.54,103.63,0.62,15.51,0.01,0.23,0.00,0.25,0.01,0.52,2.18,0.00,0.00,0.99,0.33,0.0001,0.0130,2.29,2.48,0.00,0.00,95.23,47,0.31,1.23,103.63,0.50,12.52,0.01,0.15,0.02,0.77,0.02,0.59,2.48,0.00,0.01,0.95,0.34,0.0001,0.0032,3.56,3.04,0.00,2.46,90.94,46,1.69,2.19,103.63,1.54,38.54,0.03,0.81,0.00,0.29,0.01,0.54,2.25,0.00,0.00,0.99,0.35,0.0001,0.0099,1.23,2.83,0.00,0.00,95.95,47,0.20,0.68,103.63,0.57,14.32,0.00,0.09,0.00,0.22,0.01,0.53,2.21,0.00,0.00,0.99,0.42,0.0001,0.0093,1.89,4.84,0.00,4.83,88.44,47,0.22,1.03,103.63,0.43,10.78,0.00,0.11,0.00,0.27,0.01,0.55,2.30,0.00,0.00,0.98,0.42,0.0001,0.0084,0.94,3.84,0.00,0.00,95.22,47,0.15,0.54,103.63,0.55,13.64,0.00,0.07,
LinuxPCM,2024-12-01T19:14:56.519Z,0.00,0.45,0.01,0.26,1.08,0.00,0.02,0.99,0.40,0.0001,0.0057,0.00,0.00,2.94,6.53,109.40,0.90,22.53,0.01,0.17,2.91,2.88,0.00,2.54,91.67,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.45,0.01,0.26,1.08,0.00,0.02,0.99,0.40,0.0001,0.0057,0.00,0.00,0.00,0.00,0.00,47,2.94,6.53,109.40,0.90,22.53,0.01,0.17,2.91,2.88,0.00,2.54,91.67,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.00,0.00,0.45,0.01,0.25,1.04,0.00,0.00,0.99,0.43,0.0001,0.0056,2.28,5.38,0.00,2.18,90.16,47,0.28,0.62,109.40,0.90,22.52,0.01,0.13,0.00,0.26,0.00,0.27,1.15,0.00,0.00,0.97,0.50,0.0002,0.0063,1.00,2.38,0.00,2.71,93.90,48,0.08,0.30,109.40,0.52,13.09,0.00,0.04,0.00,0.30,0.01,0.23,0.98,0.00,0.00,1.00,0.43,0.0000,0.0096,4.51,3.38,0.00,2.48,89.63,47,0.34,1.15,109.40,0.60,14.95,0.01,0.16,0.00,0.26,0.01,0.24,1.00,0.00,0.00,0.99,0.33,0.0001,0.0125,3.37,0.94,0.00,2.80,92.89,48,0.23,0.88,109.40,0.52,13.12,0.00,0.11,0.01,0.91,0.01,0.28,1.19,0.00,0.00,0.98,0.36,0.0001,0.0025,5.29,2.21,0.00,2.18,90.31,47,1.49,1.64,109.40,1.82,45.56,0.03,0.68,0.00,0.29,0.01,0.26,1.10,0.00,0.00,0.99,0.35,0.0001,0.0102,2.40,0.95,0.00,2.71,93.94,48,0.20,0.69,109.40,0.59,14.67,0.00,0.09,0.00,0.24,0.01,0.25,1.06,0.00,0.00,0.97,0.43,0.0002,0.0093,3.40,4.53,0.00,2.48,89.59,47,0.22,0.94,109.40,0.47,11.84,0.00,0.10,0.00,0.30,0.00,0.29,1.20,0.00,0.00,0.96,0.53,0.0002,0.0057,1.02,3.29,0.00,2.80,92.89,48,0.10,0.32,109.40,0.60,15.06,0.00,0.04,
LinuxPCM,2024-12-01T19:14:56.545Z,0.00,0.44,0.01,0.19,0.80,0.00,0.02,0.99,0.40,0.0000,0.0061,0.00,0.00,3.21,7.26,106.94,0.88,22.12,0.01,0.19,4.44,3.79,0.18,0.49,91.09,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.44,0.01,0.19,0.80,0.00,0.02,0.99,0.40,0.0000,0.0061,0.00,0.00,0.00,0.00,0.00,47,3.21,7.26,106.94,0.88,22.12,0.01,0.19,4.44,3.79,0.18,0.49,91.09,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.01,0.00,0.00,0.52,0.00,0.19,0.80,0.00,0.00,0.99,0.50,0.0001,0.0048,2.48,4.62,0.00,0.00,92.90,47,0.26,0.51,106.94,1.03,25.84,0.00,0.12,0.00,0.30,0.01,0.19,0.80,0.00,0.00,0.99,0.41,0.0001,0.0097,3.22,3.67,0.00,0.00,93.10,48,0.20,0.66,106.94,0.59,14.86,0.00,0.09,0.00,0.32,0.01,0.19,0.80,0.00,0.00,1.00,0.43,0.0000,0.0098,7.41,3.84,0.00,0.00,88.76,48,0.48,1.51,106.94,0.64,15.94,0.01,0.23,0.00,0.26,0.01,0.19,0.80,0.00,0.00,1.00,0.31,0.0000,0.0137,5.92,1.74,0.74,1.97,89.62,48,0.32,1.21,106.94,0.52,13.11,0.01,0.15,0.00,0.38,0.01,0.19,0.80,0.00,0.00,1.00,0.33,0.0000,0.0080,5.31,1.85,0.00,0.00,92.85,47,0.41,1.08,106.94,0.76,18.97,0.01,0.19,0.01,1.25,0.01,0.19,0.80,0.00,0.00,0.98,0.46,0.0000,0.0012,4.85,2.04,0.00,0.00,93.10,48,1.24,0.99,106.94,2.49,62.28,0.02,0.58,0.00,0.22,0.01,0.19,0.80,0.00,0.00,0.99,0.45,0.0001,0.0086,4.65,6.60,0.00,0.00,88.76,48,0.21,0.95,106.94,0.45,11.21,0.00,0.10,0.00,0.27,0.00,0.19,0.80,0.00,0.00,0.97,0.47,0.0002,0.0068,1.67,6.00,0.74,1.97,89.62,48,0.09,0.34,106.94,0.54,13.60,0.00,0.04,
LinuxPCM,2024-12-01T19:14:56.570Z,0.00,0.46,0.01,0.19,0.80,0.00,0.02,0.99,0.40,0.0001,0.0058,0.00,0.00,3.06,6.62,106.77,0.93,23.14,0.01,0.18,4.06,3.40,0.50,0.87,91.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.46,0.01,0.19,0.80,0.00,0.02,0.99,0.40,0.0001,0.0058,0.00,0.00,0.00,0.00,0.00,47,3.06,6.62,106.77,0.93,23.14,0.01,0.18,4.06,3.40,0.50,0.87,91.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.00,0.01,1.25,0.01,0.19,0.80,0.00,0.00,0.98,0.49,0.0000,0.0013,5.45,4.65,0.00,0.00,89.91,47,1.39,1.11,106.77,2.50,62.53,0.03,0.65,0.00,0.32,0.01,0.19,0.80,0.00,0.00,0.99,0.34,0.0001,0.0119,3.34,0.76,1.98,0.00,93.92,48,0.22,0.68,106.77,0.64,15.88,0.00,0.10,0.00,0.30,0.01,0.19,0.80,0.00,0.00,1.00,0.41,0.0000,0.0100,6.30,3.00,0.00,1.08,89.62,47,0.38,1.28,106.77,0.60,14.97,0.01,0.18,0.00,0.27,0.01,0.19,0.80,0.00,0.00,0.99,0.33,0.0001,0.0127,4.77,1.53,0.00,2.41,91.29,48,0.26,0.97,106.77,0.53,13.31,0.00,0.12,0.00,0.38,0.01,0.19,0.80,0.00,0.00,1.00,0.34,0.0000,0.0082,5.36,4.71,0.00,0.00,89.93,47,0.41,1.09,106.77,0.75,18.87,0.01,0.19,0.00,0.37,0.00,0.19,0.80,0.00,0.00,0.92,0.56,0.0004,0.0050,1.26,2.88,1.98,0.00,93.88,48,0.09,0.26,106.77,0.73,18.33,0.00,0.04,0.00,0.23,0.01,0.19,0.80,0.00,0.00,0.99,0.47,0.0001,0.0080,4.33,5.06,0.00,1.08,89.53,47,0.20,0.88,106.77,0.46,11.55,0.00,0.10,0.00,0.31,0.00,0.19,0.80,0.00,0.00,0.97,0.43,0.0002,0.0073,1.68,4.61,0.00,2.41,91.29,48,0.11,0.34,106.77,0.62,15.48,0.00,0.05,
LinuxPCM,2024-12-01T19:14:56.595Z,0.00,0.46,0.01,0.19,0.80,0.00,0.02,0.99,0.41,0.0001,0.0059,0.00,0.00,3.07,6.72,103.50,0.91,22.87,0.01,0.19,4.24,3.57,0.17,1.20,90.81,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.46,0.01,0.19,0.80,0.00,0.02,0.99,0.41,0.0001,0.0059,0.00,0.00,0.00,0.00,0.00,48,3.07,6.72,103.50,0.91,22.87,0.01,0.19,4.24,3.57,0.17,1.20,90.81,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.01,0.00,0.00,0.50,0.01,0.19,0.80,0.00,0.00,0.99,0.47,0.0001,0.0050,2.96,3.82,0.00,0.00,93.22,48,0.29,0.58,103.50,1.00,25.11,0.01,0.14,0.01,1.01,0.01,0.19,0.80,0.00,0.00,0.99,0.42,0.0000,0.0020,6.70,1.05,0.00,0.00,92.25,48,1.34,1.33,103.50,2.02,50.45,0.03,0.65,0.00,0.32,0.01,0.19,0.80,0.00,0.00,0.99,0.44,0.0000,0.0097,6.61,3.10,0.00,0.00,90.29,48,0.42,1.31,103.50,0.65,16.13,0.01,0.20,0.00,0.27,0.01,0.19,0.80,0.00,0.00,0.99,0.32,0.0001,0.0134,5.53,1.46,0.69,4.81,87.52,49,0.30,1.09,103.50,0.54,13.54,0.01,0.14,0.00,0.37,0.01,0.19,0.80,0.00,0.00,0.99,0.34,0.0001,0.0084,4.46,2.43,0.00,0.00,93.11,48,0.33,0.88,103.50,0.74,18.49,0.01,0.16,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.98,0.43,0.0001,0.0084,2.03,5.80,0.00,0.00,92.17,48,0.12,0.40,103.50,0.59,14.67,0.00,0.06,0.00,0.23,0.01,0.19,0.80,0.00,0.00,0.99,0.46,0.0001,0.0086,3.95,5.63,0.00,0.00,90.42,48,0.18,0.78,103.50,0.46,11.62,0.00,0.09,0.00,0.28,0.00,0.19,0.80,0.00,0.00,0.97,0.46,0.0002,0.0064,1.71,5.27,0.69,4.81,87.52,49,0.10,0.34,103.50,0.56,14.11,0.00,0.05,
LinuxPCM,2024-12-01T19:14:56.621Z,0.00,0.44,0.01,0.19,0.80,0.00,0.02,0.99,0.39,0.0000,0.0060,0.00,0.00,3.13,7.13,106.71,0.88,21.99,0.01,0.18,4.38,3.70,0.00,1.48,90.44,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.44,0.01,0.19,0.80,0.00,0.02,0.99,0.39,0.0000,0.0060,0.00,0.00,0.00,0.00,0.00,47,3.13,7.13,106.71,0.88,21.99,0.01,0.18,4.38,3.70,0.00,1.48,90.44,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.00,0.01,1.09,0.01,0.19,0.80,0.00,0.00,0.99,0.42,0.0000,0.0019,6.43,5.25,0.00,0.00,88.31,48,1.42,1.31,106.71,2.17,54.31,0.03,0.67,0.00,0.30,0.01,0.19,0.80,0.00,0.00,0.99,0.37,0.0001,0.0102,3.21,0.67,0.00,3.71,92.41,49,0.20,0.65,106.71,0.60,14.91,0.00,0.09,0.00,0.30,0.01,0.19,0.80,0.00,0.00,1.00,0.41,0.0000,0.0099,6.45,2.93,0.00,0.00,90.62,48,0.39,1.31,106.71,0.59,14.85,0.01,0.18,0.00,0.26,0.01,0.19,0.80,0.00,0.00,1.00,0.33,0.0000,0.0129,5.16,2.20,0.00,2.22,90.43,49,0.27,1.05,106.71,0.52,13.08,0.01,0.13,0.00,0.37,0.01,0.19,0.80,0.00,0.00,1.00,0.35,0.0000,0.0080,5.45,6.23,0.00,0.00,88.32,48,0.41,1.11,106.71,0.74,18.39,0.01,0.19,0.00,0.29,0.00,0.19,0.80,0.00,0.00,0.97,0.49,0.0001,0.0066,1.43,2.36,0.00,3.72,92.49,49,0.09,0.29,106.71,0.59,14.68,0.00,0.04,0.00,0.23,0.01,0.19,0.80,0.00,0.00,0.99,0.46,0.0001,0.0080,4.52,4.95,0.00,0.00,90.53,48,0.21,0.92,106.71,0.46,11.54,0.00,0.10,0.00,0.30,0.00,0.19,0.80,0.00,0.00,0.99,0.42,0.0001,0.0088,2.35,5.00,0.00,2.22,90.43,49,0.14,0.48,106.71,0.60,15.01,0.00,0.07,
LinuxPCM,2024-12-01T19:14:56.645Z,0.00,0.41,0.01,0.19,0.80,0.00,0.03,0.99,0.39,0.0000,0.0067,0.00,0.00,3.87,9.51,106.12,0.81,20.34,0.01,0.23,5.87,5.23,0.58,7.72,80.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.41,0.01,0.19,0.80,0.00,0.03,0.99,0.39,0.0000,0.0067,0.00,0.00,0.00,0.00,0.00,48,3.87,9.51,106.12,0.81,20.34,0.01,0.23,5.87,5.23,0.58,7.72,80.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.00,0.01,1.00,0.01,0.19,0.80,0.00,0.00,0.99,0.41,0.0000,0.0021,7.39,6.09,1.32,4.13,81.07,48,1.49,1.50,106.12,1.99,49.84,0.03,0.70,0.00,0.28,0.01,0.19,0.80,0.00,0.00,0.99,0.35,0.0001,0.0109,5.63,3.39,0.98,9.61,80.39,49,0.32,1.14,106.12,0.56,13.96,0.01,0.15,0.00,0.29,0.02,0.19,0.80,0.00,0.00,0.99,0.41,0.0000,0.0102,7.98,4.58,0.00,12.36,75.08,48,0.47,1.62,106.12,0.58,14.55,0.01,0.22,0.00,0.27,0.01,0.19,0.80,0.00,0.00,0.99,0.33,0.0001,0.0124,6.37,3.09,0.00,4.79,85.76,50,0.35,1.29,106.12,0.54,13.61,0.01,0.17,0.00,0.35,0.01,0.19,0.80,0.00,0.00,0.99,0.32,0.0000,0.0085,6.36,6.96,1.32,4.14,81.22,48,0.45,1.29,106.12,0.71,17.65,0.01,0.21,0.00,0.33,0.01,0.19,0.80,0.00,0.00,0.99,0.46,0.0001,0.0083,4.11,4.91,0.98,9.61,80.39,49,0.27,0.83,106.12,0.65,16.27,0.01,0.13,0.00,0.25,0.01,0.19,0.80,0.00,0.00,0.99,0.44,0.0001,0.0086,5.82,6.69,0.00,12.36,75.13,48,0.29,1.18,106.12,0.50,12.49,0.01,0.14,0.00,0.32,0.01,0.19,0.80,0.00,0.00,0.98,0.41,0.0002,0.0079,3.31,6.13,0.00,4.79,85.78,50,0.22,0.67,106.12,0.65,16.21,0.00,0.10,
LinuxPCM,2024-12-01T19:14:56.671Z,0.00,0.43,0.01,0.19,0.80,0.00,0.02,0.99,0.40,0.0000,0.0064,0.00,0.00,3.19,7.41,107.16,0.86,21.52,0.01,0.19,4.52,4.21,0.00,5.50,85.76,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.43,0.01,0.19,0.80,0.00,0.02,0.99,0.40,0.0000,0.0064,0.00,0.00,0.00,0.00,0.00,48,3.19,7.41,107.16,0.86,21.52,0.01,0.19,4.52,4.21,0.00,5.50,85.76,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.00,0.00,0.50,0.01,0.19,0.80,0.00,0.00,0.99,0.47,0.0001,0.0053,2.88,6.62,0.00,0.00,90.50,48,0.30,0.59,107.16,1.01,25.15,0.01,0.14,0.00,0.26,0.01,0.19,0.80,0.00,0.00,0.99,0.37,0.0001,0.0117,3.89,4.08,0.00,13.96,78.07,49,0.21,0.80,107.16,0.52,13.01,0.00,0.10,0.00,0.26,0.01,0.19,0.80,0.00,0.00,0.99,0.40,0.0000,0.0103,4.76,4.15,0.00,3.88,87.21,48,0.25,0.98,107.16,0.52,12.88,0.00,0.12,0.00,0.26,0.01,0.19,0.80,0.00,0.00,1.00,0.33,0.0000,0.0132,5.35,3.05,0.00,4.18,87.42,49,0.28,1.10,107.16,0.52,12.88,0.01,0.13,0.01,0.94,0.01,0.19,0.80,0.00,0.00,1.00,0.38,0.0000,0.0025,7.65,2.04,0.00,0.00,90.31,48,1.48,1.57,107.16,1.89,47.14,0.03,0.69,0.00,0.34,0.01,0.19,0.80,0.00,0.00,1.00,0.46,0.0000,0.0092,4.56,3.52,0.00,13.94,77.98,49,0.32,0.94,107.16,0.68,16.93,0.01,0.15,0.00,0.23,0.01,0.19,0.80,0.00,0.00,0.99,0.42,0.0001,0.0095,4.46,4.49,0.00,3.88,87.17,48,0.21,0.92,107.16,0.45,11.30,0.00,0.10,0.00,0.28,0.00,0.19,0.80,0.00,0.00,0.98,0.40,0.0001,0.0092,2.58,5.77,0.00,4.18,87.47,49,0.15,0.53,107.16,0.56,14.06,0.00,0.07,
LinuxPCM,2024-12-01T19:14:56.695Z,0.00,0.44,0.01,0.19,0.80,0.00,0.02,0.99,0.39,0.0000,0.0061,0.00,0.00,3.16,7.16,102.69,0.88,22.08,0.01,0.19,4.57,3.51,0.00,1.44,90.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.44,0.01,0.19,0.80,0.00,0.02,0.99,0.39,0.0000,0.0061,0.00,0.00,0.00,0.00,0.00,48,3.16,7.16,102.69,0.88,22.08,0.01,0.19,4.57,3.51,0.00,1.44,90.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.00,0.01,1.08,0.01,0.19,0.80,0.00,0.00,0.99,0.46,0.0000,0.0018,6.72,4.29,0.00,0.00,88.99,48,1.43,1.32,102.69,2.16,54.05,0.03,0.69,0.00,0.28,0.01,0.19,0.80,0.00,0.00,0.99,0.34,0.0001,0.0118,3.90,1.73,0.00,3.17,91.21,49,0.21,0.76,102.69,0.55,13.87,0.00,0.10,0.00,0.27,0.01,0.19,0.80,0.00,0.00,1.00,0.37,0.0000,0.0107,5.60,3.24,0.00,2.60,88.57,48,0.30,1.10,102.69,0.54,13.50,0.01,0.14,0.00,0.28,0.01,0.19,0.80,0.00,0.00,0.99,0.34,0.0001,0.0122,5.11,1.81,0.00,0.00,93.08,49,0.28,1.00,102.69,0.57,14.18,0.01,0.14,0.00,0.36,0.01,0.19,0.80,0.00,0.00,1.00,0.36,0.0000,0.0080,6.13,4.82,0.00,0.00,89.05,48,0.43,1.20,102.69,0.72,18.11,0.01,0.21,0.00,0.37,0.00,0.19,0.80,0.00,0.00,0.99,0.45,0.0001,0.0071,2.45,3.06,0.00,3.17,91.32,49,0.18,0.48,102.69,0.73,18.33,0.00,0.09,0.00,0.23,0.01,0.19,0.80,0.00,0.00,0.99,0.47,0.0001,0.0080,4.50,4.28,0.00,2.60,88.62,48,0.20,0.88,102.69,0.46,11.60,0.00,0.10,0.00,0.31,0.00,0.19,0.80,0.00,0.00,0.98,0.44,0.0001,0.0090,2.12,4.87,0.00,0.00,93.01,49,0.13,0.42,102.69,0.62,15.47,0.00,0.06,
