#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
LinuxPCM,2024-12-01T17:32:25.423Z,0.93,1.82,0.51,1.01,4.25,0.00,0.39,0.99,0.96,0.0000,0.0003,0.01,0.01,1270.81,698.29,171.46,3.64,90.99,1.85,46.28,50.23,49.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,0.93,1.82,0.51,1.01,4.25,0.00,0.39,0.99,0.96,0.0000,0.0003,0.01,0.01,0.00,0.01,0.00, 0,1270.81,698.29,171.46,3.64,90.99,1.85,46.28,50.23,49.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,2.32,0.00,0.00,0.39,0.01,1.01,4.26,0.00,0.00,0.77,0.49,0.0010,0.0048,1.09,98.91,0.00,0.00,0.00, 3,0.73,1.90,171.46,0.77,19.33,0.01,0.21,1.86,1.85,1.01,1.01,4.25,0.00,0.10,1.00,0.96,0.0000,0.0003,99.50,0.50,0.00,0.00,0.00, 0,319.44,173.00,171.46,3.69,92.32,3.72,93.01,1.15,1.83,0.63,1.01,4.26,0.00,0.03,0.99,0.95,0.0000,0.0001,62.17,37.83,0.00,0.00,0.00, 4,197.85,108.21,171.46,3.66,91.42,2.30,57.62,1.86,1.84,1.01,1.01,4.25,0.00,0.09,1.00,0.96,0.0000,0.0003,99.52,0.48,0.00,0.00,0.00, 4,318.86,172.99,171.46,3.69,92.16,3.71,92.86,1.82,1.81,1.01,1.01,4.25,0.00,0.09,1.00,0.96,0.0000,0.0003,99.49,0.51,0.00,0.00,0.00, 3,312.95,172.98,171.46,3.62,90.46,3.64,91.12,0.00,0.23,0.01,1.02,4.27,0.00,0.00,0.89,0.41,0.0010,0.0111,0.79,99.21,0.00,0.00,0.00, 0,0.32,1.39,171.46,0.46,11.49,0.00,0.09,0.70,1.81,0.39,1.01,4.24,0.00,0.07,1.00,0.96,0.0000,0.0006,38.22,61.78,0.00,0.00,0.00, 4,120.24,66.28,171.46,3.63,90.71,1.40,35.03,0.00,0.27,0.01,1.01,4.26,0.00,0.00,0.86,0.47,0.0008,0.0069,0.90,99.10,0.00,0.00,0.00, 4,0.42,1.56,171.46,0.54,13.42,0.00,0.12,
LinuxPCM,2024-12-01T17:32:25.448Z,0.93,1.83,0.51,1.01,4.23,0.00,0.20,0.99,0.96,0.0000,0.0003,0.00,0.00,775.01,423.87,104.60,3.66,91.42,1.85,46.32,50.30,49.70,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.93,1.83,0.51,1.01,4.23,0.00,0.20,0.99,0.96,0.0000,0.0003,0.00,0.00,0.00,0.01,0.00, 0,775.01,423.87,104.60,3.66,91.42,1.85,46.32,50.30,49.70,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,1.39,0.00,0.98,2.23,0.44,1.01,4.23,0.00,0.01,0.97,0.93,0.0000,0.0001,43.68,56.32,0.00,0.00,0.00, 2,102.50,46.05,104.60,4.45,111.29,1.96,48.99,1.71,1.71,1.00,1.01,4.23,0.00,0.09,1.00,0.96,0.0000,0.0005,99.26,0.74,0.00,0.00,0.00, 0,178.36,104.54,104.60,3.41,85.31,3.41,85.31,1.73,1.73,1.00,1.01,4.23,0.00,0.08,1.00,0.96,0.0000,0.0005,99.23,0.77,0.00,0.00,0.00, 5,180.80,104.56,104.60,3.46,86.45,3.46,86.43,1.99,1.99,1.00,1.01,4.23,0.00,0.01,0.99,0.94,0.0000,0.0001,99.20,0.80,0.00,0.00,0.00, 2,207.81,104.56,104.60,3.97,99.37,3.97,99.31,1.00,1.71,0.59,1.01,4.23,0.00,0.00,0.82,0.87,0.0000,0.0000,58.38,41.62,0.00,0.00,0.00, 2,105.04,61.46,104.60,3.42,85.45,2.01,50.21,0.00,0.18,0.01,1.01,4.24,0.00,0.00,0.86,0.41,0.0014,0.0109,0.80,99.20,0.00,0.00,0.00, 0,0.15,0.84,104.60,0.36,9.00,0.00,0.07,0.00,0.19,0.01,1.01,4.22,0.00,0.00,0.91,0.47,0.0008,0.0096,1.01,98.99,0.00,0.00,0.00, 5,0.20,1.06,104.60,0.38,9.53,0.00,0.10,0.00,0.20,0.01,1.01,4.23,0.00,0.00,0.84,0.49,0.0013,0.0088,0.75,99.25,0.00,0.00,0.00, 2,0.15,0.78,104.60,0.39,9.80,0.00,0.07,
LinuxPCM,2024-12-01T17:32:25.473Z,0.90,1.77,0.51,1.01,4.26,0.00,0.20,0.99,0.96,0.0000,0.0003,0.00,0.00,756.93,428.44,104.91,3.53,88.34,1.80,45.10,50.38,38.84,0.00,1.54,9.24,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,0.90,1.77,0.51,1.01,4.26,0.00,0.20,0.99,0.96,0.0000,0.0003,0.00,0.00,0.00,0.01,0.00, 0,756.93,428.44,104.91,3.53,88.34,1.80,45.10,50.38,38.84,0.00,1.54,9.24,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,1.33,0.00,0.90,1.57,0.57,1.02,4.30,0.00,0.08,1.00,0.96,0.0000,0.0009,55.70,1.20,0.00,6.15,36.95,16,94.21,59.83,104.91,3.15,78.73,1.80,44.90,1.91,1.89,1.01,1.01,4.26,0.00,0.01,0.98,0.95,0.0000,0.0001,99.42,0.58,0.00,0.00,0.00, 0,200.08,105.71,104.91,3.79,94.64,3.81,95.37,1.76,1.74,1.01,1.01,4.26,0.00,0.01,0.98,0.95,0.0000,0.0001,99.44,0.56,0.00,0.00,0.00, 0,184.47,105.72,104.91,3.49,87.24,3.52,87.93,1.90,1.89,1.01,1.01,4.26,0.00,0.09,1.00,0.96,0.0000,0.0004,99.44,0.56,0.00,0.00,0.00, 1,199.37,105.69,104.91,3.77,94.32,3.80,95.06,0.01,0.63,0.02,0.99,4.15,0.00,0.00,0.85,0.51,0.0003,0.0021,2.03,54.85,0.00,6.16,36.96,16,1.33,2.11,104.91,1.26,31.47,0.03,0.63,0.00,0.24,0.01,1.00,4.20,0.00,0.00,0.78,0.47,0.0015,0.0080,1.05,98.95,0.00,0.00,0.00, 0,0.26,1.10,104.91,0.47,11.78,0.00,0.12,0.73,1.62,0.45,1.00,4.20,0.00,0.00,0.85,0.77,0.0000,0.0000,45.29,54.71,0.00,0.00,0.00, 0,77.08,47.51,104.91,3.24,81.12,1.47,36.75,0.00,0.18,0.01,1.00,4.22,0.00,0.00,0.82,0.52,0.0012,0.0078,0.72,99.28,0.00,0.00,0.00, 1,0.13,0.76,104.91,0.35,8.85,0.00,0.06,
LinuxPCM,2024-12-01T17:32:25.514Z,0.82,1.63,0.50,1.00,4.22,0.00,0.45,0.99,0.95,0.0000,0.0004,0.01,0.00,1129.79,691.56,171.88,3.27,81.68,1.64,41.08,50.09,35.22,0.00,0.62,14.07,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.00,0.82,1.63,0.50,1.00,4.22,0.00,0.45,0.99,0.95,0.0000,0.0004,0.01,0.00,0.00,0.01,0.00, 0,1129.79,691.56,171.88,3.27,81.68,1.64,41.08,50.09,35.22,0.00,0.62,14.07,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.51,2.05,0.00,0.80,1.99,0.40,1.01,4.25,0.00,0.01,0.96,0.95,0.0000,0.0001,39.84,1.40,0.00,2.47,56.29, 3,137.71,69.29,171.88,3.97,99.37,1.60,40.06,1.84,1.84,1.00,1.00,4.22,0.00,0.09,1.00,0.96,0.0000,0.0003,99.54,0.46,0.00,0.00,0.00, 0,316.28,171.77,171.88,3.68,92.07,3.68,92.00,0.69,1.14,0.61,1.00,4.19,0.00,0.13,1.00,0.94,0.0000,0.0011,60.79,39.21,0.00,0.00,0.00, 5,118.93,104.36,171.88,2.28,56.98,1.38,34.59,1.84,1.84,1.00,1.00,4.22,0.00,0.09,1.00,0.96,0.0000,0.0003,99.53,0.47,0.00,0.00,0.00, 2,315.65,171.75,171.88,3.68,91.89,3.67,91.82,0.00,0.18,0.01,1.01,4.24,0.00,0.00,0.88,0.37,0.0013,0.0115,0.54,40.71,0.00,2.47,56.29, 3,0.17,0.93,171.88,0.36,9.08,0.00,0.05,0.00,0.19,0.01,1.01,4.23,0.00,0.00,0.83,0.45,0.0014,0.0091,0.51,99.49,0.00,0.00,0.00, 0,0.17,0.89,171.88,0.38,9.60,0.00,0.05,1.40,1.40,1.00,1.00,4.22,0.00,0.11,1.00,0.95,0.0000,0.0005,99.53,0.47,0.00,0.00,0.00, 5,240.75,171.78,171.88,2.80,70.07,2.80,70.02,0.00,0.18,0.00,1.01,4.23,0.00,0.00,0.85,0.42,0.0015,0.0108,0.46,99.54,0.00,0.00,0.00, 2,0.14,0.79,171.88,0.35,8.83,0.00,0.04,
LinuxPCM,2024-12-01T17:32:25.540Z,0.92,1.80,0.51,1.02,4.26,0.00,0.27,0.99,0.96,0.0000,0.0003,0.00,0.00,783.95,435.99,107.04,3.60,89.91,1.84,45.88,50.28,49.72,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.92,1.80,0.51,1.02,4.26,0.00,0.27,0.99,0.96,0.0000,0.0003,0.00,0.00,0.00,0.01,0.00, 0,783.95,435.99,107.04,3.60,89.91,1.84,45.88,50.28,49.72,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,1.47,0.00,0.02,0.77,0.02,1.02,4.30,0.00,0.00,0.88,0.51,0.0002,0.0018,2.28,97.72,0.00,0.00,0.00, 2,1.92,2.50,107.04,1.53,38.32,0.04,0.90,1.85,1.83,1.01,1.02,4.26,0.00,0.08,1.00,0.96,0.0000,0.0004,99.53,0.47,0.00,0.00,0.00, 1,196.95,107.80,107.04,3.65,91.35,3.69,92.29,1.99,1.97,1.01,1.02,4.26,0.00,0.01,0.98,0.95,0.0000,0.0001,99.51,0.49,0.00,0.00,0.00, 3,212.72,107.81,107.04,3.95,98.66,3.99,99.64,1.76,1.74,1.01,1.02,4.26,0.00,0.09,1.00,0.96,0.0000,0.0005,99.52,0.48,0.00,0.00,0.00, 0,187.39,107.85,107.04,3.47,86.87,3.51,87.75,1.73,1.71,1.01,1.02,4.26,0.00,0.08,1.00,0.96,0.0000,0.0004,99.50,0.50,0.00,0.00,0.00, 2,184.60,107.82,107.04,3.42,85.60,3.46,86.45,0.00,0.18,0.01,1.02,4.29,0.00,0.00,0.79,0.54,0.0014,0.0079,0.58,99.42,0.00,0.00,0.00, 1,0.11,0.64,107.04,0.35,8.82,0.00,0.05,0.00,0.16,0.01,1.02,4.30,0.00,0.00,0.86,0.49,0.0012,0.0097,0.78,99.22,0.00,0.00,0.00, 3,0.14,0.85,107.04,0.32,7.96,0.00,0.06,0.00,0.18,0.01,1.03,4.31,0.00,0.00,0.86,0.42,0.0013,0.0102,0.65,99.35,0.00,0.00,0.00, 0,0.13,0.72,107.04,0.35,8.80,0.00,0.06,
LinuxPCM,2024-12-01T17:32:25.564Z,0.94,1.85,0.51,1.01,4.24,0.00,0.13,0.99,0.96,0.0000,0.0002,0.00,0.00,772.00,418.23,102.93,3.69,92.29,1.88,46.88,50.30,49.70,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.94,1.85,0.51,1.01,4.24,0.00,0.13,0.99,0.96,0.0000,0.0002,0.00,0.00,0.00,0.01,0.00, 1,772.00,418.23,102.93,3.69,92.29,1.88,46.88,50.30,49.70,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,1.37,0.00,0.00,0.31,0.01,1.02,4.29,0.00,0.00,0.85,0.54,0.0008,0.0064,1.23,98.77,0.00,0.00,0.00, 3,0.40,1.30,102.93,0.62,15.59,0.01,0.20,1.87,1.86,1.00,1.01,4.24,0.00,0.02,0.99,0.95,0.0000,0.0001,99.38,0.62,0.00,0.00,0.00, 1,192.36,103.33,102.93,3.72,93.08,3.74,93.40,1.84,1.83,1.00,1.01,4.24,0.00,0.08,1.00,0.96,0.0000,0.0004,99.42,0.58,0.00,0.00,0.00, 4,188.88,103.31,102.93,3.66,91.42,3.67,91.76,1.86,1.85,1.00,1.01,4.24,0.00,0.01,0.98,0.95,0.0000,0.0001,99.38,0.62,0.00,0.00,0.00, 3,191.38,103.27,102.93,3.71,92.66,3.72,92.98,1.92,1.91,1.00,1.01,4.24,0.00,0.01,0.99,0.95,0.0000,0.0001,99.40,0.60,0.00,0.00,0.00, 3,197.40,103.29,102.93,3.82,95.56,3.84,95.90,0.01,0.64,0.02,1.02,4.30,0.00,0.00,0.79,0.50,0.0003,0.0017,1.90,98.10,0.00,0.00,0.00, 1,1.29,2.01,102.93,1.28,32.05,0.03,0.63,0.00,0.16,0.01,1.02,4.29,0.00,0.00,0.78,0.52,0.0019,0.0094,0.94,99.06,0.00,0.00,0.00, 4,0.16,0.99,102.93,0.32,7.90,0.00,0.08,0.00,0.18,0.01,1.02,4.28,0.00,0.00,0.84,0.50,0.0012,0.0085,0.71,99.29,0.00,0.00,0.00, 3,0.14,0.74,102.93,0.37,9.16,0.00,0.07,
LinuxPCM,2024-12-01T17:32:25.590Z,0.92,1.81,0.51,1.01,4.25,0.00,0.36,1.00,0.96,0.0000,0.0005,0.00,0.00,787.71,434.63,106.71,3.62,90.62,1.85,46.14,50.29,49.71,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.00,0.00,0.92,1.81,0.51,1.01,4.25,0.00,0.36,1.00,0.96,0.0000,0.0005,0.00,0.00,0.00,0.01,0.00, 0,787.71,434.63,106.71,3.62,90.62,1.85,46.14,50.29,49.71,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,1.46,0.00,0.00,0.34,0.01,1.01,4.23,0.00,0.00,0.88,0.49,0.0007,0.0073,1.13,98.87,0.00,0.00,0.00, 3,0.42,1.21,106.71,0.69,17.14,0.01,0.19,1.88,1.86,1.01,1.01,4.25,0.00,0.09,1.00,0.96,0.0000,0.0005,99.60,0.40,0.00,0.00,0.00, 0,200.31,107.58,106.71,3.72,93.10,3.76,93.88,1.77,1.75,1.01,1.01,4.25,0.00,0.09,1.00,0.96,0.0000,0.0005,99.58,0.42,0.00,0.00,0.00, 4,188.78,107.58,106.71,3.51,87.74,3.54,88.45,1.87,1.85,1.01,1.01,4.25,0.00,0.08,1.00,0.96,0.0000,0.0004,99.58,0.42,0.00,0.00,0.00, 4,199.07,107.57,106.71,3.70,92.53,3.73,93.28,1.85,1.84,1.01,1.01,4.25,0.00,0.08,1.00,0.96,0.0000,0.0004,99.57,0.43,0.00,0.00,0.00, 3,197.63,107.56,106.71,3.67,91.87,3.70,92.60,0.01,0.76,0.02,1.02,4.30,0.00,0.00,0.94,0.41,0.0002,0.0035,1.50,98.50,0.00,0.00,0.00, 0,1.25,1.64,106.71,1.52,37.95,0.02,0.58,0.00,0.17,0.01,1.01,4.25,0.00,0.00,0.87,0.43,0.0013,0.0113,0.72,99.28,0.00,0.00,0.00, 4,0.13,0.78,106.71,0.34,8.46,0.00,0.06,0.00,0.19,0.01,1.02,4.27,0.00,0.00,0.83,0.52,0.0013,0.0082,0.65,99.35,0.00,0.00,0.00, 4,0.13,0.71,106.71,0.37,9.31,0.00,0.06,
LinuxPCM,2024-12-01T17:32:25.614Z,0.92,1.81,0.51,1.01,4.23,0.00,0.23,0.99,0.96,0.0000,0.0003,0.00,0.00,760.32,418.92,103.38,3.63,90.75,1.84,45.97,50.30,49.70,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,0.00,0.00,0.92,1.81,0.51,1.01,4.23,0.00,0.23,0.99,0.96,0.0000,0.0003,0.00,0.00,0.00,0.01,0.00, 0,760.32,418.92,103.38,3.63,90.75,1.84,45.97,50.30,49.70,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,1.38,0.00,0.02,0.64,0.02,1.00,4.21,0.00,0.00,0.89,0.51,0.0002,0.0024,2.41,97.59,0.00,0.00,0.00, 2,1.60,2.50,103.38,1.28,32.01,0.03,0.77,1.73,1.73,1.00,1.01,4.23,0.00,0.08,1.00,0.96,0.0000,0.0005,99.12,0.88,0.00,0.00,0.00, 0,178.53,103.23,103.38,3.46,86.48,3.45,86.34,1.94,1.94,1.00,1.01,4.23,0.00,0.01,0.98,0.94,0.0000,0.0001,99.31,0.69,0.00,0.00,0.00, 5,200.34,103.40,103.38,3.88,96.88,3.88,96.91,1.86,1.86,1.00,1.01,4.23,0.00,0.03,0.99,0.95,0.0000,0.0002,99.29,0.71,0.00,0.00,0.00, 3,192.53,103.38,103.38,3.72,93.11,3.72,93.12,1.80,1.80,1.00,1.01,4.23,0.00,0.09,1.00,0.96,0.0000,0.0005,99.29,0.71,0.00,0.00,0.00, 2,186.41,103.38,103.38,3.61,90.16,3.61,90.17,0.00,0.41,0.01,1.00,4.19,0.00,0.00,0.88,0.39,0.0004,0.0041,1.15,98.85,0.00,0.00,0.00, 0,0.48,1.18,103.38,0.82,20.40,0.01,0.23,0.00,0.22,0.01,1.01,4.23,0.00,0.00,0.90,0.46,0.0008,0.0094,0.95,99.05,0.00,0.00,0.00, 5,0.22,0.99,103.38,0.44,10.95,0.00,0.10,0.00,0.25,0.01,1.00,4.22,0.00,0.00,0.88,0.45,0.0009,0.0086,0.83,99.17,0.00,0.00,0.00, 3,0.21,0.86,103.38,0.50,12.43,0.00,0.10,
LinuxPCM,2024-12-01T17:32:25.640Z,0.94,1.83,0.51,1.02,4.26,0.00,0.19,0.99,0.96,0.0000,0.0002,0.00,0.00,802.22,437.67,107.05,3.67,91.65,1.87,46.83,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.00,0.00,0.94,1.83,0.51,1.02,4.26,0.00,0.19,0.99,0.96,0.0000,0.0002,0.00,0.00,0.00,0.01,0.00, 0,802.22,437.67,107.05,3.67,91.65,1.87,46.83,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,1.46,0.00,0.01,0.63,0.02,1.01,4.26,0.00,0.00,0.85,0.45,0.0003,0.0023,2.24,97.76,0.00,0.00,0.00, 2,1.53,2.43,107.05,1.26,31.46,0.03,0.71,1.92,1.90,1.01,1.02,4.26,0.00,0.01,0.98,0.95,0.0000,0.0001,99.54,0.46,0.00,0.00,0.00, 0,205.84,108.20,107.05,3.80,95.12,3.85,96.14,1.78,1.76,1.01,1.02,4.26,0.00,0.08,1.00,0.96,0.0000,0.0004,99.51,0.49,0.00,0.00,0.00, 5,190.95,108.19,107.05,3.53,88.24,3.57,89.17,1.87,1.85,1.01,1.02,4.26,0.00,0.08,1.00,0.96,0.0000,0.0004,99.54,0.46,0.00,0.00,0.00, 1,200.61,108.23,107.05,3.71,92.68,3.75,93.67,1.89,1.87,1.01,1.02,4.26,0.00,0.01,0.99,0.95,0.0000,0.0001,99.54,0.46,0.00,0.00,0.00, 2,202.88,108.22,107.05,3.75,93.74,3.79,94.75,0.00,0.17,0.01,1.02,4.27,0.00,0.00,0.80,0.55,0.0012,0.0072,0.64,99.36,0.00,0.00,0.00, 0,0.12,0.69,107.05,0.35,8.63,0.00,0.06,0.00,0.17,0.01,1.02,4.27,0.00,0.00,0.84,0.55,0.0012,0.0083,0.80,99.20,0.00,0.00,0.00, 5,0.15,0.87,107.05,0.34,8.57,0.00,0.07,0.00,0.18,0.01,1.01,4.26,0.00,0.00,0.88,0.43,0.0011,0.0107,0.77,99.23,0.00,0.00,0.00, 1,0.16,0.84,107.05,0.37,9.23,0.00,0.07,
LinuxPCM,2024-12-01T17:32:25.664Z,0.91,1.78,0.51,1.01,4.25,0.00,0.27,0.99,0.96,0.0000,0.0004,0.00,0.00,744.95,417.80,102.69,3.57,89.15,1.81,45.35,50.23,49.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.91,1.78,0.51,1.01,4.25,0.00,0.27,0.99,0.96,0.0000,0.0004,0.00,0.00,0.00,0.01,0.00, 0,744.95,417.80,102.69,3.57,89.15,1.81,45.35,50.23,49.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,1.41,0.00,0.00,0.34,0.01,1.02,4.30,0.00,0.00,0.89,0.55,0.0007,0.0070,1.12,98.88,0.00,0.00,0.00, 3,0.40,1.18,102.69,0.68,17.10,0.01,0.20,1.86,1.85,1.01,1.01,4.25,0.00,0.08,1.00,0.96,0.0000,0.0004,99.40,0.60,0.00,0.00,0.00, 0,190.88,103.32,102.69,3.69,92.37,3.72,92.96,1.93,1.91,1.01,1.01,4.25,0.00,0.01,0.98,0.94,0.0000,0.0001,99.42,0.58,0.00,0.00,0.00, 2,197.70,103.33,102.69,3.83,95.66,3.85,96.30,1.75,1.73,1.01,1.01,4.25,0.00,0.08,1.00,0.96,0.0000,0.0005,99.40,0.60,0.00,0.00,0.00, 1,179.22,103.30,102.69,3.47,86.75,3.49,87.30,1.71,1.70,1.01,1.01,4.25,0.00,0.08,1.00,0.96,0.0000,0.0005,99.39,0.61,0.00,0.00,0.00, 3,175.20,103.32,102.69,3.39,84.79,3.41,85.32,0.01,0.71,0.02,1.03,4.31,0.00,0.00,0.84,0.46,0.0002,0.0013,1.67,98.33,0.00,0.00,0.00, 0,1.26,1.76,102.69,1.43,35.72,0.02,0.61,0.00,0.17,0.01,1.02,4.30,0.00,0.00,0.80,0.44,0.0019,0.0104,0.87,99.13,0.00,0.00,0.00, 2,0.16,0.92,102.69,0.34,8.47,0.00,0.08,0.00,0.19,0.01,1.02,4.30,0.00,0.00,0.84,0.48,0.0012,0.0082,0.63,99.37,0.00,0.00,0.00, 1,0.13,0.66,102.69,0.39,9.75,0.00,0.06,
