#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
LinuxPCM,2024-12-01T16:29:54.452Z,0.55,1.69,0.33,0.86,3.62,0.00,1.68,1.00,0.66,0.0000,0.0025,0.00,0.00,683.31,403.68,154.40,3.39,84.63,1.11,27.67,37.92,45.19,0.00,0.00,16.89,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.55,1.69,0.33,0.86,3.62,0.00,1.68,1.00,0.66,0.0000,0.0025,0.00,0.00,0.00,0.00,0.00, 1,683.31,403.68,154.40,3.39,84.63,1.11,27.67,37.92,45.19,0.00,0.00,16.89,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.68,0.00,0.00,0.39,0.01,0.88,3.71,0.00,0.00,0.92,0.52,0.0004,0.0057,1.08,98.92,0.00,0.00,0.00, 3,0.58,1.47,154.40,0.78,19.58,0.01,0.19,1.03,1.72,0.60,0.86,3.62,0.00,0.81,1.00,0.62,0.0000,0.0051,69.17,30.83,0.00,0.00,0.00, 1,158.31,92.05,154.40,3.44,85.99,2.05,51.31,0.42,1.55,0.27,0.86,3.62,0.00,0.00,0.94,0.84,0.0000,0.0000,31.29,68.71,0.00,0.00,0.00, 4,64.44,41.57,154.40,3.10,77.51,0.84,20.88,0.00,0.24,0.01,0.87,3.66,0.00,0.00,0.97,0.41,0.0002,0.0093,0.68,31.76,0.00,0.00,67.56,10,0.22,0.92,154.40,0.47,11.80,0.00,0.07,1.42,1.65,0.86,0.86,3.62,0.00,0.67,1.00,0.71,0.0000,0.0030,99.77,0.23,0.00,0.00,0.00, 3,219.05,132.70,154.40,3.30,82.53,2.84,70.99,0.41,1.53,0.27,0.86,3.62,0.00,0.00,0.94,0.83,0.0000,0.0001,31.27,68.73,0.00,0.00,0.00, 1,63.75,41.54,154.40,3.07,76.73,0.83,20.66,1.14,1.91,0.60,0.86,3.62,0.00,0.18,1.00,0.55,0.0000,0.0010,69.29,30.71,0.00,0.00,0.00, 4,176.64,92.27,154.40,3.83,95.73,2.29,57.23,0.00,0.28,0.01,0.87,3.66,0.00,0.00,0.88,0.35,0.0010,0.0094,0.87,31.57,0.00,0.00,67.56,10,0.33,1.17,154.40,0.56,14.02,0.00,0.11,
LinuxPCM,2024-12-01T16:29:54.477Z,0.62,1.85,0.33,0.88,3.69,0.00,1.23,1.00,0.59,0.0000,0.0023,0.00,0.00,530.40,286.97,107.42,3.70,92.42,1.23,30.85,37.97,37.41,0.00,0.00,24.62,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.62,1.85,0.33,0.88,3.69,0.00,1.23,1.00,0.59,0.0000,0.0023,0.00,0.00,0.00,0.00,0.00, 0,530.40,286.97,107.42,3.70,92.42,1.23,30.85,37.97,37.41,0.00,0.00,24.62,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.72,0.00,0.00,0.40,0.01,0.88,3.70,0.00,0.00,0.93,0.48,0.0004,0.0066,0.98,99.02,0.00,0.00,0.00, 1,0.37,0.93,107.42,0.80,20.02,0.01,0.17,1.68,1.92,0.88,0.88,3.69,0.00,0.19,1.00,0.53,0.0000,0.0010,99.68,0.32,0.00,0.00,0.00, 0,180.54,94.16,107.42,3.83,95.87,3.36,84.00,0.00,0.23,0.00,0.89,3.74,0.00,0.00,0.90,0.46,0.0008,0.0093,0.54,99.46,0.00,0.00,0.00, 5,0.12,0.52,107.42,0.46,11.46,0.00,0.06,0.00,0.20,0.01,0.89,3.73,0.00,0.00,0.95,0.39,0.0005,0.0095,0.59,0.93,0.00,0.00,98.47,11,0.12,0.57,107.42,0.41,10.19,0.00,0.05,1.71,1.95,0.88,0.88,3.69,0.00,0.19,1.00,0.54,0.0000,0.0010,99.69,0.31,0.00,0.00,0.00, 1,183.53,94.18,107.42,3.90,97.44,3.42,85.38,0.01,0.69,0.02,0.90,3.79,0.00,0.00,0.83,0.47,0.0003,0.0018,2.03,97.97,0.00,0.00,0.00, 0,1.37,1.97,107.42,1.39,34.68,0.03,0.64,1.53,1.74,0.88,0.88,3.69,0.00,0.85,1.00,0.61,0.0000,0.0052,99.69,0.31,0.00,0.00,0.00, 5,164.24,94.14,107.42,3.49,87.23,3.06,76.43,0.00,0.22,0.00,0.89,3.75,0.00,0.00,0.90,0.40,0.0008,0.0084,0.53,1.01,0.00,0.00,98.47,11,0.11,0.50,107.42,0.45,11.13,0.00,0.05,
LinuxPCM,2024-12-01T16:29:54.502Z,0.59,1.78,0.33,0.87,3.65,0.00,1.62,1.00,0.66,0.0000,0.0033,0.00,0.00,484.72,272.02,103.07,3.56,89.10,1.18,29.39,37.93,37.39,0.00,0.71,23.97,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.59,1.78,0.33,0.87,3.65,0.00,1.62,1.00,0.66,0.0000,0.0033,0.00,0.00,0.00,0.00,0.00, 0,484.72,272.02,103.07,3.56,89.10,1.18,29.39,37.93,37.39,0.00,0.71,23.97,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.66,0.00,0.00,0.44,0.01,0.88,3.69,0.00,0.00,0.93,0.50,0.0004,0.0064,0.91,99.09,0.00,0.00,0.00, 2,0.36,0.82,103.07,0.87,21.76,0.01,0.17,1.52,1.76,0.87,0.87,3.65,0.00,0.81,1.00,0.62,0.0000,0.0052,99.67,0.33,0.00,0.00,0.00, 0,157.20,89.35,103.07,3.52,87.97,3.05,76.24,1.65,1.91,0.87,0.87,3.65,0.00,0.18,1.00,0.54,0.0000,0.0011,99.67,0.33,0.00,0.00,0.00, 3,170.53,89.33,103.07,3.82,95.45,3.31,82.72,0.00,0.22,0.01,0.88,3.71,0.00,0.00,0.86,0.40,0.0012,0.0094,0.59,0.68,0.00,2.85,95.87,12,0.12,0.54,103.07,0.45,11.16,0.00,0.06,1.50,1.74,0.87,0.87,3.65,0.00,0.61,1.00,0.71,0.0000,0.0040,99.66,0.34,0.00,0.00,0.00, 2,155.00,89.34,103.07,3.47,86.75,3.01,75.17,0.01,0.77,0.02,0.88,3.71,0.00,0.00,0.88,0.64,0.0002,0.0014,1.80,98.20,0.00,0.00,0.00, 0,1.27,1.64,103.07,1.55,38.72,0.02,0.62,0.00,0.21,0.00,0.88,3.69,0.00,0.00,0.91,0.45,0.0008,0.0096,0.53,99.47,0.00,0.00,0.00, 3,0.10,0.48,103.07,0.41,10.27,0.00,0.05,0.00,0.25,0.01,0.88,3.71,0.00,0.00,0.84,0.45,0.0012,0.0085,0.58,0.69,0.00,2.85,95.88,12,0.13,0.53,103.07,0.51,12.71,0.00,0.06,
LinuxPCM,2024-12-01T16:29:54.527Z,0.61,1.82,0.33,0.88,3.69,0.00,1.23,1.00,0.59,0.0000,0.0024,0.00,0.00,519.12,285.24,107.15,3.64,91.00,1.21,30.28,37.85,37.80,0.00,0.00,24.36,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.61,1.82,0.33,0.88,3.69,0.00,1.23,1.00,0.59,0.0000,0.0024,0.00,0.00,0.00,0.00,0.00, 0,519.12,285.24,107.15,3.64,91.00,1.21,30.28,37.85,37.80,0.00,0.00,24.36,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.72,0.00,0.00,0.40,0.01,0.87,3.67,0.00,0.00,0.94,0.47,0.0004,0.0065,0.92,99.08,0.00,0.00,0.00, 1,0.34,0.86,107.15,0.79,19.77,0.01,0.16,1.62,1.85,0.88,0.88,3.69,0.00,0.19,1.00,0.53,0.0000,0.0011,99.54,0.46,0.00,0.00,0.00, 0,173.69,93.78,107.15,3.70,92.61,3.24,81.05,1.56,1.78,0.88,0.88,3.69,0.00,0.85,1.00,0.61,0.0000,0.0051,99.53,0.47,0.00,0.00,0.00, 4,166.80,93.78,107.15,3.56,88.93,3.11,77.82,0.00,0.21,0.00,0.88,3.69,0.00,0.00,0.93,0.39,0.0006,0.0087,0.45,2.10,0.00,0.00,97.45,12,0.09,0.42,107.15,0.42,10.56,0.00,0.04,1.65,1.88,0.88,0.88,3.69,0.00,0.19,1.00,0.54,0.0000,0.0011,99.53,0.47,0.00,0.00,0.00, 1,176.70,93.77,107.15,3.77,94.22,3.30,82.45,0.01,0.79,0.01,0.88,3.71,0.00,0.00,0.92,0.58,0.0001,0.0012,1.70,98.30,0.00,0.00,0.00, 0,1.27,1.61,107.15,1.58,39.52,0.02,0.59,0.00,0.20,0.01,0.88,3.69,0.00,0.00,0.91,0.53,0.0007,0.0092,0.59,99.41,0.00,0.00,0.00, 4,0.11,0.56,107.15,0.39,9.81,0.00,0.05,0.00,0.25,0.00,0.88,3.70,0.00,0.00,0.88,0.41,0.0009,0.0078,0.49,2.06,0.00,0.00,97.45,12,0.12,0.46,107.15,0.51,12.67,0.00,0.05,
LinuxPCM,2024-12-01T16:29:54.552Z,0.59,1.78,0.33,0.88,3.68,0.00,1.62,1.00,0.66,0.0000,0.0033,0.00,0.00,489.03,274.20,102.98,3.57,89.18,1.19,29.68,37.94,37.33,0.00,0.00,24.74,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.59,1.78,0.33,0.88,3.68,0.00,1.62,1.00,0.66,0.0000,0.0033,0.00,0.00,0.00,0.00,0.00, 0,489.03,274.20,102.98,3.57,89.18,1.19,29.68,37.94,37.33,0.00,0.00,24.74,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.67,0.00,0.00,0.41,0.01,0.88,3.68,0.00,0.00,0.94,0.52,0.0003,0.0064,0.93,99.07,0.00,0.00,0.00, 1,0.34,0.84,102.98,0.82,20.48,0.01,0.17,1.56,1.78,0.88,0.88,3.68,0.00,0.81,1.00,0.62,0.0000,0.0051,99.76,0.24,0.00,0.00,0.00, 0,160.52,90.10,102.98,3.56,89.08,3.12,77.96,1.62,1.85,0.88,0.88,3.68,0.00,0.18,1.00,0.54,0.0000,0.0011,99.76,0.24,0.00,0.00,0.00, 3,166.63,90.13,102.98,3.70,92.44,3.24,80.90,0.00,0.22,0.00,0.87,3.66,0.00,0.00,0.93,0.39,0.0005,0.0085,0.45,0.61,0.00,0.00,98.94,11,0.09,0.41,102.98,0.45,11.18,0.00,0.04,1.55,1.77,0.88,0.88,3.68,0.00,0.62,1.00,0.71,0.0000,0.0038,99.76,0.24,0.00,0.00,0.00, 1,159.95,90.16,102.98,3.55,88.71,3.11,77.64,0.01,0.80,0.02,0.86,3.62,0.00,0.00,0.91,0.62,0.0001,0.0012,1.79,98.21,0.00,0.00,0.00, 0,1.27,1.59,102.98,1.60,39.93,0.02,0.62,0.00,0.21,0.01,0.87,3.67,0.00,0.00,0.91,0.46,0.0008,0.0102,0.59,99.41,0.00,0.00,0.00, 3,0.11,0.53,102.98,0.42,10.55,0.00,0.05,0.00,0.25,0.00,0.87,3.66,0.00,0.00,0.90,0.45,0.0007,0.0072,0.48,0.58,0.00,0.00,98.94,11,0.11,0.43,102.98,0.50,12.43,0.00,0.05,
LinuxPCM,2024-12-01T16:29:54.577Z,0.60,1.80,0.33,0.88,3.71,0.00,1.23,1.00,0.59,0.0000,0.0024,0.00,0.00,517.45,287.47,107.31,3.60,90.00,1.21,30.13,37.91,37.50,0.00,0.00,24.59,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.60,1.80,0.33,0.88,3.71,0.00,1.23,1.00,0.59,0.0000,0.0024,0.00,0.00,0.00,0.00,0.00, 0,517.45,287.47,107.31,3.60,90.00,1.21,30.13,37.91,37.50,0.00,0.00,24.59,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.73,0.00,0.01,0.71,0.02,0.88,3.71,0.00,0.00,0.90,0.53,0.0002,0.0021,2.26,97.74,0.00,0.00,0.00, 1,1.52,2.15,107.31,1.42,35.40,0.03,0.71,1.60,1.82,0.88,0.88,3.71,0.00,0.19,1.00,0.53,0.0000,0.0011,99.61,0.39,0.00,0.00,0.00, 0,172.25,94.45,107.31,3.65,91.18,3.21,80.22,1.58,1.80,0.88,0.88,3.71,0.00,0.85,1.00,0.61,0.0000,0.0050,99.60,0.40,0.00,0.00,0.00, 3,170.01,94.42,107.31,3.60,90.03,3.17,79.19,0.00,0.20,0.01,0.89,3.72,0.00,0.00,0.83,0.35,0.0016,0.0103,0.73,0.90,0.00,0.00,98.37,11,0.14,0.70,107.31,0.40,10.02,0.00,0.06,1.61,1.83,0.88,0.88,3.71,0.00,0.18,1.00,0.55,0.0000,0.0011,99.62,0.38,0.00,0.00,0.00, 1,173.23,94.41,107.31,3.67,91.74,3.23,80.71,0.00,0.25,0.00,0.89,3.72,0.00,0.00,0.92,0.48,0.0005,0.0081,0.39,99.61,0.00,0.00,0.00, 0,0.09,0.37,107.31,0.50,12.56,0.00,0.04,0.00,0.21,0.00,0.89,3.72,0.00,0.00,0.90,0.52,0.0008,0.0090,0.55,99.45,0.00,0.00,0.00, 3,0.11,0.52,107.31,0.42,10.41,0.00,0.05,0.00,0.23,0.00,0.89,3.73,0.00,0.00,0.90,0.42,0.0007,0.0076,0.46,1.17,0.00,0.00,98.36,11,0.10,0.44,107.31,0.47,11.72,0.00,0.05,
LinuxPCM,2024-12-01T16:29:54.610Z,0.60,1.78,0.34,0.88,3.72,0.00,1.62,1.00,0.66,0.0000,0.0033,0.00,0.00,492.68,276.51,102.92,3.56,89.09,1.20,29.92,37.95,38.48,0.00,1.90,21.67,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.60,1.78,0.34,0.88,3.72,0.00,1.62,1.00,0.66,0.0000,0.0033,0.00,0.00,0.00,0.00,0.00, 1,492.68,276.51,102.92,3.56,89.09,1.20,29.92,37.95,38.48,0.00,1.90,21.67,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.95,0.00,0.00,0.40,0.01,0.88,3.71,0.00,0.00,0.94,0.52,0.0003,0.0070,1.07,98.93,0.00,0.00,0.00, 1,0.39,0.97,102.92,0.81,20.20,0.01,0.19,1.59,1.80,0.88,0.89,3.72,0.00,0.81,1.00,0.62,0.0000,0.0050,99.58,0.42,0.00,0.00,0.00, 0,163.15,90.69,102.92,3.60,89.94,3.17,79.27,1.60,1.81,0.88,0.89,3.72,0.00,0.18,1.00,0.55,0.0000,0.0011,99.59,0.41,0.00,0.00,0.00, 3,164.36,90.69,102.92,3.62,90.62,3.19,79.87,0.00,0.20,0.01,0.89,3.72,0.00,0.00,0.93,0.36,0.0007,0.0103,0.78,4.95,0.00,7.59,86.68,12,0.14,0.71,102.92,0.40,9.95,0.00,0.07,1.59,1.80,0.88,0.89,3.72,0.00,0.61,1.00,0.71,0.0000,0.0038,99.56,0.44,0.00,0.00,0.00, 1,163.15,90.68,102.92,3.60,89.95,3.17,79.26,0.01,0.78,0.02,0.88,3.71,0.00,0.00,0.91,0.63,0.0001,0.0012,1.80,98.20,0.00,0.00,0.00, 0,1.27,1.63,102.92,1.56,38.88,0.02,0.62,0.00,0.19,0.01,0.88,3.71,0.00,0.00,0.90,0.50,0.0008,0.0091,0.67,99.33,0.00,0.00,0.00, 3,0.12,0.61,102.92,0.38,9.62,0.00,0.06,0.00,0.21,0.01,0.88,3.71,0.00,0.00,0.90,0.42,0.0008,0.0085,0.57,5.14,0.00,7.59,86.70,12,0.11,0.52,102.92,0.42,10.46,0.00,0.05,
LinuxPCM,2024-12-01T16:29:54.627Z,0.59,1.76,0.34,0.88,3.71,0.00,1.67,1.00,0.60,0.0000,0.0034,0.00,0.00,495.64,281.84,104.77,3.52,87.93,1.18,29.57,38.12,37.67,0.19,2.17,21.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.59,1.76,0.34,0.88,3.71,0.00,1.67,1.00,0.60,0.0000,0.0034,0.00,0.00,0.00,0.00,0.00, 0,495.64,281.84,104.77,3.52,87.93,1.18,29.57,38.12,37.67,0.19,2.17,21.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.46,0.00,0.51,1.71,0.30,0.88,3.70,0.00,0.19,1.00,0.52,0.0000,0.0035,34.04,65.96,0.00,0.00,0.00, 1,53.61,31.40,104.77,3.41,85.37,1.02,25.58,1.55,1.77,0.88,0.88,3.71,0.00,0.54,1.00,0.59,0.0000,0.0033,99.59,0.41,0.00,0.00,0.00, 0,162.65,92.03,104.77,3.53,88.36,3.11,77.63,1.58,1.80,0.88,0.88,3.71,0.00,0.85,1.00,0.60,0.0000,0.0051,99.60,0.40,0.00,0.00,0.00, 4,165.85,92.03,104.77,3.60,90.10,3.17,79.16,0.00,0.24,0.01,0.89,3.74,0.00,0.00,0.95,0.41,0.0004,0.0093,1.03,2.14,0.75,8.68,87.41,12,0.23,0.96,104.77,0.48,11.97,0.00,0.11,1.06,1.81,0.59,0.88,3.71,0.00,0.09,1.00,0.72,0.0000,0.0008,66.78,33.22,0.00,0.00,0.00, 1,111.54,61.76,104.77,3.61,90.29,2.13,53.25,0.01,0.71,0.02,0.90,3.77,0.00,0.00,0.92,0.64,0.0001,0.0020,1.99,98.01,0.00,0.00,0.00, 0,1.33,1.87,104.77,1.42,35.49,0.03,0.64,0.00,0.25,0.01,0.88,3.71,0.00,0.00,0.92,0.46,0.0006,0.0092,0.92,99.08,0.00,0.00,0.00, 4,0.22,0.85,104.77,0.51,12.70,0.00,0.10,0.00,0.25,0.01,0.89,3.74,0.00,0.00,0.93,0.35,0.0006,0.0097,1.00,2.18,0.75,8.68,87.39,12,0.23,0.93,104.77,0.50,12.47,0.00,0.11,
LinuxPCM,2024-12-01T16:29:54.652Z,0.61,1.81,0.34,0.88,3.72,0.00,2.11,1.00,0.63,0.0000,0.0041,0.00,0.00,519.75,287.90,107.15,3.61,90.27,1.21,30.31,37.94,37.56,0.00,0.00,24.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.61,1.81,0.34,0.88,3.72,0.00,2.11,1.00,0.63,0.0000,0.0041,0.00,0.00,0.00,0.00,0.00, 0,519.75,287.90,107.15,3.61,90.27,1.21,30.31,37.94,37.56,0.00,0.00,24.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.73,0.00,0.00,0.39,0.01,0.88,3.71,0.00,0.00,0.93,0.44,0.0005,0.0080,1.02,98.98,0.00,0.00,0.00, 1,0.38,0.97,107.15,0.79,19.70,0.01,0.18,1.64,1.86,0.88,0.88,3.72,0.00,0.58,1.00,0.60,0.0000,0.0033,99.72,0.28,0.00,0.00,0.00, 0,175.91,94.57,107.15,3.72,93.00,3.28,82.08,1.55,1.76,0.88,0.88,3.72,0.00,0.92,1.00,0.59,0.0000,0.0055,99.70,0.30,0.00,0.00,0.00, 3,166.52,94.56,107.15,3.52,88.05,3.11,77.69,0.00,0.22,0.01,0.88,3.71,0.00,0.00,0.90,0.35,0.0010,0.0106,0.72,1.28,0.00,0.00,98.00,12,0.15,0.68,107.15,0.45,11.20,0.00,0.07,1.64,1.85,0.88,0.88,3.72,0.00,0.60,1.00,0.70,0.0000,0.0034,99.72,0.28,0.00,0.00,0.00, 1,175.29,94.59,107.15,3.71,92.66,3.27,81.77,0.01,0.85,0.01,0.88,3.71,0.00,0.00,0.94,0.54,0.0001,0.0028,1.58,98.42,0.00,0.00,0.00, 0,1.28,1.50,107.15,1.71,42.66,0.02,0.60,0.00,0.19,0.01,0.88,3.71,0.00,0.00,0.91,0.46,0.0008,0.0106,0.58,99.42,0.00,0.00,0.00, 3,0.11,0.55,107.15,0.39,9.66,0.00,0.05,0.00,0.23,0.00,0.88,3.70,0.00,0.00,0.89,0.43,0.0008,0.0077,0.50,1.50,0.00,0.00,98.00,12,0.11,0.47,107.15,0.46,11.53,0.00,0.05,
LinuxPCM,2024-12-01T16:29:54.677Z,0.59,1.74,0.34,0.89,3.74,0.00,1.88,1.00,0.64,0.0000,0.0039,0.00,0.00,486.03,279.03,102.92,3.48,87.09,1.18,29.51,38.04,37.50,0.00,0.00,24.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.59,1.74,0.34,0.89,3.74,0.00,1.88,1.00,0.64,0.0000,0.0039,0.00,0.00,0.00,0.00,0.00, 0,486.03,279.03,102.92,3.48,87.09,1.18,29.51,38.04,37.50,0.00,0.00,24.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.72,0.00,0.01,0.70,0.02,0.89,3.72,0.00,0.00,0.96,0.69,0.0001,0.0030,2.40,97.60,0.00,0.00,0.00, 1,1.54,2.19,102.92,1.40,35.12,0.03,0.75,1.49,1.68,0.89,0.89,3.74,0.00,0.89,1.00,0.61,0.0000,0.0058,99.70,0.30,0.00,0.00,0.00, 0,153.42,91.43,102.92,3.36,83.90,2.98,74.52,1.69,1.91,0.89,0.89,3.74,0.00,0.25,1.00,0.57,0.0000,0.0014,99.73,0.27,0.00,0.00,0.00, 3,174.30,91.45,102.92,3.81,95.30,3.39,84.68,0.00,0.18,0.01,0.89,3.74,0.00,0.00,0.93,0.33,0.0007,0.0107,0.77,1.37,0.00,0.00,97.87,11,0.13,0.70,102.92,0.35,8.87,0.00,0.06,1.52,1.71,0.89,0.89,3.74,0.00,0.73,1.00,0.69,0.0000,0.0047,99.70,0.30,0.00,0.00,0.00, 1,156.28,91.41,102.92,3.42,85.48,3.04,75.93,0.00,0.21,0.01,0.89,3.73,0.00,0.00,0.90,0.45,0.0008,0.0090,0.63,99.37,0.00,0.00,0.00, 0,0.12,0.57,102.92,0.41,10.32,0.00,0.06,0.00,0.19,0.01,0.89,3.74,0.00,0.00,0.89,0.52,0.0009,0.0091,0.72,99.28,0.00,0.00,0.00, 3,0.13,0.66,102.92,0.38,9.58,0.00,0.06,0.00,0.20,0.01,0.89,3.74,0.00,0.00,0.89,0.38,0.0010,0.0092,0.67,1.47,0.00,0.00,97.86,11,0.12,0.61,102.92,0.39,9.75,0.00,0.06,
