#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,Temperature
LinuxPCM,2024-12-02T18:50:43.884Z,0.36,2.13,0.17,0.82,3.44,0.81,3.91,0.75,0.79,0.0001,0.0003,1.96,1.28,12162.22,5700.59,4207.26,4.27,106.68,0.72,18.07,20.66,26.47,2.70,1.68,48.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.31,0.00,0.00,0.36,2.13,0.17,0.82,3.44,0.81,3.91,0.75,0.79,0.0001,0.0003,1.96,1.28,1.01,2.24,0.00, 2,12162.22,5700.59,4207.26,4.27,106.68,0.72,18.07,20.66,26.47,2.70,1.68,48.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.31,18.07,0.00,0.00,0.31,0.01,0.84,3.53,0.02,0.07,0.73,0.50,0.0017,0.0067,0.92,88.71,3.59,1.15,5.63, 2,10.13,32.63,4207.26,0.62,15.52,0.00,0.12,0.00,0.57,0.00,0.89,3.75,0.01,0.03,0.72,0.46,0.0007,0.0027,0.54,7.85,0.00,3.76,87.85, 9,11.72,20.42,4207.26,1.15,28.69,0.01,0.14,0.12,1.19,0.10,0.89,3.74,0.22,0.48,0.57,0.68,0.0004,0.0010,11.09,77.68,7.23,0.54,3.46, 4,493.93,415.88,4207.26,2.38,59.38,0.23,5.87,0.00,0.79,0.01,0.82,3.44,0.01,0.07,0.87,0.47,0.0005,0.0038,0.64,1.09,0.00,1.26,97.01, 9,17.28,22.00,4207.26,1.57,39.27,0.01,0.21,1.41,2.23,0.63,0.81,3.42,0.32,1.74,0.77,0.81,0.0001,0.0003,78.08,11.56,3.59,1.15,5.63, 2,5951.12,2671.17,4207.26,4.46,111.40,2.83,70.73,0.06,1.06,0.05,0.98,4.11,0.05,0.32,0.78,0.58,0.0002,0.0013,5.43,2.97,0.00,3.76,87.85, 9,237.32,223.78,4207.26,2.12,53.02,0.11,2.82,1.29,2.37,0.55,0.80,3.37,0.17,1.17,0.81,0.84,0.0000,0.0002,68.01,20.76,7.23,0.54,3.46, 4,5431.32,2295.09,4207.26,4.73,118.32,2.58,64.55,0.00,0.48,0.00,0.82,3.43,0.01,0.04,0.73,0.51,0.0010,0.0041,0.57,1.16,0.00,1.26,97.01, 9,9.40,19.61,4207.26,0.96,23.97,0.00,0.11,,34.000
LinuxPCM,2024-12-02T18:50:44.884Z,0.33,2.08,0.16,0.80,3.34,0.87,3.66,0.72,0.79,0.0001,0.0003,2.23,1.20,11209.65,5391.00,4198.35,4.16,103.97,0.67,16.69,20.16,25.11,4.39,1.50,48.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.74,0.00,0.00,0.33,2.08,0.16,0.80,3.34,0.87,3.66,0.72,0.79,0.0001,0.0003,2.23,1.20,1.08,2.35,0.00, 0,11209.65,5391.00,4198.35,4.16,103.97,0.67,16.69,20.16,25.11,4.39,1.50,48.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.74,16.49,0.00,1.18,2.32,0.51,0.78,3.29,0.16,1.16,0.82,0.83,0.0000,0.0002,65.13,8.17,3.39,0.57,22.73, 2,4968.03,2140.45,4198.35,4.64,116.05,2.37,59.17,1.26,2.29,0.55,0.78,3.27,0.21,1.33,0.79,0.82,0.0000,0.0003,70.75,7.04,2.19,0.05,19.97, 0,5291.05,2311.16,4198.35,4.58,114.47,2.52,63.01,0.19,1.27,0.15,0.88,3.68,0.31,0.76,0.58,0.62,0.0004,0.0009,17.44,11.72,11.95,5.32,53.57,12,813.17,640.95,4198.35,2.54,63.44,0.39,9.68,0.00,0.37,0.00,0.80,3.36,0.00,0.02,0.75,0.42,0.0012,0.0056,0.26,0.56,0.00,0.05,99.13, 9,3.17,8.64,4198.35,0.73,18.34,0.00,0.04,0.03,0.49,0.06,0.92,3.85,0.16,0.31,0.61,0.72,0.0013,0.0026,6.45,66.85,3.39,0.57,22.73, 2,121.50,248.18,4198.35,0.98,24.48,0.06,1.45,0.00,0.41,0.00,0.82,3.46,0.01,0.03,0.75,0.51,0.0012,0.0051,0.39,77.39,2.19,0.05,19.97, 0,5.52,13.56,4198.35,0.81,20.35,0.00,0.07,0.00,0.19,0.00,0.83,3.49,0.01,0.04,0.67,0.34,0.0033,0.0107,0.51,28.65,11.95,5.32,53.57,12,3.28,17.75,4198.35,0.37,9.25,0.00,0.04,0.00,0.38,0.00,0.78,3.29,0.01,0.02,0.75,0.43,0.0014,0.0062,0.31,0.51,0.00,0.05,99.13, 9,3.93,10.32,4198.35,0.76,19.01,0.00,0.05,,34.000
LinuxPCM,2024-12-02T18:50:45.885Z,0.33,2.00,0.17,0.79,3.32,1.05,3.84,0.70,0.79,0.0001,0.0003,2.72,1.21,11226.00,5621.69,4203.11,3.99,99.85,0.67,16.69,21.13,23.88,4.26,1.23,49.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.33,2.00,0.17,0.79,3.32,1.05,3.84,0.70,0.79,0.0001,0.0003,2.72,1.21,1.08,2.85,0.00, 0,11226.00,5621.69,4203.11,3.99,99.85,0.67,16.69,21.13,23.88,4.26,1.23,49.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,16.01,0.00,0.00,0.29,0.01,0.82,3.45,0.02,0.06,0.68,0.36,0.0031,0.0103,0.62,89.88,6.96,0.40,2.13, 2,6.28,21.39,4203.11,0.59,14.69,0.00,0.07,1.23,2.06,0.60,0.78,3.29,0.42,1.55,0.71,0.80,0.0001,0.0003,76.41,8.77,10.02,0.32,4.47, 0,5170.29,2512.68,4203.11,4.12,102.88,2.46,61.51,0.00,0.47,0.01,0.77,3.25,0.01,0.06,0.76,0.54,0.0011,0.0048,0.76,1.80,0.06,3.78,93.59,12,11.76,24.80,4203.11,0.95,23.71,0.01,0.14,0.01,0.80,0.01,0.77,3.24,0.02,0.10,0.82,0.44,0.0007,0.0039,0.95,0.84,0.00,0.40,97.80,10,24.78,30.88,4203.11,1.61,40.13,0.01,0.29,1.37,2.11,0.65,0.79,3.31,0.45,1.68,0.70,0.81,0.0001,0.0003,81.87,8.64,6.96,0.40,2.13, 2,5737.58,2713.65,4203.11,4.23,105.72,2.73,68.26,0.06,0.93,0.07,0.91,3.83,0.11,0.32,0.58,0.54,0.0004,0.0012,7.46,77.72,10.02,0.32,4.47, 0,265.15,285.74,4203.11,1.86,46.40,0.13,3.15,0.00,0.24,0.00,0.81,3.38,0.01,0.04,0.69,0.36,0.0025,0.0086,0.54,2.02,0.06,3.78,93.59,12,4.42,18.36,4203.11,0.48,12.03,0.00,0.05,0.00,0.40,0.00,0.78,3.29,0.01,0.04,0.76,0.38,0.0014,0.0065,0.43,1.36,0.00,0.40,97.80,10,5.74,14.19,4203.11,0.81,20.22,0.00,0.07,,34.000
LinuxPCM,2024-12-02T18:50:46.885Z,0.36,2.07,0.18,0.78,3.27,1.06,3.67,0.69,0.80,0.0001,0.0003,2.74,1.31,12198.81,5902.98,4203.08,4.13,103.33,0.73,18.14,22.54,25.22,2.38,0.56,49.30,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.72,0.00,0.00,0.36,2.07,0.18,0.78,3.27,1.06,3.67,0.69,0.80,0.0001,0.0003,2.74,1.31,1.08,2.97,0.00, 0,12198.81,5902.98,4203.08,4.13,103.33,0.73,18.14,22.54,25.22,2.38,0.56,49.30,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.72,15.48,0.00,0.00,0.24,0.00,0.79,3.33,0.01,0.05,0.67,0.29,0.0046,0.0147,0.39,96.13,2.40,0.09,1.00, 3,3.12,12.85,4203.08,0.49,12.14,0.00,0.04,1.34,2.12,0.63,0.77,3.24,0.40,1.46,0.71,0.82,0.0001,0.0003,82.23,9.36,6.26,0.13,2.01, 0,5647.76,2667.77,4203.08,4.23,105.85,2.69,67.19,0.00,0.47,0.01,0.77,3.23,0.01,0.05,0.79,0.56,0.0009,0.0045,0.67,1.35,0.84,1.77,95.37,13,10.05,21.56,4203.08,0.93,23.31,0.00,0.12,0.00,0.37,0.00,0.77,3.24,0.00,0.02,0.72,0.43,0.0013,0.0052,0.26,0.64,0.03,0.25,98.82,10,3.09,8.30,4203.08,0.75,18.63,0.00,0.04,1.49,2.17,0.69,0.78,3.28,0.48,1.75,0.70,0.82,0.0001,0.0003,88.32,8.20,2.40,0.09,1.00, 3,6269.74,2895.88,4203.08,4.33,108.25,2.98,74.58,0.06,0.96,0.06,0.84,3.54,0.13,0.29,0.43,0.50,0.0005,0.0011,7.57,84.03,6.26,0.13,2.01, 0,256.32,268.19,4203.08,1.91,47.79,0.12,3.05,0.00,0.21,0.00,0.78,3.28,0.01,0.03,0.63,0.34,0.0034,0.0097,0.49,1.53,0.84,1.77,95.37,13,3.41,15.95,4203.08,0.43,10.69,0.00,0.04,0.00,0.43,0.00,0.78,3.26,0.01,0.03,0.70,0.40,0.0015,0.0055,0.38,0.52,0.03,0.25,98.82,10,5.32,12.49,4203.08,0.85,21.29,0.00,0.06,,34.000
LinuxPCM,2024-12-02T18:50:47.885Z,0.40,2.07,0.19,0.79,3.34,1.20,4.30,0.68,0.80,0.0001,0.0003,2.92,1.44,13423.77,6469.52,4199.03,4.15,103.75,0.80,19.98,24.23,28.51,0.14,1.19,45.93,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.10,0.00,0.00,0.40,2.07,0.19,0.79,3.34,1.20,4.30,0.68,0.80,0.0001,0.0003,2.92,1.44,1.08,3.29,0.00, 0,13423.77,6469.52,4199.03,4.15,103.75,0.80,19.98,24.23,28.51,0.14,1.19,45.93,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.10,16.83,0.00,0.09,1.61,0.06,0.83,3.50,0.09,0.22,0.56,0.66,0.0002,0.0006,6.94,92.12,0.29,0.10,0.56, 2,391.26,242.84,4199.03,3.22,80.56,0.19,4.66,0.45,1.89,0.24,0.77,3.22,0.21,0.62,0.69,0.82,0.0001,0.0003,31.04,4.97,0.12,3.50,60.36,10,1893.44,1000.46,4199.03,3.79,94.63,0.90,22.55,1.15,2.28,0.50,0.81,3.38,0.21,1.22,0.79,0.81,0.0000,0.0003,62.44,6.28,0.12,0.60,30.56, 0,4820.23,2111.62,4199.03,4.57,114.14,2.30,57.40,0.04,0.99,0.04,0.80,3.36,0.09,0.25,0.47,0.56,0.0005,0.0013,5.53,1.66,0.02,0.55,92.24, 9,184.79,186.15,4199.03,1.99,49.63,0.09,2.20,1.44,2.16,0.66,0.79,3.34,0.52,1.74,0.67,0.82,0.0001,0.0003,83.62,15.44,0.29,0.10,0.56, 2,6035.34,2789.77,4199.03,4.33,108.17,2.87,71.86,0.01,0.72,0.02,0.75,3.15,0.04,0.13,0.55,0.41,0.0008,0.0027,2.16,33.86,0.12,3.50,60.36,10,48.80,67.88,4199.03,1.44,35.95,0.02,0.58,0.00,0.46,0.01,0.78,3.27,0.02,0.06,0.62,0.42,0.0017,0.0049,0.89,67.83,0.12,0.60,30.56, 0,13.30,29.19,4199.03,0.91,22.79,0.01,0.16,0.01,0.88,0.01,0.80,3.35,0.02,0.06,0.61,0.58,0.0006,0.0017,1.24,5.95,0.02,0.55,92.24, 9,36.62,41.59,4199.03,1.76,44.03,0.02,0.44,,34.000
LinuxPCM,2024-12-02T18:50:48.886Z,0.39,2.01,0.20,0.82,3.42,1.43,4.61,0.66,0.79,0.0001,0.0003,3.53,1.43,13193.84,6561.86,4203.38,4.02,100.53,0.78,19.62,23.94,29.09,0.08,1.20,45.69,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.14,0.00,0.00,0.39,2.01,0.20,0.82,3.42,1.43,4.61,0.66,0.79,0.0001,0.0003,3.53,1.43,1.34,3.62,0.00, 0,13193.84,6561.86,4203.38,4.02,100.53,0.78,19.62,23.94,29.09,0.08,1.20,45.69,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.14,17.85,0.00,1.45,2.11,0.69,0.81,3.41,0.59,1.99,0.67,0.79,0.0001,0.0003,84.79,14.70,0.18,0.03,0.30, 0,6105.48,2893.82,4203.38,4.22,105.49,2.91,72.63,0.00,0.38,0.01,0.81,3.39,0.01,0.05,0.77,0.41,0.0012,0.0058,0.68,1.88,0.00,3.88,93.56, 9,8.87,23.22,4203.38,0.76,19.10,0.00,0.11,1.57,2.18,0.72,0.82,3.43,0.40,1.70,0.74,0.82,0.0001,0.0003,88.35,11.22,0.14,0.00,0.29, 0,6604.35,3029.43,4203.38,4.36,109.00,3.14,78.56,0.07,0.97,0.08,0.82,3.46,0.19,0.45,0.31,0.51,0.0006,0.0014,9.32,1.18,0.02,0.89,88.60, 9,314.32,322.80,4203.38,1.95,48.69,0.15,3.74,0.03,0.60,0.06,0.84,3.52,0.20,0.30,0.48,0.73,0.0014,0.0021,6.78,92.71,0.18,0.03,0.30, 0,143.69,238.71,4203.38,1.20,30.10,0.07,1.71,0.00,0.35,0.00,0.81,3.39,0.01,0.04,0.80,0.51,0.0012,0.0063,0.55,2.01,0.00,3.88,93.56, 9,6.54,18.68,4203.38,0.70,17.52,0.00,0.08,0.00,0.29,0.01,0.81,3.42,0.02,0.05,0.64,0.43,0.0029,0.0083,0.65,98.92,0.14,0.00,0.29, 0,6.40,22.31,4203.38,0.57,14.34,0.00,0.08,0.00,0.32,0.00,0.81,3.39,0.01,0.03,0.71,0.43,0.0017,0.0061,0.38,10.07,0.02,0.89,88.64, 9,4.19,12.90,4203.38,0.65,16.23,0.00,0.05,,34.000
LinuxPCM,2024-12-02T18:50:49.887Z,0.39,1.99,0.20,0.81,3.42,1.47,4.52,0.64,0.80,0.0001,0.0003,3.67,1.42,13128.06,6610.65,4199.81,3.97,99.29,0.78,19.54,24.15,28.52,0.12,1.50,45.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.29,0.00,0.00,0.39,1.99,0.20,0.81,3.42,1.47,4.52,0.64,0.80,0.0001,0.0003,3.67,1.42,1.35,3.74,0.00, 0,13128.06,6610.65,4199.81,3.97,99.29,0.78,19.54,24.15,28.52,0.12,1.50,45.70,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.29,18.00,0.00,1.37,2.14,0.64,0.81,3.40,0.52,1.78,0.67,0.81,0.0001,0.0003,79.48,19.40,0.40,0.04,0.68, 0,5768.89,2699.93,4199.81,4.27,106.83,2.75,68.68,0.00,0.44,0.01,0.83,3.47,0.01,0.07,0.81,0.49,0.0009,0.0053,0.81,1.39,0.03,4.14,93.63, 9,12.27,28.15,4199.81,0.87,21.79,0.01,0.15,0.05,2.39,0.02,0.83,3.48,0.00,0.04,0.88,0.84,0.0000,0.0002,2.53,96.91,0.07,0.00,0.49, 7,210.45,88.18,4199.81,4.77,119.33,0.10,2.51,0.07,1.00,0.08,0.83,3.48,0.15,0.40,0.37,0.54,0.0005,0.0013,9.06,1.07,0.00,1.82,88.05, 8,313.92,314.98,4199.81,1.99,49.83,0.15,3.74,0.12,1.48,0.08,0.84,3.52,0.19,0.36,0.42,0.62,0.0004,0.0007,9.55,89.34,0.40,0.04,0.68, 0,497.81,336.46,4199.81,2.96,73.98,0.24,5.93,0.00,0.33,0.00,0.83,3.48,0.00,0.02,0.77,0.46,0.0012,0.0057,0.30,1.90,0.03,4.14,93.63, 9,3.46,10.54,4199.81,0.66,16.41,0.00,0.04,1.50,2.02,0.74,0.82,3.42,0.58,1.81,0.67,0.83,0.0001,0.0003,91.10,8.34,0.07,0.00,0.49, 7,6316.78,3119.58,4199.81,4.05,101.24,3.01,75.20,0.00,0.35,0.00,0.83,3.49,0.01,0.03,0.69,0.40,0.0017,0.0059,0.37,9.80,0.00,1.82,88.01, 8,4.47,12.84,4199.81,0.70,17.40,0.00,0.05,,34.000
LinuxPCM,2024-12-02T18:50:50.887Z,0.40,2.07,0.19,0.80,3.38,1.24,4.20,0.66,0.79,0.0001,0.0003,3.10,1.43,13287.73,6411.64,4202.92,4.14,103.62,0.79,19.76,23.70,28.86,0.11,0.68,46.65,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.37,0.00,0.00,0.40,2.07,0.19,0.80,3.38,1.24,4.20,0.66,0.79,0.0001,0.0003,3.10,1.43,1.36,3.17,0.00, 0,13287.73,6411.64,4202.92,4.14,103.62,0.79,19.76,23.70,28.86,0.11,0.68,46.65,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.37,17.10,0.00,0.00,0.41,0.01,0.81,3.39,0.02,0.06,0.72,0.43,0.0018,0.0066,0.67,99.06,0.11,0.04,0.13, 0,9.30,22.64,4202.92,0.82,20.55,0.00,0.11,0.00,0.43,0.00,0.81,3.40,0.01,0.03,0.78,0.51,0.0009,0.0044,0.47,0.69,0.00,1.15,97.70, 9,6.81,15.86,4202.92,0.86,21.48,0.00,0.08,0.00,0.41,0.00,0.79,3.34,0.01,0.03,0.76,0.57,0.0013,0.0056,0.35,98.72,0.23,0.26,0.44, 8,4.77,11.71,4202.92,0.81,20.34,0.00,0.06,0.00,0.33,0.00,0.81,3.39,0.00,0.02,0.77,0.42,0.0011,0.0052,0.39,9.89,0.10,1.26,88.37, 9,4.39,13.13,4202.92,0.67,16.71,0.00,0.05,1.64,2.15,0.76,0.80,3.37,0.60,1.96,0.66,0.81,0.0001,0.0003,94.72,5.01,0.11,0.04,0.13, 0,6884.80,3195.73,4202.92,4.31,107.72,3.28,81.91,0.00,0.30,0.00,0.81,3.40,0.00,0.02,0.80,0.39,0.0014,0.0074,0.33,0.82,0.00,1.15,97.70, 9,3.38,11.32,4202.92,0.60,14.94,0.00,0.04,1.44,2.14,0.67,0.81,3.38,0.43,1.67,0.71,0.81,0.0001,0.0003,83.50,15.57,0.23,0.26,0.44, 8,6054.01,2829.69,4202.92,4.28,106.97,2.88,71.98,0.08,1.03,0.07,0.81,3.40,0.17,0.41,0.32,0.54,0.0005,0.0013,9.16,1.11,0.10,1.26,88.37, 9,320.27,311.55,4202.92,2.06,51.40,0.15,3.81,,34.000
LinuxPCM,2024-12-02T18:50:51.886Z,0.41,2.03,0.20,0.81,3.40,1.36,4.64,0.66,0.79,0.0001,0.0003,3.14,1.46,13657.77,6720.22,4197.33,4.06,101.62,0.81,20.34,24.69,28.47,0.06,0.55,46.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.19,0.00,0.00,0.41,2.03,0.20,0.81,3.40,1.36,4.64,0.66,0.79,0.0001,0.0003,3.14,1.46,1.34,3.27,0.00, 0,13657.77,6720.22,4197.33,4.06,101.62,0.81,20.34,24.69,28.47,0.06,0.55,46.23,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.19,17.93,0.00,0.00,0.34,0.01,0.81,3.39,0.02,0.07,0.70,0.42,0.0025,0.0087,0.70,98.21,0.18,0.09,0.82, 0,8.09,23.59,4197.33,0.69,17.14,0.00,0.10,0.00,0.54,0.01,0.81,3.39,0.01,0.04,0.68,0.53,0.0011,0.0038,0.63,1.21,0.00,1.45,96.71, 9,11.52,21.30,4197.33,1.08,27.05,0.01,0.14,1.55,2.12,0.73,0.81,3.42,0.46,1.81,0.71,0.82,0.0001,0.0003,90.03,9.78,0.07,0.00,0.12, 2,6519.62,3073.87,4197.33,4.24,106.05,3.11,77.66,0.01,0.96,0.01,0.80,3.37,0.04,0.19,0.75,0.60,0.0008,0.0035,1.65,10.47,0.00,0.64,87.24, 9,53.48,55.55,4197.33,1.93,48.14,0.03,0.64,1.56,2.16,0.72,0.81,3.39,0.56,1.82,0.67,0.81,0.0001,0.0003,89.37,9.54,0.18,0.09,0.82, 0,6539.80,3027.39,4197.33,4.32,108.01,3.12,77.90,0.00,0.32,0.00,0.81,3.40,0.01,0.03,0.78,0.45,0.0013,0.0064,0.44,1.40,0.00,1.45,96.71, 9,4.78,14.80,4197.33,0.65,16.15,0.00,0.06,0.05,1.19,0.04,0.80,3.37,0.09,0.26,0.55,0.54,0.0005,0.0013,4.95,94.86,0.07,0.00,0.12, 2,197.53,166.32,4197.33,2.38,59.38,0.09,2.35,0.08,0.96,0.08,0.82,3.46,0.16,0.43,0.36,0.53,0.0005,0.0013,9.77,2.35,0.00,0.64,87.24, 9,322.95,337.39,4197.33,1.91,47.86,0.15,3.85,,34.000
LinuxPCM,2024-12-02T18:50:52.887Z,0.41,2.11,0.19,0.80,3.37,1.20,4.16,0.67,0.80,0.0001,0.0003,2.80,1.49,13664.12,6485.29,4203.03,4.21,105.35,0.81,20.32,24.01,27.05,0.29,0.86,47.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.41,2.11,0.19,0.80,3.37,1.20,4.16,0.67,0.80,0.0001,0.0003,2.80,1.49,1.08,3.21,0.00, 0,13664.12,6485.29,4203.03,4.21,105.35,0.81,20.32,24.01,27.05,0.29,0.86,47.79,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,17.28,0.00,0.50,2.45,0.21,0.79,3.32,0.04,0.45,0.90,0.83,0.0000,0.0002,25.92,73.10,0.16,0.03,0.79, 0,2112.55,862.10,4203.03,4.90,122.52,1.01,25.13,0.00,0.17,0.00,0.80,3.36,0.01,0.02,0.65,0.25,0.0045,0.0138,0.25,1.78,0.66,2.66,94.65,10,1.40,8.32,4203.03,0.34,8.41,0.00,0.02,0.20,2.45,0.08,0.79,3.33,0.02,0.17,0.87,0.84,0.0000,0.0002,10.14,84.72,0.34,0.22,4.58, 2,827.25,338.12,4203.03,4.89,122.33,0.39,9.84,0.00,0.25,0.00,0.80,3.38,0.00,0.01,0.70,0.41,0.0018,0.0066,0.26,8.07,0.00,0.54,91.13,10,2.22,8.88,4203.03,0.50,12.52,0.00,0.03,1.14,2.07,0.55,0.81,3.38,0.53,1.57,0.64,0.79,0.0001,0.0003,68.78,30.24,0.16,0.03,0.79, 0,4806.91,2327.15,4203.03,4.13,103.28,2.29,57.18,0.00,0.52,0.01,0.80,3.37,0.03,0.07,0.60,0.47,0.0018,0.0044,0.85,1.18,0.66,2.66,94.65,10,14.94,28.76,4203.03,1.04,25.96,0.01,0.18,1.34,2.13,0.63,0.81,3.38,0.44,1.53,0.67,0.82,0.0001,0.0003,78.43,16.43,0.34,0.22,4.58, 2,5646.03,2656.43,4203.03,4.25,106.27,2.69,67.17,0.06,0.99,0.06,0.82,3.44,0.14,0.34,0.33,0.52,0.0005,0.0014,7.43,0.90,0.00,0.54,91.13,10,252.82,255.52,4203.03,1.98,49.47,0.12,3.01,,34.000
