#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,,Temperature
LinuxPCM,2024-12-03T16:34:30.866Z,1.14,3.08,0.37,0.73,3.09,2.43,2.84,0.14,0.64,0.0001,0.0001,8.65,7.88,38791.50,12594.73,4266.48,6.16,154.00,2.27,56.83,50.23,49.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.22,0.00,0.00,1.14,3.08,0.37,0.73,3.09,2.43,2.84,0.14,0.64,0.0001,0.0001,8.65,7.88,0.00,16.54,0.00, 0,38791.50,12594.73,4266.48,6.16,154.00,2.27,56.83,50.23,49.77,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.22,25.35,0.00,0.09,2.95,0.03,0.75,3.14,0.02,0.08,0.71,0.52,0.0001,0.0002,3.97,96.03,0.00,0.00,0.00, 3,372.86,126.60,4266.48,5.89,147.26,0.17,4.37,0.00,0.52,0.01,0.74,3.11,0.01,0.05,0.87,0.54,0.0005,0.0039,0.75,99.25,0.00,0.00,0.00, 0,12.48,23.80,4266.48,1.05,26.22,0.01,0.15,0.00,0.36,0.00,0.74,3.12,0.00,0.03,0.82,0.41,0.0011,0.0069,0.36,99.64,0.00,0.00,0.00, 5,4.08,11.30,4266.48,0.72,18.04,0.00,0.05,0.00,0.47,0.01,0.74,3.11,0.01,0.06,0.85,0.54,0.0008,0.0053,0.75,99.25,0.00,0.00,0.00, 3,11.01,23.63,4266.48,0.93,23.30,0.01,0.13,2.22,3.13,0.71,0.73,3.08,0.58,0.65,0.11,0.66,0.0001,0.0001,96.40,3.60,0.00,0.00,0.00, 3,9464.15,3019.22,4266.48,6.27,156.73,4.44,110.92,2.21,3.01,0.73,0.73,3.09,0.61,0.65,0.05,0.64,0.0001,0.0001,99.87,0.13,0.00,0.00,0.00, 0,9407.07,3130.06,4266.48,6.01,150.27,4.41,110.26,2.33,3.18,0.73,0.73,3.09,0.59,0.68,0.13,0.64,0.0001,0.0001,99.87,0.13,0.00,0.00,0.00, 5,9957.82,3130.08,4266.48,6.36,159.07,4.67,116.71,2.24,3.05,0.73,0.73,3.09,0.60,0.63,0.04,0.64,0.0001,0.0001,99.87,0.13,0.00,0.00,0.00, 3,9562.03,3130.06,4266.48,6.11,152.75,4.48,112.07,,33.000
LinuxPCM,2024-12-03T16:34:31.867Z,0.99,2.71,0.37,0.73,3.06,1.98,2.78,0.25,0.65,0.0001,0.0001,7.59,5.22,33345.17,12311.17,4203.56,5.42,135.43,1.98,49.58,50.27,49.73,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.52,0.00,0.00,0.99,2.71,0.37,0.73,3.06,1.98,2.78,0.25,0.65,0.0001,0.0001,7.59,5.22,0.00,12.81,0.00, 0,33345.17,12311.17,4203.56,5.42,135.43,1.98,49.58,50.27,49.73,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.52,22.88,0.00,0.65,1.93,0.34,0.73,3.06,0.20,0.28,0.24,0.56,0.0001,0.0001,46.15,53.85,0.00,0.00,0.00, 4,2726.38,1411.44,4203.56,3.86,96.58,1.30,32.43,0.20,3.25,0.06,0.74,3.09,0.04,0.10,0.63,0.64,0.0000,0.0001,8.19,91.81,0.00,0.00,0.00, 0,823.35,253.03,4203.56,6.51,162.70,0.39,9.79,0.20,3.52,0.06,0.74,3.09,0.12,0.17,0.25,0.34,0.0001,0.0002,7.64,92.36,0.00,0.00,0.00, 7,831.75,236.29,4203.56,7.04,176.01,0.40,9.89,2.37,3.26,0.73,0.73,3.06,0.49,0.58,0.15,0.69,0.0000,0.0001,99.88,0.12,0.00,0.00,0.00, 4,9976.95,3057.67,4203.56,6.53,163.15,4.75,118.67,0.95,2.38,0.40,0.73,3.06,0.22,0.43,0.43,0.73,0.0001,0.0001,54.71,45.29,0.00,0.00,0.00, 4,3994.69,1675.94,4203.56,4.77,119.18,1.90,47.51,2.14,3.18,0.67,0.73,3.06,0.50,0.56,0.11,0.68,0.0001,0.0001,92.61,7.39,0.00,0.00,0.00, 0,8994.14,2832.60,4203.56,6.35,158.76,4.28,106.98,1.43,2.12,0.67,0.73,3.06,0.41,0.63,0.29,0.61,0.0001,0.0001,92.62,7.38,0.00,0.00,0.00, 7,5993.17,2832.86,4203.56,4.23,105.78,2.85,71.29,0.00,0.42,0.00,0.73,3.06,0.01,0.02,0.72,0.46,0.0012,0.0050,0.37,99.63,0.00,0.00,0.00, 4,4.73,11.36,4203.56,0.83,20.80,0.00,0.06,,33.000
LinuxPCM,2024-12-03T16:34:32.866Z,0.66,1.67,0.39,0.78,3.28,4.63,6.66,0.25,0.56,0.0002,0.0003,8.13,6.12,22099.09,13255.61,4199.34,3.33,83.36,1.32,32.89,50.46,49.54,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.16,0.00,0.00,0.66,1.67,0.39,0.78,3.28,4.63,6.66,0.25,0.56,0.0002,0.0003,8.13,6.12,0.24,14.02,0.00, 0,22099.09,13255.61,4199.34,3.33,83.36,1.32,32.89,50.46,49.54,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.16,25.50,0.00,0.00,0.33,0.01,0.79,3.34,0.04,0.11,0.56,0.57,0.0025,0.0062,1.57,98.43,0.00,0.00,0.00, 3,17.44,52.29,4199.34,0.67,16.68,0.01,0.21,0.77,2.02,0.38,0.78,3.27,0.36,0.74,0.44,0.62,0.0001,0.0002,49.23,50.77,0.00,0.00,0.00, 0,3244.88,1608.36,4199.34,4.04,100.88,1.55,38.63,1.33,1.70,0.78,0.78,3.28,1.59,2.13,0.22,0.51,0.0003,0.0004,99.87,0.13,0.00,0.00,0.00, 2,5565.68,3278.31,4199.34,3.40,84.89,2.65,66.28,1.47,1.89,0.78,0.78,3.28,0.45,0.85,0.39,0.66,0.0001,0.0001,99.87,0.13,0.00,0.00,0.00, 4,6191.38,3278.87,4199.34,3.78,94.41,2.95,73.72,0.81,1.04,0.78,0.78,3.28,1.83,2.37,0.18,0.56,0.0005,0.0007,99.87,0.13,0.00,0.00,0.00, 3,3420.44,3278.92,4199.34,2.09,52.16,1.63,40.73,0.87,2.14,0.40,0.79,3.30,0.30,0.36,0.11,0.50,0.0001,0.0001,51.53,48.47,0.00,0.00,0.00, 0,3640.36,1699.84,4199.34,4.28,107.08,1.73,43.34,0.00,0.21,0.01,0.79,3.31,0.03,0.06,0.46,0.39,0.0049,0.0101,0.90,99.10,0.00,0.00,0.00, 2,6.42,29.91,4199.34,0.43,10.72,0.00,0.08,0.00,0.43,0.01,0.81,3.42,0.02,0.05,0.64,0.59,0.0014,0.0042,0.85,99.15,0.00,0.00,0.00, 4,12.49,29.10,4199.34,0.86,21.47,0.01,0.15,,33.000
LinuxPCM,2024-12-03T16:34:33.866Z,0.86,2.16,0.40,0.79,3.30,3.19,5.14,0.29,0.62,0.0001,0.0002,4.23,3.24,28733.28,13287.51,4199.73,4.32,108.12,1.71,42.76,50.38,49.62,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.55,0.00,0.00,0.86,2.16,0.40,0.79,3.30,3.19,5.14,0.29,0.62,0.0001,0.0002,4.23,3.24,0.84,6.62,0.00, 0,28733.28,13287.51,4199.73,4.32,108.12,1.71,42.76,50.38,49.62,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.55,27.15,0.00,0.00,0.35,0.01,0.79,3.31,0.03,0.08,0.56,0.56,0.0022,0.0056,1.24,98.76,0.00,0.00,0.00, 0,14.45,41.07,4199.73,0.70,17.59,0.01,0.17,0.62,0.90,0.69,0.79,3.30,1.09,1.79,0.31,0.67,0.0004,0.0007,87.79,12.21,0.00,0.00,0.00, 2,2605.69,2900.46,4199.73,1.80,44.92,1.24,31.03,3.17,4.05,0.78,0.79,3.30,0.21,0.30,0.21,0.51,0.0000,0.0000,99.86,0.14,0.00,0.00,0.00, 4,13324.10,3292.21,4199.73,8.09,202.36,6.35,158.63,0.51,0.93,0.54,0.79,3.31,1.02,1.59,0.29,0.60,0.0005,0.0007,68.69,31.31,0.00,0.00,0.00, 4,2123.32,2276.14,4199.73,1.87,46.64,1.01,25.28,2.31,2.95,0.78,0.79,3.30,0.18,0.42,0.41,0.65,0.0000,0.0000,99.85,0.15,0.00,0.00,0.00, 0,9705.43,3292.14,4199.73,5.90,147.40,4.62,115.55,0.05,0.48,0.10,0.77,3.25,0.04,0.10,0.49,0.76,0.0002,0.0005,12.79,87.21,0.00,0.00,0.00, 2,197.74,415.28,4199.73,0.95,23.81,0.09,2.35,0.00,0.19,0.01,0.79,3.31,0.02,0.05,0.48,0.30,0.0055,0.0115,0.72,99.28,0.00,0.00,0.00, 4,4.53,23.93,4199.73,0.38,9.46,0.00,0.05,0.18,0.72,0.25,0.78,3.26,0.59,0.80,0.19,0.53,0.0008,0.0011,32.08,67.92,0.00,0.00,0.00, 4,758.02,1046.28,4199.73,1.45,36.22,0.36,9.02,,33.000
LinuxPCM,2024-12-03T16:34:34.866Z,1.14,3.04,0.38,0.74,3.12,1.74,2.63,0.29,0.59,0.0000,0.0001,3.00,2.68,38354.37,12605.43,4198.98,6.09,152.13,2.28,57.09,50.52,49.48,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.54,0.00,0.00,1.14,3.04,0.38,0.74,3.12,1.74,2.63,0.29,0.59,0.0000,0.0001,3.00,2.68,0.00,5.68,0.00, 0,38354.37,12605.43,4198.98,6.09,152.13,2.28,57.09,50.52,49.48,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.54,24.20,0.00,0.05,1.98,0.03,0.73,3.06,0.04,0.09,0.50,0.48,0.0002,0.0004,3.76,96.24,0.00,0.00,0.00, 3,227.91,115.04,4198.98,3.96,99.05,0.11,2.71,0.00,0.42,0.01,0.74,3.12,0.02,0.08,0.69,0.59,0.0015,0.0050,1.16,98.84,0.00,0.00,0.00, 0,15.05,36.10,4198.98,0.83,20.85,0.01,0.18,1.95,2.63,0.74,0.74,3.12,0.21,0.29,0.15,0.53,0.0000,0.0000,99.91,0.09,0.00,0.00,0.00, 5,8189.28,3115.96,4198.98,5.26,131.41,3.90,97.52,2.81,3.79,0.74,0.74,3.12,0.33,0.50,0.31,0.48,0.0000,0.0000,99.91,0.09,0.00,0.00,0.00, 3,11798.02,3115.94,4198.98,7.57,189.32,5.62,140.49,2.52,3.49,0.72,0.74,3.12,0.27,0.46,0.34,0.68,0.0000,0.0000,97.12,2.88,0.00,0.00,0.00, 3,10566.64,3031.53,4198.98,6.97,174.28,5.03,125.82,1.79,2.42,0.74,0.74,3.12,0.78,1.05,0.20,0.60,0.0001,0.0001,99.91,0.09,0.00,0.00,0.00, 0,7528.15,3115.94,4198.98,4.83,120.80,3.59,89.64,0.00,0.28,0.01,0.75,3.14,0.03,0.07,0.48,0.42,0.0037,0.0078,1.03,98.97,0.00,0.00,0.00, 5,9.22,32.48,4198.98,0.57,14.20,0.00,0.11,0.00,0.47,0.01,0.75,3.13,0.04,0.09,0.52,0.56,0.0020,0.0046,1.36,98.64,0.00,0.00,0.00, 3,20.10,42.43,4198.98,0.95,23.69,0.01,0.24,,33.000
LinuxPCM,2024-12-03T16:34:35.866Z,0.97,2.63,0.37,0.73,3.08,2.96,4.00,0.20,0.51,0.0001,0.0001,2.69,1.78,32612.80,12378.49,4198.89,5.27,131.73,1.94,48.54,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.47,0.00,0.00,0.97,2.63,0.37,0.73,3.08,2.96,4.00,0.20,0.51,0.0001,0.0001,2.69,1.78,0.54,3.93,0.00, 0,32612.80,12378.49,4198.89,5.27,131.73,1.94,48.54,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.47,22.20,0.00,0.00,0.34,0.00,0.73,3.07,0.02,0.06,0.60,0.32,0.0029,0.0085,0.64,99.36,0.00,0.00,0.00, 4,6.64,19.68,4198.89,0.67,16.87,0.00,0.08,0.00,0.44,0.00,0.72,3.04,0.01,0.03,0.62,0.41,0.0016,0.0050,0.40,99.60,0.00,0.00,0.00, 0,5.35,12.24,4198.89,0.87,21.86,0.00,0.06,0.85,1.15,0.73,0.73,3.08,2.12,2.53,0.13,0.46,0.0006,0.0007,99.93,0.07,0.00,0.00,0.00, 9,3548.44,3072.81,4198.89,2.31,57.74,1.69,42.25,1.03,4.37,0.24,0.72,3.03,0.10,0.17,0.36,0.51,0.0000,0.0000,32.61,67.39,0.00,0.00,0.00, 2,4314.17,987.77,4198.89,8.74,218.38,2.05,51.37,1.78,2.43,0.73,0.73,3.08,0.28,0.41,0.27,0.57,0.0000,0.0001,99.93,0.07,0.00,0.00,0.00, 4,7468.54,3072.75,4198.89,4.86,121.53,3.56,88.94,2.84,3.87,0.73,0.73,3.08,0.29,0.49,0.32,0.59,0.0000,0.0000,99.93,0.07,0.00,0.00,0.00, 0,11905.86,3072.75,4198.89,7.75,193.73,5.67,141.77,0.00,0.34,0.01,0.72,3.04,0.02,0.06,0.62,0.61,0.0021,0.0057,1.09,98.91,0.00,0.00,0.00, 9,11.08,33.02,4198.89,0.67,16.78,0.01,0.13,1.27,2.54,0.50,0.74,3.10,0.13,0.25,0.29,0.63,0.0000,0.0000,68.06,31.94,0.00,0.00,0.00, 2,5352.71,2107.47,4198.89,5.08,126.99,2.55,63.74,,33.000
LinuxPCM,2024-12-03T16:34:36.866Z,0.83,2.22,0.37,0.74,3.12,3.79,4.51,0.13,0.41,0.0001,0.0002,4.37,4.31,27976.84,12594.63,4202.88,4.44,111.07,1.66,41.60,50.35,49.65,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.62,0.00,0.00,0.83,2.22,0.37,0.74,3.12,3.79,4.51,0.13,0.41,0.0001,0.0002,4.37,4.31,0.00,8.68,0.00, 0,27976.84,12594.63,4202.88,4.44,111.07,1.66,41.60,50.35,49.65,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.62,23.14,0.00,1.14,1.68,0.68,0.74,3.12,2.46,2.64,0.05,0.32,0.0005,0.0006,90.93,9.07,0.00,0.00,0.00, 1,4785.26,2840.47,4202.88,3.37,84.23,2.28,56.93,0.10,2.46,0.04,0.74,3.12,0.03,0.06,0.47,0.32,0.0001,0.0001,5.55,94.45,0.00,0.00,0.00, 0,425.94,173.10,4202.88,4.92,123.03,0.20,5.07,1.89,2.54,0.74,0.74,3.12,0.76,0.94,0.18,0.42,0.0001,0.0001,99.97,0.03,0.00,0.00,0.00, 4,7924.94,3125.86,4202.88,5.07,126.76,3.77,94.28,0.01,1.35,0.01,0.75,3.16,0.01,0.03,0.64,0.52,0.0003,0.0009,0.88,99.12,0.00,0.00,0.00, 5,37.34,27.64,4202.88,2.70,67.55,0.02,0.44,0.07,0.97,0.07,0.75,3.15,0.02,0.07,0.57,0.80,0.0001,0.0002,9.91,90.09,0.00,0.00,0.00, 1,304.72,312.81,4202.88,1.95,48.71,0.15,3.63,1.87,2.64,0.71,0.74,3.13,0.20,0.26,0.13,0.52,0.0000,0.0000,95.07,4.93,0.00,0.00,0.00, 0,7859.98,2973.11,4202.88,5.29,132.18,3.74,93.51,0.00,0.29,0.01,0.74,3.12,0.02,0.07,0.62,0.43,0.0031,0.0086,0.86,99.14,0.00,0.00,0.00, 4,7.71,26.96,4202.88,0.57,14.29,0.00,0.09,1.58,2.13,0.74,0.74,3.12,0.29,0.44,0.31,0.57,0.0000,0.0001,99.62,0.38,0.00,0.00,0.00, 5,6630.97,3114.68,4202.88,4.26,106.45,3.16,78.89,,33.000
LinuxPCM,2024-12-03T16:34:37.866Z,0.81,2.10,0.39,0.78,3.29,6.26,7.27,0.12,0.38,0.0002,0.0003,5.98,5.56,27223.71,12984.39,4199.68,4.19,104.83,1.62,40.51,49.38,50.25,0.09,0.00,0.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.43,0.00,0.00,0.81,2.10,0.39,0.78,3.29,6.26,7.27,0.12,0.38,0.0002,0.0003,5.98,5.56,0.54,11.00,0.00, 0,27223.71,12984.39,4199.68,4.19,104.83,1.62,40.51,49.38,50.25,0.09,0.00,0.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.43,25.87,0.00,0.38,1.89,0.20,0.80,3.37,0.09,0.17,0.43,0.55,0.0001,0.0001,25.15,74.85,0.00,0.00,0.00, 5,1598.62,847.07,4199.68,3.77,94.36,0.76,19.03,0.62,1.08,0.57,0.79,3.32,2.47,2.76,0.10,0.35,0.0010,0.0011,72.18,27.82,0.00,0.00,0.00, 0,2584.38,2397.39,4199.68,2.16,53.90,1.23,30.77,0.00,0.26,0.01,0.78,3.26,0.02,0.04,0.57,0.32,0.0029,0.0077,0.66,97.87,0.34,0.01,1.11, 4,5.66,21.63,4199.68,0.52,13.09,0.00,0.07,1.05,2.86,0.37,0.77,3.22,0.22,0.25,0.11,0.46,0.0000,0.0001,47.82,52.18,0.00,0.00,0.00, 5,4393.01,1538.56,4199.68,5.71,142.76,2.09,52.30,1.34,2.28,0.59,0.78,3.26,0.52,0.73,0.24,0.53,0.0001,0.0001,75.95,24.05,0.00,0.00,0.00, 5,5647.70,2476.93,4199.68,4.56,114.01,2.69,67.24,0.26,1.19,0.22,0.76,3.20,0.09,0.16,0.24,0.78,0.0001,0.0002,28.27,71.73,0.00,0.00,0.00, 0,1074.26,905.44,4199.68,2.37,59.32,0.51,12.79,2.46,3.43,0.72,0.78,3.28,0.54,0.71,0.22,0.48,0.0001,0.0001,91.91,6.63,0.34,0.01,1.11, 4,10339.74,3016.72,4199.68,6.85,171.37,4.92,123.10,0.38,0.89,0.42,0.80,3.35,2.30,2.45,0.05,0.17,0.0015,0.0016,53.13,46.87,0.00,0.00,0.00, 5,1580.33,1780.64,4199.68,1.78,44.38,0.75,18.81,,33.000
LinuxPCM,2024-12-03T16:34:38.866Z,1.01,2.75,0.37,0.73,3.06,1.71,2.15,0.17,0.47,0.0001,0.0001,5.55,4.14,33812.52,12305.19,4198.73,5.50,137.39,2.01,50.33,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.16,0.00,0.00,1.01,2.75,0.37,0.73,3.06,1.71,2.15,0.17,0.47,0.0001,0.0001,5.55,4.14,0.00,9.69,0.00, 0,33812.52,12305.19,4198.73,5.50,137.39,2.01,50.33,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.16,22.66,0.00,0.00,0.28,0.00,0.72,3.03,0.02,0.05,0.60,0.31,0.0034,0.0096,0.63,99.37,0.00,0.00,0.00, 3,5.32,19.00,4198.73,0.56,14.01,0.00,0.06,0.00,0.50,0.01,0.72,3.02,0.01,0.06,0.73,0.52,0.0012,0.0046,0.86,99.14,0.00,0.00,0.00, 0,12.82,25.84,4198.73,0.99,24.81,0.01,0.15,0.00,0.40,0.00,0.72,3.02,0.01,0.04,0.69,0.52,0.0014,0.0050,0.64,99.36,0.00,0.00,0.00, 6,7.68,19.44,4198.73,0.79,19.76,0.00,0.09,1.51,2.08,0.73,0.73,3.06,0.34,0.47,0.22,0.59,0.0001,0.0001,99.92,0.08,0.00,0.00,0.00, 3,6358.47,3054.63,4198.73,4.16,104.08,3.03,75.72,2.61,3.58,0.73,0.73,3.06,0.41,0.43,0.05,0.39,0.0000,0.0000,99.92,0.08,0.00,0.00,0.00, 3,10946.99,3054.61,4198.73,7.17,179.19,5.21,130.36,2.14,2.94,0.73,0.73,3.06,0.44,0.46,0.04,0.09,0.0000,0.0001,99.92,0.08,0.00,0.00,0.00, 0,8982.67,3054.65,4198.73,5.88,147.03,4.28,106.97,1.78,2.45,0.73,0.73,3.06,0.47,0.60,0.16,0.54,0.0001,0.0001,99.93,0.07,0.00,0.00,0.00, 6,7489.95,3054.64,4198.73,4.90,122.60,3.57,89.19,0.00,0.39,0.01,0.72,3.02,0.01,0.04,0.66,0.57,0.0014,0.0048,0.74,99.26,0.00,0.00,0.00, 3,8.62,22.39,4198.73,0.77,19.25,0.00,0.10,,33.000
LinuxPCM,2024-12-03T16:34:39.866Z,0.86,2.32,0.37,0.74,3.11,1.98,3.38,0.33,0.63,0.0001,0.0001,4.58,3.83,29049.36,12507.81,4198.92,4.64,116.12,1.73,43.24,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.34,0.00,0.00,0.86,2.32,0.37,0.74,3.11,1.98,3.38,0.33,0.63,0.0001,0.0001,4.58,3.83,0.54,7.88,0.00, 0,29049.36,12507.81,4198.92,4.64,116.12,1.73,43.24,50.32,49.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.34,23.89,0.00,0.00,0.26,0.01,0.73,3.06,0.02,0.05,0.49,0.39,0.0039,0.0088,0.75,99.25,0.00,0.00,0.00, 5,6.03,22.82,4198.92,0.53,13.21,0.00,0.07,0.18,1.80,0.10,0.74,3.11,0.06,0.19,0.67,0.78,0.0001,0.0003,13.51,86.49,0.00,0.00,0.00, 0,755.08,420.53,4198.92,3.59,89.78,0.36,8.99,0.10,0.75,0.14,0.68,2.85,0.05,0.11,0.35,0.69,0.0001,0.0002,20.35,79.65,0.00,0.00,0.00, 7,437.12,580.92,4198.92,1.50,37.62,0.21,5.21,2.81,3.81,0.74,0.74,3.11,0.46,0.55,0.13,0.27,0.0000,0.0000,99.89,0.11,0.00,0.00,0.00, 6,11815.85,3104.50,4198.92,7.61,190.30,5.63,140.70,1.24,1.68,0.74,0.74,3.11,0.61,1.04,0.31,0.57,0.0001,0.0002,99.89,0.11,0.00,0.00,0.00, 5,5223.64,3104.53,4198.92,3.37,84.13,2.49,62.20,1.07,1.66,0.64,0.74,3.11,0.40,0.78,0.40,0.75,0.0001,0.0002,86.82,13.18,0.00,0.00,0.00, 0,4482.18,2697.49,4198.92,3.32,83.08,2.13,53.37,1.50,2.48,0.61,0.76,3.17,0.36,0.60,0.32,0.53,0.0001,0.0001,80.38,19.62,0.00,0.00,0.00, 7,6318.44,2548.87,4198.92,4.96,123.95,3.01,75.24,0.00,0.39,0.01,0.71,2.96,0.02,0.06,0.72,0.56,0.0014,0.0055,0.95,99.05,0.00,0.00,0.00, 6,11.01,28.16,4198.92,0.78,19.56,0.01,0.13,,33.000
