#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,,Temperature
LinuxPCM,2024-12-03T16:13:41.066Z,0.33,0.79,0.42,0.97,4.07,0.04,775.51,1.00,0.41,0.0000,0.0700,0.04,0.03,11078.63,13962.33,4202.44,1.59,39.67,0.66,16.48,42.89,10.42,0.01,1.41,45.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.87,0.00,0.00,0.33,0.79,0.42,0.97,4.07,0.04,775.51,1.00,0.41,0.0000,0.0700,0.04,0.03,0.00,0.07,0.00,15,11078.63,13962.33,4202.44,1.59,39.67,0.66,16.48,42.89,10.42,0.01,1.41,45.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.87,33.68,0.00,0.27,0.72,0.38,0.97,4.07,0.01,76.79,1.00,0.44,0.0000,0.0669,39.21,6.10,0.01,0.53,54.16,15,1147.71,1597.75,4202.44,1.44,35.92,0.55,13.66,0.37,1.03,0.36,0.97,4.06,0.01,105.53,1.00,0.43,0.0000,0.0673,37.61,3.07,0.03,5.06,54.23,16,1568.70,1527.35,4202.44,2.05,51.35,0.75,18.66,0.65,0.92,0.71,0.97,4.07,0.01,183.48,1.00,0.44,0.0000,0.0667,73.34,0.76,0.00,0.00,25.90,16,2750.57,2990.01,4202.44,1.84,46.00,1.31,32.73,0.38,0.82,0.46,0.97,4.06,0.01,105.63,1.00,0.45,0.0000,0.0658,48.01,5.16,0.00,0.05,46.78,17,1604.73,1950.18,4202.44,1.65,41.14,0.76,19.09,0.27,0.71,0.38,0.98,4.11,0.01,87.72,1.00,0.36,0.0000,0.0769,39.07,6.23,0.01,0.53,54.16,15,1141.41,1605.61,4202.44,1.42,35.54,0.54,13.58,0.11,0.67,0.17,0.97,4.07,0.00,38.49,1.00,0.33,0.0000,0.0797,17.84,22.84,0.03,5.06,54.23,16,482.98,725.94,4202.44,1.33,33.27,0.23,5.75,0.29,0.64,0.46,0.96,4.04,0.00,96.13,1.00,0.35,0.0000,0.0776,47.97,26.13,0.00,0.00,25.90,16,1239.37,1939.49,4202.44,1.28,31.95,0.59,14.75,0.27,0.70,0.39,0.97,4.05,0.00,81.74,1.00,0.40,0.0000,0.0715,40.09,13.08,0.00,0.05,46.79,17,1143.15,1626.00,4202.44,1.41,35.15,0.54,13.60,,32.000
LinuxPCM,2024-12-03T16:13:42.077Z,0.40,0.99,0.41,0.96,4.04,0.04,886.78,1.00,0.46,0.0000,0.0647,0.03,0.02,13696.81,13822.10,4246.61,1.98,49.55,0.81,20.16,42.28,21.19,0.00,0.75,35.78,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.97,0.00,0.00,0.40,0.99,0.41,0.96,4.04,0.04,886.78,1.00,0.46,0.0000,0.0647,0.03,0.02,0.00,0.05,0.00, 0,13696.81,13822.10,4246.61,1.98,49.55,0.81,20.16,42.28,21.19,0.00,0.75,35.78,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.97,38.66,0.00,0.49,0.89,0.55,0.96,4.03,0.00,133.18,1.00,0.46,0.0000,0.0645,57.13,8.82,0.00,0.10,33.96, 4,2065.03,2330.65,4246.61,1.77,44.30,0.97,24.31,0.89,1.40,0.63,0.95,3.99,0.00,213.59,1.00,0.53,0.0000,0.0568,66.60,1.87,0.00,1.13,30.41, 0,3761.13,2686.43,4246.61,2.80,70.00,1.77,44.28,0.45,0.97,0.46,0.97,4.05,0.01,123.70,1.00,0.46,0.0000,0.0646,48.16,8.46,0.00,0.48,42.89,15,1915.60,1974.47,4246.61,1.94,48.51,0.90,22.55,0.38,0.95,0.40,0.96,4.05,0.01,111.39,1.00,0.42,0.0000,0.0688,41.43,21.40,0.00,1.30,35.88, 1,1618.00,1697.63,4246.61,1.91,47.65,0.76,19.05,0.33,0.75,0.44,0.97,4.08,0.00,106.64,1.00,0.36,0.0000,0.0770,44.96,20.99,0.00,0.10,33.96, 4,1385.71,1854.65,4246.61,1.49,37.36,0.65,16.32,0.02,1.13,0.02,0.96,4.02,0.01,4.11,1.00,0.50,0.0001,0.0540,1.66,66.80,0.00,1.13,30.41, 0,76.03,67.57,4246.61,2.25,56.26,0.04,0.90,0.27,0.80,0.33,0.96,4.01,0.00,84.62,1.00,0.38,0.0000,0.0742,35.05,21.58,0.00,0.48,42.89,15,1140.55,1422.63,4246.61,1.60,40.09,0.54,13.43,0.41,0.97,0.42,0.97,4.09,0.00,109.55,1.00,0.47,0.0000,0.0631,43.22,19.61,0.00,1.30,35.87, 1,1734.77,1788.07,4246.61,1.94,48.51,0.82,20.42,,33.000
LinuxPCM,2024-12-03T16:13:43.077Z,0.44,0.81,0.55,0.95,3.99,0.09,1055.45,1.00,0.40,0.0000,0.0715,0.07,0.04,14765.13,18317.58,4198.11,1.61,40.30,0.88,21.98,57.46,14.43,0.00,0.11,28.01,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.53,0.00,0.00,0.44,0.81,0.55,0.95,3.99,0.09,1055.45,1.00,0.40,0.0000,0.0715,0.07,0.04,0.00,0.11,0.00, 0,14765.13,18317.58,4198.11,1.61,40.30,0.88,21.98,57.46,14.43,0.00,0.11,28.01,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.53,39.38,0.00,0.37,0.67,0.56,0.95,3.98,0.01,112.53,1.00,0.40,0.0000,0.0716,58.90,2.58,0.00,0.22,38.30, 1,1571.03,2344.32,4198.11,1.34,33.51,0.75,18.71,0.45,0.79,0.58,0.95,3.99,0.01,141.37,1.00,0.38,0.0000,0.0741,60.99,22.49,0.00,0.00,16.52, 0,1908.23,2429.58,4198.11,1.57,39.27,0.91,22.73,0.40,0.91,0.44,0.95,3.99,0.01,113.69,1.00,0.43,0.0000,0.0677,46.42,10.75,0.00,0.20,42.63, 2,1680.37,1851.12,4198.11,1.82,45.39,0.80,20.01,0.64,0.93,0.69,0.95,3.98,0.01,184.88,1.00,0.42,0.0000,0.0689,72.35,13.06,0.00,0.00,14.60, 8,2681.97,2878.82,4198.11,1.86,46.58,1.28,31.94,0.35,0.65,0.55,0.95,3.99,0.01,117.93,1.00,0.33,0.0000,0.0797,57.58,3.90,0.00,0.22,38.30, 1,1479.77,2293.61,4198.11,1.29,32.26,0.70,17.62,0.59,0.88,0.67,0.95,4.00,0.01,176.35,1.00,0.40,0.0000,0.0718,70.06,13.42,0.00,0.00,16.52, 0,2456.39,2798.96,4198.11,1.76,43.88,1.17,29.26,0.30,0.82,0.37,0.95,3.98,0.01,92.63,1.00,0.39,0.0000,0.0726,39.13,18.05,0.00,0.20,42.63, 2,1276.49,1556.17,4198.11,1.64,41.01,0.61,15.20,0.41,0.79,0.52,0.95,3.99,0.02,116.06,1.00,0.43,0.0000,0.0678,54.24,31.16,0.00,0.00,14.60, 8,1710.89,2165.00,4198.11,1.58,39.51,0.82,20.38,,33.000
LinuxPCM,2024-12-03T16:13:44.077Z,0.47,0.92,0.51,0.95,3.97,0.04,1049.51,1.00,0.44,0.0000,0.0669,0.04,0.02,15697.12,17016.07,4202.05,1.84,46.12,0.93,23.35,53.51,21.73,0.10,1.55,23.11,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.83,0.00,0.00,0.47,0.92,0.51,0.95,3.97,0.04,1049.51,1.00,0.44,0.0000,0.0669,0.04,0.02,0.00,0.06,0.00, 0,15697.12,17016.07,4202.05,1.84,46.12,0.93,23.35,53.51,21.73,0.10,1.55,23.11,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.83,41.63,0.00,0.30,0.72,0.42,0.95,3.99,0.00,98.62,1.00,0.35,0.0000,0.0771,44.38,37.88,0.00,0.16,17.58, 9,1279.24,1770.96,4202.05,1.44,36.12,0.61,15.22,0.33,0.63,0.53,0.94,3.96,0.01,121.28,1.00,0.27,0.0000,0.0865,55.78,8.75,0.02,5.30,30.15, 0,1401.71,2211.12,4202.05,1.27,31.70,0.67,16.68,0.86,1.38,0.62,0.95,4.00,0.00,206.60,1.00,0.52,0.0000,0.0574,65.08,0.63,0.40,0.73,33.16,13,3598.56,2604.59,4202.05,2.76,69.08,1.71,42.82,0.23,0.66,0.35,0.94,3.96,0.00,69.48,1.00,0.40,0.0000,0.0718,37.23,51.23,0.00,0.00,11.53, 1,967.80,1475.49,4202.05,1.31,32.80,0.46,11.52,0.70,0.98,0.71,0.95,3.97,0.00,186.82,1.00,0.47,0.0000,0.0639,74.92,7.34,0.00,0.16,17.58, 9,2922.34,2975.28,4202.05,1.96,49.11,1.39,34.77,0.44,0.74,0.59,0.94,3.95,0.01,130.61,1.00,0.40,0.0000,0.0709,63.17,1.37,0.02,5.30,30.15, 0,1843.31,2499.33,4202.05,1.48,36.88,0.88,21.93,0.00,0.30,0.01,0.95,3.97,0.01,0.07,0.91,0.35,0.0008,0.0093,0.63,65.08,0.40,0.73,33.17,13,7.37,24.86,4202.05,0.59,14.82,0.00,0.09,0.88,1.06,0.82,0.95,3.97,0.00,236.04,1.00,0.46,0.0000,0.0642,86.87,1.60,0.00,0.00,11.53, 1,3676.78,3454.45,4202.05,2.13,53.22,1.75,43.75,,32.000
LinuxPCM,2024-12-03T16:13:45.078Z,0.41,0.98,0.41,0.94,3.96,0.07,857.67,1.00,0.47,0.0000,0.0627,0.05,0.02,13671.58,13900.67,4201.99,1.97,49.18,0.81,20.33,43.81,21.41,0.00,1.89,32.89,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.01,0.00,0.00,0.41,0.98,0.41,0.94,3.96,0.07,857.67,1.00,0.47,0.0000,0.0627,0.05,0.02,0.00,0.07,0.00, 0,13671.58,13900.67,4201.99,1.97,49.18,0.81,20.33,43.81,21.41,0.00,1.89,32.89,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.01,36.85,0.00,0.68,1.04,0.65,0.95,3.97,0.01,179.60,1.00,0.47,0.0000,0.0628,69.23,8.66,0.00,0.39,21.72, 1,2860.42,2749.62,4201.99,2.08,52.01,1.36,34.04,0.29,1.05,0.28,0.95,3.98,0.00,77.30,1.00,0.47,0.0000,0.0631,29.28,21.11,0.00,0.38,49.23, 0,1224.60,1165.20,4201.99,2.10,52.55,0.58,14.57,0.61,1.19,0.51,0.95,4.00,0.00,165.82,1.00,0.46,0.0000,0.0642,54.00,25.92,0.00,0.27,19.82, 2,2581.68,2161.22,4201.99,2.39,59.73,1.23,30.72,0.26,0.70,0.36,0.94,3.94,0.01,71.41,1.00,0.44,0.0000,0.0666,38.82,13.85,0.00,6.52,40.80,10,1072.28,1530.26,4201.99,1.40,35.04,0.51,12.76,0.27,0.75,0.36,0.95,3.98,0.01,86.80,1.00,0.36,0.0000,0.0760,38.17,39.72,0.00,0.39,21.72, 1,1141.40,1519.71,4201.99,1.50,37.55,0.54,13.58,0.35,1.13,0.31,0.94,3.94,0.01,63.07,1.00,0.64,0.0000,0.0428,32.96,17.42,0.00,0.38,49.23, 0,1472.01,1300.31,4201.99,2.26,56.60,0.70,17.52,0.42,1.11,0.38,0.94,3.95,0.01,107.02,1.00,0.50,0.0000,0.0603,40.42,39.50,0.00,0.27,19.82, 2,1775.46,1597.71,4201.99,2.22,55.56,0.85,21.13,0.37,0.82,0.45,0.94,3.94,0.03,106.66,1.00,0.42,0.0000,0.0691,47.61,5.06,0.00,6.52,40.80,10,1543.73,1876.65,4201.99,1.65,41.13,0.73,18.37,,33.000
LinuxPCM,2024-12-03T16:13:46.078Z,0.52,1.13,0.46,0.92,3.87,0.03,1003.05,1.00,0.52,0.0000,0.0578,0.03,0.02,17345.41,15371.05,4202.41,2.26,56.42,1.03,25.80,49.58,32.72,0.00,0.30,17.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.41,0.00,0.00,0.52,1.13,0.46,0.92,3.87,0.03,1003.05,1.00,0.52,0.0000,0.0578,0.03,0.02,0.00,0.05,0.00, 0,17345.41,15371.05,4202.41,2.26,56.42,1.03,25.80,49.58,32.72,0.00,0.30,17.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.41,40.20,0.00,0.44,0.89,0.49,0.92,3.88,0.00,133.50,1.00,0.39,0.0000,0.0730,52.70,36.23,0.00,0.08,10.99, 3,1829.56,2047.35,4202.41,1.79,44.68,0.87,21.77,0.56,1.25,0.45,0.92,3.85,0.01,145.94,1.00,0.48,0.0000,0.0616,49.05,43.54,0.00,0.61,6.80, 0,2370.22,1890.73,4202.41,2.51,62.68,1.13,28.20,0.81,1.39,0.58,0.93,3.89,0.00,180.66,1.00,0.56,0.0000,0.0531,62.72,0.50,0.00,0.36,36.41, 5,3404.75,2442.72,4202.41,2.79,69.69,1.62,40.51,0.63,1.08,0.58,0.92,3.85,0.01,151.87,1.00,0.52,0.0000,0.0574,63.77,20.69,0.00,0.14,15.40, 4,2647.12,2458.28,4202.41,2.15,53.84,1.26,31.50,0.63,1.00,0.63,0.92,3.88,0.00,171.64,1.00,0.46,0.0000,0.0647,68.40,20.54,0.00,0.08,10.99, 3,2654.81,2655.44,4202.41,2.00,49.99,1.26,31.59,0.64,1.32,0.48,0.92,3.87,0.00,104.68,1.00,0.68,0.0000,0.0388,52.64,39.96,0.00,0.61,6.80, 0,2696.14,2038.05,4202.41,2.65,66.15,1.28,32.08,0.00,0.46,0.01,0.92,3.85,0.01,0.11,0.93,0.48,0.0005,0.0065,0.93,62.29,0.00,0.36,36.41, 5,16.66,35.88,4202.41,0.93,23.22,0.01,0.20,0.41,0.96,0.43,0.92,3.88,0.00,114.66,1.00,0.44,0.0000,0.0664,46.46,37.99,0.00,0.14,15.40, 4,1726.15,1802.60,4202.41,1.92,47.88,0.82,20.54,,33.000
LinuxPCM,2024-12-03T16:13:47.079Z,0.51,1.08,0.47,0.91,3.84,0.03,994.37,1.00,0.52,0.0000,0.0579,0.03,0.02,17160.50,15826.19,4202.20,2.17,54.22,1.02,25.52,51.55,30.50,0.01,0.43,17.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.03,0.00,0.00,0.51,1.08,0.47,0.91,3.84,0.03,994.37,1.00,0.52,0.0000,0.0579,0.03,0.02,0.00,0.05,0.00, 1,17160.50,15826.19,4202.20,2.17,54.22,1.02,25.52,51.55,30.50,0.01,0.43,17.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.03,38.89,0.00,0.56,1.08,0.52,0.91,3.82,0.00,147.82,1.00,0.47,0.0000,0.0629,57.03,31.32,0.00,0.00,11.65, 1,2349.93,2182.03,4202.20,2.15,53.85,1.12,27.96,0.55,1.27,0.44,0.92,3.85,0.00,141.67,1.00,0.49,0.0000,0.0607,47.65,44.12,0.00,0.18,8.05, 9,2332.14,1836.17,4202.20,2.54,63.51,1.11,27.75,0.86,1.22,0.70,0.91,3.84,0.00,202.76,1.00,0.53,0.0000,0.0563,77.05,4.79,0.02,1.38,16.75, 1,3602.66,2956.95,4202.20,2.44,60.92,1.71,42.87,0.39,0.85,0.46,0.91,3.84,0.00,103.22,1.00,0.48,0.0000,0.0625,50.58,15.68,0.00,0.15,33.59,10,1652.07,1941.02,4202.20,1.70,42.56,0.79,19.66,0.52,1.05,0.49,0.92,3.86,0.00,135.95,1.00,0.48,0.0000,0.0621,53.83,34.52,0.00,0.00,11.65, 1,2188.63,2078.18,4202.20,2.11,52.66,1.04,26.04,0.63,1.34,0.47,0.91,3.81,0.01,100.03,1.00,0.68,0.0000,0.0379,51.65,40.12,0.00,0.18,8.05, 9,2637.24,1968.16,4202.20,2.68,67.00,1.26,31.38,0.17,0.81,0.21,0.91,3.82,0.01,43.99,1.00,0.48,0.0000,0.0621,22.89,58.95,0.02,1.38,16.75, 1,707.95,875.57,4202.20,1.62,40.43,0.34,8.42,0.40,0.85,0.47,0.91,3.84,0.00,118.92,1.00,0.41,0.0000,0.0704,51.73,14.53,0.00,0.15,33.59,10,1689.87,1988.11,4202.20,1.70,42.50,0.80,20.11,,32.000
LinuxPCM,2024-12-03T16:13:48.079Z,0.52,1.13,0.46,0.92,3.86,0.03,1055.99,1.00,0.50,0.0000,0.0601,0.03,0.02,17556.84,15586.92,4198.96,2.25,56.32,1.05,26.13,50.50,33.21,0.01,0.14,16.14,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.48,0.00,0.00,0.52,1.13,0.46,0.92,3.86,0.03,1055.99,1.00,0.50,0.0000,0.0601,0.03,0.02,0.00,0.05,0.00, 0,17556.84,15586.92,4198.96,2.25,56.32,1.05,26.13,50.50,33.21,0.01,0.14,16.14,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.48,40.27,0.00,0.64,1.30,0.49,0.92,3.85,0.00,147.35,1.00,0.54,0.0000,0.0550,53.61,44.16,0.00,0.00,2.24, 3,2678.71,2065.28,4198.96,2.59,64.85,1.28,31.90,0.48,0.95,0.50,0.92,3.86,0.00,139.60,1.00,0.42,0.0000,0.0691,54.85,25.84,0.00,0.00,19.31, 0,2020.05,2118.65,4198.96,1.91,47.67,0.96,24.05,0.59,1.06,0.56,0.92,3.86,0.01,157.01,1.00,0.47,0.0000,0.0630,60.94,9.23,0.05,0.32,29.47, 5,2490.99,2354.37,4198.96,2.12,52.90,1.19,29.66,0.13,1.03,0.12,0.91,3.84,0.01,31.24,1.00,0.50,0.0000,0.0586,13.46,72.77,0.00,0.23,13.55,10,532.97,516.30,4198.96,2.06,51.61,0.25,6.35,0.58,1.29,0.45,0.92,3.86,0.00,152.55,1.00,0.47,0.0000,0.0629,48.65,49.11,0.00,0.00,2.24, 3,2424.62,1875.27,4198.96,2.59,64.65,1.15,28.87,0.53,1.01,0.53,0.91,3.83,0.00,114.09,1.00,0.57,0.0000,0.0508,58.15,22.55,0.00,0.00,19.31, 0,2245.59,2226.48,4198.96,2.02,50.43,1.07,26.74,0.27,0.82,0.33,0.93,3.91,0.00,81.20,1.00,0.40,0.0000,0.0711,35.54,34.63,0.05,0.32,29.47, 5,1141.44,1389.30,4198.96,1.64,41.08,0.54,13.59,0.96,1.32,0.72,0.92,3.86,0.00,232.95,1.00,0.52,0.0000,0.0579,78.80,7.43,0.00,0.23,13.55,10,4022.47,3041.27,4198.96,2.65,66.13,1.92,47.90,,33.000
LinuxPCM,2024-12-03T16:13:49.079Z,0.49,1.07,0.45,0.92,3.87,0.03,1019.16,1.00,0.48,0.0000,0.0623,0.03,0.02,16371.13,15285.31,4202.30,2.14,53.55,0.97,24.35,49.39,29.21,0.01,0.23,21.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.62,0.00,0.00,0.49,1.07,0.45,0.92,3.87,0.03,1019.16,1.00,0.48,0.0000,0.0623,0.03,0.02,0.00,0.04,0.00, 0,16371.13,15285.31,4202.30,2.14,53.55,0.97,24.35,49.39,29.21,0.01,0.23,21.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.62,38.45,0.00,0.18,0.70,0.26,0.92,3.87,0.00,57.69,1.00,0.37,0.0000,0.0752,28.39,51.19,0.00,0.16,20.27, 2,766.95,1099.36,4202.30,1.40,34.88,0.37,9.13,0.73,1.09,0.67,0.92,3.85,0.01,200.07,1.00,0.45,0.0000,0.0654,72.93,8.52,0.01,0.71,17.83, 0,3058.08,2811.16,4202.30,2.18,54.39,1.46,36.39,0.56,1.05,0.54,0.93,3.89,0.00,145.40,1.00,0.49,0.0000,0.0613,58.34,29.87,0.02,0.04,11.73,13,2371.58,2268.23,4202.30,2.09,52.28,1.13,28.22,0.08,1.28,0.06,0.92,3.86,0.00,20.39,1.00,0.51,0.0000,0.0583,7.05,58.09,0.00,0.00,34.86,10,349.97,272.54,4202.30,2.57,64.20,0.17,4.16,0.78,1.12,0.70,0.92,3.86,0.00,202.18,1.00,0.49,0.0000,0.0613,76.29,3.28,0.00,0.16,20.27, 2,3298.55,2948.45,4202.30,2.24,55.94,1.57,39.25,0.28,0.82,0.34,0.92,3.86,0.00,75.63,1.00,0.46,0.0000,0.0644,37.15,44.30,0.01,0.71,17.83, 0,1175.31,1435.87,4202.30,1.64,40.93,0.56,13.98,0.54,1.04,0.52,0.92,3.86,0.00,138.74,1.00,0.49,0.0000,0.0609,56.52,31.70,0.02,0.04,11.73,13,2276.39,2183.71,4202.30,2.08,52.12,1.08,27.08,0.73,1.36,0.54,0.92,3.88,0.00,179.06,1.00,0.51,0.0000,0.0582,58.44,6.70,0.00,0.00,34.86,10,3074.31,2265.99,4202.30,2.71,67.84,1.46,36.58,,32.000
LinuxPCM,2024-12-03T16:13:50.093Z,0.35,0.81,0.43,0.93,3.90,0.05,838.61,1.00,0.41,0.0000,0.0710,0.05,0.03,11818.86,14566.06,4198.14,1.62,40.57,0.70,17.56,46.57,12.42,0.00,0.99,40.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.35,0.81,0.43,0.93,3.90,0.05,838.61,1.00,0.41,0.0000,0.0710,0.05,0.03,0.00,0.08,0.00, 1,11818.86,14566.06,4198.14,1.62,40.57,0.70,17.56,46.57,12.42,0.00,0.99,40.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,30.83,0.00,0.48,0.97,0.50,0.94,3.96,0.00,141.22,1.00,0.42,0.0000,0.0697,52.91,14.35,0.00,0.00,32.74, 1,2024.87,2096.18,4198.14,1.93,48.30,0.96,24.12,0.48,0.82,0.58,0.92,3.85,0.01,150.90,1.00,0.38,0.0000,0.0740,63.49,0.67,0.00,0.50,35.35, 0,2038.11,2478.52,4198.14,1.64,41.12,0.96,23.93,0.15,0.63,0.24,0.93,3.90,0.01,44.82,1.00,0.41,0.0000,0.0699,26.20,19.21,0.00,3.44,51.15, 3,641.44,1022.35,4198.14,1.25,31.37,0.31,7.64,0.40,0.82,0.48,0.94,3.93,0.00,118.14,1.00,0.41,0.0000,0.0703,51.85,7.48,0.00,0.02,40.65, 2,1679.37,2035.91,4198.14,1.65,41.24,0.80,20.00,0.33,0.85,0.39,0.92,3.88,0.00,91.77,1.00,0.45,0.0000,0.0662,41.89,25.38,0.00,0.00,32.74, 1,1387.01,1626.11,4198.14,1.71,42.65,0.66,16.52,0.27,0.63,0.43,0.93,3.89,0.01,98.18,1.00,0.28,0.0000,0.0857,46.93,16.70,0.00,0.50,35.86,10,1145.88,1824.84,4198.14,1.26,31.40,0.55,13.65,0.39,0.94,0.41,0.93,3.92,0.01,99.89,1.00,0.49,0.0000,0.0614,44.29,1.12,0.00,3.44,51.14, 3,1627.48,1736.48,4198.14,1.87,46.86,0.78,19.38,0.30,0.73,0.42,0.93,3.90,0.01,93.70,1.00,0.38,0.0000,0.0735,44.75,14.58,0.00,0.02,40.65, 2,1274.70,1745.67,4198.14,1.46,36.51,0.61,15.18,,33.000
