#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,Temperature
LinuxPCM,2024-12-02T18:31:42.162Z,0.46,0.85,0.54,0.80,3.38,0.04,866.09,1.00,0.53,0.0000,0.0557,0.03,0.02,15561.73,18284.94,4233.03,1.70,42.55,0.92,22.94,67.03,16.29,0.01,0.49,16.19,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.04,0.00,0.00,0.46,0.85,0.54,0.80,3.38,0.04,866.09,1.00,0.53,0.0000,0.0557,0.03,0.02,0.00,0.05,0.00, 0,15561.73,18284.94,4233.03,1.70,42.55,0.92,22.94,67.03,16.29,0.01,0.49,16.19,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.04,28.61,0.00,0.51,0.86,0.59,0.81,3.40,0.01,117.85,1.00,0.54,0.0000,0.0545,73.49,11.88,0.02,1.47,13.13, 0,2163.55,2517.94,4233.03,1.72,42.96,1.02,25.56,0.40,0.77,0.51,0.80,3.36,0.00,119.48,1.00,0.40,0.0000,0.0714,64.14,15.60,0.00,0.39,19.87, 8,1672.41,2173.17,4233.03,1.54,38.48,0.79,19.75,0.33,0.68,0.49,0.80,3.38,0.01,111.17,1.00,0.34,0.0000,0.0787,60.83,21.70,0.00,0.00,17.47, 2,1413.34,2072.34,4233.03,1.36,34.10,0.67,16.69,0.59,1.06,0.55,0.81,3.38,0.00,83.05,1.00,0.72,0.0000,0.0335,68.52,16.99,0.00,0.12,14.37, 1,2479.18,2336.26,4233.03,2.12,53.06,1.17,29.29,0.40,0.76,0.53,0.81,3.41,0.00,115.74,1.00,0.43,0.0000,0.0684,65.00,20.37,0.02,1.47,13.13, 0,1693.21,2233.53,4233.03,1.52,37.90,0.80,20.00,0.46,0.83,0.55,0.80,3.36,0.00,120.83,1.00,0.48,0.0000,0.0617,69.40,10.34,0.00,0.39,19.87, 8,1956.75,2348.96,4233.03,1.67,41.65,0.92,23.11,0.58,0.91,0.63,0.80,3.35,0.00,115.82,1.00,0.60,0.0000,0.0474,79.28,3.25,0.00,0.00,17.47, 2,2443.13,2678.81,4233.03,1.82,45.60,1.15,28.86,0.41,0.90,0.45,0.81,3.39,0.01,82.16,1.00,0.60,0.0000,0.0472,55.67,30.01,0.00,0.12,14.20, 4,1740.16,1923.94,4233.03,1.81,45.22,0.81,20.32,,33.000
LinuxPCM,2024-12-02T18:31:43.151Z,0.47,0.80,0.58,0.80,3.38,0.03,968.76,1.00,0.48,0.0000,0.0620,0.03,0.01,15619.45,19497.32,4201.34,1.60,40.06,0.93,23.27,72.22,13.59,0.00,0.01,14.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.34,0.00,0.00,0.47,0.80,0.58,0.80,3.38,0.03,968.76,1.00,0.48,0.0000,0.0620,0.03,0.01,0.00,0.04,0.00, 0,15619.45,19497.32,4201.34,1.60,40.06,0.93,23.27,72.22,13.59,0.00,0.01,14.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.34,28.32,0.00,0.40,0.92,0.43,0.82,3.43,0.01,73.71,1.00,0.63,0.0000,0.0440,53.13,36.22,0.00,0.00,10.65, 0,1676.37,1820.31,4201.34,1.84,46.05,0.80,19.95,0.44,0.71,0.62,0.80,3.35,0.00,153.60,1.00,0.30,0.0000,0.0835,77.51,1.37,0.00,0.00,21.13, 1,1840.63,2594.09,4201.34,1.42,35.48,0.88,21.91,0.44,0.82,0.53,0.80,3.35,0.00,100.87,1.00,0.54,0.0000,0.0548,66.55,16.32,0.00,0.04,17.09, 5,1839.52,2231.49,4201.34,1.65,41.22,0.88,21.89,0.55,0.76,0.72,0.81,3.39,0.00,156.53,1.00,0.43,0.0000,0.0681,89.04,3.19,0.00,0.00,7.78, 4,2298.06,3019.86,4201.34,1.52,38.05,1.09,27.35,0.66,1.12,0.59,0.81,3.40,0.00,78.82,1.00,0.76,0.0000,0.0284,72.86,16.49,0.00,0.00,10.65, 0,2774.83,2478.12,4201.34,2.24,55.99,1.32,33.02,0.36,0.63,0.57,0.80,3.35,0.00,152.21,1.00,0.15,0.0000,0.1016,71.18,7.69,0.00,0.00,21.13, 1,1497.66,2386.82,4201.34,1.25,31.37,0.71,17.82,0.50,0.88,0.57,0.80,3.38,0.00,101.98,1.00,0.59,0.0000,0.0486,70.83,12.05,0.00,0.04,17.09, 5,2096.63,2391.68,4201.34,1.75,43.83,1.00,24.95,0.38,0.62,0.62,0.81,3.39,0.00,151.04,1.00,0.21,0.0000,0.0946,76.75,15.38,0.00,0.00,7.87, 4,1595.75,2574.96,4201.34,1.24,30.99,0.77,19.21,,33.000
LinuxPCM,2024-12-02T18:31:44.151Z,0.44,0.72,0.61,0.81,3.39,0.07,1071.11,1.00,0.39,0.0000,0.0731,0.06,0.03,14657.28,20420.81,4198.56,1.44,35.89,0.87,21.82,75.38,9.01,0.00,0.05,15.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.58,0.00,0.00,0.44,0.72,0.61,0.81,3.39,0.07,1071.11,1.00,0.39,0.0000,0.0731,0.06,0.03,0.00,0.08,0.00, 0,14657.28,20420.81,4198.56,1.44,35.89,0.87,21.82,75.38,9.01,0.00,0.05,15.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.58,28.39,0.00,0.41,0.80,0.52,0.81,3.39,0.02,101.12,1.00,0.51,0.0000,0.0581,64.27,29.91,0.00,0.00,5.82, 0,1740.91,2179.05,4198.56,1.60,39.95,0.83,20.73,0.38,0.61,0.61,0.80,3.36,0.01,158.24,1.00,0.16,0.0000,0.1001,76.53,1.42,0.00,0.00,22.05, 0,1580.68,2571.29,4198.56,1.23,30.74,0.75,18.82,0.48,0.75,0.64,0.81,3.40,0.01,132.80,1.00,0.45,0.0000,0.0655,79.18,5.13,0.00,0.20,15.49, 9,2027.72,2688.03,4198.56,1.51,37.72,0.97,24.15,0.38,0.63,0.61,0.81,3.41,0.01,141.64,1.00,0.27,0.0000,0.0878,75.04,6.09,0.00,0.00,18.87, 1,1613.67,2558.94,4198.56,1.26,31.53,0.77,19.22,0.63,0.97,0.65,0.80,3.35,0.01,105.29,1.00,0.67,0.0000,0.0398,80.99,13.19,0.00,0.00,5.82, 0,2647.38,2715.90,4198.56,1.95,48.74,1.26,31.53,0.38,0.62,0.61,0.80,3.36,0.00,158.42,1.00,0.17,0.0000,0.0999,76.56,1.39,0.00,0.00,22.05, 0,1585.03,2573.73,4198.56,1.23,30.79,0.76,18.88,0.41,0.69,0.59,0.81,3.42,0.01,131.20,1.00,0.36,0.0000,0.0766,72.89,11.42,0.00,0.20,15.49, 9,1713.47,2490.34,4198.56,1.38,34.40,0.82,20.41,0.42,0.66,0.63,0.81,3.41,0.01,142.41,1.00,0.32,0.0000,0.0814,77.59,3.55,0.00,0.00,18.87, 1,1748.44,2643.53,4198.56,1.32,33.07,0.83,20.82,,33.000
LinuxPCM,2024-12-02T18:31:45.151Z,0.46,0.88,0.52,0.78,3.26,0.06,788.47,1.00,0.57,0.0000,0.0515,0.04,0.02,15300.89,17437.51,4202.54,1.75,43.87,0.91,22.76,66.76,17.45,0.08,0.14,15.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.14,0.00,0.00,0.46,0.88,0.52,0.78,3.26,0.06,788.47,1.00,0.57,0.0000,0.0515,0.04,0.02,0.00,0.06,0.00, 1,15300.89,17437.51,4202.54,1.75,43.87,0.91,22.76,66.76,17.45,0.08,0.14,15.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.14,25.94,0.00,0.54,0.92,0.59,0.77,3.25,0.01,101.41,1.00,0.62,0.0000,0.0449,75.58,16.19,0.34,0.25,7.64, 2,2256.94,2459.92,4202.54,1.83,45.87,1.07,26.85,0.39,0.84,0.46,0.77,3.22,0.02,93.71,1.00,0.52,0.0000,0.0573,60.57,27.25,0.00,0.00,12.18, 1,1634.18,1952.09,4202.54,1.67,41.86,0.78,19.44,0.49,0.81,0.60,0.78,3.27,0.00,127.71,1.00,0.48,0.0000,0.0626,76.81,6.37,0.00,0.23,16.59, 5,2041.42,2516.11,4202.54,1.62,40.57,0.97,24.29,0.47,1.02,0.46,0.78,3.26,0.00,72.68,1.00,0.70,0.0000,0.0364,59.94,14.09,0.00,0.10,25.87, 4,1994.34,1954.03,4202.54,2.04,51.03,0.95,23.73,0.45,0.84,0.53,0.78,3.29,0.00,99.78,1.00,0.55,0.0000,0.0533,67.67,24.10,0.34,0.25,7.64, 2,1872.25,2225.48,4202.54,1.68,42.06,0.89,22.28,0.58,1.00,0.58,0.78,3.26,0.00,97.32,1.00,0.66,0.0000,0.0401,74.66,13.16,0.00,0.00,12.18, 1,2427.34,2435.38,4202.54,1.99,49.83,1.16,28.88,0.39,0.72,0.54,0.79,3.30,0.01,125.84,1.00,0.36,0.0000,0.0762,69.18,14.00,0.00,0.23,16.59, 5,1650.64,2282.56,4202.54,1.45,36.16,0.79,19.64,0.34,0.88,0.38,0.77,3.25,0.01,70.01,1.00,0.59,0.0000,0.0492,49.64,24.40,0.00,0.10,25.87, 4,1423.76,1611.94,4202.54,1.77,44.16,0.68,16.94,,33.000
LinuxPCM,2024-12-02T18:31:46.152Z,0.50,0.94,0.53,0.77,3.22,0.03,767.07,1.00,0.62,0.0000,0.0457,0.03,0.01,16777.82,17858.49,4202.52,1.88,46.97,1.00,24.95,69.28,23.09,0.02,0.16,7.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.02,0.00,0.00,0.50,0.94,0.53,0.77,3.22,0.03,767.07,1.00,0.62,0.0000,0.0457,0.03,0.01,0.00,0.04,0.00, 0,16777.82,17858.49,4202.52,1.88,46.97,1.00,24.95,69.28,23.09,0.02,0.16,7.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.02,26.87,0.00,0.40,1.00,0.40,0.77,3.21,0.01,61.96,1.00,0.69,0.0000,0.0371,51.77,37.09,0.08,0.55,10.52, 2,1670.77,1664.71,4202.52,2.01,50.18,0.80,19.88,0.54,1.00,0.54,0.77,3.24,0.00,97.00,1.00,0.64,0.0000,0.0425,70.31,27.85,0.00,0.00,1.84, 0,2281.35,2276.94,4202.52,2.00,50.10,1.09,27.14,0.50,0.96,0.52,0.77,3.23,0.01,91.55,1.00,0.64,0.0000,0.0435,68.12,22.29,0.00,0.08,9.51, 4,2104.54,2199.26,4202.52,1.91,47.85,1.00,25.04,0.48,0.78,0.62,0.76,3.21,0.00,131.50,1.00,0.46,0.0000,0.0645,81.34,10.72,0.00,0.00,7.94, 3,2037.41,2611.00,4202.52,1.56,39.02,0.97,24.24,0.61,1.16,0.52,0.77,3.24,0.00,66.05,1.00,0.78,0.0000,0.0259,67.73,21.13,0.08,0.55,10.52, 2,2550.61,2198.43,4202.52,2.32,58.01,1.21,30.35,0.54,1.00,0.54,0.77,3.23,0.00,96.87,1.00,0.64,0.0000,0.0426,70.32,27.84,0.00,0.00,1.84, 0,2272.94,2274.84,4202.52,2.00,49.96,1.08,27.04,0.50,0.95,0.52,0.77,3.24,0.00,91.44,1.00,0.64,0.0000,0.0436,67.64,22.78,0.00,0.08,9.51, 4,2095.62,2195.48,4202.52,1.91,47.73,1.00,24.93,0.42,0.72,0.58,0.75,3.16,0.00,130.71,1.00,0.38,0.0000,0.0741,77.05,15.01,0.00,0.00,7.94, 3,1764.57,2437.83,4202.52,1.45,36.19,0.84,20.99,,33.000
LinuxPCM,2024-12-02T18:31:47.151Z,0.48,0.87,0.55,0.76,3.19,0.06,840.69,1.00,0.56,0.0000,0.0521,0.05,0.02,16121.19,18482.70,4198.34,1.74,43.61,0.96,24.00,72.55,19.57,0.01,0.22,7.66,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.35,0.00,0.00,0.48,0.87,0.55,0.76,3.19,0.06,840.69,1.00,0.56,0.0000,0.0521,0.05,0.02,0.00,0.07,0.00, 0,16121.19,18482.70,4198.34,1.74,43.61,0.96,24.00,72.55,19.57,0.01,0.22,7.66,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.35,26.15,0.00,0.55,0.90,0.61,0.75,3.16,0.01,111.04,1.00,0.59,0.0000,0.0483,81.09,8.00,0.00,0.19,10.72, 6,2298.26,2563.61,4198.34,1.79,44.82,1.09,27.37,0.56,1.04,0.54,0.76,3.21,0.01,90.03,1.00,0.68,0.0000,0.0381,71.15,28.25,0.00,0.17,0.43, 0,2363.42,2281.67,4198.34,2.07,51.79,1.13,28.15,0.58,1.07,0.54,0.76,3.17,0.00,80.91,1.00,0.72,0.0000,0.0332,71.92,23.22,0.03,0.30,4.53, 4,2439.15,2282.59,4198.34,2.14,53.43,1.16,29.05,0.45,0.71,0.64,0.76,3.18,0.00,142.51,1.00,0.37,0.0000,0.0750,83.80,1.03,0.00,0.22,14.95, 4,1899.40,2666.12,4198.34,1.42,35.62,0.90,22.62,0.35,0.72,0.49,0.76,3.19,0.00,107.51,1.00,0.40,0.0000,0.0722,65.10,23.99,0.00,0.19,10.72, 6,1490.13,2077.09,4198.34,1.43,35.87,0.71,17.75,0.54,1.02,0.53,0.76,3.19,0.00,89.59,1.00,0.67,0.0000,0.0396,69.59,29.81,0.00,0.17,0.43, 0,2259.48,2217.84,4198.34,2.04,50.94,1.08,26.91,0.48,0.99,0.49,0.76,3.19,0.01,78.87,1.00,0.67,0.0000,0.0393,63.95,31.19,0.03,0.30,4.53, 4,2008.37,2037.73,4198.34,1.97,49.28,0.96,23.92,0.32,0.58,0.56,0.76,3.20,0.02,140.24,1.00,0.12,0.0000,0.1029,73.77,11.06,0.00,0.22,14.95, 4,1362.98,2356.05,4198.34,1.16,28.93,0.65,16.23,,33.000
LinuxPCM,2024-12-02T18:31:48.152Z,0.48,0.92,0.52,0.78,3.26,0.03,782.39,1.00,0.60,0.0000,0.0483,0.02,0.01,16206.52,17636.50,4202.06,1.84,45.95,0.96,24.10,67.64,21.16,0.04,1.21,9.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.22,0.00,0.00,0.48,0.92,0.52,0.78,3.26,0.03,782.39,1.00,0.60,0.0000,0.0483,0.02,0.01,0.00,0.04,0.00, 0,16206.52,17636.50,4202.06,1.84,45.95,0.96,24.10,67.64,21.16,0.04,1.21,9.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.22,27.06,0.00,0.41,0.77,0.54,0.78,3.27,0.00,116.24,1.00,0.44,0.0000,0.0667,69.13,23.05,0.00,0.14,7.68, 5,1741.98,2264.34,4202.06,1.54,38.47,0.83,20.73,0.50,0.96,0.52,0.77,3.23,0.01,97.74,1.00,0.61,0.0000,0.0468,67.59,19.23,0.16,4.45,8.57, 0,2089.19,2183.22,4202.06,1.91,47.85,0.99,24.86,0.54,1.06,0.51,0.78,3.30,0.00,80.10,1.00,0.71,0.0000,0.0350,65.29,32.48,0.00,0.00,2.23, 3,2287.60,2153.55,4202.06,2.12,53.11,1.09,27.22,0.47,0.90,0.53,0.78,3.29,0.00,97.29,1.00,0.59,0.0000,0.0491,67.14,11.28,0.00,0.26,21.31, 4,1983.34,2207.18,4202.06,1.80,44.93,0.94,23.60,0.54,0.88,0.62,0.78,3.26,0.00,118.66,1.00,0.56,0.0000,0.0521,79.41,12.78,0.00,0.14,7.68, 5,2277.09,2587.81,4202.06,1.76,44.00,1.08,27.09,0.44,0.91,0.49,0.77,3.24,0.00,96.83,1.00,0.57,0.0000,0.0518,63.33,23.48,0.16,4.45,8.57, 0,1868.38,2052.40,4202.06,1.82,45.52,0.89,22.23,0.59,1.09,0.54,0.77,3.23,0.00,80.77,1.00,0.73,0.0000,0.0327,70.36,27.41,0.00,0.00,2.23, 3,2468.03,2271.93,4202.06,2.17,54.32,1.17,29.37,0.35,0.78,0.46,0.77,3.25,0.00,94.77,1.00,0.47,0.0000,0.0636,58.87,19.55,0.00,0.26,21.31, 4,1490.91,1916.08,4202.06,1.56,38.91,0.71,17.74,,33.000
LinuxPCM,2024-12-02T18:31:49.152Z,0.45,0.87,0.52,0.77,3.25,0.03,825.49,1.00,0.55,0.0000,0.0543,0.03,0.01,15199.47,17452.22,4198.98,1.74,43.55,0.90,22.62,67.17,17.44,0.10,0.95,14.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.16,0.00,0.00,0.45,0.87,0.52,0.77,3.25,0.03,825.49,1.00,0.55,0.0000,0.0543,0.03,0.01,0.00,0.04,0.00, 0,15199.47,17452.22,4198.98,1.74,43.55,0.90,22.62,67.17,17.44,0.10,0.95,14.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.16,25.98,0.00,0.52,0.86,0.60,0.77,3.25,0.00,118.12,1.00,0.55,0.0000,0.0539,78.20,6.31,0.00,0.00,15.49, 3,2190.32,2539.56,4198.98,1.72,43.12,1.04,26.08,0.27,0.76,0.35,0.78,3.28,0.01,81.71,1.00,0.39,0.0000,0.0728,45.06,33.35,0.02,0.91,20.65, 0,1121.79,1479.34,4198.98,1.52,37.92,0.53,13.36,0.56,0.96,0.58,0.78,3.27,0.00,106.34,1.00,0.62,0.0000,0.0456,74.36,17.50,0.00,0.05,8.08, 3,2332.22,2427.69,4198.98,1.92,48.03,1.11,27.77,0.37,0.76,0.49,0.77,3.24,0.01,104.78,1.00,0.43,0.0000,0.0675,63.33,20.31,0.38,2.84,13.14, 6,1551.86,2048.28,4198.98,1.52,37.88,0.74,18.48,0.34,0.68,0.50,0.78,3.28,0.00,114.53,1.00,0.33,0.0000,0.0806,63.34,21.17,0.00,0.00,15.49, 3,1420.71,2079.30,4198.98,1.37,34.16,0.68,16.92,0.60,1.09,0.55,0.76,3.20,0.00,88.00,1.00,0.71,0.0000,0.0350,72.25,6.17,0.02,0.91,20.65, 0,2511.16,2313.90,4198.98,2.17,54.26,1.20,29.90,0.49,0.91,0.54,0.78,3.30,0.00,105.03,1.00,0.57,0.0000,0.0511,68.37,23.49,0.00,0.05,8.08, 3,2054.16,2252.35,4198.98,1.82,45.60,0.98,24.46,0.48,0.87,0.55,0.76,3.19,0.00,106.98,1.00,0.56,0.0000,0.0530,72.45,11.19,0.38,2.84,13.14, 6,2017.24,2311.82,4198.98,1.75,43.63,0.96,24.02,,33.000
LinuxPCM,2024-12-02T18:31:50.151Z,0.41,0.72,0.58,0.79,3.31,0.03,1027.60,1.00,0.38,0.0000,0.0739,0.03,0.02,13897.96,19409.94,4198.56,1.43,35.80,0.83,20.69,73.25,8.92,0.00,0.11,17.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.88,0.00,0.00,0.41,0.72,0.58,0.79,3.31,0.03,1027.60,1.00,0.38,0.0000,0.0739,0.03,0.02,0.00,0.05,0.00, 0,13897.96,19409.94,4198.56,1.43,35.80,0.83,20.69,73.25,8.92,0.00,0.11,17.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.88,26.69,0.00,0.36,0.60,0.60,0.79,3.33,0.00,147.35,1.00,0.19,0.0000,0.0969,75.71,2.95,0.00,0.00,21.34, 1,1520.44,2516.95,4198.56,1.21,30.20,0.72,18.11,0.35,0.61,0.57,0.78,3.27,0.01,147.74,1.00,0.15,0.0000,0.1015,73.22,2.01,0.00,0.32,24.45, 0,1454.93,2396.09,4198.56,1.21,30.36,0.69,17.33,0.45,0.84,0.53,0.78,3.28,0.00,99.65,1.00,0.56,0.0000,0.0530,68.36,13.61,0.00,0.00,18.03, 4,1880.96,2242.30,4198.56,1.68,41.94,0.90,22.40,0.54,0.85,0.63,0.80,3.36,0.01,119.63,1.00,0.55,0.0000,0.0531,78.48,14.33,0.00,0.10,7.08, 1,2250.96,2639.67,4198.56,1.71,42.64,1.07,26.81,0.37,0.61,0.60,0.79,3.34,0.00,147.59,1.00,0.20,0.0000,0.0955,75.83,2.83,0.00,0.00,21.34, 1,1545.63,2530.37,4198.56,1.22,30.54,0.74,18.41,0.36,0.63,0.58,0.78,3.28,0.00,148.11,1.00,0.19,0.0000,0.0973,74.33,0.90,0.00,0.32,24.45, 0,1522.26,2434.02,4198.56,1.25,31.27,0.73,18.13,0.43,0.82,0.53,0.78,3.30,0.00,99.22,1.00,0.54,0.0000,0.0546,67.19,14.78,0.00,0.00,18.03, 4,1817.45,2213.73,4198.56,1.64,41.05,0.87,21.64,0.45,0.78,0.58,0.80,3.34,0.00,118.30,1.00,0.48,0.0000,0.0621,72.90,19.92,0.00,0.10,7.08, 1,1905.34,2436.81,4198.56,1.56,39.09,0.91,22.69,,33.000
LinuxPCM,2024-12-02T18:31:51.152Z,0.44,0.78,0.57,0.77,3.23,0.03,961.76,1.00,0.46,0.0000,0.0644,0.02,0.01,14925.69,19145.44,4202.43,1.56,38.98,0.89,22.20,73.99,13.34,0.00,0.24,12.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.66,0.00,0.00,0.44,0.78,0.57,0.77,3.23,0.03,961.76,1.00,0.46,0.0000,0.0644,0.02,0.01,0.00,0.04,0.00, 0,14925.69,19145.44,4202.43,1.56,38.98,0.89,22.20,73.99,13.34,0.00,0.24,12.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.66,26.49,0.00,0.42,0.66,0.64,0.77,3.22,0.00,147.39,1.00,0.30,0.0000,0.0834,83.12,0.40,0.00,0.12,16.36, 3,1766.47,2676.79,4202.43,1.32,33.00,0.84,21.02,0.36,0.64,0.57,0.76,3.21,0.00,145.56,1.00,0.20,0.0000,0.0953,74.19,10.92,0.02,0.72,14.15, 0,1527.09,2380.20,4202.43,1.28,32.08,0.73,18.17,0.41,0.82,0.50,0.77,3.22,0.00,95.93,1.00,0.53,0.0000,0.0558,65.45,20.11,0.00,0.10,14.34, 5,1719.63,2109.33,4202.43,1.63,40.76,0.82,20.46,0.50,0.95,0.53,0.78,3.26,0.00,90.43,1.00,0.64,0.0000,0.0429,67.92,27.21,0.00,0.00,4.87, 3,2109.10,2213.23,4202.43,1.91,47.65,1.00,25.09,0.34,0.58,0.59,0.77,3.22,0.00,145.93,1.00,0.15,0.0000,0.1017,76.94,6.58,0.00,0.12,16.36, 3,1435.37,2481.04,4202.43,1.16,28.93,0.68,17.08,0.46,0.74,0.62,0.76,3.21,0.00,147.43,1.00,0.36,0.0000,0.0763,81.67,3.44,0.02,0.72,14.15, 0,1933.10,2620.00,4202.43,1.48,36.89,0.92,23.00,0.51,0.91,0.56,0.78,3.27,0.00,97.77,1.00,0.62,0.0000,0.0453,72.22,13.34,0.00,0.10,14.34, 5,2158.72,2360.76,4202.43,1.83,45.72,1.03,25.68,0.54,0.99,0.55,0.78,3.27,0.00,91.32,1.00,0.66,0.0000,0.0401,70.38,24.75,0.00,0.00,4.87, 3,2276.20,2304.09,4202.43,1.98,49.39,1.08,27.08,,33.000
