#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,,Temperature
LinuxPCM,2024-12-03T16:22:21.646Z,0.00,0.47,0.00,1.04,4.36,0.01,0.17,0.90,0.49,0.0004,0.0050,0.01,0.01,33.48,71.00,4203.03,0.94,23.57,0.00,0.05,0.20,1.68,0.11,0.57,97.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,0.00,0.00,0.00,0.47,0.00,1.04,4.36,0.01,0.17,0.90,0.49,0.0004,0.0050,0.01,0.01,0.00,0.02,0.00,16,33.48,71.00,4203.03,0.94,23.57,0.00,0.05,0.20,1.68,0.11,0.57,97.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,2.00,0.00,0.00,0.22,0.00,1.04,4.37,0.00,0.01,0.91,0.38,0.0007,0.0087,0.08,2.36,0.08,1.69,95.79,18,0.76,3.43,4203.03,0.45,11.13,0.00,0.01,0.00,0.67,0.00,1.06,4.45,0.00,0.03,0.89,0.55,0.0003,0.0036,0.28,0.78,0.00,0.00,98.94,17,8.41,12.46,4203.03,1.35,33.74,0.00,0.10,0.00,0.13,0.00,1.05,4.42,0.00,0.00,0.90,0.28,0.0011,0.0120,0.07,2.79,0.36,0.36,96.42,19,0.40,3.16,4203.03,0.25,6.27,0.00,0.00,0.00,0.46,0.00,1.02,4.29,0.00,0.02,0.92,0.41,0.0004,0.0060,0.20,0.99,0.00,0.25,98.57,18,3.96,8.55,4203.03,0.93,23.17,0.00,0.05,0.00,0.56,0.00,1.02,4.30,0.00,0.04,0.89,0.57,0.0004,0.0042,0.41,2.02,0.08,1.69,95.79,18,9.78,17.60,4203.03,1.11,27.79,0.00,0.12,0.00,0.25,0.00,0.97,4.05,0.00,0.01,0.97,0.34,0.0003,0.0114,0.06,1.00,0.00,0.00,98.94,17,0.62,2.52,4203.03,0.49,12.35,0.00,0.01,0.00,0.27,0.00,1.06,4.43,0.00,0.04,0.92,0.37,0.0006,0.0088,0.34,2.52,0.36,0.36,96.42,19,4.03,15.05,4203.03,0.54,13.40,0.00,0.05,0.00,0.67,0.00,1.05,4.41,0.00,0.02,0.87,0.54,0.0004,0.0032,0.19,1.00,0.00,0.25,98.57,18,5.51,8.25,4203.03,1.34,33.41,0.00,0.07,,33.000
LinuxPCM,2024-12-03T16:22:22.646Z,0.00,0.50,0.00,1.05,4.40,0.01,0.16,0.92,0.49,0.0004,0.0047,0.01,0.00,34.16,68.21,4198.40,1.00,25.05,0.00,0.05,0.19,1.57,0.12,0.55,97.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.03,0.00,0.00,0.00,0.50,0.00,1.05,4.40,0.01,0.16,0.92,0.49,0.0004,0.0047,0.01,0.00,0.00,0.01,0.00,16,34.16,68.21,4198.40,1.00,25.05,0.00,0.05,0.19,1.57,0.12,0.55,97.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.03,1.85,0.00,0.00,0.20,0.00,1.04,4.39,0.00,0.00,0.82,0.38,0.0014,0.0080,0.05,1.91,0.50,1.81,95.73,18,0.42,2.11,4198.40,0.40,9.88,0.00,0.00,0.00,0.58,0.00,1.07,4.47,0.00,0.01,0.83,0.30,0.0006,0.0036,0.08,1.02,0.00,0.00,98.91,17,2.00,3.42,4198.40,1.17,29.17,0.00,0.02,0.00,0.10,0.00,1.06,4.47,0.00,0.00,0.81,0.32,0.0019,0.0110,0.05,2.57,0.00,0.31,97.07,19,0.23,2.39,4198.40,0.19,4.79,0.00,0.00,0.00,0.47,0.00,1.02,4.27,0.00,0.02,0.89,0.37,0.0006,0.0059,0.21,1.15,0.00,0.06,98.58,18,4.17,8.79,4198.40,0.95,23.70,0.00,0.05,0.00,0.59,0.00,1.03,4.33,0.00,0.04,0.92,0.58,0.0003,0.0040,0.42,1.54,0.50,1.81,95.73,18,10.60,17.98,4198.40,1.18,29.47,0.01,0.13,0.00,0.68,0.00,1.06,4.46,0.00,0.03,0.93,0.55,0.0002,0.0036,0.26,0.83,0.00,0.00,98.91,17,7.93,11.64,4198.40,1.36,34.05,0.00,0.09,0.00,0.27,0.00,1.07,4.48,0.00,0.03,0.96,0.36,0.0004,0.0086,0.32,2.31,0.00,0.31,97.07,19,3.90,14.30,4198.40,0.55,13.65,0.00,0.05,0.00,0.65,0.00,1.05,4.40,0.00,0.02,0.92,0.53,0.0003,0.0034,0.17,1.19,0.00,0.06,98.58,18,4.93,7.56,4198.40,1.30,32.57,0.00,0.06,,33.000
LinuxPCM,2024-12-03T16:22:23.647Z,0.00,0.52,0.00,1.03,4.34,0.02,0.22,0.89,0.46,0.0005,0.0049,0.02,0.00,44.42,85.18,4202.44,1.04,26.08,0.00,0.07,0.25,2.49,0.21,0.57,96.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.48,0.00,0.00,0.00,0.52,0.00,1.03,4.34,0.02,0.22,0.89,0.46,0.0005,0.0049,0.02,0.00,0.00,0.02,0.00,17,44.42,85.18,4202.44,1.04,26.08,0.00,0.07,0.25,2.49,0.21,0.57,96.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.48,2.30,0.00,0.00,0.39,0.00,1.05,4.43,0.00,0.01,0.87,0.44,0.0007,0.0055,0.11,5.03,0.43,1.49,92.94,18,1.94,4.98,4202.44,0.78,19.48,0.00,0.02,0.00,0.46,0.00,1.04,4.36,0.00,0.02,0.85,0.33,0.0010,0.0073,0.14,1.09,0.34,0.26,98.17,18,2.76,6.00,4202.44,0.92,22.96,0.00,0.03,0.00,0.43,0.00,1.01,4.23,0.00,0.01,0.85,0.34,0.0007,0.0051,0.14,3.29,0.03,0.36,96.17,20,2.62,6.08,4202.44,0.86,21.53,0.00,0.03,0.00,0.60,0.00,1.00,4.19,0.00,0.04,0.88,0.39,0.0006,0.0052,0.28,0.88,0.03,0.15,98.67,19,6.91,11.53,4202.44,1.20,29.96,0.00,0.08,0.00,0.61,0.00,1.04,4.36,0.00,0.05,0.91,0.54,0.0004,0.0041,0.44,4.70,0.43,1.49,92.94,18,11.54,19.02,4202.44,1.21,30.34,0.01,0.14,0.00,0.69,0.00,1.06,4.46,0.00,0.03,0.85,0.56,0.0005,0.0036,0.29,0.94,0.34,0.26,98.17,18,8.89,12.83,4202.44,1.39,34.63,0.00,0.11,0.00,0.28,0.00,1.03,4.34,0.00,0.04,0.93,0.35,0.0006,0.0090,0.40,3.03,0.03,0.36,96.17,20,4.92,17.48,4202.44,0.56,14.08,0.00,0.06,0.00,0.67,0.00,1.04,4.38,0.00,0.02,0.89,0.55,0.0003,0.0032,0.17,0.99,0.03,0.15,98.67,19,4.84,7.24,4202.44,1.34,33.43,0.00,0.06,,33.000
LinuxPCM,2024-12-03T16:22:24.646Z,0.00,0.47,0.00,1.06,4.46,0.01,0.10,0.91,0.46,0.0004,0.0047,0.01,0.00,20.71,44.47,4198.31,0.93,23.29,0.00,0.03,0.12,1.11,0.01,0.44,98.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.81,0.00,0.00,0.00,0.47,0.00,1.06,4.46,0.01,0.10,0.91,0.46,0.0004,0.0047,0.01,0.00,0.00,0.01,0.00,17,20.71,44.47,4198.31,0.93,23.29,0.00,0.03,0.12,1.11,0.01,0.44,98.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.81,1.64,0.00,0.00,0.57,0.00,1.06,4.45,0.00,0.03,0.92,0.54,0.0003,0.0037,0.27,1.17,0.00,1.34,97.21,18,6.97,12.22,4198.31,1.14,28.50,0.00,0.08,0.00,0.69,0.00,1.06,4.44,0.00,0.01,0.85,0.45,0.0004,0.0032,0.13,0.34,0.00,0.18,99.34,19,4.05,5.86,4198.31,1.38,34.57,0.00,0.05,0.00,0.06,0.00,1.07,4.48,0.00,0.00,0.78,0.42,0.0016,0.0080,0.04,2.45,0.00,0.22,97.28,20,0.11,1.80,4198.31,0.13,3.13,0.00,0.00,0.00,0.49,0.00,1.06,4.45,0.00,0.01,0.92,0.39,0.0004,0.0059,0.09,0.43,0.03,0.00,99.44,19,1.93,3.95,4198.31,0.98,24.43,0.00,0.02,0.00,0.34,0.00,1.06,4.47,0.00,0.00,0.70,0.40,0.0020,0.0069,0.04,1.41,0.00,1.34,97.21,18,0.58,1.72,4198.31,0.67,16.82,0.00,0.01,0.00,0.20,0.00,1.06,4.46,0.00,0.00,0.83,0.34,0.0017,0.0106,0.02,0.45,0.00,0.18,99.34,19,0.21,1.02,4198.31,0.40,10.07,0.00,0.00,0.00,0.22,0.00,1.07,4.48,0.00,0.03,0.98,0.33,0.0002,0.0101,0.27,2.22,0.00,0.22,97.28,20,2.76,12.29,4198.31,0.45,11.22,0.00,0.03,0.00,0.73,0.00,1.05,4.41,0.00,0.01,0.90,0.57,0.0003,0.0028,0.13,0.40,0.03,0.00,99.44,19,4.10,5.59,4198.31,1.47,36.69,0.00,0.05,,33.000
LinuxPCM,2024-12-03T16:22:25.647Z,0.00,0.45,0.00,1.04,4.37,0.01,0.10,0.91,0.48,0.0004,0.0053,0.01,0.00,18.59,41.70,4202.21,0.89,22.29,0.00,0.03,0.12,1.16,0.00,0.29,98.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.72,0.00,0.00,0.00,0.45,0.00,1.04,4.37,0.01,0.10,0.91,0.48,0.0004,0.0053,0.01,0.00,0.00,0.01,0.00,18,18.59,41.70,4202.21,0.89,22.29,0.00,0.03,0.12,1.16,0.00,0.29,98.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.72,1.54,0.00,0.00,0.58,0.00,1.06,4.46,0.00,0.01,0.90,0.34,0.0004,0.0045,0.09,0.43,0.00,0.10,99.38,19,2.40,4.14,4202.21,1.16,29.02,0.00,0.03,0.00,0.55,0.00,1.06,4.46,0.00,0.01,0.93,0.45,0.0003,0.0048,0.10,0.49,0.00,0.10,99.31,20,2.36,4.29,4202.21,1.10,27.51,0.00,0.03,0.00,0.32,0.00,1.07,4.48,0.00,0.01,0.86,0.45,0.0007,0.0049,0.09,2.72,0.00,0.18,97.01,20,1.22,3.85,4202.21,0.63,15.80,0.00,0.01,0.00,0.54,0.00,0.96,4.02,0.00,0.02,0.89,0.57,0.0005,0.0049,0.22,0.98,0.01,0.78,98.02,19,4.82,8.85,4202.21,1.09,27.21,0.00,0.06,0.00,0.40,0.00,1.06,4.46,0.00,0.00,0.60,0.51,0.0029,0.0074,0.03,0.49,0.00,0.10,99.38,19,0.53,1.33,4202.21,0.80,20.04,0.00,0.01,0.00,0.22,0.00,1.05,4.42,0.00,0.00,0.94,0.32,0.0006,0.0116,0.03,0.56,0.00,0.10,99.31,20,0.30,1.35,4202.21,0.44,10.95,0.00,0.00,0.00,0.39,0.00,1.07,4.50,0.00,0.04,0.96,0.46,0.0002,0.0058,0.35,2.46,0.00,0.18,97.01,20,6.09,15.74,4202.21,0.77,19.35,0.00,0.07,0.00,0.41,0.00,1.04,4.36,0.00,0.00,0.95,0.43,0.0003,0.0054,0.05,1.15,0.01,0.78,98.02,19,0.87,2.13,4202.21,0.82,20.39,0.00,0.01,,33.000
LinuxPCM,2024-12-03T16:22:26.646Z,0.00,0.50,0.00,1.05,4.41,0.01,0.15,0.92,0.49,0.0003,0.0047,0.01,0.00,32.88,65.92,4198.36,1.00,24.94,0.00,0.05,0.19,1.55,0.10,0.69,97.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.50,0.00,1.05,4.41,0.01,0.15,0.92,0.49,0.0003,0.0047,0.01,0.00,0.00,0.01,0.00,19,32.88,65.92,4198.36,1.00,24.94,0.00,0.05,0.19,1.55,0.10,0.69,97.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,1.86,0.00,0.00,0.47,0.00,1.06,4.44,0.00,0.02,0.93,0.42,0.0003,0.0059,0.17,0.72,0.00,0.06,99.05,19,3.66,7.75,4198.36,0.94,23.60,0.00,0.04,0.00,0.57,0.00,1.06,4.45,0.00,0.02,0.92,0.39,0.0003,0.0047,0.16,0.97,0.00,0.00,98.87,19,4.14,7.21,4198.36,1.15,28.68,0.00,0.05,0.00,0.55,0.00,1.04,4.36,0.00,0.04,0.93,0.60,0.0003,0.0037,0.43,3.44,0.38,2.62,93.13,21,10.24,18.56,4198.36,1.10,27.58,0.00,0.12,0.00,0.28,0.00,1.01,4.23,0.00,0.01,0.88,0.26,0.0012,0.0108,0.07,1.00,0.00,0.07,98.86,20,0.78,2.82,4198.36,0.55,13.84,0.00,0.01,0.00,0.34,0.00,1.06,4.45,0.00,0.00,0.74,0.37,0.0018,0.0075,0.04,0.85,0.00,0.06,99.05,19,0.61,1.78,4198.36,0.69,17.22,0.00,0.01,0.00,0.65,0.00,1.05,4.42,0.00,0.02,0.90,0.52,0.0003,0.0035,0.18,0.95,0.00,0.00,98.87,19,5.09,7.86,4198.36,1.29,32.35,0.00,0.06,0.00,0.08,0.00,1.05,4.43,0.00,0.02,0.99,0.22,0.0002,0.0246,0.21,3.66,0.38,2.62,93.13,21,0.75,9.41,4198.36,0.16,4.00,0.00,0.01,0.00,0.72,0.00,1.06,4.45,0.00,0.03,0.92,0.58,0.0002,0.0033,0.24,0.83,0.00,0.07,98.86,20,7.62,10.53,4198.36,1.45,36.16,0.00,0.09,,33.000
LinuxPCM,2024-12-03T16:22:27.647Z,0.00,0.51,0.00,1.05,4.42,0.04,0.29,0.83,0.47,0.0008,0.0053,0.02,0.01,53.82,105.77,4202.19,1.02,25.44,0.00,0.08,0.30,1.72,0.01,0.73,97.25,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,0.00,0.00,0.00,0.51,0.00,1.05,4.42,0.04,0.29,0.83,0.47,0.0008,0.0053,0.02,0.01,0.00,0.03,0.00,19,53.82,105.77,4202.19,1.02,25.44,0.00,0.08,0.30,1.72,0.01,0.73,97.25,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.17,2.00,0.00,0.00,0.66,0.01,1.04,4.39,0.02,0.08,0.77,0.53,0.0010,0.0045,0.58,1.74,0.00,1.78,95.90,20,16.92,25.60,4202.19,1.32,33.06,0.01,0.20,0.00,0.56,0.00,1.05,4.42,0.00,0.04,0.88,0.45,0.0005,0.0049,0.30,0.92,0.03,0.09,98.65,19,7.46,13.26,4202.19,1.13,28.13,0.00,0.09,0.00,0.54,0.00,1.06,4.43,0.01,0.03,0.75,0.52,0.0009,0.0039,0.36,2.81,0.00,0.95,95.88,21,8.54,15.81,4202.19,1.08,27.02,0.00,0.10,0.00,0.37,0.00,1.03,4.32,0.00,0.02,0.75,0.40,0.0018,0.0081,0.14,1.21,0.00,0.10,98.55,20,2.28,6.22,4202.19,0.73,18.36,0.00,0.03,0.00,0.40,0.00,1.05,4.41,0.00,0.02,0.77,0.39,0.0014,0.0068,0.15,2.17,0.00,1.78,95.90,20,2.69,6.78,4202.19,0.80,19.88,0.00,0.03,0.00,0.42,0.00,1.05,4.43,0.00,0.02,0.90,0.40,0.0007,0.0070,0.19,1.04,0.03,0.09,98.65,19,3.42,8.22,4202.19,0.83,20.82,0.00,0.04,0.00,0.22,0.00,1.06,4.47,0.00,0.03,0.93,0.32,0.0007,0.0108,0.33,2.84,0.00,0.95,95.88,21,3.24,14.63,4202.19,0.44,11.06,0.00,0.04,0.00,0.61,0.00,1.06,4.44,0.00,0.04,0.91,0.50,0.0004,0.0047,0.34,1.00,0.00,0.10,98.55,20,9.26,15.27,4202.19,1.21,30.30,0.00,0.11,,33.000
LinuxPCM,2024-12-03T16:22:28.648Z,0.00,0.49,0.00,1.03,4.33,0.02,0.17,0.89,0.49,0.0005,0.0048,0.01,0.00,34.91,71.15,4203.37,0.98,24.53,0.00,0.05,0.21,1.72,0.11,0.60,97.36,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,0.00,0.00,0.00,0.49,0.00,1.03,4.33,0.02,0.17,0.89,0.49,0.0005,0.0048,0.01,0.00,0.00,0.01,0.00,19,34.91,71.15,4203.37,0.98,24.53,0.00,0.05,0.21,1.72,0.11,0.60,97.36,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,1.94,0.00,0.00,0.59,0.00,0.99,4.14,0.00,0.03,0.90,0.59,0.0004,0.0043,0.24,1.28,0.02,0.64,97.81,20,5.97,10.14,4203.37,1.18,29.46,0.00,0.07,0.00,0.55,0.00,1.02,4.29,0.00,0.04,0.88,0.50,0.0004,0.0041,0.38,1.46,0.22,1.40,96.54,20,8.89,16.12,4203.37,1.10,27.57,0.00,0.11,0.00,0.11,0.00,1.05,4.42,0.00,0.00,0.88,0.37,0.0011,0.0100,0.06,3.07,0.00,0.26,96.61,22,0.29,2.70,4203.37,0.21,5.34,0.00,0.00,0.00,0.65,0.00,1.04,4.38,0.00,0.03,0.90,0.52,0.0004,0.0040,0.31,0.91,0.21,0.08,98.50,21,8.71,13.51,4203.37,1.29,32.25,0.00,0.10,0.00,0.64,0.00,1.05,4.39,0.00,0.02,0.89,0.52,0.0003,0.0035,0.18,1.35,0.02,0.64,97.81,20,4.99,7.76,4203.37,1.29,32.16,0.00,0.06,0.00,0.20,0.00,0.98,4.10,0.00,0.01,0.95,0.33,0.0005,0.0114,0.06,1.77,0.22,1.40,96.54,20,0.52,2.63,4203.37,0.39,9.83,0.00,0.01,0.00,0.31,0.00,1.06,4.43,0.01,0.04,0.87,0.39,0.0010,0.0080,0.38,2.75,0.00,0.26,96.61,22,5.32,16.92,4203.37,0.63,15.71,0.00,0.06,0.00,0.17,0.00,1.03,4.33,0.00,0.00,0.86,0.33,0.0011,0.0104,0.03,1.19,0.21,0.08,98.49,21,0.23,1.38,4203.37,0.33,8.29,0.00,0.00,,33.000
LinuxPCM,2024-12-03T16:22:29.647Z,0.00,0.51,0.00,1.04,4.36,0.01,0.15,0.93,0.50,0.0003,0.0046,0.01,0.00,32.70,64.68,4198.27,1.01,25.28,0.00,0.05,0.19,1.49,0.03,0.60,97.69,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.99,0.00,0.00,0.00,0.51,0.00,1.04,4.36,0.01,0.15,0.93,0.50,0.0003,0.0046,0.01,0.00,0.00,0.01,0.00,19,32.70,64.68,4198.27,1.01,25.28,0.00,0.05,0.19,1.49,0.03,0.60,97.69,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.99,1.82,0.00,0.00,0.57,0.00,1.01,4.22,0.00,0.04,0.92,0.58,0.0003,0.0042,0.40,1.81,0.11,2.12,95.55,21,9.59,16.93,4198.27,1.13,28.31,0.00,0.11,0.00,0.74,0.00,1.06,4.47,0.00,0.04,0.92,0.55,0.0002,0.0032,0.33,0.62,0.00,0.04,99.00,20,10.86,14.73,4198.27,1.47,36.86,0.01,0.13,0.00,0.07,0.00,1.07,4.47,0.00,0.00,0.82,0.39,0.0015,0.0089,0.05,2.71,0.01,0.24,96.98,22,0.17,2.25,4198.27,0.15,3.75,0.00,0.00,0.00,0.65,0.00,1.01,4.23,0.00,0.02,0.92,0.51,0.0003,0.0036,0.19,0.58,0.00,0.00,99.23,21,5.33,8.21,4198.27,1.30,32.46,0.00,0.06,0.00,0.10,0.00,1.03,4.34,0.00,0.00,0.77,0.39,0.0022,0.0104,0.03,2.19,0.11,2.12,95.55,21,0.11,1.10,4198.27,0.20,5.09,0.00,0.00,0.00,0.22,0.00,1.06,4.44,0.00,0.00,0.90,0.36,0.0010,0.0112,0.04,0.91,0.00,0.04,99.00,20,0.40,1.83,4198.27,0.43,10.85,0.00,0.00,0.00,0.28,0.00,1.07,4.48,0.00,0.04,0.96,0.34,0.0004,0.0088,0.34,2.42,0.01,0.24,96.98,22,4.25,15.27,4198.27,0.56,13.93,0.00,0.05,0.00,0.46,0.00,1.05,4.41,0.00,0.01,0.93,0.42,0.0004,0.0056,0.10,0.67,0.00,0.00,99.23,21,1.99,4.35,4198.27,0.92,22.92,0.00,0.02,,33.000
LinuxPCM,2024-12-03T16:22:30.648Z,0.00,0.51,0.00,1.05,4.41,0.01,0.15,0.93,0.50,0.0003,0.0047,0.01,0.00,32.79,64.43,4202.11,1.02,25.45,0.00,0.05,0.18,1.53,0.02,0.35,97.92,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.51,0.00,1.05,4.41,0.01,0.15,0.93,0.50,0.0003,0.0047,0.01,0.00,0.00,0.01,0.00,20,32.79,64.43,4202.11,1.02,25.45,0.00,0.05,0.18,1.53,0.02,0.35,97.92,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,1.82,0.00,0.00,0.70,0.00,1.05,4.42,0.00,0.02,0.92,0.49,0.0003,0.0034,0.21,0.88,0.02,0.05,98.85,21,6.43,9.15,4202.11,1.41,35.14,0.00,0.08,0.00,0.66,0.01,1.04,4.37,0.00,0.05,0.94,0.60,0.0002,0.0036,0.51,1.62,0.06,1.13,96.68,20,14.65,22.28,4202.11,1.32,32.88,0.01,0.17,0.00,0.07,0.00,1.06,4.46,0.00,0.00,0.79,0.37,0.0016,0.0091,0.05,2.71,0.01,0.17,97.06,22,0.17,2.27,4202.11,0.15,3.71,0.00,0.00,0.00,0.47,0.00,1.03,4.31,0.00,0.02,0.95,0.40,0.0003,0.0066,0.13,0.74,0.00,0.03,99.10,21,2.72,5.82,4202.11,0.93,23.36,0.00,0.03,0.00,0.52,0.00,1.06,4.45,0.00,0.02,0.94,0.46,0.0003,0.0048,0.14,0.94,0.02,0.05,98.85,21,3.25,6.24,4202.11,1.04,26.07,0.00,0.04,0.00,0.14,0.00,1.04,4.39,0.00,0.00,0.85,0.33,0.0014,0.0108,0.03,2.10,0.06,1.13,96.68,20,0.18,1.31,4202.11,0.27,6.87,0.00,0.00,0.00,0.32,0.00,1.06,4.47,0.00,0.04,0.93,0.38,0.0005,0.0079,0.37,2.39,0.01,0.17,97.06,22,5.27,16.52,4202.11,0.64,15.95,0.00,0.06,0.00,0.15,0.00,1.04,4.35,0.00,0.00,0.74,0.43,0.0019,0.0083,0.02,0.85,0.00,0.03,99.10,21,0.12,0.85,4202.11,0.29,7.33,0.00,0.00,,33.000
