#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,,Temperature
LinuxPCM,2024-12-03T16:28:43.046Z,0.03,1.40,0.02,0.99,4.14,0.02,44.92,1.00,0.67,0.0000,0.0383,0.01,0.01,1173.34,840.14,4202.31,2.79,69.83,0.07,1.75,2.53,3.65,0.02,0.79,93.01,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.66,0.00,0.00,0.03,1.40,0.02,0.99,4.14,0.02,44.92,1.00,0.67,0.0000,0.0383,0.01,0.01,0.00,0.02,0.00,20,1173.34,840.14,4202.31,2.79,69.83,0.07,1.75,2.53,3.65,0.02,0.79,93.01,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.66,5.48,0.00,0.00,0.44,0.00,0.99,4.15,0.00,0.04,0.90,0.51,0.0005,0.0061,0.40,1.27,0.05,1.95,96.33,21,7.33,16.76,4202.31,0.87,21.86,0.00,0.09,0.00,0.33,0.00,1.03,4.32,0.00,0.01,0.84,0.36,0.0012,0.0083,0.11,18.78,0.00,0.12,80.99,20,1.62,4.87,4202.31,0.66,16.61,0.00,0.02,0.00,0.37,0.00,0.99,4.14,0.00,0.02,0.88,0.41,0.0006,0.0060,0.20,2.79,0.02,0.04,96.95,22,3.01,8.12,4202.31,0.74,18.56,0.00,0.04,0.00,0.60,0.00,1.02,4.27,0.00,0.04,0.92,0.59,0.0003,0.0038,0.39,0.82,0.00,1.05,97.75,21,9.91,16.46,4202.31,1.20,30.10,0.00,0.12,0.00,0.28,0.00,0.95,4.01,0.00,0.01,0.89,0.40,0.0008,0.0082,0.10,1.57,0.05,1.95,96.33,21,1.11,3.99,4202.31,0.56,13.89,0.00,0.01,0.27,1.50,0.18,0.98,4.13,0.00,44.74,1.00,0.67,0.0000,0.0393,18.41,0.47,0.00,0.12,81.00,20,1139.29,761.46,4202.31,2.99,74.81,0.54,13.56,0.00,0.31,0.00,1.03,4.32,0.00,0.04,0.95,0.40,0.0003,0.0069,0.38,2.61,0.02,0.04,96.95,22,5.06,16.30,4202.31,0.62,15.54,0.00,0.06,0.00,0.49,0.00,0.99,4.17,0.00,0.02,0.86,0.61,0.0005,0.0040,0.29,0.90,0.00,1.05,97.75,21,6.00,12.19,4202.31,0.98,24.62,0.00,0.07,,33.000
LinuxPCM,2024-12-03T16:28:44.047Z,0.02,1.36,0.01,1.04,4.37,0.01,25.81,1.00,0.65,0.0000,0.0402,0.01,0.00,642.20,471.49,4202.19,2.72,68.10,0.04,0.96,1.35,2.60,0.10,0.69,95.26,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.29,0.00,0.00,0.02,1.36,0.01,1.04,4.37,0.01,25.81,1.00,0.65,0.0000,0.0402,0.01,0.00,0.00,0.01,0.00, 0,642.20,471.49,4202.19,2.72,68.10,0.04,0.96,1.35,2.60,0.10,0.69,95.26,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.29,4.10,0.00,0.00,0.65,0.00,1.06,4.45,0.00,0.03,0.89,0.53,0.0004,0.0041,0.28,0.57,0.00,0.03,99.13,17,8.11,12.45,4202.19,1.30,32.58,0.00,0.10,0.00,0.58,0.00,1.06,4.44,0.00,0.02,0.93,0.43,0.0003,0.0044,0.17,0.57,0.00,0.08,99.17,19,4.45,7.67,4202.19,1.16,29.02,0.00,0.05,0.15,1.48,0.10,1.04,4.36,0.00,25.68,1.00,0.65,0.0000,0.0418,9.49,2.53,0.00,0.27,87.70, 0,614.73,414.13,4202.19,2.97,74.22,0.29,7.31,0.00,0.56,0.00,1.03,4.35,0.00,0.04,0.93,0.59,0.0003,0.0040,0.43,1.75,0.40,2.39,95.03,19,10.48,18.69,4202.19,1.12,28.04,0.00,0.12,0.00,0.18,0.00,1.05,4.41,0.00,0.00,0.91,0.39,0.0008,0.0102,0.03,0.82,0.00,0.03,99.13,17,0.23,1.29,4202.19,0.36,9.09,0.00,0.00,0.00,0.29,0.00,1.06,4.44,0.00,0.00,0.78,0.31,0.0017,0.0085,0.04,0.71,0.00,0.08,99.17,19,0.48,1.68,4202.19,0.57,14.31,0.00,0.01,0.00,0.23,0.00,1.06,4.47,0.00,0.03,0.97,0.33,0.0003,0.0103,0.29,11.73,0.00,0.27,87.70, 0,2.94,12.98,4202.19,0.45,11.32,0.00,0.03,0.00,0.30,0.00,1.05,4.43,0.00,0.00,0.82,0.40,0.0011,0.0063,0.06,2.12,0.40,2.39,95.03,19,0.77,2.60,4202.19,0.59,14.76,0.00,0.01,,33.000
LinuxPCM,2024-12-03T16:28:45.047Z,0.12,1.39,0.09,1.01,4.23,0.03,169.95,1.00,0.65,0.0000,0.0411,0.02,0.01,4136.05,2985.70,4201.97,2.77,69.26,0.25,6.15,8.83,9.80,0.05,0.77,80.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.48,0.00,0.00,0.12,1.39,0.09,1.01,4.23,0.03,169.95,1.00,0.65,0.0000,0.0411,0.02,0.01,0.00,0.03,0.00, 0,4136.05,2985.70,4201.97,2.77,69.26,0.25,6.15,8.83,9.80,0.05,0.77,80.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.48,16.32,0.00,0.27,1.46,0.19,1.02,4.27,0.00,47.46,1.00,0.65,0.0000,0.0415,18.35,19.20,0.00,0.15,62.30,18,1143.37,783.57,4201.97,2.92,72.96,0.54,13.61,0.00,0.39,0.00,0.99,4.17,0.01,0.04,0.85,0.38,0.0009,0.0072,0.34,20.30,0.12,0.56,78.69,18,5.47,14.09,4201.97,0.78,19.40,0.00,0.07,0.13,1.47,0.09,1.01,4.22,0.00,22.34,1.00,0.65,0.0000,0.0418,8.61,2.07,0.02,0.66,88.63,19,534.74,363.96,4201.97,2.94,73.46,0.25,6.36,0.02,0.66,0.03,1.06,4.45,0.01,6.83,1.00,0.31,0.0001,0.0705,3.29,2.33,0.06,1.70,92.62, 0,96.90,146.46,4201.97,1.32,33.08,0.05,1.15,0.27,1.47,0.18,1.00,4.21,0.00,42.07,1.00,0.69,0.0000,0.0369,18.39,19.16,0.00,0.15,62.30,18,1139.60,774.66,4201.97,2.94,73.55,0.54,13.56,0.27,1.49,0.18,0.98,4.13,0.00,44.81,1.00,0.67,0.0000,0.0393,18.53,2.11,0.12,0.56,78.69,18,1138.90,765.15,4201.97,2.98,74.42,0.54,13.55,0.00,0.40,0.01,1.01,4.26,0.01,0.06,0.88,0.38,0.0007,0.0063,0.54,10.15,0.02,0.66,88.63,19,9.07,22.94,4201.97,0.79,19.77,0.00,0.11,0.02,0.59,0.03,1.07,4.50,0.00,6.35,1.00,0.21,0.0000,0.0933,2.55,3.06,0.06,1.70,92.62, 0,68.00,114.87,4201.97,1.18,29.60,0.03,0.81,,33.000
LinuxPCM,2024-12-03T16:28:46.048Z,0.10,1.20,0.09,1.02,4.27,0.02,162.85,1.00,0.61,0.0000,0.0465,0.01,0.01,3504.21,2915.11,4201.90,2.40,60.10,0.21,5.21,8.53,7.08,0.02,0.87,83.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.10,1.20,0.09,1.02,4.27,0.02,162.85,1.00,0.61,0.0000,0.0465,0.01,0.01,0.00,0.02,0.00, 0,3504.21,2915.11,4201.90,2.40,60.10,0.21,5.21,8.53,7.08,0.02,0.87,83.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,13.79,0.00,0.18,1.48,0.12,1.01,4.25,0.01,26.47,1.00,0.70,0.0000,0.0352,11.99,5.85,0.10,3.08,78.99, 0,751.85,509.54,4201.90,2.95,73.78,0.36,8.95,0.00,0.41,0.00,1.02,4.30,0.00,0.03,0.84,0.42,0.0009,0.0063,0.26,0.80,0.00,0.15,98.80,18,4.68,11.36,4201.90,0.82,20.62,0.00,0.06,0.27,1.50,0.18,1.02,4.28,0.00,47.98,1.00,0.65,0.0000,0.0421,17.78,1.77,0.00,0.03,80.42,20,1138.36,760.46,4201.90,2.99,74.85,0.54,13.55,0.06,0.61,0.11,1.04,4.35,0.00,25.93,1.00,0.20,0.0000,0.0954,10.31,13.69,0.00,0.22,75.78,18,271.67,448.78,4201.90,1.21,30.27,0.13,3.23,0.06,1.40,0.04,0.99,4.16,0.00,8.49,1.00,0.72,0.0000,0.0326,4.47,13.37,0.10,3.08,78.98, 0,260.58,185.75,4201.90,2.81,70.14,0.12,3.10,0.00,0.37,0.00,1.04,4.35,0.00,0.01,0.68,0.32,0.0014,0.0046,0.10,0.96,0.00,0.15,98.80,18,1.65,4.41,4201.90,0.75,18.64,0.00,0.02,0.00,0.09,0.00,1.04,4.38,0.00,0.02,0.97,0.22,0.0006,0.0243,0.24,19.31,0.00,0.03,80.42,20,0.96,10.61,4201.90,0.18,4.53,0.00,0.01,0.26,1.09,0.23,1.01,4.25,0.00,53.92,1.00,0.58,0.0000,0.0502,23.14,0.86,0.00,0.22,75.78,18,1074.45,984.19,4201.90,2.18,54.59,0.51,12.78,,33.000
LinuxPCM,2024-12-03T16:28:47.048Z,0.10,1.45,0.07,0.99,4.16,0.02,125.93,1.00,0.67,0.0000,0.0388,0.01,0.01,3243.50,2241.26,4202.66,2.89,72.36,0.19,4.82,6.72,7.89,0.01,0.53,84.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.82,0.00,0.00,0.10,1.45,0.07,0.99,4.16,0.02,125.93,1.00,0.67,0.0000,0.0388,0.01,0.01,0.00,0.02,0.00,20,3243.50,2241.26,4202.66,2.89,72.36,0.19,4.82,6.72,7.89,0.01,0.53,84.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.82,12.65,0.00,0.00,0.60,0.00,1.04,4.36,0.00,0.05,0.91,0.49,0.0004,0.0046,0.38,33.89,0.00,0.03,65.70,21,9.84,16.53,4202.66,1.19,29.77,0.00,0.12,0.00,0.39,0.00,1.02,4.27,0.00,0.02,0.89,0.42,0.0006,0.0060,0.24,19.28,0.00,0.39,80.09,20,4.00,10.22,4202.66,0.78,19.57,0.00,0.05,0.00,0.48,0.00,1.04,4.36,0.00,0.02,0.88,0.49,0.0004,0.0037,0.26,2.05,0.00,0.31,97.38,21,5.51,11.53,4202.66,0.96,23.89,0.00,0.07,0.00,0.09,0.00,0.94,3.94,0.00,0.01,0.88,0.31,0.0016,0.0144,0.11,2.25,0.05,1.37,96.21,21,0.37,4.20,4202.66,0.17,4.34,0.00,0.00,0.49,1.48,0.33,1.00,4.20,0.00,81.02,1.00,0.67,0.0000,0.0391,33.37,0.90,0.00,0.03,65.70,21,2071.53,1401.37,4202.66,2.96,73.91,0.99,24.65,0.27,1.49,0.18,0.98,4.10,0.00,44.74,1.00,0.67,0.0000,0.0393,18.59,0.93,0.00,0.39,80.09,20,1138.33,761.92,4202.66,2.99,74.70,0.54,13.54,0.00,0.19,0.00,1.03,4.34,0.00,0.03,0.95,0.30,0.0005,0.0111,0.33,1.98,0.00,0.31,97.38,21,2.77,14.34,4202.66,0.39,9.64,0.00,0.03,0.00,0.53,0.01,1.00,4.20,0.00,0.05,0.89,0.56,0.0004,0.0041,0.50,1.86,0.05,1.37,96.21,21,11.16,21.14,4202.66,1.06,26.38,0.01,0.13,,33.000
LinuxPCM,2024-12-03T16:28:48.049Z,0.14,1.46,0.10,1.01,4.23,0.05,177.68,1.00,0.68,0.0000,0.0378,0.03,0.01,4698.04,3222.02,4202.05,2.92,72.91,0.28,6.99,9.51,10.59,0.00,0.45,79.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.37,0.00,0.00,0.14,1.46,0.10,1.01,4.23,0.05,177.68,1.00,0.68,0.0000,0.0378,0.03,0.01,0.00,0.04,0.00, 0,4698.04,3222.02,4202.05,2.92,72.91,0.28,6.99,9.51,10.59,0.00,0.45,79.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.37,16.18,0.00,0.00,0.36,0.00,1.02,4.29,0.00,0.04,0.90,0.36,0.0009,0.0098,0.29,36.89,0.00,0.16,62.67,15,4.49,12.31,4202.05,0.73,18.23,0.00,0.05,0.00,0.53,0.00,1.03,4.33,0.01,0.04,0.84,0.50,0.0006,0.0044,0.43,2.33,0.00,0.47,96.77, 0,9.93,18.73,4202.05,1.06,26.52,0.00,0.12,0.27,1.49,0.18,1.02,4.30,0.01,47.99,1.00,0.65,0.0000,0.0421,17.85,2.75,0.00,0.82,78.58,19,1140.66,767.82,4202.05,2.97,74.28,0.54,13.57,0.00,0.48,0.00,1.02,4.29,0.00,0.03,0.85,0.48,0.0006,0.0047,0.28,19.55,0.00,0.37,79.80,17,5.77,11.91,4202.05,0.97,24.21,0.00,0.07,0.54,1.48,0.36,1.00,4.21,0.00,85.56,1.00,0.69,0.0000,0.0376,36.38,0.80,0.00,0.16,62.67,15,2275.29,1533.57,4202.05,2.97,74.18,1.08,27.07,0.03,1.37,0.02,1.04,4.38,0.00,4.16,1.00,0.67,0.0000,0.0384,1.81,0.96,0.00,0.47,96.77, 0,108.32,79.18,4202.05,2.74,68.40,0.05,1.29,0.00,0.26,0.00,1.03,4.31,0.00,0.05,0.91,0.34,0.0008,0.0097,0.44,20.16,0.00,0.82,78.58,19,4.88,18.93,4202.05,0.52,12.88,0.00,0.06,0.27,1.47,0.19,1.00,4.19,0.02,39.81,1.00,0.71,0.0000,0.0347,18.58,1.25,0.00,0.37,79.80,17,1148.71,779.57,4202.05,2.95,73.68,0.55,13.67,,33.000
LinuxPCM,2024-12-03T16:28:49.050Z,0.07,1.44,0.05,0.98,4.12,0.01,82.89,1.00,0.68,0.0000,0.0378,0.01,0.00,2190.12,1518.76,4202.87,2.88,72.10,0.13,3.26,4.61,5.26,0.00,0.11,90.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.60,0.00,0.00,0.07,1.44,0.05,0.98,4.12,0.01,82.89,1.00,0.68,0.0000,0.0378,0.01,0.00,0.00,0.01,0.00,20,2190.12,1518.76,4202.87,2.88,72.10,0.13,3.26,4.61,5.26,0.00,0.11,90.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.60,8.40,0.00,0.00,0.27,0.00,1.00,4.20,0.00,0.02,0.91,0.29,0.0010,0.0133,0.14,18.92,0.00,0.07,80.87,21,1.55,5.81,4202.87,0.53,13.33,0.00,0.02,0.00,0.47,0.00,0.99,4.14,0.00,0.05,0.95,0.44,0.0004,0.0084,0.31,17.16,0.00,0.00,82.53,20,6.04,12.88,4202.87,0.94,23.43,0.00,0.07,0.00,0.21,0.00,1.03,4.32,0.00,0.01,0.67,0.44,0.0026,0.0086,0.11,2.16,0.00,0.16,97.57,22,1.03,4.80,4202.87,0.43,10.75,0.00,0.01,0.00,0.29,0.00,1.00,4.21,0.00,0.01,0.85,0.34,0.0009,0.0073,0.12,0.54,0.00,0.23,99.11,22,1.51,5.17,4202.87,0.59,14.63,0.00,0.02,0.27,1.48,0.18,0.99,4.16,0.00,42.05,1.00,0.69,0.0000,0.0370,18.50,0.56,0.00,0.07,80.87,21,1137.77,770.52,4202.87,2.95,73.83,0.54,13.54,0.25,1.48,0.17,0.97,4.06,0.00,40.69,1.00,0.67,0.0000,0.0394,17.16,0.31,0.00,0.00,82.53,20,1033.97,697.31,4202.87,2.97,74.14,0.49,12.30,0.00,0.37,0.00,1.01,4.23,0.00,0.04,0.94,0.46,0.0003,0.0058,0.39,1.88,0.00,0.16,97.57,22,6.13,16.64,4202.87,0.74,18.41,0.00,0.07,0.00,0.38,0.00,0.99,4.16,0.00,0.01,0.91,0.41,0.0004,0.0061,0.14,0.52,0.00,0.23,99.11,22,2.13,5.62,4202.87,0.76,18.96,0.00,0.03,,33.000
LinuxPCM,2024-12-03T16:28:50.061Z,0.16,1.47,0.11,1.00,4.20,0.02,209.71,1.00,0.68,0.0000,0.0380,0.02,0.01,5513.55,3759.60,4198.88,2.93,73.33,0.33,8.19,11.17,12.27,0.19,0.54,75.84,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.78,0.00,0.00,0.16,1.47,0.11,1.00,4.20,0.02,209.71,1.00,0.68,0.0000,0.0380,0.02,0.01,0.00,0.02,0.00, 0,5513.55,3759.60,4198.88,2.93,73.33,0.33,8.19,11.17,12.27,0.19,0.54,75.84,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.78,19.50,0.00,0.00,0.50,0.00,1.04,4.35,0.00,0.05,0.94,0.44,0.0003,0.0058,0.42,37.29,0.00,0.03,62.26,17,9.21,18.31,4198.88,1.01,25.16,0.00,0.11,0.00,0.43,0.00,1.03,4.35,0.00,0.03,0.89,0.39,0.0005,0.0054,0.26,14.63,0.04,0.46,84.61, 0,4.94,11.46,4198.88,0.86,21.56,0.00,0.06,0.27,1.48,0.18,1.02,4.30,0.00,47.99,1.00,0.65,0.0000,0.0420,17.91,2.08,0.00,0.42,79.60,20,1141.80,769.36,4198.88,2.97,74.20,0.54,13.60,0.00,0.16,0.00,1.00,4.20,0.00,0.01,0.88,0.28,0.0014,0.0128,0.16,20.52,0.73,1.25,77.34,17,1.05,6.53,4198.88,0.32,8.06,0.00,0.01,0.54,1.49,0.36,1.00,4.21,0.00,85.56,1.00,0.69,0.0000,0.0376,36.43,1.29,0.00,0.03,62.26,17,2275.51,1531.82,4198.88,2.97,74.27,1.08,27.10,0.20,1.49,0.14,0.98,4.13,0.00,33.59,1.00,0.67,0.0000,0.0393,13.89,1.01,0.04,0.46,84.61, 0,855.45,573.36,4198.88,2.98,74.60,0.41,10.19,0.00,0.32,0.00,1.02,4.28,0.00,0.04,0.94,0.38,0.0004,0.0071,0.45,19.54,0.00,0.42,79.60,20,6.02,19.08,4198.88,0.63,15.78,0.00,0.07,0.29,1.47,0.20,0.99,4.16,0.00,42.44,1.00,0.71,0.0000,0.0348,19.72,1.90,0.73,1.24,76.42, 5,1219.56,829.69,4198.88,2.94,73.50,0.57,14.35,,33.000
LinuxPCM,2024-12-03T16:28:51.049Z,0.04,1.40,0.03,0.98,4.10,0.02,53.85,1.00,0.68,0.0000,0.0370,0.01,0.01,1456.14,1036.66,4198.33,2.81,70.23,0.09,2.17,3.17,4.37,0.10,1.15,91.22,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.91,0.00,0.00,0.04,1.40,0.03,0.98,4.10,0.02,53.85,1.00,0.68,0.0000,0.0370,0.01,0.01,0.00,0.02,0.00, 2,1456.14,1036.66,4198.33,2.81,70.23,0.09,2.17,3.17,4.37,0.10,1.15,91.22,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.91,5.85,0.00,0.00,0.47,0.01,0.96,4.04,0.00,0.05,0.92,0.57,0.0004,0.0050,0.57,1.57,0.03,3.90,93.93,19,10.94,23.07,4198.33,0.95,23.71,0.01,0.13,0.00,0.54,0.00,0.98,4.13,0.00,0.03,0.81,0.45,0.0008,0.0050,0.27,5.28,0.33,0.30,93.82,20,5.92,11.02,4198.33,1.07,26.86,0.00,0.07,0.02,1.29,0.02,1.07,4.47,0.00,3.13,1.00,0.65,0.0000,0.0380,1.42,2.42,0.02,0.33,95.80, 2,82.47,63.70,4198.33,2.59,64.73,0.04,0.98,0.00,0.29,0.00,0.84,3.51,0.00,0.01,0.84,0.31,0.0014,0.0094,0.07,19.08,0.00,0.06,80.79,20,0.67,2.31,4198.33,0.58,14.45,0.00,0.01,0.00,0.48,0.00,1.00,4.19,0.00,0.02,0.92,0.58,0.0003,0.0045,0.25,1.89,0.03,3.90,93.93,19,4.98,10.34,4198.33,0.96,24.07,0.00,0.06,0.07,1.48,0.05,0.96,4.04,0.00,11.17,1.00,0.67,0.0000,0.0395,4.74,0.81,0.33,0.30,93.82,20,282.85,191.24,4198.33,2.96,73.95,0.13,3.37,0.00,0.21,0.00,1.02,4.29,0.00,0.03,0.98,0.33,0.0002,0.0101,0.31,3.54,0.02,0.33,95.80, 2,2.82,13.31,4198.33,0.42,10.59,0.00,0.03,0.26,1.48,0.17,0.97,4.09,0.00,39.41,1.00,0.69,0.0000,0.0370,17.88,0.28,0.00,0.06,81.78,20,1065.49,721.68,4198.33,2.95,73.82,0.51,12.84,,33.000
LinuxPCM,2024-12-03T16:28:52.049Z,0.19,1.47,0.13,1.00,4.18,0.02,240.54,1.00,0.68,0.0000,0.0379,0.02,0.01,6338.43,4320.16,4202.19,2.93,73.36,0.38,9.43,12.90,13.62,0.03,1.54,71.91,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.47,0.00,0.00,0.19,1.47,0.13,1.00,4.18,0.02,240.54,1.00,0.68,0.0000,0.0379,0.02,0.01,0.00,0.02,0.00, 0,6338.43,4320.16,4202.19,2.93,73.36,0.38,9.43,12.90,13.62,0.03,1.54,71.91,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.47,22.31,0.00,0.00,0.22,0.00,1.00,4.19,0.00,0.04,0.95,0.26,0.0007,0.0158,0.26,36.91,0.00,0.13,62.70,17,2.32,10.74,4202.19,0.43,10.81,0.00,0.03,0.00,0.54,0.01,1.00,4.19,0.01,0.05,0.88,0.55,0.0004,0.0038,0.59,19.25,0.04,2.10,78.02,16,13.30,24.67,4202.19,1.08,26.95,0.01,0.16,0.25,1.47,0.17,1.02,4.28,0.00,44.92,1.00,0.65,0.0000,0.0420,16.94,2.15,0.08,3.88,76.95,18,1069.39,725.49,4202.19,2.95,73.70,0.51,12.72,0.00,0.43,0.00,1.00,4.21,0.00,0.04,0.92,0.45,0.0005,0.0068,0.32,29.67,0.00,0.04,69.98, 0,5.66,13.28,4202.19,0.85,21.30,0.00,0.07,0.54,1.48,0.36,1.00,4.21,0.00,85.56,1.00,0.69,0.0000,0.0376,36.36,0.81,0.00,0.13,62.70,17,2275.51,1532.45,4202.19,2.97,74.24,1.08,27.08,0.27,1.49,0.18,0.98,4.11,0.00,44.76,1.00,0.67,0.0000,0.0392,18.69,1.15,0.04,2.10,78.02,16,1141.20,768.18,4202.19,2.97,74.28,0.54,13.58,0.00,0.27,0.00,1.01,4.23,0.00,0.04,0.94,0.35,0.0005,0.0079,0.44,18.65,0.08,3.88,76.95,18,5.07,18.76,4202.19,0.54,13.52,0.00,0.06,0.43,1.49,0.29,0.99,4.14,0.00,65.14,1.00,0.70,0.0000,0.0357,29.59,0.40,0.00,0.04,69.98, 0,1825.98,1226.59,4202.19,2.98,74.43,0.87,21.73,,33.000
