#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,,Temperature
LinuxPCM,2024-12-03T16:18:19.026Z,0.07,1.14,0.06,1.06,4.44,0.02,110.56,1.00,0.59,0.0000,0.0478,0.01,0.01,2312.47,2031.27,4202.52,2.28,56.92,0.14,3.44,5.72,5.88,0.10,0.53,87.77,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.34,0.00,0.00,0.07,1.14,0.06,1.06,4.44,0.02,110.56,1.00,0.59,0.0000,0.0478,0.01,0.01,0.00,0.02,0.00,24,2312.47,2031.27,4202.52,2.28,56.92,0.14,3.44,5.72,5.88,0.10,0.53,87.77,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.34,11.17,0.00,0.13,1.41,0.09,1.05,4.41,0.00,23.88,1.00,0.63,0.0000,0.0442,8.71,1.22,0.00,0.08,89.99,25,540.73,384.14,4202.52,2.82,70.38,0.26,6.43,0.00,0.41,0.00,1.06,4.43,0.00,0.03,0.90,0.43,0.0006,0.0060,0.31,1.87,0.02,0.27,97.53,25,5.66,13.74,4202.52,0.82,20.61,0.00,0.07,0.29,1.19,0.24,1.06,4.46,0.00,58.25,1.00,0.60,0.0000,0.0483,22.80,7.12,0.02,0.36,69.70,26,1206.69,1016.47,4202.52,2.37,59.36,0.57,14.36,0.00,0.31,0.00,1.04,4.36,0.00,0.01,0.82,0.32,0.0010,0.0060,0.18,4.17,0.35,1.41,93.89,25,2.38,7.65,4202.52,0.62,15.58,0.00,0.03,0.00,0.43,0.00,1.03,4.32,0.00,0.03,0.85,0.40,0.0008,0.0059,0.26,9.68,0.00,0.08,89.98,25,4.81,11.26,4202.52,0.85,21.34,0.00,0.06,0.00,0.54,0.00,1.05,4.41,0.00,0.02,0.90,0.50,0.0004,0.0038,0.22,1.96,0.02,0.27,97.53,25,5.17,9.66,4202.52,1.07,26.76,0.00,0.06,0.13,0.95,0.14,1.06,4.44,0.00,28.30,1.00,0.55,0.0000,0.0527,12.79,17.13,0.02,0.36,69.70,26,537.29,568.44,4202.52,1.89,47.26,0.26,6.39,0.00,0.49,0.00,1.03,4.33,0.00,0.04,0.90,0.57,0.0004,0.0043,0.46,3.89,0.35,1.41,93.89,25,9.73,19.91,4202.52,0.98,24.42,0.00,0.12,,33.000
LinuxPCM,2024-12-03T16:18:20.027Z,0.14,1.41,0.10,1.05,4.41,0.02,204.34,1.00,0.63,0.0000,0.0446,0.01,0.01,4585.03,3243.55,4202.89,2.83,70.68,0.27,6.82,9.19,9.98,0.03,0.98,79.82,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.80,0.00,0.00,0.14,1.41,0.10,1.05,4.41,0.02,204.34,1.00,0.63,0.0000,0.0446,0.01,0.01,0.00,0.02,0.00,23,4585.03,3243.55,4202.89,2.83,70.68,0.27,6.82,9.19,9.98,0.03,0.98,79.82,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.80,18.61,0.00,0.54,1.43,0.38,1.06,4.44,0.00,100.94,1.00,0.63,0.0000,0.0443,35.83,0.72,0.02,0.15,63.28,23,2277.26,1590.71,4202.89,2.86,71.58,1.08,27.09,0.00,0.44,0.00,1.05,4.39,0.00,0.04,0.87,0.49,0.0006,0.0051,0.43,0.82,0.00,1.62,97.13,24,8.26,18.81,4202.89,0.88,21.95,0.00,0.10,0.00,0.11,0.00,1.05,4.42,0.00,0.01,0.89,0.23,0.0018,0.0168,0.08,37.30,0.00,0.00,62.62,23,0.39,3.64,4202.89,0.21,5.37,0.00,0.00,0.00,0.43,0.00,1.04,4.37,0.00,0.02,0.89,0.44,0.0004,0.0046,0.26,1.24,0.09,2.14,96.26,24,4.89,11.40,4202.89,0.86,21.43,0.00,0.06,0.00,0.48,0.00,1.05,4.39,0.00,0.03,0.91,0.48,0.0005,0.0058,0.27,36.27,0.02,0.15,63.29,23,5.78,11.95,4202.89,0.97,24.17,0.00,0.07,0.00,0.30,0.00,1.04,4.39,0.00,0.01,0.93,0.47,0.0003,0.0060,0.17,1.08,0.00,1.62,97.13,24,2.23,7.39,4202.89,0.60,15.12,0.00,0.03,0.54,1.44,0.38,1.04,4.38,0.00,103.23,1.00,0.62,0.0000,0.0454,36.03,1.35,0.00,0.00,62.62,23,2275.87,1580.21,4202.89,2.88,72.01,1.08,27.08,0.00,0.53,0.00,1.03,4.34,0.00,0.04,0.93,0.56,0.0003,0.0041,0.45,1.05,0.09,2.14,96.26,24,10.35,19.43,4202.89,1.07,26.64,0.00,0.12,,33.000
LinuxPCM,2024-12-03T16:18:21.027Z,0.09,1.40,0.07,1.05,4.42,0.03,139.53,1.00,0.63,0.0000,0.0443,0.02,0.01,3150.05,2256.97,4201.98,2.79,69.78,0.19,4.69,6.38,7.20,0.08,0.92,85.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.79,0.00,0.00,0.09,1.40,0.07,1.05,4.42,0.03,139.53,1.00,0.63,0.0000,0.0443,0.02,0.01,0.00,0.02,0.00, 0,3150.05,2256.97,4201.98,2.79,69.78,0.19,4.69,6.38,7.20,0.08,0.92,85.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.79,13.64,0.00,0.30,1.43,0.21,1.06,4.44,0.00,55.46,1.00,0.63,0.0000,0.0443,19.70,8.74,0.02,0.08,71.46, 0,1252.19,875.53,4201.98,2.86,71.51,0.60,14.90,0.00,0.40,0.00,1.05,4.40,0.00,0.03,0.83,0.41,0.0009,0.0065,0.25,1.09,0.21,0.31,98.15,21,4.31,10.86,4201.98,0.79,19.85,0.00,0.05,0.00,0.39,0.00,1.05,4.42,0.00,0.04,0.94,0.46,0.0004,0.0076,0.34,22.98,0.05,1.92,74.72, 3,5.86,15.10,4201.98,0.78,19.40,0.00,0.07,0.00,0.54,0.00,1.05,4.39,0.01,0.05,0.87,0.54,0.0005,0.0043,0.45,0.75,0.04,1.37,97.38,21,10.71,19.93,4201.98,1.07,26.86,0.01,0.13,0.12,1.41,0.09,1.06,4.47,0.00,22.69,1.00,0.63,0.0000,0.0440,8.20,20.24,0.02,0.08,71.46, 0,516.19,366.65,4201.98,2.82,70.39,0.25,6.14,0.00,0.25,0.00,1.01,4.26,0.00,0.01,0.83,0.32,0.0018,0.0116,0.12,1.22,0.21,0.31,98.15,21,1.27,5.14,4201.98,0.50,12.39,0.00,0.02,0.32,1.43,0.23,1.05,4.39,0.00,61.21,1.00,0.62,0.0000,0.0453,21.56,1.75,0.05,1.92,74.72, 3,1350.80,946.86,4201.98,2.85,71.33,0.64,16.07,0.00,0.52,0.00,1.04,4.39,0.01,0.04,0.86,0.50,0.0006,0.0047,0.38,0.82,0.04,1.37,97.38,21,8.72,16.89,4201.98,1.03,25.81,0.00,0.10,,33.000
LinuxPCM,2024-12-03T16:18:22.028Z,0.11,1.42,0.08,1.05,4.40,0.01,166.63,1.00,0.63,0.0000,0.0447,0.01,0.00,3729.61,2632.92,4202.31,2.83,70.83,0.22,5.55,7.48,8.56,0.01,0.11,83.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.56,0.00,0.00,0.11,1.42,0.08,1.05,4.40,0.01,166.63,1.00,0.63,0.0000,0.0447,0.01,0.00,0.00,0.01,0.00,24,3729.61,2632.92,4202.31,2.83,70.83,0.22,5.55,7.48,8.56,0.01,0.11,83.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.56,15.35,0.00,0.00,0.21,0.00,1.05,4.39,0.00,0.02,0.93,0.27,0.0010,0.0154,0.16,26.77,0.00,0.12,72.95,25,1.41,6.88,4202.31,0.41,10.26,0.00,0.02,0.00,0.61,0.00,1.05,4.41,0.00,0.03,0.87,0.53,0.0004,0.0035,0.30,1.26,0.00,0.03,98.40,25,8.07,13.31,4202.31,1.21,30.30,0.00,0.10,0.23,1.44,0.16,1.04,4.38,0.00,44.65,1.00,0.62,0.0000,0.0453,15.60,18.67,0.00,0.07,65.66,25,984.92,683.70,4202.31,2.88,72.03,0.47,11.72,0.00,0.31,0.00,1.05,4.40,0.00,0.02,0.86,0.30,0.0010,0.0075,0.20,1.18,0.03,0.21,98.38,25,2.82,9.01,4202.31,0.63,15.66,0.00,0.03,0.39,1.42,0.28,1.05,4.42,0.00,72.92,1.00,0.63,0.0000,0.0442,26.21,0.72,0.00,0.12,72.95,25,1650.40,1159.01,4202.31,2.85,71.20,0.79,19.64,0.00,0.10,0.00,1.04,4.38,0.00,0.00,0.86,0.28,0.0017,0.0147,0.07,1.49,0.00,0.03,98.40,25,0.31,3.07,4202.31,0.20,5.07,0.00,0.00,0.26,1.43,0.18,1.04,4.38,0.00,48.98,1.00,0.62,0.0000,0.0453,17.22,17.06,0.00,0.07,65.66,25,1081.26,754.15,4202.31,2.87,71.69,0.51,12.86,0.00,0.11,0.00,1.04,4.38,0.00,0.01,0.86,0.30,0.0017,0.0137,0.09,1.29,0.03,0.21,98.38,25,0.42,3.79,4202.31,0.22,5.57,0.00,0.01,,33.000
LinuxPCM,2024-12-03T16:18:23.029Z,0.14,1.41,0.10,1.05,4.40,0.02,203.93,1.00,0.63,0.0000,0.0445,0.01,0.00,4584.85,3247.68,4202.39,2.82,70.59,0.27,6.82,9.21,10.32,0.03,0.46,79.97,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.96,0.00,0.00,0.14,1.41,0.10,1.05,4.40,0.02,203.93,1.00,0.63,0.0000,0.0445,0.01,0.00,0.00,0.01,0.00,22,4584.85,3247.68,4202.39,2.82,70.59,0.27,6.82,9.21,10.32,0.03,0.46,79.97,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.96,18.78,0.00,0.00,0.48,0.01,1.03,4.31,0.00,0.06,0.93,0.51,0.0004,0.0055,0.50,37.85,0.10,1.39,60.15,22,10.40,21.65,4202.39,0.96,24.02,0.00,0.12,0.00,0.50,0.00,1.06,4.43,0.00,0.03,0.86,0.45,0.0006,0.0046,0.25,0.82,0.02,0.23,98.68,23,5.43,10.97,4202.39,0.99,24.75,0.00,0.06,0.54,1.44,0.38,1.04,4.38,0.00,103.22,1.00,0.62,0.0000,0.0452,36.13,1.58,0.00,0.00,62.29,22,2282.84,1582.40,4202.39,2.89,72.13,1.09,27.16,0.00,0.35,0.00,1.01,4.26,0.00,0.02,0.92,0.39,0.0005,0.0068,0.24,0.77,0.00,0.23,98.75,23,3.67,10.43,4202.39,0.70,17.61,0.00,0.04,0.54,1.42,0.38,1.06,4.43,0.00,100.55,1.00,0.63,0.0000,0.0442,36.05,2.30,0.10,1.39,60.15,22,2276.14,1598.87,4202.39,2.85,71.18,1.08,27.08,0.00,0.54,0.00,1.05,4.41,0.00,0.02,0.90,0.51,0.0003,0.0037,0.21,0.86,0.02,0.23,98.68,23,5.04,9.30,4202.39,1.08,27.09,0.00,0.06,0.00,0.09,0.00,1.06,4.44,0.00,0.03,0.97,0.23,0.0006,0.0256,0.24,37.47,0.00,0.00,62.29,22,1.00,10.65,4202.39,0.19,4.68,0.00,0.01,0.00,0.10,0.00,1.04,4.35,0.00,0.00,0.83,0.28,0.0021,0.0142,0.08,0.94,0.00,0.23,98.75,23,0.33,3.41,4202.39,0.19,4.83,0.00,0.00,,33.000
LinuxPCM,2024-12-03T16:18:24.028Z,0.09,1.38,0.07,1.05,4.42,0.05,134.31,1.00,0.63,0.0000,0.0440,0.02,0.01,3053.07,2209.11,4197.81,2.76,69.10,0.18,4.55,6.26,7.56,0.11,0.55,85.53,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.48,0.00,0.00,0.09,1.38,0.07,1.05,4.42,0.05,134.31,1.00,0.63,0.0000,0.0440,0.02,0.01,0.00,0.03,0.00, 1,3053.07,2209.11,4197.81,2.76,69.10,0.18,4.55,6.26,7.56,0.11,0.55,85.53,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.48,13.32,0.00,0.14,1.39,0.10,1.06,4.45,0.00,25.91,1.00,0.63,0.0000,0.0436,9.61,18.08,0.00,0.00,72.31, 1,594.56,427.25,4197.81,2.78,69.58,0.28,7.08,0.00,0.40,0.00,1.05,4.43,0.00,0.04,0.89,0.42,0.0007,0.0067,0.32,1.15,0.05,0.27,98.21,22,5.70,14.34,4197.81,0.79,19.87,0.00,0.07,0.31,1.44,0.22,1.04,4.38,0.00,59.71,1.00,0.62,0.0000,0.0452,20.98,2.05,0.00,0.15,76.82, 4,1320.31,918.88,4197.81,2.87,71.84,0.63,15.73,0.00,0.48,0.01,1.03,4.33,0.01,0.07,0.85,0.53,0.0007,0.0049,0.64,2.43,0.39,1.77,94.76,21,13.44,27.88,4197.81,0.96,24.09,0.01,0.16,0.26,1.41,0.19,1.06,4.45,0.01,48.48,1.00,0.63,0.0000,0.0440,17.53,10.16,0.00,0.00,72.31, 1,1101.31,778.83,4197.81,2.83,70.70,0.52,13.12,0.00,0.67,0.00,1.05,4.41,0.01,0.05,0.69,0.53,0.0012,0.0040,0.43,1.04,0.05,0.27,98.21,22,12.85,19.08,4197.81,1.35,33.67,0.01,0.15,0.00,0.17,0.00,1.05,4.40,0.00,0.04,0.93,0.28,0.0010,0.0153,0.32,22.71,0.00,0.15,76.82, 4,2.34,14.02,4197.81,0.33,8.33,0.00,0.03,0.00,0.29,0.00,1.02,4.27,0.00,0.02,0.84,0.42,0.0012,0.0086,0.21,2.87,0.39,1.77,94.76,21,2.58,8.83,4197.81,0.58,14.61,0.00,0.03,,33.000
LinuxPCM,2024-12-03T16:18:25.029Z,0.11,1.41,0.08,1.04,4.38,0.02,171.80,1.00,0.63,0.0000,0.0445,0.01,0.01,3864.15,2746.82,4202.56,2.81,70.34,0.23,5.75,7.83,9.21,0.12,0.46,82.38,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.95,0.00,0.00,0.11,1.41,0.08,1.04,4.38,0.02,171.80,1.00,0.63,0.0000,0.0445,0.01,0.01,0.00,0.02,0.00,24,3864.15,2746.82,4202.56,2.81,70.34,0.23,5.75,7.83,9.21,0.12,0.46,82.38,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.95,15.78,0.00,0.00,0.46,0.00,1.03,4.32,0.00,0.05,0.95,0.49,0.0003,0.0063,0.40,29.04,0.43,0.72,69.42,24,7.93,17.11,4202.56,0.93,23.19,0.00,0.09,0.00,0.37,0.00,1.03,4.35,0.00,0.03,0.89,0.37,0.0007,0.0072,0.24,1.19,0.02,0.22,98.34,24,3.90,10.60,4202.56,0.74,18.42,0.00,0.05,0.50,1.44,0.35,1.04,4.37,0.00,95.11,1.00,0.62,0.0000,0.0453,33.25,1.97,0.00,0.11,64.67,26,2098.10,1453.14,4202.56,2.89,72.19,1.00,24.96,0.00,0.57,0.01,1.04,4.36,0.01,0.05,0.87,0.51,0.0005,0.0040,0.54,1.52,0.04,0.81,97.09,25,13.35,23.39,4202.56,1.14,28.53,0.01,0.16,0.41,1.42,0.29,1.05,4.41,0.00,76.50,1.00,0.63,0.0000,0.0442,27.60,1.83,0.43,0.72,69.42,24,1732.40,1216.87,4202.56,2.85,71.18,0.82,20.61,0.00,0.55,0.00,1.05,4.41,0.01,0.03,0.71,0.47,0.0012,0.0045,0.24,1.21,0.02,0.22,98.32,24,5.94,10.78,4202.56,1.10,27.53,0.00,0.07,0.00,0.19,0.00,1.06,4.44,0.00,0.03,0.97,0.27,0.0004,0.0127,0.26,34.96,0.00,0.11,64.67,26,2.21,11.67,4202.56,0.38,9.48,0.00,0.03,0.00,0.10,0.00,1.04,4.36,0.00,0.00,0.84,0.32,0.0019,0.0130,0.07,1.98,0.04,0.81,97.09,25,0.31,3.27,4202.56,0.19,4.79,0.00,0.00,,33.000
LinuxPCM,2024-12-03T16:18:26.029Z,0.14,1.41,0.10,1.05,4.39,0.02,203.91,1.00,0.63,0.0000,0.0445,0.01,0.00,4585.70,3253.96,4200.04,2.82,70.46,0.27,6.82,9.26,10.18,0.02,1.46,79.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,0.00,0.00,0.14,1.41,0.10,1.05,4.39,0.02,203.91,1.00,0.63,0.0000,0.0445,0.01,0.00,0.00,0.02,0.00,22,4585.70,3253.96,4200.04,2.82,70.46,0.27,6.82,9.26,10.18,0.02,1.46,79.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,18.30,0.00,0.06,1.36,0.05,1.04,4.37,0.00,11.69,1.00,0.63,0.0000,0.0434,4.54,32.41,0.02,0.28,62.73,22,269.32,198.47,4200.04,2.71,67.85,0.13,3.21,0.00,0.50,0.00,1.04,4.37,0.00,0.03,0.85,0.52,0.0005,0.0038,0.40,0.91,0.01,1.60,97.09,23,8.56,17.26,4200.04,0.99,24.79,0.00,0.10,0.33,1.44,0.23,1.04,4.37,0.00,63.51,1.00,0.62,0.0000,0.0453,22.18,15.37,0.02,0.07,62.36,22,1400.85,970.12,4200.04,2.89,72.20,0.67,16.68,0.00,0.40,0.00,1.03,4.34,0.00,0.04,0.93,0.53,0.0004,0.0056,0.37,1.58,0.02,3.88,94.14,23,6.55,16.25,4200.04,0.81,20.15,0.00,0.08,0.48,1.42,0.34,1.05,4.43,0.00,88.93,1.00,0.63,0.0000,0.0442,31.99,4.97,0.02,0.28,62.73,22,2013.42,1416.99,4200.04,2.84,71.05,0.96,23.97,0.00,0.34,0.00,1.04,4.37,0.00,0.02,0.92,0.42,0.0005,0.0068,0.18,1.10,0.01,1.60,97.11,23,2.74,8.07,4200.04,0.68,17.00,0.00,0.03,0.21,1.43,0.15,1.04,4.36,0.00,39.66,1.00,0.62,0.0000,0.0453,14.02,23.53,0.02,0.07,62.36,22,875.70,611.45,4200.04,2.86,71.61,0.42,10.43,0.00,0.56,0.00,1.03,4.33,0.00,0.03,0.92,0.53,0.0003,0.0036,0.35,1.60,0.02,3.88,94.14,23,8.57,15.35,4200.04,1.12,27.94,0.00,0.10,,33.000
LinuxPCM,2024-12-03T16:18:27.028Z,0.09,1.40,0.06,1.05,4.41,0.01,129.27,1.00,0.63,0.0000,0.0444,0.01,0.00,2913.47,2074.16,4197.73,2.81,70.23,0.17,4.34,5.88,6.47,0.01,0.82,86.82,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.33,0.00,0.00,0.09,1.40,0.06,1.05,4.41,0.01,129.27,1.00,0.63,0.0000,0.0444,0.01,0.00,0.00,0.01,0.00, 1,2913.47,2074.16,4197.73,2.81,70.23,0.17,4.34,5.88,6.47,0.01,0.82,86.82,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.33,12.16,0.00,0.38,1.44,0.26,1.06,4.44,0.00,70.77,1.00,0.63,0.0000,0.0444,25.02,0.50,0.00,0.03,74.45, 1,1594.17,1109.20,4197.73,2.87,71.86,0.76,18.99,0.00,0.58,0.00,1.05,4.41,0.00,0.04,0.88,0.50,0.0004,0.0042,0.35,0.46,0.02,0.33,98.83,22,8.89,15.43,4197.73,1.15,28.80,0.00,0.11,0.00,0.43,0.00,1.05,4.42,0.00,0.04,0.97,0.46,0.0002,0.0074,0.31,22.01,0.00,1.76,75.91, 5,5.94,13.86,4197.73,0.86,21.44,0.00,0.07,0.00,0.49,0.00,1.05,4.41,0.00,0.03,0.92,0.54,0.0003,0.0045,0.29,0.44,0.00,1.17,98.10,21,6.25,12.83,4197.73,0.97,24.35,0.00,0.07,0.00,0.48,0.00,1.06,4.44,0.00,0.02,0.84,0.34,0.0008,0.0054,0.15,25.38,0.00,0.03,74.45, 1,3.13,6.54,4197.73,0.96,23.96,0.00,0.04,0.00,0.13,0.00,1.05,4.40,0.00,0.00,0.86,0.31,0.0016,0.0131,0.05,0.76,0.02,0.33,98.83,22,0.30,2.33,4197.73,0.25,6.33,0.00,0.00,0.31,1.43,0.21,1.04,4.38,0.00,58.34,1.00,0.62,0.0000,0.0453,20.59,1.73,0.00,1.76,75.91, 5,1288.44,900.94,4197.73,2.86,71.51,0.61,15.35,0.00,0.49,0.00,1.05,4.41,0.00,0.03,0.90,0.60,0.0004,0.0041,0.30,0.44,0.00,1.17,98.10,21,6.36,13.03,4197.73,0.98,24.39,0.00,0.08,,33.000
LinuxPCM,2024-12-03T16:18:28.029Z,0.12,1.41,0.08,1.04,4.38,0.02,176.98,1.00,0.63,0.0000,0.0445,0.01,0.00,3980.41,2814.64,4202.50,2.83,70.71,0.24,5.92,8.03,9.04,0.11,0.49,82.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.05,0.00,0.00,0.12,1.41,0.08,1.04,4.38,0.02,176.98,1.00,0.63,0.0000,0.0445,0.01,0.00,0.00,0.02,0.00,23,3980.41,2814.64,4202.50,2.83,70.71,0.24,5.92,8.03,9.04,0.11,0.49,82.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.05,15.87,0.00,0.00,0.38,0.00,1.05,4.40,0.00,0.02,0.95,0.32,0.0004,0.0088,0.14,29.74,0.00,0.00,70.11,25,2.40,6.32,4202.50,0.76,18.99,0.00,0.03,0.00,0.38,0.00,1.05,4.43,0.00,0.02,0.90,0.38,0.0006,0.0066,0.16,0.60,0.00,0.19,99.05,24,2.73,7.09,4202.50,0.77,19.21,0.00,0.03,0.00,0.11,0.00,1.05,4.43,0.00,0.00,0.90,0.27,0.0013,0.0147,0.07,35.46,0.00,0.22,64.25,25,0.32,2.92,4202.50,0.22,5.47,0.00,0.00,0.00,0.56,0.01,1.03,4.32,0.00,0.05,0.90,0.57,0.0004,0.0040,0.50,1.58,0.44,1.54,95.93,25,11.97,21.50,4202.50,1.11,27.83,0.01,0.14,0.43,1.42,0.31,1.05,4.40,0.00,80.40,1.00,0.63,0.0000,0.0441,29.16,0.73,0.00,0.00,70.11,25,1823.82,1283.66,4202.50,2.84,71.04,0.87,21.70,0.00,0.62,0.00,1.05,4.41,0.00,0.02,0.88,0.54,0.0004,0.0033,0.18,0.58,0.00,0.19,99.05,24,4.90,7.87,4202.50,1.24,31.12,0.00,0.06,0.51,1.44,0.35,1.04,4.36,0.00,96.46,1.00,0.62,0.0000,0.0452,33.95,1.58,0.00,0.22,64.25,25,2133.71,1482.27,4202.50,2.88,71.97,1.02,25.39,0.00,0.19,0.00,1.04,4.37,0.00,0.01,0.60,0.50,0.0038,0.0102,0.07,2.01,0.44,1.54,95.93,25,0.56,2.99,4202.50,0.38,9.43,0.00,0.01,,33.000
