#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,Temperature
LinuxPCM,2024-12-01T16:20:52.776Z,1.16,1.28,0.91,0.91,3.82,0.01,2.48,1.00,0.58,0.0000,0.0025,0.01,0.01,994.30,775.89,106.86,2.56,64.07,2.33,58.23,99.99,0.01,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.00,1.16,1.28,0.91,0.91,3.82,0.01,2.48,1.00,0.58,0.0000,0.0025,0.01,0.01,0.00,0.02,0.00, 0,994.30,775.89,106.86,2.56,64.07,2.33,58.23,99.99,0.01,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,1.11,0.00,0.99,1.09,0.91,0.91,3.82,0.00,1.10,1.00,0.49,0.0000,0.0104,99.99,0.01,0.00,0.00,0.00, 3,105.88,97.11,106.86,2.18,54.51,1.98,49.54,1.25,1.38,0.91,0.91,3.82,0.00,0.00,0.88,0.90,0.0000,0.0000,99.93,0.07,0.00,0.00,0.00, 0,133.55,96.92,106.86,2.76,68.90,2.50,62.58,1.10,1.21,0.91,0.91,3.82,0.00,0.08,0.94,0.77,0.0000,0.0006,100.02,0.00,0.00,0.00,0.00, 5,117.59,96.83,106.86,2.43,60.72,2.21,55.20,1.19,1.31,0.91,0.91,3.82,0.00,0.06,1.00,0.74,0.0000,0.0005,99.98,0.02,0.00,0.00,0.00, 2,127.18,96.96,106.86,2.62,65.58,2.38,59.60,1.06,1.16,0.91,0.91,3.82,0.00,1.12,1.00,0.48,0.0000,0.0099,100.00,0.00,0.00,0.00,0.00, 3,112.95,96.99,106.86,2.33,58.22,2.12,52.92,1.16,1.28,0.91,0.91,3.82,0.00,0.03,0.99,0.83,0.0000,0.0003,100.00,0.00,0.00,0.00,0.00, 0,124.32,97.00,106.86,2.56,64.08,2.33,58.24,1.20,1.32,0.91,0.91,3.82,0.00,0.04,0.99,0.93,0.0000,0.0003,99.99,0.01,0.00,0.00,0.00, 5,127.66,97.03,106.86,2.63,65.78,2.39,59.78,1.36,1.50,0.91,0.91,3.82,0.00,0.05,0.99,0.74,0.0000,0.0004,99.98,0.02,0.00,0.00,0.00, 2,145.16,97.04,106.86,2.99,74.80,2.72,67.97,
LinuxPCM,2024-12-01T16:20:52.802Z,1.14,1.26,0.90,0.91,3.80,0.01,0.74,0.99,0.86,0.0000,0.0008,0.01,0.01,982.56,777.67,107.52,2.53,63.17,2.28,57.08,99.83,0.17,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,1.14,1.26,0.90,0.91,3.80,0.01,0.74,0.99,0.86,0.0000,0.0008,0.01,0.01,0.00,0.02,0.00, 0,982.56,777.67,107.52,2.53,63.17,2.28,57.08,99.83,0.17,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,1.13,0.00,1.28,1.41,0.90,0.91,3.80,0.00,0.09,0.99,0.63,0.0000,0.0006,99.82,0.18,0.00,0.00,0.00, 2,137.10,97.14,107.52,2.82,70.57,2.55,63.76,1.19,1.32,0.90,0.91,3.80,0.00,0.09,1.00,0.63,0.0000,0.0007,99.85,0.15,0.00,0.00,0.00, 0,128.32,97.24,107.52,2.64,65.98,2.39,59.63,1.05,1.16,0.90,0.91,3.80,0.00,0.06,0.96,0.61,0.0000,0.0006,99.84,0.16,0.00,0.00,0.00, 4,113.11,97.19,107.52,2.33,58.19,2.10,52.58,1.09,1.20,0.90,0.91,3.80,0.00,0.10,1.00,0.95,0.0000,0.0009,99.82,0.18,0.00,0.00,0.00, 3,116.81,97.21,107.52,2.40,60.08,2.17,54.28,1.21,1.34,0.90,0.91,3.80,0.00,0.12,1.00,0.47,0.0000,0.0009,99.82,0.18,0.00,0.00,0.00, 2,129.99,97.26,107.52,2.67,66.82,2.42,60.38,1.03,1.14,0.90,0.91,3.80,0.00,0.17,1.00,0.92,0.0000,0.0016,99.84,0.16,0.00,0.00,0.00, 0,110.77,97.24,107.52,2.28,56.95,2.06,51.47,1.17,1.29,0.90,0.91,3.80,0.00,0.10,1.00,0.60,0.0000,0.0008,99.82,0.18,0.00,0.00,0.00, 4,125.48,97.20,107.52,2.58,64.55,2.33,58.32,1.12,1.25,0.90,0.91,3.80,0.00,0.01,0.90,0.87,0.0000,0.0001,99.81,0.19,0.00,0.00,0.00, 3,120.99,97.18,107.52,2.49,62.25,2.25,56.24,
LinuxPCM,2024-12-01T16:20:52.827Z,1.13,1.24,0.91,0.91,3.81,0.00,0.93,1.00,0.93,0.0000,0.0010,0.01,0.01,931.69,749.96,103.43,2.48,62.12,2.25,56.34,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.00,0.00,1.13,1.24,0.91,0.91,3.81,0.00,0.93,1.00,0.93,0.0000,0.0010,0.01,0.01,0.00,0.02,0.00, 0,931.69,749.96,103.43,2.48,62.12,2.25,56.34,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.09,0.00,1.03,1.14,0.91,0.91,3.81,0.00,0.11,1.00,0.95,0.0000,0.0010,100.01,0.00,0.00,0.00,0.00, 3,106.68,93.82,103.43,2.27,56.85,2.06,51.57,1.05,1.15,0.91,0.91,3.81,0.00,0.15,1.00,0.93,0.0000,0.0014,100.00,0.00,0.00,0.00,0.00, 0,108.17,93.73,103.43,2.31,57.71,2.09,52.34,1.03,1.13,0.91,0.91,3.81,0.00,0.13,1.00,0.94,0.0000,0.0013,100.00,0.00,0.00,0.00,0.00, 5,106.17,93.73,103.43,2.27,56.64,2.05,51.37,1.36,1.50,0.91,0.91,3.81,0.00,0.08,1.00,0.63,0.0000,0.0006,100.00,0.00,0.00,0.00,0.00, 3,140.69,93.72,103.43,3.00,75.05,2.72,68.08,1.00,1.10,0.91,0.91,3.81,0.00,0.13,1.00,0.94,0.0000,0.0012,100.00,0.00,0.00,0.00,0.00, 3,103.33,93.71,103.43,2.21,55.14,2.00,50.01,1.35,1.49,0.91,0.91,3.81,0.00,0.06,1.00,0.78,0.0000,0.0004,100.00,0.00,0.00,0.00,0.00, 0,139.44,93.72,103.43,2.98,74.39,2.70,67.48,1.07,1.17,0.91,0.91,3.81,0.00,0.10,1.00,0.96,0.0000,0.0009,100.01,0.00,0.00,0.00,0.00, 5,110.09,93.73,103.43,2.35,58.73,2.13,53.27,1.13,1.25,0.91,0.91,3.81,0.00,0.17,1.00,0.92,0.0000,0.0015,100.00,0.00,0.00,0.00,0.00, 3,117.11,93.80,103.43,2.50,62.42,2.26,56.62,
LinuxPCM,2024-12-01T16:20:52.852Z,1.25,1.37,0.91,0.91,3.82,0.00,0.45,1.00,0.86,0.0000,0.0004,0.01,0.01,1067.27,777.31,107.02,2.75,68.65,2.49,62.29,99.72,0.28,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,1.25,1.37,0.91,0.91,3.82,0.00,0.45,1.00,0.86,0.0000,0.0004,0.01,0.01,0.00,0.01,0.00, 0,1067.27,777.31,107.02,2.75,68.65,2.49,62.29,99.72,0.28,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,1.13,0.00,1.25,1.38,0.91,0.91,3.82,0.00,0.00,0.86,0.89,0.0000,0.0000,99.72,0.28,0.00,0.00,0.00, 3,134.14,97.10,107.02,2.76,69.07,2.51,62.67,1.30,1.43,0.91,0.91,3.82,0.00,0.08,1.00,0.64,0.0000,0.0006,99.74,0.26,0.00,0.00,0.00, 0,139.06,97.18,107.02,2.86,71.54,2.60,64.92,1.37,1.51,0.91,0.91,3.82,0.00,0.08,1.00,0.61,0.0000,0.0006,99.73,0.27,0.00,0.00,0.00, 4,146.77,97.18,107.02,3.02,75.52,2.74,68.52,1.14,1.25,0.91,0.91,3.82,0.00,0.01,0.97,0.96,0.0000,0.0001,99.71,0.29,0.00,0.00,0.00, 3,121.90,97.19,107.02,2.51,62.71,2.28,56.89,1.33,1.47,0.91,0.91,3.82,0.00,0.02,0.99,0.67,0.0000,0.0001,99.72,0.28,0.00,0.00,0.00, 3,142.63,97.17,107.02,2.94,73.39,2.66,66.58,1.07,1.18,0.91,0.91,3.82,0.00,0.15,1.00,0.93,0.0000,0.0013,99.73,0.27,0.00,0.00,0.00, 0,114.25,97.20,107.02,2.35,58.77,2.13,53.33,1.29,1.42,0.91,0.91,3.82,0.00,0.07,1.00,0.70,0.0000,0.0005,99.72,0.28,0.00,0.00,0.00, 4,138.39,97.18,107.02,2.85,71.20,2.58,64.60,1.22,1.34,0.91,0.91,3.82,0.00,0.05,0.99,0.77,0.0000,0.0004,99.73,0.27,0.00,0.00,0.00, 3,130.14,97.11,107.02,2.68,67.01,2.43,60.80,
LinuxPCM,2024-12-01T16:20:52.877Z,1.15,1.27,0.91,0.91,3.81,0.00,0.78,1.00,0.91,0.0000,0.0008,0.01,0.01,946.07,746.77,102.91,2.53,63.34,2.30,57.45,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,1.15,1.27,0.91,0.91,3.81,0.00,0.78,1.00,0.91,0.0000,0.0008,0.01,0.01,0.00,0.01,0.00, 0,946.07,746.77,102.91,2.53,63.34,2.30,57.45,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,1.08,0.00,1.16,1.27,0.91,0.91,3.81,0.00,0.07,0.99,0.69,0.0000,0.0006,100.00,0.00,0.00,0.00,0.00, 1,119.01,93.34,102.91,2.55,63.75,2.31,57.82,1.17,1.29,0.91,0.91,3.81,0.00,0.14,1.00,0.93,0.0000,0.0012,100.00,0.00,0.00,0.00,0.00, 0,120.44,93.29,102.91,2.58,64.55,2.34,58.55,1.04,1.15,0.91,0.91,3.81,0.00,0.14,1.00,0.93,0.0000,0.0013,99.97,0.03,0.00,0.00,0.00, 4,107.17,93.33,102.91,2.30,57.42,2.08,52.06,1.18,1.30,0.91,0.91,3.81,0.00,0.10,1.00,0.95,0.0000,0.0008,100.01,0.00,0.00,0.00,0.00, 4,121.35,93.37,102.91,2.60,64.99,2.36,58.95,1.14,1.26,0.91,0.91,3.81,0.00,0.10,1.00,0.49,0.0000,0.0009,100.00,0.00,0.00,0.00,0.00, 1,117.71,93.37,102.91,2.52,63.03,2.29,57.17,1.28,1.41,0.91,0.91,3.81,0.00,0.02,0.99,0.66,0.0000,0.0002,100.00,0.00,0.00,0.00,0.00, 0,131.88,93.34,102.91,2.83,70.64,2.56,64.07,1.17,1.29,0.91,0.91,3.81,0.00,0.03,0.99,0.92,0.0000,0.0002,100.00,0.00,0.00,0.00,0.00, 4,120.02,93.36,102.91,2.57,64.27,2.33,58.30,1.05,1.16,0.91,0.91,3.81,0.00,0.17,1.00,0.92,0.0000,0.0016,100.00,0.00,0.00,0.00,0.00, 4,108.49,93.37,102.91,2.32,58.10,2.11,52.70,
LinuxPCM,2024-12-01T16:20:52.902Z,1.18,1.30,0.90,0.91,3.81,0.00,1.35,1.00,0.80,0.0000,0.0013,0.01,0.01,1014.03,778.00,107.49,2.61,65.17,2.36,58.97,99.85,0.15,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,1.18,1.30,0.90,0.91,3.81,0.00,1.35,1.00,0.80,0.0000,0.0013,0.01,0.01,0.00,0.01,0.00, 1,1014.03,778.00,107.49,2.61,65.17,2.36,58.97,99.85,0.15,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.11,0.00,1.01,1.11,0.90,0.91,3.81,0.00,0.54,1.00,0.75,0.0000,0.0050,99.84,0.16,0.00,0.00,0.00, 2,108.30,97.26,107.49,2.23,55.67,2.02,50.38,1.25,1.38,0.91,0.91,3.81,0.00,0.01,0.99,0.92,0.0000,0.0001,99.86,0.14,0.00,0.00,0.00, 1,134.61,97.31,107.49,2.77,69.17,2.50,62.60,1.31,1.45,0.91,0.91,3.81,0.00,0.00,0.91,0.92,0.0000,0.0000,99.88,0.12,0.00,0.00,0.00, 5,141.11,97.27,107.49,2.90,72.54,2.63,65.66,1.17,1.29,0.90,0.91,3.81,0.00,0.08,1.00,0.61,0.0000,0.0007,99.82,0.18,0.00,0.00,0.00, 3,125.51,97.23,107.49,2.58,64.55,2.34,58.39,0.99,1.09,0.90,0.91,3.81,0.00,0.57,1.00,0.73,0.0000,0.0054,99.85,0.15,0.00,0.00,0.00, 2,106.33,97.23,107.49,2.19,54.68,1.98,49.48,1.17,1.29,0.90,0.91,3.81,0.00,0.04,0.99,0.82,0.0000,0.0003,99.85,0.15,0.00,0.00,0.00, 1,125.77,97.23,107.49,2.59,64.68,2.34,58.53,1.20,1.32,0.90,0.91,3.81,0.00,0.08,1.00,0.96,0.0000,0.0006,99.83,0.17,0.00,0.00,0.00, 5,128.61,97.23,107.49,2.65,66.14,2.39,59.84,1.34,1.48,0.90,0.91,3.81,0.00,0.03,0.98,0.75,0.0000,0.0002,99.84,0.16,0.00,0.00,0.00, 3,143.78,97.24,107.49,2.96,73.93,2.68,66.90,
LinuxPCM,2024-12-01T16:20:52.927Z,1.16,1.29,0.90,0.91,3.80,0.00,0.62,1.00,0.89,0.0000,0.0007,0.01,0.01,953.23,741.44,102.55,2.57,64.28,2.32,58.10,99.77,0.23,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.00,0.00,1.16,1.29,0.90,0.91,3.80,0.00,0.62,1.00,0.89,0.0000,0.0007,0.01,0.01,0.00,0.02,0.00, 0,953.23,741.44,102.55,2.57,64.28,2.32,58.10,99.77,0.23,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.09,0.00,1.31,1.45,0.90,0.91,3.80,0.00,0.06,0.99,0.74,0.0000,0.0005,99.78,0.22,0.00,0.00,0.00, 1,134.61,92.69,102.55,2.90,72.62,2.63,65.63,1.14,1.26,0.90,0.91,3.80,0.00,0.07,1.00,0.70,0.0000,0.0006,99.76,0.24,0.00,0.00,0.00, 0,116.93,92.67,102.55,2.52,63.09,2.28,57.01,1.15,1.28,0.90,0.91,3.80,0.00,0.08,1.00,0.60,0.0000,0.0007,99.76,0.24,0.00,0.00,0.00, 4,118.45,92.68,102.55,2.56,63.91,2.31,57.75,1.08,1.19,0.90,0.91,3.80,0.00,0.09,1.00,0.96,0.0000,0.0008,99.80,0.20,0.00,0.00,0.00, 3,110.40,92.67,102.55,2.38,59.57,2.15,53.85,1.32,1.46,0.90,0.91,3.80,0.00,0.10,1.00,0.54,0.0000,0.0008,99.76,0.24,0.00,0.00,0.00, 1,135.20,92.68,102.55,2.92,72.94,2.64,65.91,1.02,1.13,0.90,0.91,3.80,0.00,0.11,1.00,0.95,0.0000,0.0011,99.76,0.24,0.00,0.00,0.00, 0,104.56,92.68,102.55,2.26,56.41,2.04,50.97,1.12,1.24,0.90,0.91,3.80,0.00,0.07,1.00,0.71,0.0000,0.0006,99.79,0.21,0.00,0.00,0.00, 4,114.94,92.69,102.55,2.48,62.00,2.24,56.05,1.15,1.27,0.90,0.91,3.80,0.00,0.03,0.99,0.79,0.0000,0.0002,99.77,0.23,0.00,0.00,0.00, 3,118.13,92.68,102.55,2.55,63.73,2.30,57.59,
LinuxPCM,2024-12-01T16:20:52.952Z,1.15,1.27,0.91,0.91,3.81,0.00,0.88,1.00,0.92,0.0000,0.0009,0.01,0.01,994.79,781.17,107.90,2.55,63.67,2.31,57.63,99.88,0.12,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.00,1.15,1.27,0.91,0.91,3.81,0.00,0.88,1.00,0.92,0.0000,0.0009,0.01,0.01,0.00,0.02,0.00, 0,994.79,781.17,107.90,2.55,63.67,2.31,57.63,99.88,0.12,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,1.13,0.00,1.14,1.26,0.91,0.91,3.81,0.00,0.03,0.97,0.92,0.0000,0.0002,99.89,0.11,0.00,0.00,0.00, 2,123.27,97.66,107.90,2.52,63.11,2.28,57.12,1.08,1.19,0.90,0.91,3.81,0.00,0.15,1.00,0.93,0.0000,0.0013,99.86,0.14,0.00,0.00,0.00, 0,116.57,97.65,107.90,2.39,59.69,2.16,54.01,1.03,1.14,0.91,0.91,3.81,0.00,0.15,1.00,0.93,0.0000,0.0013,99.90,0.10,0.00,0.00,0.00, 4,111.34,97.65,107.90,2.28,57.01,2.06,51.60,1.37,1.52,0.91,0.91,3.81,0.00,0.09,1.00,0.56,0.0000,0.0006,99.89,0.11,0.00,0.00,0.00, 3,148.11,97.64,107.90,3.03,75.85,2.75,68.64,1.11,1.23,0.90,0.91,3.81,0.00,0.13,1.00,0.94,0.0000,0.0011,99.87,0.13,0.00,0.00,0.00, 2,119.62,97.64,107.90,2.45,61.26,2.22,55.43,1.32,1.46,0.91,0.91,3.81,0.00,0.06,1.00,0.76,0.0000,0.0004,99.88,0.12,0.00,0.00,0.00, 0,142.08,97.64,107.90,2.91,72.76,2.63,65.85,1.11,1.23,0.91,0.91,3.81,0.00,0.10,1.00,0.95,0.0000,0.0009,99.89,0.11,0.00,0.00,0.00, 4,119.69,97.65,107.90,2.45,61.28,2.22,55.46,1.06,1.17,0.91,0.91,3.81,0.00,0.18,1.00,0.92,0.0000,0.0016,99.89,0.11,0.00,0.00,0.00, 3,114.12,97.64,107.90,2.34,58.44,2.12,52.89,
LinuxPCM,2024-12-01T16:20:52.978Z,1.26,1.39,0.90,0.91,3.80,0.00,0.42,0.99,0.91,0.0000,0.0004,0.01,0.01,1077.96,776.49,107.35,2.78,69.41,2.51,62.75,99.86,0.14,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,1.26,1.39,0.90,0.91,3.80,0.00,0.42,0.99,0.91,0.0000,0.0004,0.01,0.01,0.00,0.01,0.00, 0,1077.96,776.49,107.35,2.78,69.41,2.51,62.75,99.86,0.14,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.11,0.00,1.19,1.32,0.90,0.91,3.80,0.00,0.07,0.99,0.96,0.0000,0.0006,99.86,0.14,0.00,0.00,0.00, 3,128.24,97.04,107.35,2.64,66.08,2.39,59.73,1.30,1.44,0.90,0.91,3.80,0.00,0.06,1.00,0.71,0.0000,0.0004,99.89,0.11,0.00,0.00,0.00, 0,140.05,97.04,107.35,2.89,72.15,2.61,65.25,1.36,1.51,0.90,0.91,3.80,0.00,0.08,1.00,0.64,0.0000,0.0005,99.84,0.16,0.00,0.00,0.00, 4,146.27,97.06,107.35,3.01,75.35,2.72,68.11,1.13,1.25,0.90,0.91,3.80,0.00,0.01,0.98,0.78,0.0000,0.0001,99.82,0.18,0.00,0.00,0.00, 3,121.00,97.06,107.35,2.49,62.33,2.25,56.33,1.27,1.41,0.90,0.91,3.80,0.00,0.00,0.90,0.93,0.0000,0.0000,99.88,0.12,0.00,0.00,0.00, 3,136.43,97.07,107.35,2.81,70.27,2.54,63.54,1.13,1.25,0.90,0.91,3.80,0.00,0.07,1.00,0.96,0.0000,0.0006,99.88,0.12,0.00,0.00,0.00, 0,121.49,97.09,107.35,2.50,62.56,2.26,56.57,1.33,1.47,0.90,0.91,3.80,0.00,0.07,1.00,0.70,0.0000,0.0005,99.86,0.14,0.00,0.00,0.00, 4,142.57,97.05,107.35,2.94,73.45,2.66,66.40,1.32,1.46,0.90,0.91,3.80,0.00,0.05,0.99,0.77,0.0000,0.0003,99.86,0.14,0.00,0.00,0.00, 3,141.91,97.06,107.35,2.92,73.10,2.64,66.08,
LinuxPCM,2024-12-01T16:20:53.002Z,1.12,1.26,0.89,0.89,3.75,0.00,0.73,1.00,0.92,0.0000,0.0008,0.01,0.01,922.88,734.98,102.97,2.51,62.78,2.24,56.03,99.85,0.15,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,1.12,1.26,0.89,0.89,3.75,0.00,0.73,1.00,0.92,0.0000,0.0008,0.01,0.01,0.00,0.01,0.00, 0,922.88,734.98,102.97,2.51,62.78,2.24,56.03,99.85,0.15,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.35,1.04,0.00,1.13,1.26,0.89,0.89,3.75,0.00,0.06,0.99,0.76,0.0000,0.0005,99.85,0.15,0.00,0.00,0.00, 3,115.87,91.90,102.97,2.52,63.04,2.25,56.26,1.16,1.30,0.89,0.89,3.75,0.00,0.10,1.00,0.93,0.0000,0.0008,99.82,0.18,0.00,0.00,0.00, 0,119.67,91.87,102.97,2.61,65.13,2.32,58.11,1.07,1.20,0.89,0.89,3.75,0.00,0.15,1.00,0.93,0.0000,0.0013,99.88,0.12,0.00,0.00,0.00, 4,110.49,91.88,102.97,2.41,60.13,2.15,53.68,1.11,1.25,0.89,0.89,3.75,0.00,0.09,1.00,0.96,0.0000,0.0008,99.88,0.12,0.00,0.00,0.00, 4,114.71,91.87,102.97,2.50,62.43,2.23,55.74,1.14,1.28,0.89,0.89,3.75,0.00,0.09,1.00,0.58,0.0000,0.0008,99.85,0.15,0.00,0.00,0.00, 3,117.60,91.86,102.97,2.56,64.01,2.29,57.13,1.23,1.38,0.89,0.89,3.75,0.00,0.04,1.00,0.91,0.0000,0.0004,99.84,0.16,0.00,0.00,0.00, 0,126.51,91.85,102.97,2.75,68.87,2.46,61.46,1.12,1.26,0.89,0.89,3.75,0.00,0.03,0.99,0.71,0.0000,0.0002,99.82,0.18,0.00,0.00,0.00, 4,115.53,91.86,102.97,2.52,62.88,2.24,56.11,1.00,1.12,0.89,0.89,3.75,0.00,0.18,1.00,0.92,0.0000,0.0017,99.85,0.15,0.00,0.00,0.00, 4,102.49,91.88,102.97,2.23,55.78,1.99,49.78,
