#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
LinuxPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,Temperature
LinuxPCM,2024-12-01T16:24:22.848Z,0.26,1.52,0.17,1.06,4.47,0.00,0.23,0.99,0.54,0.0000,0.0010,0.00,0.00,218.46,143.73,106.82,3.04,76.00,0.51,12.80,15.83,16.96,0.63,0.55,66.04,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.26,1.52,0.17,1.06,4.47,0.00,0.23,0.99,0.54,0.0000,0.0010,0.00,0.00,0.00,0.00,0.00, 7,218.46,143.73,106.82,3.04,76.00,0.51,12.80,15.83,16.96,0.63,0.55,66.04,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.72,0.00,0.00,0.32,0.01,1.05,4.41,0.00,0.00,0.93,0.47,0.0004,0.0070,1.16,6.48,0.00,0.00,92.36,27,0.41,1.31,106.82,0.63,15.84,0.01,0.19,1.95,1.84,1.06,1.07,4.48,0.00,0.20,1.00,0.54,0.0000,0.0009,99.02,0.98,0.00,0.00,0.00, 7,207.78,112.77,106.82,3.68,92.12,3.90,97.40,0.05,0.28,0.19,1.05,4.41,0.00,0.00,0.96,0.80,0.0000,0.0003,18.14,2.56,0.00,2.18,77.12,28,5.69,20.33,106.82,0.56,13.99,0.11,2.66,0.01,1.02,0.01,1.05,4.41,0.00,0.00,0.84,0.49,0.0003,0.0021,1.35,1.55,2.53,0.00,94.56,27,1.55,1.51,106.82,2.05,51.22,0.03,0.73,0.01,0.52,0.03,1.05,4.41,0.00,0.01,0.90,0.66,0.0006,0.0068,2.57,4.91,0.00,0.00,92.53,27,1.48,2.87,106.82,1.03,25.79,0.03,0.70,0.01,0.34,0.02,1.05,4.43,0.00,0.01,0.90,0.51,0.0007,0.0081,1.64,98.36,0.00,0.00,0.00, 7,0.62,1.85,106.82,0.67,16.77,0.01,0.29,0.01,0.28,0.02,1.05,4.41,0.00,0.01,0.91,0.40,0.0009,0.0111,1.83,18.87,0.00,2.18,77.12,28,0.57,2.05,106.82,0.56,13.91,0.01,0.27,0.00,0.34,0.01,1.05,4.41,0.00,0.00,0.92,0.41,0.0005,0.0074,0.92,1.97,2.53,0.00,94.57,27,0.36,1.03,106.82,0.69,17.19,0.01,0.17,
LinuxPCM,2024-12-01T16:24:22.873Z,0.25,1.42,0.17,1.06,4.46,0.00,0.13,0.97,0.94,0.0000,0.0006,0.00,0.00,212.49,149.47,106.72,2.84,71.08,0.50,12.43,16.47,17.68,0.90,1.58,63.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.25,1.42,0.17,1.06,4.46,0.00,0.13,0.97,0.94,0.0000,0.0006,0.00,0.00,0.00,0.01,0.00, 7,212.49,149.47,106.72,2.84,71.08,0.50,12.43,16.47,17.68,0.90,1.58,63.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.73,0.00,0.00,0.38,0.01,1.05,4.41,0.00,0.00,0.90,0.43,0.0005,0.0061,0.73,3.03,0.00,0.00,96.23,27,0.32,0.82,106.72,0.77,19.24,0.01,0.15,1.84,1.75,1.05,1.07,4.48,0.00,0.09,1.00,0.96,0.0000,0.0005,98.75,1.25,0.00,0.00,0.00, 7,196.91,112.45,106.72,3.50,87.56,3.69,92.17,0.06,0.28,0.23,1.05,4.41,0.00,0.00,0.89,0.86,0.0000,0.0001,21.57,8.05,3.61,6.31,60.46,28,6.80,24.20,106.72,0.56,14.05,0.13,3.18,0.04,1.37,0.03,1.05,4.41,0.00,0.01,0.81,0.61,0.0003,0.0014,2.71,0.44,0.00,0.00,96.85,28,4.15,3.04,106.72,2.73,68.31,0.08,1.94,0.02,0.71,0.02,1.05,4.41,0.00,0.01,0.90,0.42,0.0004,0.0040,2.23,1.65,0.00,0.00,96.12,27,1.77,2.51,106.72,1.41,35.33,0.03,0.83,0.01,0.33,0.02,1.05,4.43,0.00,0.00,0.92,0.49,0.0007,0.0091,1.45,98.55,0.00,0.00,0.00, 7,0.54,1.63,106.72,0.66,16.58,0.01,0.25,0.02,0.42,0.04,1.05,4.41,0.00,0.01,0.93,0.61,0.0005,0.0074,4.03,25.59,3.61,6.31,60.46,28,1.90,4.52,106.72,0.84,21.05,0.04,0.89,0.00,0.31,0.00,1.05,4.41,0.00,0.00,0.83,0.50,0.0009,0.0063,0.28,2.88,0.00,0.00,96.84,28,0.10,0.31,106.72,0.61,15.32,0.00,0.05,
LinuxPCM,2024-12-01T16:24:22.899Z,0.25,1.81,0.14,1.07,4.51,0.00,0.26,1.00,0.85,0.0000,0.0012,0.00,0.00,213.78,118.36,107.20,3.61,90.32,0.50,12.47,12.87,13.16,0.68,1.27,72.03,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.25,1.81,0.14,1.07,4.51,0.00,0.26,1.00,0.85,0.0000,0.0012,0.00,0.00,0.00,0.00,0.00, 5,213.78,118.36,107.20,3.61,90.32,0.50,12.47,12.87,13.16,0.68,1.27,72.03,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.69,0.00,0.00,0.35,0.01,1.05,4.41,0.00,0.00,0.88,0.36,0.0006,0.0074,0.85,0.98,2.72,0.00,95.45,28,0.34,0.95,107.20,0.71,17.67,0.01,0.16,1.97,1.86,1.06,1.07,4.51,0.00,0.25,1.00,0.85,0.0000,0.0012,98.63,1.37,0.00,0.00,0.00, 5,211.55,113.50,107.20,3.73,93.20,3.95,98.69,0.00,0.24,0.00,1.05,4.41,0.00,0.00,0.81,0.42,0.0013,0.0079,0.41,1.22,0.00,5.08,93.29,30,0.11,0.46,107.20,0.47,11.81,0.00,0.05,0.00,0.30,0.00,1.05,4.41,0.00,0.00,0.86,0.44,0.0013,0.0108,0.40,0.25,0.00,0.00,99.35,28,0.14,0.46,107.20,0.61,15.13,0.00,0.06,0.00,0.28,0.00,1.05,4.41,0.00,0.00,0.94,0.47,0.0004,0.0068,0.26,1.52,2.72,0.00,95.49,28,0.08,0.30,107.20,0.56,14.10,0.00,0.04,0.01,0.78,0.02,1.06,4.45,0.00,0.00,0.89,0.46,0.0002,0.0017,1.50,98.50,0.00,0.00,0.00, 5,1.33,1.70,107.20,1.57,39.13,0.02,0.62,0.00,0.21,0.01,1.05,4.41,0.00,0.00,0.96,0.30,0.0004,0.0128,0.59,1.04,0.00,5.08,93.29,30,0.14,0.66,107.20,0.41,10.34,0.00,0.06,0.00,0.29,0.00,1.05,4.41,0.00,0.00,0.86,0.55,0.0007,0.0057,0.29,0.37,0.00,0.00,99.35,28,0.09,0.32,107.20,0.58,14.56,0.00,0.04,
LinuxPCM,2024-12-01T16:24:22.924Z,0.25,1.79,0.14,1.07,4.51,0.00,0.24,1.00,0.81,0.0000,0.0012,0.00,0.00,210.10,117.27,106.87,3.58,89.58,0.49,12.28,12.78,12.88,0.00,0.00,74.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.25,1.79,0.14,1.07,4.51,0.00,0.24,1.00,0.81,0.0000,0.0012,0.00,0.00,0.00,0.00,0.00, 6,210.10,117.27,106.87,3.58,89.58,0.49,12.28,12.78,12.88,0.00,0.00,74.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.67,0.00,0.00,0.42,0.01,1.05,4.41,0.00,0.00,0.98,0.41,0.0001,0.0070,0.64,0.64,0.00,0.00,98.71,28,0.31,0.72,106.87,0.85,21.16,0.01,0.14,1.95,1.83,1.06,1.07,4.51,0.00,0.24,1.00,0.81,0.0000,0.0011,98.83,1.17,0.00,0.00,0.00, 6,208.09,113.44,106.87,3.67,91.72,3.89,97.33,0.00,0.25,0.00,1.05,4.41,0.00,0.00,0.95,0.48,0.0003,0.0061,0.29,0.60,0.00,0.00,99.11,30,0.08,0.33,106.87,0.51,12.74,0.00,0.04,0.00,0.28,0.00,1.05,4.41,0.00,0.00,0.98,0.44,0.0002,0.0076,0.25,0.18,0.00,0.00,99.57,28,0.08,0.28,106.87,0.56,14.11,0.00,0.04,0.00,0.27,0.00,1.05,4.41,0.00,0.00,0.97,0.46,0.0002,0.0079,0.29,1.04,0.00,0.00,98.68,28,0.09,0.32,106.87,0.53,13.26,0.00,0.04,0.01,0.93,0.01,1.06,4.47,0.00,0.00,0.99,0.43,0.0000,0.0033,1.20,98.80,0.00,0.00,0.00, 6,1.26,1.36,106.87,1.86,46.38,0.02,0.59,0.00,0.19,0.00,1.05,4.41,0.00,0.00,0.97,0.38,0.0002,0.0102,0.46,0.43,0.00,0.00,99.11,30,0.10,0.52,106.87,0.38,9.56,0.00,0.05,0.00,0.31,0.00,1.05,4.41,0.00,0.00,0.95,0.51,0.0003,0.0059,0.26,0.16,0.00,0.00,99.58,28,0.09,0.29,106.87,0.63,15.70,0.00,0.04,
LinuxPCM,2024-12-01T16:24:22.950Z,0.23,1.71,0.14,1.07,4.51,0.00,0.10,1.00,0.95,0.0000,0.0005,0.00,0.00,198.46,116.34,106.50,3.41,85.30,0.47,11.65,12.73,13.10,0.00,0.00,74.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.23,1.71,0.14,1.07,4.51,0.00,0.10,1.00,0.95,0.0000,0.0005,0.00,0.00,0.00,0.00,0.00, 7,198.46,116.34,106.50,3.41,85.30,0.47,11.65,12.73,13.10,0.00,0.00,74.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.66,0.00,0.01,1.09,0.01,1.05,4.41,0.00,0.00,0.98,0.41,0.0000,0.0017,1.16,0.74,0.00,0.00,98.10,28,1.41,1.30,106.50,2.17,54.34,0.03,0.66,1.85,1.74,1.06,1.07,4.51,0.00,0.09,1.00,0.96,0.0000,0.0005,98.92,1.08,0.00,0.00,0.00, 7,196.52,113.05,106.50,3.48,86.92,3.69,92.30,0.00,0.27,0.00,1.05,4.41,0.00,0.00,0.96,0.46,0.0002,0.0062,0.28,0.77,0.00,0.00,98.96,30,0.08,0.31,106.50,0.55,13.66,0.00,0.04,0.00,0.30,0.00,1.05,4.41,0.00,0.00,0.97,0.47,0.0002,0.0066,0.23,0.18,0.00,0.00,99.59,28,0.08,0.25,106.50,0.60,14.92,0.00,0.04,0.00,0.27,0.00,1.05,4.41,0.00,0.00,0.98,0.46,0.0002,0.0072,0.28,1.62,0.00,0.00,98.10,28,0.08,0.31,106.50,0.54,13.61,0.00,0.04,0.00,0.31,0.00,1.05,4.42,0.00,0.00,0.96,0.53,0.0002,0.0062,0.27,99.73,0.00,0.00,0.00, 7,0.09,0.30,106.50,0.62,15.51,0.00,0.04,0.00,0.20,0.00,1.05,4.41,0.00,0.00,0.98,0.37,0.0002,0.0104,0.47,0.57,0.00,0.00,98.96,30,0.10,0.53,106.50,0.39,9.79,0.00,0.05,0.00,0.31,0.00,1.05,4.41,0.00,0.00,0.95,0.51,0.0003,0.0063,0.25,0.14,0.00,0.00,99.61,28,0.09,0.28,106.50,0.63,15.72,0.00,0.04,
LinuxPCM,2024-12-01T16:24:22.974Z,0.26,1.88,0.14,1.07,4.51,0.00,0.20,1.00,0.52,0.0000,0.0010,0.00,0.00,212.65,113.10,102.84,3.76,94.01,0.52,12.92,12.81,12.92,0.00,0.00,74.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.26,1.88,0.14,1.07,4.51,0.00,0.20,1.00,0.52,0.0000,0.0010,0.00,0.00,0.00,0.00,0.00, 4,212.65,113.10,102.84,3.76,94.01,0.52,12.92,12.81,12.92,0.00,0.00,74.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.65,0.00,0.00,0.40,0.01,1.05,4.41,0.00,0.00,0.94,0.37,0.0003,0.0070,0.86,0.80,0.00,0.00,98.33,28,0.37,0.93,102.84,0.80,20.04,0.01,0.18,2.05,1.93,1.06,1.07,4.51,0.00,0.20,1.00,0.52,0.0000,0.0009,98.77,1.23,0.00,0.00,0.00, 4,210.59,109.10,102.84,3.86,96.51,4.09,102.35,0.00,0.27,0.00,1.05,4.42,0.00,0.00,0.96,0.47,0.0002,0.0062,0.27,0.53,0.00,0.00,99.20,30,0.08,0.29,102.84,0.53,13.34,0.00,0.04,0.00,0.28,0.00,1.05,4.41,0.00,0.00,0.97,0.51,0.0002,0.0063,0.27,0.18,0.00,0.00,99.55,28,0.08,0.29,102.84,0.57,14.17,0.00,0.04,0.00,0.26,0.00,1.05,4.41,0.00,0.00,0.97,0.46,0.0002,0.0077,0.28,1.38,0.00,0.00,98.34,28,0.08,0.30,102.84,0.52,12.97,0.00,0.04,0.01,0.88,0.01,1.06,4.47,0.00,0.00,0.96,0.48,0.0000,0.0013,1.32,98.68,0.00,0.00,0.00, 4,1.27,1.44,102.84,1.76,44.09,0.02,0.62,0.00,0.21,0.00,1.05,4.41,0.00,0.00,0.98,0.40,0.0002,0.0092,0.40,0.41,0.00,0.00,99.18,30,0.09,0.43,102.84,0.41,10.32,0.00,0.04,0.00,0.30,0.00,1.05,4.41,0.00,0.00,0.96,0.48,0.0002,0.0069,0.29,0.18,0.00,0.00,99.53,28,0.09,0.31,102.84,0.59,14.84,0.00,0.04,
LinuxPCM,2024-12-01T16:24:23.014Z,0.25,1.79,0.14,1.07,4.51,0.00,0.29,1.00,0.89,0.0000,0.0014,0.00,0.00,208.95,116.64,106.52,3.58,89.57,0.49,12.26,12.76,13.04,0.00,0.00,74.20,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.25,1.79,0.14,1.07,4.51,0.00,0.29,1.00,0.89,0.0000,0.0014,0.00,0.00,0.00,0.00,0.00, 5,208.95,116.64,106.52,3.58,89.57,0.49,12.26,12.76,13.04,0.00,0.00,74.20,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.68,0.00,0.00,0.41,0.01,1.05,4.41,0.00,0.00,0.99,0.39,0.0001,0.0071,0.67,1.20,0.00,0.00,98.13,28,0.31,0.75,106.52,0.82,20.53,0.01,0.15,1.94,1.83,1.06,1.07,4.51,0.00,0.28,1.00,0.89,0.0000,0.0014,98.91,1.09,0.00,0.00,0.00, 5,206.95,113.11,106.52,3.66,91.48,3.89,97.15,0.00,0.25,0.00,1.05,4.41,0.00,0.00,0.98,0.49,0.0001,0.0070,0.30,0.57,0.00,0.00,99.14,30,0.08,0.33,106.52,0.50,12.39,0.00,0.04,0.00,0.29,0.00,1.05,4.42,0.00,0.00,0.97,0.50,0.0002,0.0063,0.24,0.24,0.00,0.00,99.51,28,0.08,0.27,106.52,0.58,14.50,0.00,0.04,0.01,1.28,0.01,1.05,4.41,0.00,0.00,0.98,0.52,0.0000,0.0010,0.85,1.02,0.00,0.00,98.12,28,1.22,0.96,106.52,2.55,63.78,0.02,0.57,0.00,0.31,0.00,1.05,4.42,0.00,0.00,0.98,0.47,0.0001,0.0085,0.35,99.65,0.00,0.00,0.00, 5,0.12,0.39,106.52,0.63,15.68,0.00,0.06,0.00,0.19,0.00,1.05,4.41,0.00,0.00,0.98,0.41,0.0002,0.0093,0.47,0.38,0.00,0.00,99.16,30,0.10,0.52,106.52,0.38,9.40,0.00,0.05,0.00,0.30,0.00,1.05,4.41,0.00,0.00,0.95,0.51,0.0003,0.0063,0.27,0.15,0.00,0.00,99.59,28,0.09,0.30,106.52,0.61,15.15,0.00,0.04,
LinuxPCM,2024-12-01T16:24:23.026Z,0.23,1.60,0.14,1.07,4.50,0.00,0.11,0.98,0.95,0.0000,0.0006,0.00,0.00,203.02,126.76,111.86,3.20,80.08,0.45,11.33,13.19,13.90,0.00,0.69,72.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.23,1.60,0.14,1.07,4.50,0.00,0.11,0.98,0.95,0.0000,0.0006,0.00,0.00,0.00,0.00,0.00,14,203.02,126.76,111.86,3.20,80.08,0.45,11.33,13.19,13.90,0.00,0.69,72.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.70,0.00,0.75,1.56,0.48,1.07,4.51,0.00,0.09,1.00,0.96,0.0000,0.0011,45.14,1.93,0.00,0.00,52.93,14,84.42,54.20,111.86,3.12,77.88,1.51,37.73,0.01,0.41,0.02,1.06,4.46,0.00,0.00,0.76,0.40,0.0012,0.0055,1.59,53.91,0.00,0.00,44.50,25,0.77,1.89,111.86,0.82,20.42,0.01,0.34,0.01,0.56,0.01,1.05,4.41,0.00,0.00,0.96,0.36,0.0001,0.0037,0.96,1.94,0.00,2.76,94.34,30,0.63,1.12,111.86,1.12,27.96,0.01,0.28,0.01,0.87,0.01,1.05,4.41,0.00,0.00,0.98,0.40,0.0000,0.0025,1.37,1.42,0.00,0.00,97.21,28,1.40,1.61,111.86,1.73,43.36,0.02,0.62,0.00,0.40,0.01,1.05,4.42,0.00,0.00,0.86,0.37,0.0008,0.0069,1.05,46.12,0.00,0.00,52.83,14,0.50,1.24,111.86,0.80,20.04,0.01,0.22,1.02,1.77,0.58,1.07,4.51,0.00,0.00,0.99,0.82,0.0000,0.0000,54.01,1.47,0.00,0.00,44.52,25,114.90,65.01,111.86,3.54,88.38,2.05,51.22,0.00,0.22,0.01,1.05,4.41,0.00,0.00,0.97,0.35,0.0003,0.0120,0.76,2.15,0.00,2.76,94.32,30,0.20,0.90,111.86,0.45,11.24,0.00,0.09,0.00,0.26,0.01,1.05,4.41,0.00,0.00,0.91,0.41,0.0008,0.0090,0.67,2.19,0.00,0.00,97.14,28,0.21,0.78,111.86,0.52,13.07,0.00,0.09,
LinuxPCM,2024-12-01T16:24:23.052Z,0.26,1.89,0.14,1.07,4.51,0.00,0.20,1.00,0.53,0.0000,0.0009,0.00,0.00,221.80,117.20,106.71,3.78,94.62,0.52,12.99,12.80,13.19,0.00,0.00,74.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.26,1.89,0.14,1.07,4.51,0.00,0.20,1.00,0.53,0.0000,0.0009,0.00,0.00,0.00,0.00,0.00, 9,221.80,117.20,106.71,3.78,94.62,0.52,12.99,12.80,13.19,0.00,0.00,74.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.66,0.00,0.01,0.98,0.01,1.05,4.41,0.00,0.00,0.94,0.35,0.0001,0.0024,1.35,1.01,0.00,0.00,97.64,28,1.49,1.52,106.71,1.96,48.99,0.03,0.70,0.00,0.28,0.00,1.05,4.41,0.00,0.00,0.97,0.39,0.0003,0.0093,0.47,0.51,0.00,0.00,99.03,28,0.15,0.52,106.71,0.56,14.12,0.00,0.07,2.06,1.94,1.06,1.07,4.51,0.00,0.19,1.00,0.53,0.0000,0.0009,99.09,0.91,0.00,0.00,0.00, 9,219.72,113.50,106.71,3.87,96.79,4.12,102.97,0.00,0.28,0.00,1.05,4.41,0.00,0.00,0.97,0.48,0.0002,0.0070,0.26,0.35,0.00,0.00,99.39,29,0.08,0.29,106.71,0.55,13.80,0.00,0.04,0.00,0.33,0.00,1.05,4.41,0.00,0.00,0.97,0.41,0.0002,0.0082,0.23,2.12,0.00,0.00,97.65,28,0.08,0.25,106.71,0.67,16.68,0.00,0.04,0.00,0.26,0.00,1.05,4.41,0.00,0.00,0.97,0.44,0.0002,0.0082,0.31,0.67,0.00,0.00,99.02,28,0.09,0.35,106.71,0.52,13.12,0.00,0.04,0.00,0.22,0.00,1.06,4.45,0.00,0.00,0.98,0.48,0.0001,0.0090,0.38,99.62,0.00,0.00,0.00, 9,0.09,0.43,106.71,0.44,11.06,0.00,0.04,0.00,0.29,0.00,1.05,4.41,0.00,0.00,0.96,0.47,0.0003,0.0076,0.30,0.31,0.00,0.00,99.39,29,0.10,0.34,106.71,0.58,14.42,0.00,0.05,
LinuxPCM,2024-12-01T16:24:23.076Z,0.26,1.86,0.14,1.07,4.51,0.00,0.29,1.00,0.89,0.0000,0.0014,0.00,0.00,208.92,112.44,102.39,3.72,92.90,0.51,12.75,12.79,13.03,0.00,0.00,74.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.26,1.86,0.14,1.07,4.51,0.00,0.29,1.00,0.89,0.0000,0.0014,0.00,0.00,0.00,0.00,0.00, 7,208.92,112.44,102.39,3.72,92.90,0.51,12.75,12.79,13.03,0.00,0.00,74.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.64,0.00,0.01,1.07,0.01,1.05,4.41,0.00,0.00,0.94,0.40,0.0001,0.0019,1.24,0.86,0.00,0.00,97.90,28,1.43,1.33,102.39,2.15,53.66,0.03,0.70,0.00,0.28,0.00,1.05,4.41,0.00,0.00,0.97,0.40,0.0002,0.0089,0.35,0.37,0.00,0.00,99.28,30,0.11,0.38,102.39,0.56,14.08,0.00,0.05,2.02,1.90,1.07,1.07,4.51,0.00,0.28,1.00,0.89,0.0000,0.0014,99.26,0.74,0.00,0.00,0.00, 7,206.94,109.14,102.39,3.79,94.81,4.04,101.03,0.00,0.30,0.00,1.05,4.41,0.00,0.00,0.97,0.46,0.0002,0.0065,0.25,0.19,0.00,0.00,99.56,29,0.08,0.26,102.39,0.59,14.80,0.00,0.04,0.00,0.34,0.00,1.05,4.41,0.00,0.00,0.98,0.40,0.0002,0.0078,0.22,1.88,0.00,0.00,97.89,28,0.08,0.24,102.39,0.69,17.23,0.00,0.04,0.00,0.29,0.00,1.05,4.41,0.00,0.00,0.95,0.49,0.0003,0.0065,0.26,0.44,0.00,0.00,99.30,30,0.08,0.28,102.39,0.58,14.57,0.00,0.04,0.00,0.22,0.00,1.06,4.44,0.00,0.00,0.98,0.42,0.0002,0.0111,0.47,99.53,0.00,0.00,0.00, 7,0.11,0.51,102.39,0.43,10.83,0.00,0.05,0.00,0.31,0.00,1.05,4.41,0.00,0.00,0.96,0.50,0.0002,0.0065,0.28,0.16,0.00,0.00,99.56,29,0.09,0.30,102.39,0.62,15.48,0.00,0.04,
