#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,
WindowsPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
WindowsPCM,2024-12-03T14:27:27.867Z,0.79,1.24,0.63,0.77,3.23,3.22,16.74,0.80,0.0001,0.0006,2.13,0.61,26860.05,21619.33,4258.26,2.48,62.12,1.58,39.43,82.54,7.91,0.00,0.00,9.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.77,0.00,0.00,0.79,1.24,0.63,0.77,3.23,3.22,16.74,0.80,0.0001,0.0006,2.13,0.61,0.00,2.79,0.00, 0,26860.05,21619.33,4258.26,2.48,62.12,1.58,39.43,82.54,7.91,0.00,0.00,9.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.77,26.18,0.00,0.95,1.24,0.77,0.77,3.23,0.27,2.43,0.89,0.0001,0.0006,99.95,0.05,0.00,0.00,0.00, 1,4048.58,3273.12,4258.26,2.47,61.85,1.90,47.54,1.02,1.32,0.77,0.77,3.23,0.06,0.82,0.92,0.0000,0.0002,99.95,0.05,0.00,0.00,0.00, 1,4330.80,3272.95,4258.26,2.65,66.16,2.03,50.86,1.02,1.32,0.77,0.77,3.23,0.04,0.69,0.94,0.0000,0.0002,99.95,0.05,0.00,0.00,0.00, 0,4323.49,3272.99,4258.26,2.64,66.05,2.03,50.77,1.02,1.33,0.77,0.77,3.23,0.01,0.54,0.97,0.0000,0.0001,99.95,0.05,0.00,0.00,0.00, 0,4342.06,3272.96,4258.26,2.65,66.33,2.04,50.99,0.95,1.23,0.77,0.77,3.23,0.27,2.03,0.87,0.0001,0.0005,99.95,0.05,0.00,0.00,0.00, 3,4041.02,3272.96,4258.26,2.47,61.73,1.90,47.45,0.99,1.28,0.77,0.77,3.23,0.13,1.36,0.90,0.0000,0.0003,99.95,0.05,0.00,0.00,0.00, 3,4196.82,3272.99,4258.26,2.56,64.11,1.97,49.28,0.25,0.85,0.29,0.77,3.23,1.63,5.53,0.70,0.0016,0.0053,37.42,24.36,0.00,0.00,38.22, 8,1045.66,1224.63,4258.26,1.71,42.69,0.49,12.28,0.12,0.70,0.18,0.77,3.22,0.80,3.33,0.75,0.0015,0.0063,23.17,38.61,0.00,0.00,38.22, 8,531.62,756.72,4258.26,1.41,35.13,0.25,6.24,
WindowsPCM,2024-12-03T14:27:28.879Z,0.79,1.26,0.63,0.76,3.20,3.03,14.87,0.79,0.0001,0.0006,1.99,0.59,26855.01,21302.95,4250.39,2.52,63.03,1.58,39.49,82.22,7.70,0.00,0.00,10.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.10,0.00,0.00,0.79,1.26,0.63,0.76,3.20,3.03,14.87,0.79,0.0001,0.0006,1.99,0.59,0.00,2.63,0.00, 0,26855.01,21302.95,4250.39,2.52,63.03,1.58,39.49,82.22,7.70,0.00,0.00,10.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.10,25.47,0.00,0.97,1.27,0.76,0.76,3.20,0.20,1.72,0.88,0.0000,0.0004,99.94,0.06,0.00,0.00,0.00, 2,4124.40,3236.53,4250.39,2.55,63.72,1.94,48.52,1.01,1.32,0.76,0.76,3.20,0.04,0.87,0.96,0.0000,0.0002,99.94,0.06,0.00,0.00,0.00, 2,4274.25,3236.52,4250.39,2.64,66.03,2.01,50.28,1.01,1.33,0.76,0.76,3.20,0.04,0.48,0.93,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4309.05,3236.60,4250.39,2.66,66.57,2.03,50.69,1.02,1.33,0.76,0.76,3.20,0.01,0.39,0.97,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4316.00,3236.60,4250.39,2.67,66.67,2.03,50.77,0.95,1.25,0.76,0.76,3.20,0.33,1.70,0.80,0.0001,0.0004,99.94,0.06,0.00,0.00,0.00, 3,4046.02,3236.37,4250.39,2.50,62.51,1.90,47.60,0.97,1.27,0.76,0.76,3.20,0.45,1.78,0.74,0.0001,0.0004,99.93,0.07,0.00,0.00,0.00, 3,4124.59,3236.22,4250.39,2.55,63.73,1.94,48.52,0.18,0.92,0.20,0.76,3.19,0.77,3.94,0.80,0.0010,0.0051,26.22,33.47,0.00,0.00,40.31, 8,778.66,847.26,4250.39,1.84,45.95,0.37,9.16,0.21,0.85,0.24,0.76,3.21,1.20,3.99,0.70,0.0014,0.0045,31.95,27.74,0.00,0.00,40.31, 8,882.05,1036.84,4250.39,1.70,42.54,0.42,10.38,
WindowsPCM,2024-12-03T14:27:29.887Z,0.78,1.26,0.62,0.76,3.18,3.08,15.39,0.80,0.0001,0.0006,2.03,0.60,26561.79,21163.15,4233.50,2.51,62.75,1.57,39.21,82.57,7.68,0.00,0.00,9.75,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.60,0.00,0.00,0.78,1.26,0.62,0.76,3.18,3.08,15.39,0.80,0.0001,0.0006,2.03,0.60,0.00,2.68,0.00, 0,26561.79,21163.15,4233.50,2.51,62.75,1.57,39.21,82.57,7.68,0.00,0.00,9.75,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.60,25.03,0.00,0.96,1.27,0.76,0.76,3.18,0.21,1.71,0.87,0.0001,0.0004,99.93,0.07,0.00,0.00,0.00, 3,4072.23,3202.41,4233.50,2.54,63.58,1.92,48.10,1.00,1.32,0.76,0.76,3.18,0.04,0.70,0.94,0.0000,0.0002,99.94,0.06,0.00,0.00,0.00, 3,4238.91,3202.59,4233.50,2.65,66.18,2.00,50.06,1.01,1.33,0.76,0.76,3.18,0.03,0.54,0.94,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4256.57,3202.61,4233.50,2.66,66.45,2.01,50.27,1.01,1.33,0.76,0.76,3.18,0.01,0.41,0.97,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4264.38,3202.58,4233.50,2.66,66.58,2.01,50.36,0.93,1.22,0.76,0.76,3.18,0.48,2.23,0.78,0.0001,0.0006,99.93,0.07,0.00,0.00,0.00, 5,3917.62,3202.62,4233.50,2.45,61.16,1.85,46.27,0.98,1.30,0.76,0.76,3.18,0.09,1.08,0.92,0.0000,0.0003,99.94,0.06,0.00,0.00,0.00, 5,4158.47,3202.70,4233.50,2.60,64.92,1.96,49.11,0.20,0.86,0.24,0.75,3.16,1.38,4.68,0.70,0.0016,0.0055,31.39,29.60,0.00,0.00,39.01, 8,857.83,1000.20,4233.50,1.72,42.88,0.41,10.13,0.19,0.84,0.22,0.76,3.18,0.83,4.02,0.79,0.0010,0.0051,29.57,31.43,0.00,0.00,39.01, 8,795.80,947.44,4233.50,1.68,42.00,0.38,9.40,
WindowsPCM,2024-12-03T14:27:30.900Z,0.78,1.26,0.62,0.76,3.17,3.04,15.25,0.80,0.0001,0.0006,1.98,0.59,26723.86,21243.01,4256.52,2.52,62.90,1.57,39.24,82.53,7.02,0.00,0.00,10.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.78,0.00,0.00,0.78,1.26,0.62,0.76,3.17,3.04,15.25,0.80,0.0001,0.0006,1.98,0.59,0.00,2.63,0.00, 0,26723.86,21243.01,4256.52,2.52,62.90,1.57,39.24,82.53,7.02,0.00,0.00,10.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.78,25.16,0.00,0.96,1.27,0.76,0.76,3.18,0.22,1.81,0.88,0.0001,0.0004,99.93,0.07,0.00,0.00,0.00, 2,4068.30,3215.49,4256.52,2.53,63.26,1.91,47.79,1.00,1.33,0.76,0.76,3.18,0.04,0.69,0.94,0.0000,0.0002,99.93,0.07,0.00,0.00,0.00, 2,4267.83,3215.63,4256.52,2.65,66.36,2.01,50.13,1.00,1.33,0.76,0.76,3.18,0.04,0.61,0.93,0.0000,0.0001,99.93,0.07,0.00,0.00,0.00, 0,4260.92,3215.65,4256.52,2.65,66.25,2.00,50.05,1.00,1.33,0.76,0.76,3.18,0.01,0.48,0.97,0.0000,0.0001,99.93,0.07,0.00,0.00,0.00, 0,4276.36,3215.63,4256.52,2.66,66.49,2.01,50.23,0.94,1.24,0.76,0.76,3.18,0.35,1.89,0.81,0.0001,0.0005,99.92,0.08,0.00,0.00,0.00, 4,3985.44,3215.40,4256.52,2.48,61.97,1.87,46.81,0.98,1.29,0.76,0.76,3.18,0.18,1.17,0.84,0.0000,0.0003,99.93,0.07,0.00,0.00,0.00, 4,4161.76,3215.50,4256.52,2.59,64.71,1.96,48.89,0.16,0.80,0.20,0.75,3.16,1.22,4.12,0.70,0.0018,0.0061,26.24,31.97,0.00,0.00,41.79, 8,674.12,841.17,4256.52,1.60,40.07,0.32,7.92,0.24,0.93,0.26,0.76,3.17,0.97,4.47,0.78,0.0009,0.0043,34.47,23.74,0.00,0.00,41.79, 8,1029.13,1108.53,4256.52,1.86,46.42,0.48,12.09,
WindowsPCM,2024-12-03T14:27:31.907Z,0.78,1.24,0.63,0.75,3.15,3.35,16.56,0.79,0.0001,0.0006,2.23,0.68,26222.09,21189.08,4227.23,2.48,61.88,1.55,38.77,83.51,7.22,0.00,0.00,9.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.34,0.00,0.00,0.78,1.24,0.63,0.75,3.15,3.35,16.56,0.79,0.0001,0.0006,2.23,0.68,0.00,2.96,0.00, 0,26222.09,21189.08,4227.23,2.48,61.88,1.55,38.77,83.51,7.22,0.00,0.00,9.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.34,24.75,0.00,0.94,1.25,0.75,0.75,3.15,0.26,2.12,0.87,0.0001,0.0005,99.92,0.08,0.00,0.00,0.00, 1,3953.70,3168.90,4227.23,2.50,62.38,1.87,46.76,0.99,1.32,0.75,0.75,3.15,0.05,0.81,0.94,0.0000,0.0002,99.92,0.08,0.00,0.00,0.00, 1,4172.37,3168.87,4227.23,2.63,65.83,1.97,49.35,0.99,1.32,0.75,0.75,3.15,0.06,0.64,0.91,0.0000,0.0002,99.92,0.08,0.00,0.00,0.00, 0,4196.88,3168.90,4227.23,2.65,66.22,1.99,49.64,0.98,1.31,0.75,0.75,3.15,0.02,0.71,0.97,0.0000,0.0002,99.92,0.08,0.00,0.00,0.00, 0,4155.45,3168.88,4227.23,2.62,65.57,1.97,49.15,0.92,1.23,0.75,0.75,3.15,0.36,1.95,0.81,0.0001,0.0005,99.92,0.08,0.00,0.00,0.00, 4,3895.29,3171.31,4227.23,2.46,61.41,1.84,46.04,0.95,1.26,0.75,0.75,3.15,0.43,1.78,0.76,0.0001,0.0004,99.92,0.08,0.00,0.00,0.00, 4,4008.02,3168.89,4227.23,2.53,63.24,1.90,47.41,0.24,0.85,0.29,0.75,3.15,1.16,4.84,0.76,0.0011,0.0047,38.15,24.75,0.00,0.00,37.11, 8,1025.98,1208.97,4227.23,1.70,42.43,0.49,12.13,0.19,0.84,0.23,0.75,3.15,1.01,3.71,0.72,0.0012,0.0046,30.39,32.50,0.00,0.00,37.11, 8,814.41,964.35,4227.23,1.69,42.23,0.39,9.63,
WindowsPCM,2024-12-03T14:27:32.919Z,0.78,1.26,0.62,0.75,3.15,3.07,15.46,0.80,0.0001,0.0006,2.01,0.62,26472.66,21089.52,4250.74,2.51,62.76,1.56,38.93,82.68,7.00,0.00,0.00,10.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.21,0.00,0.00,0.78,1.26,0.62,0.75,3.15,3.07,15.46,0.80,0.0001,0.0006,2.01,0.62,0.00,2.68,0.00, 0,26472.66,21089.52,4250.74,2.51,62.76,1.56,38.93,82.68,7.00,0.00,0.00,10.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.21,24.61,0.00,0.95,1.27,0.75,0.75,3.15,0.21,1.78,0.88,0.0001,0.0004,99.93,0.07,0.00,0.00,0.00, 2,4047.77,3187.09,4250.74,2.54,63.50,1.90,47.61,0.99,1.32,0.75,0.75,3.15,0.04,0.76,0.95,0.0000,0.0002,99.94,0.06,0.00,0.00,0.00, 2,4217.12,3187.08,4250.74,2.65,66.16,1.98,49.61,1.00,1.33,0.75,0.75,3.15,0.03,0.49,0.93,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4239.39,3187.10,4250.74,2.66,66.51,1.99,49.87,1.00,1.33,0.75,0.75,3.15,0.01,0.40,0.97,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4249.65,3187.08,4250.74,2.67,66.67,2.00,49.99,0.91,1.22,0.75,0.75,3.15,0.44,2.33,0.80,0.0001,0.0006,99.94,0.06,0.00,0.00,0.00, 4,3884.40,3184.71,4250.74,2.44,60.99,1.83,45.73,0.97,1.30,0.75,0.75,3.15,0.10,1.08,0.91,0.0000,0.0003,99.94,0.06,0.00,0.00,0.00, 4,4138.80,3187.07,4250.74,2.60,64.93,1.95,48.69,0.12,0.74,0.16,0.75,3.14,0.57,2.66,0.78,0.0012,0.0054,20.90,37.84,0.00,0.00,41.26, 7,493.89,663.98,4250.74,1.49,37.19,0.23,5.81,0.28,0.92,0.31,0.75,3.15,1.67,5.97,0.72,0.0014,0.0050,40.90,17.83,0.00,0.00,41.27, 7,1201.64,1305.42,4250.74,1.84,46.03,0.57,14.14,
WindowsPCM,2024-12-03T14:27:33.924Z,0.76,1.16,0.65,0.74,3.09,4.48,22.69,0.80,0.0002,0.0009,3.39,1.02,25681.11,22064.93,4216.76,2.33,58.19,1.52,38.06,88.86,8.65,0.00,0.00,2.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.41,0.00,0.00,0.76,1.16,0.65,0.74,3.09,4.48,22.69,0.80,0.0002,0.0009,3.39,1.02,0.00,4.46,0.00, 0,25681.11,22064.93,4216.76,2.33,58.19,1.52,38.06,88.86,8.65,0.00,0.00,2.49,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.41,24.77,0.00,0.88,1.19,0.74,0.74,3.09,0.42,2.64,0.83,0.0001,0.0007,99.95,0.05,0.00,0.00,0.00, 2,3691.08,3102.30,4216.76,2.38,59.49,1.75,43.77,0.94,1.28,0.74,0.74,3.09,0.12,1.15,0.89,0.0000,0.0003,99.94,0.06,0.00,0.00,0.00, 2,3973.69,3102.55,4216.76,2.56,64.04,1.88,47.11,0.96,1.31,0.74,0.74,3.09,0.06,0.71,0.91,0.0000,0.0002,99.95,0.05,0.00,0.00,0.00, 0,4052.41,3102.57,4216.76,2.61,65.31,1.92,48.05,0.96,1.30,0.74,0.74,3.09,0.04,0.76,0.94,0.0000,0.0002,99.95,0.05,0.00,0.00,0.00, 0,4036.34,3102.59,4216.76,2.60,65.05,1.91,47.86,0.86,1.17,0.74,0.74,3.09,0.44,2.36,0.81,0.0001,0.0006,99.87,0.13,0.00,0.00,0.00, 4,3638.30,3102.57,4216.76,2.35,58.63,1.72,43.11,0.92,1.25,0.74,0.74,3.09,0.23,1.57,0.85,0.0001,0.0004,99.95,0.05,0.00,0.00,0.00, 4,3873.93,3102.56,4216.76,2.50,62.43,1.84,45.93,0.35,0.77,0.45,0.74,3.09,1.45,7.45,0.80,0.0010,0.0051,60.81,29.24,0.00,0.00,9.95, 7,1462.65,1888.28,4216.76,1.55,38.73,0.69,17.34,0.23,0.61,0.37,0.73,3.08,1.72,6.05,0.71,0.0018,0.0064,50.45,39.60,0.00,0.00,9.94, 7,952.71,1561.53,4216.76,1.22,30.51,0.45,11.30,
WindowsPCM,2024-12-03T14:27:34.935Z,0.77,1.26,0.61,0.74,3.11,3.13,15.19,0.79,0.0001,0.0006,2.04,0.62,26189.64,20840.66,4250.60,2.51,62.83,1.54,38.51,82.84,6.95,0.00,0.00,10.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.51,0.00,0.00,0.77,1.26,0.61,0.74,3.11,3.13,15.19,0.79,0.0001,0.0006,2.04,0.62,0.00,2.70,0.00, 0,26189.64,20840.66,4250.60,2.51,62.83,1.54,38.51,82.84,6.95,0.00,0.00,10.21,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.51,23.91,0.00,0.94,1.27,0.74,0.74,3.11,0.20,1.71,0.88,0.0001,0.0004,99.94,0.06,0.00,0.00,0.00, 1,3997.20,3142.96,4250.60,2.54,63.59,1.88,47.02,0.98,1.33,0.74,0.74,3.11,0.03,0.69,0.95,0.0000,0.0002,99.94,0.06,0.00,0.00,0.00, 1,4167.08,3142.89,4250.60,2.65,66.29,1.96,49.02,0.98,1.33,0.74,0.74,3.11,0.03,0.56,0.94,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4175.58,3143.08,4250.60,2.66,66.42,1.96,49.12,0.98,1.33,0.74,0.74,3.11,0.02,0.61,0.98,0.0000,0.0001,99.94,0.06,0.00,0.00,0.00, 0,4167.16,3143.03,4250.60,2.65,66.29,1.96,49.02,0.91,1.24,0.74,0.74,3.11,0.40,1.81,0.77,0.0001,0.0005,99.94,0.06,0.00,0.00,0.00, 3,3882.29,3140.68,4250.60,2.47,61.81,1.83,45.70,0.96,1.30,0.74,0.74,3.11,0.11,1.04,0.89,0.0000,0.0003,99.94,0.06,0.00,0.00,0.00, 3,4073.66,3143.01,4250.60,2.59,64.81,1.92,47.92,0.09,0.63,0.14,0.74,3.11,0.76,2.29,0.66,0.0021,0.0063,18.46,40.69,0.00,0.00,40.84, 7,365.25,581.27,4250.60,1.26,31.42,0.17,4.30,0.32,0.97,0.33,0.74,3.11,1.57,6.49,0.76,0.0012,0.0048,44.62,14.54,0.00,0.00,40.84, 7,1361.42,1403.74,4250.60,1.94,48.49,0.64,16.01,
WindowsPCM,2024-12-03T14:27:35.939Z,0.76,1.25,0.61,0.74,3.09,3.11,15.72,0.80,0.0001,0.0006,2.07,0.63,25663.66,20567.26,4216.32,2.50,62.39,1.52,38.04,82.85,7.49,0.00,0.00,9.66,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.76,1.25,0.61,0.74,3.09,3.11,15.72,0.80,0.0001,0.0006,2.07,0.63,0.00,2.75,0.00, 0,25663.66,20567.26,4216.32,2.50,62.39,1.52,38.04,82.85,7.49,0.00,0.00,9.66,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,23.44,0.00,0.93,1.26,0.74,0.74,3.09,0.23,1.93,0.88,0.0001,0.0005,99.93,0.07,0.00,0.00,0.00, 2,3918.35,3101.72,4216.32,2.53,63.16,1.86,46.47,0.97,1.32,0.74,0.74,3.09,0.04,0.78,0.95,0.0000,0.0002,99.93,0.07,0.00,0.00,0.00, 2,4096.63,3101.86,4216.32,2.64,66.04,1.94,48.58,0.98,1.33,0.74,0.74,3.09,0.04,0.57,0.93,0.0000,0.0001,99.93,0.07,0.00,0.00,0.00, 0,4111.61,3101.77,4216.32,2.65,66.28,1.95,48.76,0.98,1.33,0.74,0.74,3.09,0.01,0.44,0.97,0.0000,0.0001,99.93,0.07,0.00,0.00,0.00, 0,4119.89,3101.70,4216.32,2.66,66.41,1.95,48.86,0.91,1.24,0.74,0.74,3.09,0.32,1.91,0.83,0.0001,0.0005,99.93,0.07,0.00,0.00,0.00, 4,3837.01,3101.97,4216.32,2.47,61.85,1.82,45.50,0.93,1.26,0.74,0.74,3.09,0.47,1.93,0.75,0.0001,0.0005,99.93,0.07,0.00,0.00,0.00, 4,3906.24,3101.69,4216.32,2.52,62.97,1.85,46.32,0.16,0.76,0.21,0.73,3.08,0.82,3.39,0.75,0.0012,0.0050,28.81,32.55,0.00,0.00,38.64, 7,676.54,892.08,4216.32,1.52,37.92,0.32,8.02,0.24,0.94,0.25,0.73,3.08,1.17,4.77,0.75,0.0012,0.0048,34.38,26.98,0.00,0.00,38.64, 7,997.39,1064.46,4216.32,1.87,46.85,0.47,11.83,
WindowsPCM,2024-12-03T14:27:36.971Z,0.76,1.25,0.61,0.74,3.09,3.22,16.16,0.80,0.0001,0.0006,2.11,0.64,25979.03,20863.30,4234.60,2.49,62.26,1.53,38.23,83.35,8.14,0.00,0.00,8.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.34,0.00,0.00,0.76,1.25,0.61,0.74,3.09,3.22,16.16,0.80,0.0001,0.0006,2.11,0.64,0.00,2.81,0.00, 0,25979.03,20863.30,4234.60,2.49,62.26,1.53,38.23,83.35,8.14,0.00,0.00,8.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.34,23.72,0.00,0.92,1.25,0.74,0.74,3.09,0.23,1.98,0.88,0.0001,0.0005,99.92,0.08,0.00,0.00,0.00, 2,3894.86,3116.84,4234.60,2.50,62.48,1.84,45.99,0.97,1.32,0.74,0.74,3.09,0.04,0.72,0.94,0.0000,0.0002,99.92,0.08,0.00,0.00,0.00, 2,4122.09,3116.51,4234.60,2.65,66.13,1.95,48.68,0.97,1.32,0.74,0.74,3.09,0.04,0.55,0.93,0.0000,0.0001,99.93,0.07,0.00,0.00,0.00, 0,4126.96,3116.79,4234.60,2.65,66.21,1.95,48.73,0.98,1.33,0.74,0.74,3.09,0.02,0.44,0.96,0.0000,0.0001,99.93,0.07,0.00,0.00,0.00, 0,4134.12,3116.64,4234.60,2.65,66.32,1.95,48.82,0.90,1.23,0.74,0.74,3.09,0.29,1.80,0.83,0.0001,0.0005,99.92,0.08,0.00,0.00,0.00, 4,3830.22,3116.49,4234.60,2.46,61.45,1.81,45.23,0.94,1.28,0.74,0.74,3.09,0.18,1.36,0.87,0.0000,0.0003,99.93,0.07,0.00,0.00,0.00, 4,3991.44,3116.83,4234.60,2.56,64.03,1.89,47.13,0.23,0.85,0.26,0.74,3.10,1.41,4.73,0.70,0.0014,0.0048,35.87,30.79,0.00,0.00,33.34, 5,977.34,1147.97,4234.60,1.70,42.57,0.45,11.28,0.21,0.89,0.24,0.74,3.09,1.02,4.57,0.77,0.0011,0.0051,32.55,33.33,0.00,0.00,34.12, 6,902.00,1015.23,4234.60,1.78,44.42,0.43,10.65,
