#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,
WindowsPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
WindowsPCM,2024-12-03T14:36:13.583Z,0.08,0.82,0.09,1.03,4.34,2.51,13.01,0.80,0.0010,0.0050,1.47,0.32,2599.86,3174.29,4253.68,1.64,40.95,0.15,3.82,9.03,18.67,3.52,0.00,68.77,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,0.00,0.00,0.08,0.82,0.09,1.03,4.34,2.51,13.01,0.80,0.0010,0.0050,1.47,0.32,0.00,1.86,0.00,14,2599.86,3174.29,4253.68,1.64,40.95,0.15,3.82,9.03,18.67,3.52,0.00,68.77,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,18.16,0.00,0.06,0.46,0.12,1.04,4.37,0.45,2.11,0.78,0.0019,0.0087,11.91,14.15,5.13,0.00,68.81,14,242.61,527.23,4253.68,0.92,23.01,0.11,2.85,0.02,0.58,0.04,1.04,4.36,0.12,0.50,0.74,0.0013,0.0055,3.57,22.49,5.13,0.00,68.81,14,91.25,157.74,4253.68,1.16,28.92,0.04,1.07,0.05,0.65,0.08,1.04,4.35,0.30,1.07,0.70,0.0014,0.0048,7.79,10.54,5.19,0.00,76.48,14,221.50,343.18,4253.68,1.29,32.27,0.10,2.60,0.02,0.74,0.03,1.04,4.36,0.05,0.41,0.87,0.0006,0.0048,2.67,15.68,5.18,0.00,76.46,14,86.87,117.82,4253.68,1.47,36.87,0.04,1.02,0.04,0.75,0.05,1.04,4.36,0.09,0.47,0.80,0.0005,0.0027,5.17,40.75,0.32,0.00,53.76,16,170.25,228.32,4253.68,1.49,37.28,0.08,2.00,0.32,1.16,0.27,1.02,4.30,0.94,5.38,0.82,0.0007,0.0040,26.78,19.13,0.32,0.00,53.77,16,1351.28,1165.90,4253.68,2.32,57.95,0.64,15.88,0.08,0.79,0.10,1.04,4.35,0.44,2.36,0.81,0.0013,0.0069,9.73,10.74,3.45,0.00,76.07,16,340.50,428.75,4253.68,1.59,39.71,0.16,4.00,0.02,0.47,0.05,1.04,4.38,0.12,0.71,0.82,0.0013,0.0074,4.63,15.89,3.45,0.00,76.03,16,95.61,205.35,4253.68,0.93,23.28,0.04,1.12,
WindowsPCM,2024-12-03T14:36:14.593Z,0.00,0.67,0.00,1.06,4.46,2.06,10.28,0.79,0.1556,0.7751,1.24,0.27,13.27,19.88,4239.86,1.33,33.36,0.00,0.02,0.06,24.22,3.78,0.00,71.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.81,0.00,0.00,0.00,0.67,0.00,1.06,4.46,2.06,10.28,0.79,0.1556,0.7751,1.24,0.27,0.00,1.57,0.00,14,13.27,19.88,4239.86,1.33,33.36,0.00,0.02,0.06,24.22,3.78,0.00,71.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.81,16.48,0.00,0.00,0.62,0.00,1.05,4.43,0.17,1.03,0.82,0.1134,0.6852,0.05,21.54,6.92,0.00,71.49,15,1.50,2.42,4239.86,1.25,31.14,0.00,0.02,0.00,0.67,0.00,1.06,4.45,0.15,0.55,0.72,0.0879,0.3281,0.06,21.53,6.92,0.00,71.50,15,1.67,2.48,4239.86,1.35,33.72,0.00,0.02,0.00,0.68,0.00,1.07,4.48,0.29,1.05,0.71,0.1781,0.6543,0.05,19.36,4.63,0.00,75.96,14,1.61,2.38,4239.86,1.35,33.76,0.00,0.02,0.00,0.67,0.00,1.07,4.48,0.05,0.22,0.73,0.0319,0.1340,0.05,19.36,4.63,0.00,75.96,14,1.65,2.45,4239.86,1.34,33.60,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.10,0.75,0.85,0.0609,0.4453,0.06,38.91,0.18,0.00,60.85,17,1.68,2.52,4239.86,1.34,33.42,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.84,4.42,0.81,0.4952,2.6126,0.06,38.92,0.18,0.00,60.85,17,1.69,2.51,4239.86,1.35,33.67,0.00,0.02,0.00,0.68,0.00,1.07,4.51,0.33,1.53,0.78,0.1890,0.8817,0.06,17.06,3.40,0.00,79.48,16,1.73,2.56,4239.86,1.35,33.77,0.00,0.02,0.00,0.67,0.00,1.07,4.51,0.14,0.74,0.80,0.0814,0.4262,0.06,17.06,3.40,0.00,79.48,16,1.73,2.56,4239.86,1.35,33.74,0.00,0.02,
WindowsPCM,2024-12-03T14:36:15.600Z,0.00,0.65,0.00,1.06,4.47,2.11,10.99,0.80,0.1621,0.8449,1.25,0.35,13.00,20.03,4231.21,1.30,32.45,0.00,0.02,0.06,24.14,4.65,0.00,71.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.81,0.00,0.00,0.00,0.65,0.00,1.06,4.47,2.11,10.99,0.80,0.1621,0.8449,1.25,0.35,0.00,1.66,0.00,15,13.00,20.03,4231.21,1.30,32.45,0.00,0.02,0.06,24.14,4.65,0.00,71.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.81,16.55,0.00,0.00,0.64,0.00,1.06,4.46,0.30,1.85,0.83,0.1827,1.1454,0.06,31.09,8.54,0.00,60.31,16,1.62,2.54,4231.21,1.28,31.88,0.00,0.02,0.00,0.67,0.00,1.07,4.48,0.17,0.93,0.80,0.1038,0.5533,0.06,31.10,8.54,0.00,60.31,16,1.68,2.49,4231.21,1.35,33.68,0.00,0.02,0.00,0.67,0.00,1.07,4.47,0.28,1.76,0.83,0.1746,1.0886,0.05,21.64,5.85,0.00,72.47,15,1.61,2.39,4231.21,1.35,33.68,0.00,0.02,0.00,0.67,0.00,1.06,4.44,0.05,0.20,0.74,0.0280,0.1222,0.06,21.63,5.85,0.00,72.47,15,1.66,2.48,4231.21,1.34,33.51,0.00,0.02,0.00,0.59,0.00,1.06,4.46,0.10,0.52,0.79,0.0658,0.3546,0.06,22.66,0.91,0.00,76.37,18,1.47,2.49,4231.21,1.18,29.52,0.00,0.02,0.00,0.60,0.00,1.05,4.41,0.57,2.86,0.80,0.3758,1.9020,0.06,22.66,0.91,0.00,76.37,17,1.50,2.52,4231.21,1.20,29.91,0.00,0.02,0.00,0.68,0.00,1.07,4.51,0.35,1.69,0.78,0.2053,0.9754,0.06,21.15,3.31,0.00,75.48,16,1.73,2.56,4231.21,1.35,33.76,0.00,0.02,0.00,0.67,0.00,1.07,4.51,0.29,1.18,0.74,0.1695,0.6806,0.06,21.15,3.31,0.00,75.48,16,1.73,2.56,4231.21,1.35,33.70,0.00,0.02,
WindowsPCM,2024-12-03T14:36:16.611Z,0.00,0.66,0.00,1.04,4.38,2.82,13.69,0.79,0.2144,1.0402,1.65,0.42,13.16,19.95,4237.69,1.32,32.97,0.00,0.02,0.06,31.06,5.43,0.00,63.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.76,0.00,0.00,0.00,0.66,0.00,1.04,4.38,2.82,13.69,0.79,0.2144,1.0402,1.65,0.42,0.00,2.16,0.00, 0,13.16,19.95,4237.69,1.32,32.97,0.00,0.02,0.06,31.06,5.43,0.00,63.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.76,19.44,0.00,0.00,0.67,0.00,1.05,4.41,0.22,1.16,0.79,0.1305,0.6858,0.06,24.03,8.15,0.00,67.76,11,1.69,2.51,4237.69,1.34,33.58,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.13,0.50,0.72,0.0790,0.2980,0.06,24.03,8.15,0.00,67.76,11,1.69,2.51,4237.69,1.35,33.66,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.54,2.88,0.81,0.3207,1.7215,0.06,28.63,4.55,0.00,66.77,10,1.67,2.51,4237.69,1.33,33.30,0.00,0.02,0.00,0.62,0.00,1.04,4.36,0.05,0.22,0.75,0.0302,0.1393,0.06,28.61,4.55,0.00,66.78, 9,1.55,2.48,4237.69,1.25,31.20,0.00,0.02,0.00,0.67,0.00,1.00,4.21,0.12,0.67,0.80,0.0750,0.4148,0.06,41.17,4.44,0.00,54.33, 0,1.62,2.40,4237.69,1.35,33.63,0.00,0.02,0.00,0.63,0.00,1.05,4.41,0.93,4.54,0.79,0.5907,2.8766,0.06,41.29,4.44,0.00,54.22, 0,1.58,2.51,4237.69,1.26,31.41,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.62,2.76,0.77,0.3672,1.6346,0.06,30.38,4.57,0.00,65.00,12,1.69,2.51,4237.69,1.34,33.55,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.21,0.96,0.77,0.1255,0.5719,0.06,30.35,4.57,0.00,65.03,12,1.68,2.51,4237.69,1.34,33.46,0.00,0.02,
WindowsPCM,2024-12-03T14:36:17.622Z,0.00,0.67,0.00,1.04,4.37,2.80,14.39,0.80,0.2117,1.0866,1.64,0.36,13.25,19.75,4255.23,1.34,33.54,0.00,0.02,0.06,30.02,3.34,0.00,66.58,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.66,0.00,0.00,0.00,0.67,0.00,1.04,4.37,2.80,14.39,0.80,0.2117,1.0866,1.64,0.36,0.00,2.10,0.00, 1,13.25,19.75,4255.23,1.34,33.54,0.00,0.02,0.06,30.02,3.34,0.00,66.58,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.66,19.31,0.00,0.00,0.67,0.00,1.05,4.41,0.41,1.71,0.75,0.2410,1.0104,0.06,26.80,4.40,0.00,68.74, 8,1.69,2.51,4255.23,1.34,33.57,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.29,0.90,0.65,0.1750,0.5334,0.06,26.81,4.40,0.00,68.74, 8,1.68,2.51,4255.23,1.34,33.55,0.00,0.02,0.00,0.67,0.00,1.03,4.31,0.47,2.09,0.77,0.2841,1.2784,0.06,29.01,6.21,0.00,64.72,12,1.64,2.46,4255.23,1.33,33.26,0.00,0.02,0.00,0.67,0.00,1.04,4.38,0.04,0.20,0.79,0.0225,0.1218,0.06,29.03,6.21,0.00,64.71,12,1.64,2.44,4255.23,1.34,33.62,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.19,1.53,0.87,0.1138,0.9080,0.06,41.85,1.57,0.00,56.53, 1,1.68,2.51,4255.23,1.34,33.49,0.00,0.02,0.00,0.67,0.00,1.06,4.46,0.73,4.86,0.85,0.4272,2.8479,0.06,41.74,1.57,0.00,56.63, 1,1.70,2.54,4255.23,1.34,33.61,0.00,0.02,0.00,0.67,0.00,1.02,4.27,0.44,1.95,0.77,0.2735,1.2221,0.05,22.47,1.18,0.00,76.30,12,1.60,2.37,4255.23,1.35,33.64,0.00,0.02,0.00,0.67,0.00,1.03,4.32,0.24,1.16,0.78,0.1511,0.7207,0.05,22.50,1.18,0.00,76.27,12,1.62,2.40,4255.23,1.34,33.60,0.00,0.02,
WindowsPCM,2024-12-03T14:36:18.631Z,0.00,0.67,0.00,1.06,4.46,2.19,11.04,0.79,0.1872,0.9451,1.28,0.34,11.68,17.44,4236.34,1.34,33.49,0.00,0.02,0.05,27.81,3.96,0.00,68.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.38,0.00,0.00,0.00,0.67,0.00,1.06,4.46,2.19,11.04,0.79,0.1872,0.9451,1.28,0.34,0.00,1.69,0.00,14,11.68,17.44,4236.34,1.34,33.49,0.00,0.02,0.05,27.81,3.96,0.00,68.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.38,18.06,0.00,0.00,0.67,0.00,1.07,4.51,0.29,1.82,0.83,0.3379,2.1181,0.03,28.36,5.81,0.00,65.80,15,0.86,1.28,4236.34,1.34,33.54,0.00,0.01,0.00,0.65,0.00,1.05,4.41,0.18,0.91,0.80,0.1083,0.5593,0.06,28.33,5.81,0.00,65.80,15,1.63,2.51,4236.34,1.30,32.41,0.00,0.02,0.00,0.68,0.00,1.07,4.51,0.15,0.79,0.80,0.0858,0.4638,0.06,20.44,5.64,0.00,73.86,14,1.69,2.51,4236.34,1.35,33.78,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.05,0.21,0.72,0.0322,0.1283,0.05,20.45,5.64,0.00,73.86,14,1.61,2.40,4236.34,1.34,33.58,0.00,0.02,0.00,0.67,0.00,1.05,4.43,0.17,0.60,0.70,0.1032,0.3738,0.05,41.21,0.36,0.00,58.38,16,1.62,2.41,4236.34,1.34,33.59,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.79,4.16,0.81,0.9361,4.9510,0.03,41.26,0.36,0.00,58.36,17,0.84,1.25,4236.34,1.34,33.55,0.00,0.01,0.00,0.68,0.00,1.07,4.51,0.41,1.77,0.76,0.2333,1.0206,0.06,21.22,4.04,0.00,74.68,16,1.74,2.57,4236.34,1.35,33.84,0.00,0.02,0.00,0.67,0.00,1.07,4.51,0.16,0.78,0.78,0.0968,0.4596,0.06,21.23,4.04,0.00,74.68,16,1.69,2.51,4236.34,1.35,33.69,0.00,0.02,
WindowsPCM,2024-12-03T14:36:19.644Z,0.00,0.67,0.00,1.05,4.41,2.06,10.97,0.80,0.1547,0.8228,1.23,0.31,13.33,20.03,4256.59,1.33,33.28,0.00,0.02,0.06,26.00,6.35,0.00,67.59,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.04,0.00,0.00,0.00,0.67,0.00,1.05,4.41,2.06,10.97,0.80,0.1547,0.8228,1.23,0.31,0.00,1.61,0.00,15,13.33,20.03,4256.59,1.33,33.28,0.00,0.02,0.06,26.00,6.35,0.00,67.59,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.04,16.67,0.00,0.00,0.63,0.00,1.05,4.41,0.24,1.54,0.83,0.1536,0.9696,0.06,26.18,14.06,0.00,59.70,15,1.59,2.51,4256.59,1.26,31.62,0.00,0.02,0.00,0.65,0.00,1.05,4.41,0.04,0.24,0.80,0.0253,0.1487,0.06,26.18,14.06,0.00,59.71,15,1.64,2.52,4256.59,1.30,32.61,0.00,0.02,0.00,0.68,0.00,1.05,4.41,0.11,0.64,0.81,0.0626,0.3744,0.06,15.42,7.63,0.00,76.90,15,1.70,2.51,4256.59,1.35,33.80,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.13,0.40,0.65,0.0768,0.2344,0.06,15.42,7.63,0.00,76.90,15,1.69,2.51,4256.59,1.35,33.63,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.06,0.37,0.83,0.0347,0.2193,0.06,43.97,0.50,0.00,55.48,16,1.69,2.51,4256.59,1.34,33.61,0.00,0.02,0.00,0.67,0.00,1.05,4.42,1.04,5.52,0.81,0.6303,3.3450,0.06,43.95,0.50,0.00,55.50,16,1.65,2.47,4256.59,1.34,33.47,0.00,0.02,0.00,0.68,0.00,1.05,4.41,0.34,1.66,0.79,0.1988,0.9795,0.06,18.45,3.21,0.00,78.28,15,1.69,2.51,4256.59,1.35,33.78,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.11,0.60,0.81,0.0625,0.3572,0.06,18.45,3.21,0.00,78.28,15,1.69,2.50,4256.59,1.35,33.72,0.00,0.02,
WindowsPCM,2024-12-03T14:36:20.655Z,0.00,0.67,0.00,1.06,4.44,2.06,10.75,0.80,0.1534,0.8009,1.26,0.29,13.42,20.03,4211.33,1.34,33.50,0.00,0.02,0.06,24.66,4.20,0.00,71.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.67,0.00,0.00,0.00,0.67,0.00,1.06,4.44,2.06,10.75,0.80,0.1534,0.8009,1.26,0.29,0.00,1.63,0.00, 0,13.42,20.03,4211.33,1.34,33.50,0.00,0.02,0.06,24.66,4.20,0.00,71.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.67,16.46,0.00,0.00,0.67,0.00,1.06,4.46,0.24,1.38,0.81,0.1423,0.8100,0.06,21.93,7.58,0.00,70.43,13,1.70,2.53,4211.33,1.34,33.61,0.00,0.02,0.00,0.66,0.00,1.06,4.46,0.03,0.18,0.84,0.0152,0.1078,0.06,21.94,7.58,0.00,70.43,13,1.69,2.54,4211.33,1.33,33.23,0.00,0.02,0.00,0.67,0.00,1.06,4.46,0.24,1.25,0.79,0.1428,0.7319,0.06,20.47,4.85,0.00,74.63,11,1.71,2.53,4211.33,1.35,33.73,0.00,0.02,0.00,0.67,0.00,1.06,4.46,0.04,0.17,0.75,0.0236,0.1046,0.06,20.47,4.85,0.00,74.63,11,1.67,2.49,4211.33,1.34,33.56,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.05,0.31,0.82,0.0303,0.1854,0.06,37.62,1.06,0.00,61.26, 0,1.69,2.51,4211.33,1.35,33.70,0.00,0.02,0.00,0.66,0.00,1.05,4.41,0.85,4.88,0.82,0.5147,2.9665,0.06,37.13,1.07,0.00,61.75, 1,1.65,2.51,4211.33,1.31,32.77,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.37,1.55,0.75,0.2202,0.9197,0.06,18.84,3.34,0.00,77.77,14,1.69,2.50,4211.33,1.35,33.73,0.00,0.02,0.00,0.67,0.00,1.06,4.46,0.24,1.01,0.76,0.1461,0.6228,0.05,18.80,3.34,0.00,77.80,14,1.62,2.41,4211.33,1.35,33.67,0.00,0.02,
WindowsPCM,2024-12-03T14:36:21.660Z,0.00,0.66,0.00,1.04,4.38,2.98,15.06,0.80,0.2274,1.1506,1.74,0.49,13.09,19.96,4255.22,1.31,32.79,0.00,0.02,0.06,32.36,4.76,0.00,62.82,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.22,0.00,0.00,0.00,0.66,0.00,1.04,4.38,2.98,15.06,0.80,0.2274,1.1506,1.74,0.49,0.00,2.34,0.00, 0,13.09,19.96,4255.22,1.31,32.79,0.00,0.02,0.06,32.36,4.76,0.00,62.82,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.22,20.85,0.00,0.00,0.67,0.00,1.05,4.41,0.34,2.07,0.83,0.2009,1.2229,0.06,25.41,9.36,0.00,65.17,13,1.69,2.51,4255.22,1.35,33.63,0.00,0.02,0.00,0.66,0.00,1.04,4.36,0.04,0.27,0.82,0.0251,0.1629,0.06,25.41,9.36,0.00,65.18,13,1.63,2.48,4255.22,1.32,32.94,0.00,0.02,0.00,0.63,0.00,1.04,4.36,0.13,0.85,0.83,0.0815,0.5370,0.06,24.93,6.77,0.00,68.24, 0,1.58,2.49,4255.22,1.27,31.67,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.14,1.10,0.87,0.0827,0.6522,0.06,24.96,6.77,0.00,68.22, 0,1.68,2.51,4255.22,1.34,33.44,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.17,0.72,0.75,0.0983,0.4302,0.06,54.20,1.99,0.00,43.75,14,1.68,2.51,4255.22,1.34,33.56,0.00,0.02,0.00,0.67,0.00,1.05,4.41,1.10,5.59,0.80,0.6493,3.3051,0.06,54.55,1.98,0.00,43.42,14,1.69,2.51,4255.22,1.35,33.69,0.00,0.02,0.00,0.66,0.00,1.01,4.26,0.83,3.58,0.76,0.5183,2.2208,0.06,24.78,0.92,0.00,74.24,13,1.61,2.43,4255.22,1.32,33.10,0.00,0.02,0.00,0.61,0.00,1.05,4.41,0.23,0.90,0.73,0.1514,0.5878,0.06,24.81,0.92,0.00,74.21,13,1.53,2.52,4255.22,1.21,30.29,0.00,0.02,
WindowsPCM,2024-12-03T14:36:22.675Z,0.00,0.66,0.00,1.04,4.37,2.65,13.40,0.79,0.2030,1.0256,1.54,0.29,13.06,19.81,4256.69,1.32,32.98,0.00,0.02,0.06,29.23,2.19,0.00,68.52,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.39,0.00,0.00,0.00,0.66,0.00,1.04,4.37,2.65,13.40,0.79,0.2030,1.0256,1.54,0.29,0.00,1.90,0.00,13,13.06,19.81,4256.69,1.32,32.98,0.00,0.02,0.06,29.23,2.19,0.00,68.52,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.39,19.01,0.00,0.00,0.67,0.00,1.06,4.45,0.57,3.29,0.82,0.3443,1.9811,0.05,33.60,1.11,0.00,65.24,13,1.66,2.48,4256.69,1.34,33.53,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.12,0.48,0.73,0.0720,0.2861,0.06,33.58,1.11,0.00,65.25,13,1.69,2.51,4256.69,1.35,33.65,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.20,1.07,0.80,0.1181,0.6332,0.06,20.06,4.91,0.00,74.97,11,1.69,2.51,4256.69,1.35,33.73,0.00,0.02,0.00,0.66,0.00,1.01,4.26,0.03,0.20,0.81,0.0214,0.1304,0.05,19.95,4.92,0.00,75.08,13,1.56,2.37,4256.69,1.32,32.96,0.00,0.02,0.00,0.62,0.00,1.00,4.21,0.08,0.59,0.86,0.0515,0.3983,0.06,41.82,2.08,0.00,56.05,14,1.49,2.40,4256.69,1.24,31.08,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.95,4.80,0.80,0.5606,2.8440,0.06,41.79,2.08,0.00,56.07,14,1.69,2.52,4256.69,1.34,33.56,0.00,0.02,0.00,0.63,0.00,1.05,4.41,0.46,1.94,0.75,0.2911,1.2270,0.06,21.53,0.64,0.00,77.77,15,1.58,2.51,4256.69,1.26,31.54,0.00,0.02,0.00,0.67,0.00,1.05,4.41,0.24,1.00,0.75,0.1415,0.5932,0.06,21.53,0.64,0.00,77.77,15,1.69,2.51,4256.69,1.35,33.74,0.00,0.02,
