#datatype measurement,dateTime:2006-01-02T15:04:05.000Z,double,double,double,,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,
WindowsPCM,DateTime,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
WindowsPCM,2024-12-03T14:33:06.722Z,0.07,0.80,0.09,1.01,4.24,2.46,12.93,0.80,0.0010,0.0051,1.50,0.29,2536.06,3177.09,4218.22,1.60,39.91,0.15,3.72,9.24,20.19,4.95,0.00,65.62,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.68,0.00,0.00,0.07,0.80,0.09,1.01,4.24,2.46,12.93,0.80,0.0010,0.0051,1.50,0.29,0.00,1.85,0.00,11,2536.06,3177.09,4218.22,1.60,39.91,0.15,3.72,9.24,20.19,4.95,0.00,65.62,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.68,17.49,0.00,0.05,0.48,0.11,1.02,4.30,0.28,1.39,0.78,0.0013,0.0064,10.44,13.62,7.87,0.00,68.08,12,218.51,450.78,4218.22,0.97,24.24,0.10,2.59,0.02,0.47,0.03,1.02,4.27,0.16,0.47,0.64,0.0024,0.0074,3.12,21.73,7.79,0.00,67.36,12,64.26,135.36,4218.22,0.95,23.74,0.03,0.75,0.04,0.55,0.06,1.02,4.30,0.14,0.73,0.78,0.0009,0.0048,6.33,9.75,6.02,0.00,77.89,11,152.76,276.41,4218.22,1.11,27.63,0.07,1.79,0.01,0.51,0.02,1.02,4.29,0.04,0.25,0.81,0.0009,0.0056,2.02,14.06,6.02,0.00,77.89,11,44.78,87.83,4218.22,1.02,25.49,0.02,0.53,0.09,0.91,0.10,1.01,4.23,0.25,1.54,0.83,0.0006,0.0039,10.15,46.59,0.10,0.00,43.17,13,398.18,435.38,4218.22,1.83,45.73,0.19,4.67,0.30,1.14,0.27,0.99,4.16,1.06,5.81,0.82,0.0008,0.0045,26.95,29.77,0.10,0.00,43.17,13,1296.80,1138.42,4218.22,2.28,56.96,0.61,15.21,0.05,0.65,0.08,1.03,4.32,0.34,1.80,0.81,0.0014,0.0077,8.20,12.23,5.85,0.00,73.72,12,233.44,359.18,4218.22,1.30,32.50,0.11,2.74,0.03,0.43,0.07,1.02,4.30,0.19,0.92,0.78,0.0015,0.0072,6.73,13.70,5.85,0.00,73.72,12,127.33,293.74,4218.22,0.87,21.67,0.06,1.49,
WindowsPCM,2024-12-03T14:33:07.725Z,0.06,0.77,0.08,1.02,4.28,2.06,10.86,0.80,0.0010,0.0051,1.24,0.34,2142.66,2779.63,4214.16,1.54,38.54,0.13,3.18,8.10,18.89,6.75,0.00,66.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.23,0.00,0.00,0.06,0.77,0.08,1.02,4.28,2.06,10.86,0.80,0.0010,0.0051,1.24,0.34,0.00,1.65,0.00,11,2142.66,2779.63,4214.16,1.54,38.54,0.13,3.18,8.10,18.89,6.75,0.00,66.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.23,16.12,0.00,0.07,0.56,0.12,1.03,4.31,0.29,1.85,0.83,0.0010,0.0064,11.82,13.91,11.05,0.00,63.23,12,286.19,511.41,4214.16,1.12,27.98,0.14,3.40,0.01,0.42,0.02,1.02,4.29,0.04,0.19,0.77,0.0010,0.0050,2.17,23.57,11.05,0.00,63.21,12,38.69,93.18,4214.16,0.83,20.76,0.02,0.46,0.04,0.56,0.07,1.03,4.33,0.10,0.69,0.85,0.0006,0.0044,6.55,9.04,9.31,0.00,75.10,11,157.97,284.62,4214.16,1.11,27.75,0.07,1.87,0.01,0.55,0.02,1.03,4.32,0.05,0.20,0.72,0.0010,0.0040,2.10,13.48,9.31,0.00,75.10,11,49.79,91.13,4214.16,1.09,27.32,0.02,0.59,0.02,0.48,0.04,1.04,4.36,0.06,0.41,0.82,0.0008,0.0054,3.71,33.07,2.93,0.00,60.29,14,77.19,162.11,4214.16,0.95,23.81,0.04,0.92,0.23,1.12,0.21,1.00,4.20,0.89,4.22,0.79,0.0009,0.0043,20.81,15.94,2.93,0.00,60.31,15,977.60,876.76,4214.16,2.23,55.75,0.46,11.60,0.10,0.87,0.12,1.02,4.27,0.49,2.44,0.79,0.0011,0.0056,11.66,18.20,3.70,0.00,66.45,14,437.11,500.02,4214.16,1.75,43.71,0.21,5.19,0.03,0.45,0.06,1.03,4.35,0.15,0.86,0.82,0.0012,0.0073,5.97,23.89,3.70,0.00,66.45,14,118.11,260.40,4214.16,0.91,22.68,0.06,1.40,
WindowsPCM,2024-12-03T14:33:08.726Z,0.07,0.81,0.08,1.02,4.28,1.97,10.17,0.80,0.0009,0.0046,1.19,0.33,2187.22,2710.52,4204.10,1.61,40.35,0.13,3.25,7.90,16.00,3.76,0.00,72.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.67,0.00,0.00,0.07,0.81,0.08,1.02,4.28,1.97,10.17,0.80,0.0009,0.0046,1.19,0.33,0.00,1.59,0.00,14,2187.22,2710.52,4204.10,1.61,40.35,0.13,3.25,7.90,16.00,3.76,0.00,72.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.67,15.31,0.00,0.05,0.45,0.10,1.03,4.31,0.23,1.24,0.80,0.0012,0.0065,9.72,10.64,7.50,0.00,72.14,15,189.36,419.50,4204.10,0.90,22.57,0.09,2.25,0.01,0.43,0.02,1.02,4.28,0.04,0.21,0.79,0.0010,0.0055,2.11,18.25,7.50,0.00,72.14,15,38.88,90.48,4204.10,0.86,21.49,0.02,0.46,0.07,0.75,0.09,1.02,4.30,0.23,1.10,0.78,0.0008,0.0038,8.85,6.87,6.26,0.00,78.03,14,286.96,380.96,4204.10,1.51,37.66,0.14,3.41,0.02,0.80,0.02,1.04,4.36,0.04,0.20,0.75,0.0006,0.0025,2.30,13.41,6.26,0.00,78.03,14,80.02,100.47,4204.10,1.59,39.82,0.04,0.95,0.06,0.88,0.07,1.01,4.23,0.12,0.74,0.84,0.0005,0.0030,6.56,34.53,0.23,0.00,58.69,16,244.95,277.81,4204.10,1.76,44.09,0.12,2.91,0.24,1.15,0.21,1.01,4.23,0.89,4.34,0.79,0.0009,0.0042,21.10,20.01,0.23,0.00,58.67,16,1029.73,892.88,4204.10,2.31,57.66,0.49,12.25,0.04,0.64,0.07,1.04,4.35,0.28,1.50,0.80,0.0016,0.0085,6.29,12.15,1.05,0.00,80.51,15,176.29,273.95,4204.10,1.29,32.18,0.08,2.10,0.03,0.51,0.07,1.04,4.37,0.14,0.84,0.82,0.0010,0.0059,6.27,12.17,1.05,0.00,80.51,15,141.01,274.46,4204.10,1.03,25.69,0.07,1.68,
WindowsPCM,2024-12-03T14:33:09.740Z,0.09,0.83,0.10,1.02,4.28,2.71,13.69,0.80,0.0009,0.0047,1.62,0.36,2932.75,3513.11,4242.56,1.67,41.74,0.17,4.32,10.15,20.05,5.88,0.00,63.92,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.04,0.00,0.00,0.09,0.83,0.10,1.02,4.28,2.71,13.69,0.80,0.0009,0.0047,1.62,0.36,0.00,2.07,0.00, 0,2932.75,3513.11,4242.56,1.67,41.74,0.17,4.32,10.15,20.05,5.88,0.00,63.92,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.04,18.71,0.00,0.07,0.53,0.13,1.03,4.31,0.45,1.87,0.75,0.0015,0.0064,12.56,13.65,8.25,0.00,65.53, 9,291.02,547.47,4242.56,1.06,26.58,0.14,3.43,0.01,0.47,0.03,1.02,4.28,0.06,0.30,0.78,0.0011,0.0056,2.63,23.55,8.26,0.00,65.57, 9,53.46,113.35,4242.56,0.94,23.58,0.03,0.63,0.05,0.66,0.07,1.03,4.33,0.20,0.84,0.73,0.0010,0.0043,6.73,10.82,7.13,0.00,75.32,11,195.01,294.21,4242.56,1.33,33.14,0.09,2.30,0.01,0.55,0.02,1.02,4.30,0.04,0.26,0.80,0.0008,0.0047,2.25,15.30,7.13,0.00,75.32,11,54.13,97.88,4242.56,1.11,27.65,0.03,0.64,0.04,0.75,0.05,1.04,4.39,0.07,0.44,0.83,0.0004,0.0028,4.76,48.74,0.68,0.00,45.83, 0,157.33,210.74,4242.56,1.49,37.33,0.07,1.86,0.39,1.14,0.35,1.00,4.22,1.25,6.49,0.81,0.0008,0.0039,34.35,19.35,0.68,0.00,45.63, 0,1669.70,1469.24,4242.56,2.27,56.82,0.78,19.60,0.08,0.79,0.10,1.03,4.33,0.42,2.46,0.83,0.0012,0.0070,10.18,13.21,7.47,0.00,69.14, 8,351.62,444.87,4242.56,1.58,39.52,0.17,4.15,0.04,0.48,0.08,1.04,4.35,0.21,1.04,0.78,0.0013,0.0065,7.64,15.76,7.47,0.00,69.14, 8,160.46,335.36,4242.56,0.96,23.92,0.08,1.89,
WindowsPCM,2024-12-03T14:33:10.737Z,0.09,0.85,0.10,1.01,4.25,2.80,13.64,0.79,0.0009,0.0046,1.64,0.42,2950.35,3482.00,4203.61,1.69,42.37,0.18,4.39,10.24,19.64,3.25,0.00,66.87,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.37,0.00,0.00,0.09,0.85,0.10,1.01,4.25,2.80,13.64,0.79,0.0009,0.0046,1.64,0.42,0.00,2.16,0.00, 0,2950.35,3482.00,4203.61,1.69,42.37,0.18,4.39,10.24,19.64,3.25,0.00,66.87,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.37,18.16,0.00,0.08,0.62,0.12,1.03,4.31,0.30,1.60,0.80,0.0009,0.0049,12.18,17.90,4.55,0.00,65.37, 8,327.83,525.11,4203.61,1.25,31.22,0.16,3.90,0.07,0.82,0.08,1.00,4.18,0.32,1.25,0.74,0.0011,0.0044,8.29,21.83,4.55,0.00,65.33, 8,286.20,347.36,4203.61,1.65,41.20,0.14,3.40,0.04,0.63,0.07,1.02,4.29,0.12,0.58,0.76,0.0007,0.0031,6.96,7.45,5.53,0.00,80.06, 9,187.92,299.04,4203.61,1.26,31.42,0.09,2.23,0.01,0.55,0.02,1.02,4.27,0.03,0.18,0.80,0.0007,0.0042,1.81,12.61,5.53,0.00,80.06, 9,42.43,77.42,4203.61,1.10,27.40,0.02,0.50,0.03,0.61,0.05,1.03,4.33,0.15,0.58,0.72,0.0013,0.0048,4.52,50.36,0.63,0.00,44.49,10,120.51,196.13,4203.61,1.23,30.72,0.06,1.43,0.37,1.15,0.32,1.00,4.19,1.15,6.15,0.81,0.0007,0.0040,32.23,22.43,0.63,0.00,44.70,10,1544.14,1347.48,4203.61,2.29,57.30,0.74,18.44,0.07,0.74,0.10,1.02,4.30,0.53,2.46,0.78,0.0018,0.0082,9.41,10.85,2.29,0.00,77.45, 0,300.73,405.27,4203.61,1.48,37.10,0.14,3.57,0.03,0.49,0.07,1.03,4.31,0.19,0.84,0.76,0.0013,0.0060,6.59,13.67,2.29,0.00,77.45, 0,140.59,284.19,4203.61,0.99,24.73,0.07,1.67,
WindowsPCM,2024-12-03T14:33:11.740Z,0.08,0.81,0.09,1.01,4.25,2.24,11.90,0.80,0.0009,0.0046,1.32,0.36,2572.61,3178.88,4208.33,1.62,40.46,0.15,3.82,9.33,19.99,4.41,0.00,66.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.76,0.00,0.00,0.08,0.81,0.09,1.01,4.25,2.24,11.90,0.80,0.0009,0.0046,1.32,0.36,0.00,1.74,0.00, 8,2572.61,3178.88,4208.33,1.62,40.46,0.15,3.82,9.33,19.99,4.41,0.00,66.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.76,17.53,0.00,0.07,0.55,0.12,1.02,4.27,0.32,2.03,0.83,0.0012,0.0073,11.85,18.34,7.66,0.00,62.15,12,278.18,507.07,4208.33,1.10,27.43,0.13,3.31,0.02,0.44,0.04,1.02,4.26,0.04,0.26,0.80,0.0006,0.0034,4.13,26.06,7.66,0.00,62.15,12,77.50,176.25,4208.33,0.88,21.99,0.04,0.92,0.09,0.83,0.11,0.99,4.17,0.21,1.33,0.84,0.0005,0.0035,11.01,11.16,5.64,0.00,72.19,11,379.03,459.39,4208.33,1.65,41.25,0.18,4.50,0.01,0.51,0.02,1.02,4.29,0.04,0.22,0.80,0.0010,0.0056,1.76,20.41,5.64,0.00,72.20,11,38.55,75.63,4208.33,1.02,25.48,0.02,0.46,0.04,0.67,0.05,1.04,4.35,0.08,0.43,0.78,0.0006,0.0029,5.09,39.38,2.42,0.00,53.12, 6,147.96,222.16,4208.33,1.33,33.30,0.07,1.76,0.29,1.16,0.25,1.00,4.21,0.94,5.00,0.81,0.0008,0.0041,24.76,19.68,2.42,0.00,53.14, 8,1209.76,1045.18,4208.33,2.31,57.87,0.57,14.37,0.07,0.74,0.09,1.03,4.31,0.40,1.63,0.74,0.0014,0.0057,9.02,11.44,1.94,0.00,77.60,11,287.61,389.52,4208.33,1.48,36.92,0.14,3.42,0.04,0.51,0.07,1.03,4.32,0.20,1.00,0.79,0.0013,0.0065,7.01,13.45,1.94,0.00,77.59,11,154.03,303.67,4208.33,1.01,25.36,0.07,1.83,
WindowsPCM,2024-12-03T14:33:12.745Z,0.07,0.77,0.09,1.02,4.28,2.03,10.57,0.80,0.0009,0.0047,1.23,0.26,2255.64,2931.18,4226.50,1.54,38.48,0.13,3.34,8.51,17.20,2.34,0.00,71.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.07,0.77,0.09,1.02,4.28,2.03,10.57,0.80,0.0009,0.0047,1.23,0.26,0.00,1.56,0.00,12,2255.64,2931.18,4226.50,1.54,38.48,0.13,3.34,8.51,17.20,2.34,0.00,71.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.10,15.81,0.00,0.04,0.40,0.09,1.03,4.31,0.19,1.18,0.83,0.0012,0.0076,9.11,14.05,5.06,0.00,71.78,13,156.65,394.81,4226.50,0.79,19.84,0.07,1.85,0.01,0.42,0.03,1.02,4.27,0.04,0.24,0.83,0.0008,0.0054,2.49,20.67,5.06,0.00,71.78,13,45.21,106.97,4226.50,0.85,21.13,0.02,0.53,0.04,0.60,0.07,1.03,4.33,0.18,0.80,0.76,0.0009,0.0043,7.17,8.17,3.34,0.00,81.32,12,186.83,312.59,4226.50,1.20,29.88,0.09,2.21,0.01,0.58,0.02,1.03,4.32,0.07,0.33,0.77,0.0012,0.0057,2.31,13.04,3.34,0.00,81.32,12,58.37,100.16,4226.50,1.17,29.14,0.03,0.69,0.03,0.48,0.06,1.04,4.37,0.06,0.37,0.82,0.0005,0.0031,5.60,25.65,0.29,0.00,68.47,14,118.01,245.89,4226.50,0.96,24.00,0.06,1.40,0.20,1.08,0.19,1.01,4.24,0.91,4.29,0.79,0.0011,0.0050,18.70,12.62,0.29,0.00,68.39,14,860.97,796.85,4226.50,2.16,54.02,0.41,10.19,0.17,0.98,0.17,1.01,4.23,0.46,2.65,0.82,0.0006,0.0037,17.03,16.02,0.69,0.00,66.26,14,708.77,725.12,4226.50,1.95,48.87,0.34,8.39,0.03,0.49,0.06,1.04,4.37,0.13,0.70,0.80,0.0011,0.0058,5.66,27.39,0.69,0.00,66.26,14,120.84,248.79,4226.50,0.97,24.29,0.06,1.43,
WindowsPCM,2024-12-03T14:33:13.747Z,0.07,0.79,0.08,1.02,4.28,2.05,10.66,0.80,0.0009,0.0048,1.21,0.34,2241.04,2845.96,4206.66,1.57,39.37,0.13,3.33,8.30,14.82,4.16,0.00,72.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,0.00,0.00,0.07,0.79,0.08,1.02,4.28,2.05,10.66,0.80,0.0009,0.0048,1.21,0.34,0.00,1.61,0.00,12,2241.04,2845.96,4206.66,1.57,39.37,0.13,3.33,8.30,14.82,4.16,0.00,72.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,15.48,0.00,0.05,0.45,0.10,1.03,4.32,0.19,1.34,0.85,0.0010,0.0070,9.82,13.28,8.06,0.00,68.84,13,190.86,425.26,4206.66,0.90,22.44,0.09,2.27,0.01,0.34,0.02,1.02,4.27,0.03,0.15,0.78,0.0010,0.0057,1.85,21.25,8.06,0.00,68.84,13,26.90,79.24,4206.66,0.68,16.97,0.01,0.32,0.05,0.69,0.07,1.02,4.29,0.13,0.81,0.83,0.0006,0.0040,6.92,7.79,5.08,0.00,80.21,12,203.99,297.50,4206.66,1.37,34.28,0.10,2.42,0.01,0.56,0.02,1.01,4.23,0.06,0.20,0.68,0.0011,0.0037,2.23,12.48,5.08,0.00,80.21,12,53.10,94.48,4206.66,1.12,28.10,0.03,0.63,0.09,0.89,0.10,1.02,4.29,0.16,1.16,0.86,0.0004,0.0030,10.02,19.89,0.92,0.00,69.17,14,384.08,430.95,4206.66,1.78,44.56,0.18,4.56,0.17,1.09,0.16,1.01,4.23,0.86,3.53,0.75,0.0012,0.0048,15.71,14.20,0.92,0.00,69.17,14,729.15,666.26,4206.66,2.19,54.72,0.35,8.67,0.11,0.87,0.13,1.02,4.26,0.42,2.45,0.82,0.0009,0.0053,12.42,12.34,2.60,0.00,72.63,14,463.57,530.48,4206.66,1.75,43.69,0.22,5.51,0.05,0.59,0.08,1.03,4.33,0.21,1.01,0.78,0.0011,0.0054,7.41,17.35,2.60,0.00,72.63,14,189.39,321.79,4206.66,1.18,29.43,0.09,2.25,
WindowsPCM,2024-12-03T14:33:14.764Z,0.08,0.82,0.10,1.02,4.27,2.67,12.90,0.79,0.0010,0.0048,1.55,0.35,2687.11,3263.55,4245.21,1.65,41.17,0.16,3.95,9.44,16.86,4.71,0.00,68.99,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.76,0.00,0.00,0.08,0.82,0.10,1.02,4.27,2.67,12.90,0.79,0.0010,0.0048,1.55,0.35,0.00,2.00,0.00, 3,2687.11,3263.55,4245.21,1.65,41.17,0.16,3.95,9.44,16.86,4.71,0.00,68.99,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.76,17.43,0.00,0.05,0.46,0.10,1.03,4.31,0.23,1.13,0.78,0.0012,0.0058,9.66,10.79,7.18,0.00,72.37,10,195.25,420.29,4245.21,0.93,23.23,0.09,2.30,0.01,0.36,0.02,1.02,4.27,0.03,0.19,0.83,0.0008,0.0060,2.01,18.43,7.18,0.00,72.37,10,31.32,87.04,4245.21,0.72,17.99,0.01,0.37,0.05,0.61,0.07,1.03,4.34,0.22,0.85,0.71,0.0011,0.0044,7.11,7.33,7.80,0.00,77.76,11,191.57,311.98,4245.21,1.23,30.70,0.09,2.26,0.01,0.51,0.02,1.02,4.29,0.04,0.23,0.79,0.0011,0.0061,1.71,12.73,7.80,0.00,77.76,11,37.64,74.02,4245.21,1.02,25.43,0.02,0.44,0.02,0.57,0.04,1.03,4.33,0.08,0.40,0.77,0.0009,0.0043,3.65,38.23,0.85,0.00,57.26, 8,91.45,159.90,4245.21,1.14,28.59,0.04,1.08,0.31,1.12,0.28,1.00,4.22,1.10,5.36,0.79,0.0008,0.0041,27.43,14.45,0.85,0.00,57.27, 8,1312.11,1169.26,4245.21,2.24,56.11,0.62,15.46,0.15,0.87,0.17,1.02,4.28,0.77,3.59,0.78,0.0012,0.0056,16.86,11.78,3.01,0.00,68.35, 0,638.96,733.63,4245.21,1.74,43.55,0.30,7.48,0.04,0.61,0.07,1.03,4.35,0.19,1.16,0.83,0.0010,0.0061,7.00,21.17,3.03,0.00,68.80, 3,188.81,307.43,4245.21,1.23,30.71,0.09,2.22,
WindowsPCM,2024-12-03T14:33:15.771Z,0.09,0.83,0.11,1.01,4.23,2.87,15.07,0.80,0.0009,0.0047,1.75,0.45,3210.21,3879.72,4258.21,1.65,41.37,0.19,4.72,11.33,22.57,6.19,0.00,59.91,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.42,0.00,0.00,0.09,0.83,0.11,1.01,4.23,2.87,15.07,0.80,0.0009,0.0047,1.75,0.45,0.00,2.30,0.00, 0,3210.21,3879.72,4258.21,1.65,41.37,0.19,4.72,11.33,22.57,6.19,0.00,59.91,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.42,20.04,0.00,0.05,0.41,0.12,1.01,4.24,0.24,1.44,0.82,0.0012,0.0072,11.46,18.36,12.66,0.00,57.51, 9,200.29,493.02,4258.21,0.81,20.31,0.09,2.35,0.01,0.41,0.03,1.00,4.20,0.05,0.28,0.78,0.0010,0.0054,3.00,26.82,12.66,0.00,57.51, 9,52.50,127.97,4258.21,0.82,20.51,0.02,0.62,0.04,0.53,0.07,1.02,4.29,0.12,0.76,0.81,0.0008,0.0048,6.80,11.16,9.58,0.00,72.46,10,156.01,295.70,4258.21,1.06,26.38,0.07,1.83,0.01,0.55,0.03,1.01,4.22,0.06,0.24,0.73,0.0010,0.0041,2.51,15.45,9.58,0.00,72.46,10,59.63,107.64,4258.21,1.11,27.70,0.03,0.70,0.09,0.88,0.10,1.01,4.24,0.17,1.13,0.85,0.0004,0.0030,10.10,50.56,0.04,0.00,39.30, 0,380.80,434.86,4258.21,1.75,43.78,0.18,4.47,0.41,1.17,0.35,0.99,4.16,1.39,7.27,0.81,0.0008,0.0041,35.66,25.01,0.04,0.00,39.30, 0,1755.18,1505.58,4258.21,2.33,58.29,0.82,20.61,0.12,0.76,0.16,1.03,4.31,0.65,3.13,0.78,0.0013,0.0063,15.20,11.67,2.48,0.00,70.65, 9,499.11,659.19,4258.21,1.51,37.86,0.24,5.90,0.03,0.42,0.06,1.02,4.27,0.19,0.82,0.76,0.0018,0.0076,5.90,21.46,2.47,0.00,70.17, 9,106.69,255.75,4258.21,0.83,20.86,0.05,1.25,
