System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-12-03,14:24:36.020,0.17,1.36,0.12,0.89,3.75,3.99,30.52,0.87,0.0007,0.0054,2.46,0.70,5684.34,4165.45,4206.54,2.73,68.23,0.34,8.45,13.85,63.90,0.23,0.00,22.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.05,0.00,0.00,0.17,1.36,0.12,0.89,3.75,3.99,30.52,0.87,0.0007,0.0054,2.46,0.70,0.01,3.22,0.00, 0,5684.34,4165.45,4206.54,2.73,68.23,0.34,8.45,13.85,63.90,0.23,0.00,22.02,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.05,29.82,0.00,0.39,1.30,0.30,0.89,3.75,0.14,1.39,0.89,0.0001,0.0009,33.22,66.78,0.00,0.00,0.00, 0,1621.63,1248.99,4206.54,2.60,64.92,0.77,19.28,0.39,1.30,0.30,0.89,3.75,0.04,1.28,0.97,0.0000,0.0008,33.27,66.73,0.00,0.00,0.00, 0,1626.55,1250.91,4206.54,2.60,65.01,0.77,19.33,0.01,0.47,0.02,0.90,3.76,0.50,3.96,0.87,0.0103,0.0820,2.76,56.98,0.45,0.00,39.81,11,48.36,103.89,4206.54,0.93,23.28,0.02,0.57,0.19,1.70,0.11,0.88,3.69,0.37,2.15,0.82,0.0005,0.0026,12.94,46.79,0.45,0.00,39.81,11,812.62,477.66,4206.54,3.40,85.06,0.39,9.66,0.08,1.20,0.06,0.90,3.80,0.45,3.73,0.88,0.0014,0.0116,7.01,74.03,0.00,0.00,18.96, 3,320.90,266.41,4206.54,2.41,60.23,0.15,3.81,0.04,1.16,0.04,0.90,3.78,1.02,9.81,0.89,0.0059,0.0569,3.93,77.10,0.00,0.00,18.96, 3,172.38,149.06,4206.54,2.31,57.82,0.08,2.05,0.21,1.82,0.12,0.90,3.79,0.82,5.52,0.85,0.0009,0.0062,12.88,57.36,0.47,0.00,29.30,11,890.39,488.90,4206.54,3.64,91.06,0.42,10.58,0.05,1.07,0.04,0.89,3.74,0.65,2.69,0.75,0.0034,0.0140,4.79,65.44,0.47,0.00,29.30,11,191.51,179.63,4206.54,2.13,53.31,0.09,2.28,
2024-12-03,14:24:37.048,0.00,0.62,0.00,0.90,3.78,3.28,35.84,0.91,0.3080,3.3657,1.98,0.38,10.65,17.30,4250.33,1.23,30.78,0.00,0.02,0.06,73.15,0.37,0.00,26.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.62,0.00,0.00,0.00,0.62,0.00,0.90,3.78,3.28,35.84,0.91,0.3080,3.3657,1.98,0.38,0.00,2.42,0.00, 0,10.65,17.30,4250.33,1.23,30.78,0.00,0.02,0.06,73.15,0.37,0.00,26.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.62,29.28,0.00,0.00,0.57,0.00,0.88,3.71,0.13,1.43,0.91,0.1080,1.1741,0.06,99.94,0.00,0.00,0.00, 0,1.21,2.13,4250.33,1.14,28.56,0.00,0.01,0.00,0.58,0.00,0.90,3.76,0.02,1.21,0.99,0.0138,0.9697,0.06,99.94,0.00,0.00,0.00, 0,1.24,2.16,4250.33,1.15,28.83,0.00,0.01,0.00,0.67,0.00,0.91,3.81,0.60,4.33,0.86,0.4127,2.9689,0.06,46.30,0.37,0.00,53.27, 1,1.46,2.17,4250.33,1.34,33.54,0.00,0.02,0.00,0.65,0.00,0.91,3.81,0.29,2.71,0.89,0.2016,1.9016,0.06,45.46,0.37,0.00,54.11, 3,1.43,2.18,4250.33,1.31,32.74,0.00,0.02,0.00,0.67,0.00,0.91,3.81,0.32,4.12,0.92,0.2216,2.8107,0.06,86.46,0.44,0.00,13.04,12,1.46,2.17,4250.33,1.35,33.70,0.00,0.02,0.00,0.62,0.00,0.90,3.76,0.90,11.74,0.92,0.6782,8.8422,0.06,86.46,0.44,0.00,13.04,12,1.33,2.15,4250.33,1.23,30.82,0.00,0.02,0.00,0.57,0.00,0.90,3.76,0.76,8.55,0.91,0.6101,6.8952,0.06,60.53,0.68,0.00,38.74,11,1.24,2.16,4250.33,1.15,28.73,0.00,0.01,0.00,0.58,0.00,0.91,3.81,0.26,1.77,0.85,0.2049,1.3857,0.06,60.53,0.68,0.00,38.74,11,1.28,2.18,4250.33,1.17,29.24,0.00,0.02,
2024-12-03,14:24:38.235,0.00,0.60,0.00,0.88,3.72,4.14,25.10,0.83,0.4058,2.4624,2.67,0.81,10.19,17.01,4250.25,1.20,29.96,0.00,0.01,0.06,75.33,0.32,0.00,24.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.59,0.00,0.00,0.00,0.60,0.00,0.88,3.72,4.14,25.10,0.83,0.4058,2.4624,2.67,0.81,0.01,3.55,0.00, 0,10.19,17.01,4250.25,1.20,29.96,0.00,0.01,0.06,75.33,0.32,0.00,24.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.59,29.21,0.00,0.00,0.54,0.00,0.88,3.71,0.14,1.40,0.90,0.1190,1.2180,0.06,99.94,0.00,0.00,0.00, 0,1.15,2.13,4250.25,1.08,26.98,0.00,0.01,0.00,0.57,0.00,0.88,3.71,0.03,1.20,0.98,0.0208,0.9870,0.06,99.94,0.00,0.00,0.00, 0,1.21,2.13,4250.25,1.14,28.49,0.00,0.01,0.00,0.66,0.00,0.88,3.71,0.77,3.75,0.79,0.5491,2.6657,0.06,49.25,1.01,0.00,49.69, 8,1.41,2.12,4250.25,1.33,33.22,0.00,0.02,0.00,0.66,0.00,0.88,3.71,0.27,1.05,0.73,0.1915,0.7591,0.06,50.04,0.99,0.00,48.92, 8,1.39,2.12,4250.25,1.31,32.80,0.00,0.02,0.00,0.54,0.00,0.90,3.76,0.47,2.49,0.80,0.4029,2.1206,0.05,86.83,0.01,0.00,13.11, 0,1.17,2.16,4250.25,1.09,27.16,0.00,0.01,0.00,0.62,0.00,0.88,3.71,1.28,8.55,0.85,0.9697,6.4577,0.06,84.33,0.01,0.00,15.60, 2,1.32,2.12,4250.25,1.25,31.24,0.00,0.02,0.00,0.58,0.00,0.88,3.71,0.79,4.65,0.83,0.6403,3.7637,0.06,64.87,0.32,0.00,34.75,10,1.23,2.12,4250.25,1.17,29.14,0.00,0.01,0.00,0.61,0.00,0.88,3.71,0.39,2.01,0.80,0.2976,1.5433,0.06,64.87,0.32,0.00,34.75,10,1.31,2.12,4250.25,1.23,30.75,0.00,0.02,
2024-12-03,14:24:39.084,0.00,0.61,0.00,0.88,3.71,3.40,20.94,0.83,0.4394,2.7024,2.36,0.77,7.75,12.68,4283.94,1.22,30.56,0.00,0.01,0.04,77.69,0.36,0.00,21.91,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.60,0.00,0.00,0.00,0.61,0.00,0.88,3.71,3.40,20.94,0.83,0.4394,2.7024,2.36,0.77,0.01,3.20,0.00, 0,7.75,12.68,4283.94,1.22,30.56,0.00,0.01,0.04,77.69,0.36,0.00,21.91,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.60,29.15,0.00,0.00,0.57,0.00,0.88,3.70,0.14,1.60,0.91,0.1180,1.3518,0.05,99.95,0.00,0.00,0.00, 0,1.18,2.07,4283.94,1.14,28.54,0.00,0.01,0.00,0.57,0.00,0.91,3.81,0.04,1.42,0.97,0.0640,2.2975,0.03,99.97,0.00,0.00,0.00, 0,0.62,1.09,4283.94,1.13,28.32,0.00,0.01,0.00,0.65,0.00,0.88,3.71,0.53,3.67,0.85,0.3840,2.6573,0.06,64.63,0.09,0.00,35.22, 8,1.38,2.12,4283.94,1.30,32.48,0.00,0.02,0.00,0.68,0.00,0.88,3.71,0.57,3.40,0.83,0.3994,2.3778,0.06,64.64,0.09,0.00,35.21, 8,1.43,2.12,4283.94,1.35,33.76,0.00,0.02,0.00,0.58,0.00,0.90,3.76,0.37,2.43,0.84,0.2946,1.9543,0.07,69.40,0.49,0.00,30.04,13,1.24,2.16,4283.94,1.15,28.85,0.00,0.02,0.00,0.62,0.00,0.87,3.64,1.10,4.83,0.77,0.8656,3.8004,0.05,75.65,0.39,0.00,23.91, 6,1.27,2.05,4283.94,1.24,31.08,0.00,0.01,0.00,-1.00,0.00,-1.00,-0.00,0.22,1.53,0.84,inf,inf,0.00,72.91,0.91,0.00,26.18, 5,0.00,0.00,4283.94,-1.00,-25.00,0.00,0.00,0.00,0.58,0.00,0.88,3.71,0.44,2.05,0.77,0.7038,3.3098,0.03,72.88,0.91,0.00,26.18, 5,0.62,1.06,4283.94,1.16,29.08,0.00,0.01,
2024-12-03,14:24:40.076,0.00,0.60,0.00,0.89,3.74,5.93,25.18,0.75,0.7211,3.0607,3.36,0.95,8.23,13.68,4250.74,1.20,30.07,0.00,0.01,0.05,72.41,3.21,0.00,24.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.05,0.00,0.00,0.00,0.60,0.00,0.89,3.74,5.93,25.18,0.75,0.7211,3.0607,3.36,0.95,0.08,4.30,0.00, 0,8.23,13.68,4250.74,1.20,30.07,0.00,0.01,0.05,72.41,3.21,0.00,24.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.05,26.67,0.00,0.00,0.54,0.00,0.88,3.70,0.27,2.16,0.87,0.2377,1.9331,0.06,99.94,0.00,0.00,0.00, 0,1.12,2.06,4250.74,1.08,27.12,0.00,0.01,0.00,0.55,0.00,0.88,3.71,0.06,1.49,0.96,0.0513,1.2604,0.06,99.94,0.00,0.00,0.00, 0,1.18,2.14,4250.74,1.10,27.61,0.00,0.01,0.00,0.67,0.00,0.90,3.77,0.82,3.90,0.78,0.5832,2.7631,0.06,57.59,4.78,0.00,37.57, 5,1.41,2.11,4250.74,1.34,33.51,0.00,0.02,0.00,0.65,0.00,0.89,3.76,0.38,2.32,0.83,0.2828,1.7314,0.05,57.59,4.78,0.00,37.57, 5,1.34,2.07,4250.74,1.30,32.41,0.00,0.02,0.00,0.68,0.00,0.88,3.71,2.18,5.78,0.60,3.0581,8.0998,0.03,83.02,2.99,0.00,13.96, 9,0.71,1.06,4250.74,1.35,33.76,0.00,0.01,0.00,0.55,0.00,0.88,3.71,0.80,3.32,0.75,1.3513,5.6336,0.03,82.67,3.05,0.00,14.26, 9,0.59,1.06,4250.74,1.11,27.70,0.00,0.01,0.00,0.58,0.00,0.89,3.73,0.74,3.95,0.80,0.6106,3.2533,0.06,49.34,5.03,0.00,45.57, 9,1.21,2.09,4250.74,1.16,29.01,0.00,0.01,0.00,0.60,0.00,0.91,3.81,0.68,2.25,0.68,1.0349,3.4198,0.03,49.36,5.03,0.00,45.58, 9,0.66,1.09,4250.74,1.21,30.20,0.00,0.01,
2024-12-03,14:24:41.175,0.00,0.62,0.00,0.88,3.68,7.89,31.29,0.73,0.7561,3.0001,4.26,1.04,10.43,16.84,4218.27,1.24,30.97,0.00,0.02,0.06,81.10,0.11,0.00,18.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.58,0.00,0.00,0.00,0.62,0.00,0.88,3.68,7.89,31.29,0.73,0.7561,3.0001,4.26,1.04,0.10,5.25,0.00, 0,10.43,16.84,4218.27,1.24,30.97,0.00,0.02,0.06,81.10,0.11,0.00,18.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.58,28.27,0.00,0.00,0.57,0.00,0.88,3.71,0.22,2.41,0.90,0.1843,1.9830,0.06,99.94,0.00,0.00,0.00, 2,1.22,2.13,4218.27,1.14,28.56,0.00,0.01,0.00,0.57,0.00,0.88,3.71,0.07,1.98,0.97,0.0546,1.6413,0.06,99.94,0.00,0.00,0.00, 2,1.21,2.14,4218.27,1.13,28.28,0.00,0.01,0.00,0.68,0.00,0.88,3.71,1.78,6.75,0.72,1.2455,4.7089,0.06,75.27,0.07,0.00,24.60, 0,1.43,2.11,4218.27,1.36,33.90,0.00,0.02,0.00,0.66,0.00,0.88,3.71,0.37,2.88,0.87,0.2690,2.0656,0.06,75.41,0.07,0.00,24.46, 0,1.39,2.12,4218.27,1.31,32.83,0.00,0.02,0.00,0.67,0.00,0.91,3.81,2.57,6.25,0.56,1.7521,4.2623,0.06,78.16,0.31,0.00,21.47, 6,1.47,2.17,4218.27,1.35,33.69,0.00,0.02,0.00,0.56,0.00,0.84,3.51,0.84,3.77,0.76,0.7541,3.3805,0.05,80.05,0.29,0.00,19.61, 4,1.11,1.97,4218.27,1.13,28.24,0.00,0.01,0.00,0.61,0.00,0.86,3.61,1.37,4.97,0.70,1.0853,3.9269,0.06,70.07,0.06,0.00,29.81, 3,1.27,2.07,4218.27,1.22,30.54,0.00,0.02,0.00,0.63,0.00,0.88,3.71,0.66,2.29,0.68,0.4920,1.7166,0.06,70.08,0.06,0.00,29.80, 3,1.34,2.12,4218.27,1.26,31.49,0.00,0.02,
2024-12-03,14:24:42.092,0.00,0.62,0.00,0.87,3.64,6.91,33.24,0.78,0.6753,3.2476,3.92,0.91,10.23,16.62,4215.00,1.23,30.80,0.00,0.02,0.06,90.82,2.08,0.00,7.04,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.02,0.00,0.00,0.00,0.62,0.00,0.87,3.64,6.91,33.24,0.78,0.6753,3.2476,3.92,0.91,0.08,4.84,0.00, 0,10.23,16.62,4215.00,1.23,30.80,0.00,0.02,0.06,90.82,2.08,0.00,7.04,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.02,28.71,0.00,0.00,0.57,0.00,0.88,3.71,0.23,1.81,0.87,0.1876,1.4885,0.06,99.94,0.00,0.00,0.00, 0,1.21,2.13,4215.00,1.14,28.48,0.00,0.01,0.00,0.57,0.00,0.87,3.63,0.10,2.01,0.95,0.0879,1.7608,0.05,99.95,0.00,0.00,0.00, 0,1.14,2.00,4215.00,1.14,28.52,0.00,0.01,0.00,0.68,0.00,0.86,3.61,1.68,7.96,0.78,1.2029,5.6957,0.06,93.74,2.49,0.00,3.71, 4,1.40,2.06,4215.00,1.36,33.99,0.00,0.02,0.00,0.67,0.00,0.86,3.61,0.42,2.40,0.82,0.2998,1.7200,0.06,93.70,2.51,0.00,3.73, 4,1.39,2.06,4215.00,1.35,33.74,0.00,0.02,0.00,0.61,0.00,0.86,3.61,1.27,5.54,0.76,1.0052,4.3938,0.06,79.54,4.81,0.00,15.59, 7,1.26,2.07,4215.00,1.22,30.46,0.00,0.01,0.00,0.59,0.00,0.86,3.61,1.07,3.37,0.67,0.8777,2.7543,0.06,77.40,5.31,0.00,17.23, 7,1.22,2.07,4215.00,1.18,29.51,0.00,0.02,0.00,0.58,0.00,0.88,3.71,1.37,5.70,0.75,1.1169,4.6411,0.06,90.55,0.92,0.00,8.47, 5,1.23,2.12,4215.00,1.16,28.90,0.00,0.01,0.00,0.66,0.00,0.87,3.66,0.77,4.46,0.82,0.5616,3.2377,0.06,90.47,0.93,0.00,8.54, 4,1.38,2.10,4215.00,1.31,32.85,0.00,0.02,
2024-12-03,14:24:43.089,0.00,0.62,0.00,0.89,3.73,4.07,19.60,0.78,0.3802,1.8312,2.33,0.49,10.70,17.22,4216.89,1.24,31.07,0.00,0.02,0.06,56.48,1.36,0.00,42.10,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.32,0.00,0.00,0.00,0.62,0.00,0.89,3.73,4.07,19.60,0.78,0.3802,1.8312,2.33,0.49,0.01,2.89,0.00, 0,10.70,17.22,4216.89,1.24,31.07,0.00,0.02,0.06,56.48,1.36,0.00,42.10,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.32,23.04,0.00,0.00,0.51,0.00,0.88,3.71,0.18,1.80,0.90,0.1510,1.5343,0.06,99.94,0.00,0.00,0.00, 0,1.17,2.32,4216.89,1.01,25.28,0.00,0.01,0.00,0.57,0.00,0.88,3.71,0.03,1.16,0.97,0.0287,0.9565,0.06,99.94,0.00,0.00,0.00, 0,1.22,2.14,4216.89,1.14,28.47,0.00,0.01,0.00,0.68,0.00,0.88,3.71,0.57,3.20,0.81,0.4003,2.2355,0.06,40.90,0.74,0.00,58.30,10,1.43,2.11,4216.89,1.36,33.93,0.00,0.02,0.00,0.68,0.00,0.88,3.71,0.74,2.18,0.64,0.5158,1.5181,0.06,40.89,0.74,0.00,58.31,10,1.43,2.12,4216.89,1.35,33.85,0.00,0.02,0.00,0.67,0.00,0.90,3.76,0.21,1.48,0.84,0.1485,1.0215,0.06,45.68,0.08,0.00,54.18, 6,1.45,2.15,4216.89,1.35,33.67,0.00,0.02,0.00,0.67,0.00,0.90,3.78,1.08,4.87,0.77,0.7647,3.4546,0.06,45.74,0.08,0.00,54.12, 6,1.41,2.12,4216.89,1.33,33.28,0.00,0.02,0.00,0.57,0.00,0.88,3.71,0.78,3.00,0.73,0.6416,2.4760,0.06,39.07,4.64,0.00,56.23,10,1.21,2.13,4216.89,1.14,28.42,0.00,0.01,0.00,0.64,0.00,0.90,3.76,0.48,1.91,0.74,0.3437,1.3844,0.06,39.57,4.61,0.00,55.77,10,1.38,2.15,4216.89,1.29,32.17,0.00,0.02,
2024-12-03,14:24:44.100,0.00,0.60,0.00,0.87,3.66,5.14,30.99,0.82,0.5464,3.2910,3.69,0.57,9.42,15.76,4250.28,1.19,29.87,0.00,0.01,0.05,90.64,0.84,0.00,8.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.03,0.00,0.00,0.00,0.60,0.00,0.87,3.66,5.14,30.99,0.82,0.5464,3.2910,3.69,0.57,0.01,4.31,0.00, 0,9.42,15.76,4250.28,1.19,29.87,0.00,0.01,0.05,90.64,0.84,0.00,8.47,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.03,28.66,0.00,0.00,0.57,0.00,0.86,3.61,0.22,1.61,0.86,0.1875,1.3589,0.06,99.94,0.00,0.00,0.00, 0,1.19,2.07,4250.28,1.14,28.60,0.00,0.01,0.00,0.57,0.00,0.87,3.66,0.06,1.36,0.95,0.0525,1.1403,0.06,99.94,0.00,0.00,0.00, 0,1.20,2.10,4250.28,1.14,28.49,0.00,0.01,0.00,0.67,0.00,0.88,3.71,1.24,7.12,0.82,0.8756,5.0457,0.06,89.25,0.52,0.00,10.17, 4,1.41,2.12,4250.28,1.33,33.26,0.00,0.02,0.00,0.65,0.00,0.86,3.61,0.39,2.16,0.81,0.2905,1.6056,0.06,89.26,0.52,0.00,10.17, 4,1.35,2.06,4250.28,1.31,32.66,0.00,0.02,0.00,0.55,0.00,0.86,3.61,0.73,5.04,0.84,0.6418,4.4077,0.06,88.28,1.26,0.00,10.41, 7,1.14,2.07,4250.28,1.10,27.62,0.00,0.01,0.00,0.54,0.00,0.88,3.71,1.31,4.84,0.72,2.2280,8.2536,0.03,88.29,1.26,0.00,10.42, 7,0.59,1.08,4250.28,1.09,27.21,0.00,0.01,0.00,0.60,0.00,0.88,3.71,0.74,5.70,0.86,0.5778,4.4637,0.06,85.05,1.60,0.00,13.29, 7,1.28,2.13,4250.28,1.20,29.97,0.00,0.02,0.00,0.60,0.00,0.88,3.71,0.45,3.15,0.85,0.3583,2.4820,0.06,85.05,1.60,0.00,13.29, 7,1.27,2.13,4250.28,1.19,29.79,0.00,0.01,
