System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-12-03,14:37:18.629,0.07,0.84,0.08,1.03,4.32,2.11,11.59,0.81,0.0009,0.0048,1.29,0.32,2409.95,2881.23,4256.24,1.67,41.82,0.14,3.53,8.22,16.52,2.97,0.00,72.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.60,0.00,0.00,0.07,0.84,0.08,1.03,4.32,2.11,11.59,0.81,0.0009,0.0048,1.29,0.32,0.00,1.70,0.00, 0,2409.95,2881.23,4256.24,1.67,41.82,0.14,3.53,8.22,16.52,2.97,0.00,72.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.60,15.98,0.00,0.05,0.52,0.09,1.04,4.35,0.28,1.39,0.78,0.0014,0.0067,8.98,10.11,5.43,0.00,75.48,12,206.30,396.33,4256.24,1.04,26.03,0.10,2.42,0.01,0.33,0.02,1.03,4.33,0.03,0.17,0.81,0.0011,0.0067,1.76,17.33,5.43,0.00,75.48,12,25.30,77.22,4256.24,0.66,16.38,0.01,0.30,0.04,0.62,0.06,1.03,4.32,0.22,0.93,0.74,0.0013,0.0056,6.11,8.61,2.60,0.00,82.68,13,167.15,267.53,4256.24,1.25,31.24,0.08,1.96,0.02,0.75,0.03,1.04,4.38,0.04,0.25,0.84,0.0004,0.0030,2.60,12.12,2.60,0.00,82.68,13,86.15,115.36,4256.24,1.49,37.34,0.04,1.01,0.03,0.62,0.04,1.03,4.31,0.08,0.54,0.83,0.0008,0.0049,4.04,28.87,1.63,0.00,65.47, 0,110.02,178.24,4256.24,1.23,30.86,0.05,1.28,0.24,1.15,0.21,1.02,4.30,0.74,4.09,0.82,0.0007,0.0041,20.14,12.10,1.64,0.00,66.12, 1,1008.06,879.04,4256.24,2.29,57.34,0.47,11.83,0.13,0.90,0.14,1.03,4.31,0.53,2.89,0.81,0.0010,0.0053,13.83,18.71,2.24,0.00,65.22,14,542.30,603.75,4256.24,1.80,44.91,0.25,6.37,0.06,0.73,0.09,1.02,4.30,0.19,1.32,0.85,0.0007,0.0050,8.35,24.19,2.24,0.00,65.22,14,264.66,363.75,4256.24,1.46,36.38,0.12,3.11,
2024-12-03,14:37:19.623,0.08,0.86,0.10,1.02,4.30,2.80,13.87,0.79,0.0010,0.0050,1.63,0.44,2769.09,3220.38,4210.06,1.72,42.99,0.16,4.11,9.35,17.49,6.88,0.00,66.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.80,0.00,0.00,0.08,0.86,0.10,1.02,4.30,2.80,13.87,0.79,0.0010,0.0050,1.63,0.44,0.00,2.17,0.00, 0,2769.09,3220.38,4210.06,1.72,42.99,0.16,4.11,9.35,17.49,6.88,0.00,66.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.80,18.25,0.00,0.12,0.79,0.15,1.02,4.30,0.43,2.48,0.82,0.0009,0.0050,14.68,13.86,9.76,0.00,61.70,11,497.95,633.27,4210.06,1.57,39.32,0.24,5.91,0.02,0.66,0.03,1.03,4.33,0.05,0.47,0.88,0.0006,0.0048,3.38,25.16,9.76,0.00,61.70,11,96.86,146.93,4210.06,1.32,32.96,0.05,1.15,0.05,0.73,0.07,1.03,4.31,0.16,1.02,0.84,0.0007,0.0046,6.95,10.55,10.68,0.00,71.82,13,220.45,300.19,4210.06,1.47,36.72,0.10,2.62,0.01,0.55,0.03,1.02,4.30,0.06,0.29,0.76,0.0010,0.0046,2.66,14.84,10.68,0.00,71.82,13,62.61,114.39,4210.06,1.09,27.37,0.03,0.74,0.02,0.55,0.03,1.03,4.32,0.08,0.39,0.77,0.0012,0.0056,2.92,43.38,1.60,0.00,52.11, 0,69.24,125.20,4210.06,1.11,27.65,0.03,0.83,0.37,1.10,0.34,1.02,4.27,1.51,6.98,0.78,0.0010,0.0045,32.99,13.74,1.58,0.00,51.69, 0,1556.95,1413.29,4210.06,2.20,55.08,0.74,18.49,0.04,0.63,0.06,1.04,4.37,0.36,1.64,0.77,0.0021,0.0096,6.15,8.75,5.47,0.00,79.63,12,170.09,269.14,4210.06,1.26,31.60,0.08,2.02,0.02,0.44,0.05,1.03,4.32,0.14,0.62,0.75,0.0015,0.0066,5.03,9.87,5.47,0.00,79.63,12,94.94,217.97,4210.06,0.87,21.78,0.05,1.13,
2024-12-03,14:37:20.634,0.08,0.86,0.09,1.02,4.29,2.65,13.40,0.80,0.0010,0.0052,1.52,0.29,2599.65,3037.36,4260.59,1.71,42.79,0.15,3.82,8.72,17.79,5.63,0.00,67.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.71,0.00,0.00,0.08,0.86,0.09,1.02,4.29,2.65,13.40,0.80,0.0010,0.0052,1.52,0.29,0.00,1.88,0.00,12,2599.65,3037.36,4260.59,1.71,42.79,0.15,3.82,8.72,17.79,5.63,0.00,67.85,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.71,17.11,0.00,0.03,0.41,0.08,1.03,4.31,0.24,1.05,0.75,0.0018,0.0078,7.61,12.01,7.65,0.00,72.73,13,135.27,332.62,4260.59,0.81,20.33,0.06,1.59,0.01,0.37,0.03,1.02,4.30,0.04,0.24,0.81,0.0009,0.0060,2.47,17.15,7.65,0.00,72.73,13,40.11,107.58,4260.59,0.75,18.64,0.02,0.47,0.04,0.65,0.06,1.04,4.35,0.18,0.88,0.77,0.0011,0.0052,5.86,8.05,9.72,0.00,76.37,12,168.99,258.80,4260.59,1.31,32.65,0.08,1.98,0.01,0.55,0.02,1.03,4.32,0.04,0.25,0.83,0.0009,0.0058,1.76,12.16,9.72,0.00,76.37,12,42.48,77.00,4260.59,1.10,27.58,0.02,0.50,0.03,0.78,0.04,1.02,4.30,0.13,0.62,0.77,0.0009,0.0044,4.16,48.26,0.49,0.00,47.09,15,140.36,180.92,4260.59,1.55,38.79,0.07,1.65,0.37,1.16,0.32,1.01,4.24,1.19,6.67,0.82,0.0008,0.0042,31.91,20.61,0.49,0.00,47.00,15,1588.90,1371.10,4260.59,2.32,57.94,0.75,18.66,0.08,0.77,0.10,1.04,4.36,0.62,2.69,0.76,0.0019,0.0081,9.72,10.40,4.65,0.00,75.23,15,330.70,429.75,4260.59,1.54,38.48,0.16,3.88,0.04,0.55,0.07,1.04,4.37,0.21,1.00,0.78,0.0014,0.0065,6.31,13.80,4.65,0.00,75.24,15,152.85,279.59,4260.59,1.09,27.33,0.07,1.79,
2024-12-03,14:37:21.636,0.06,0.81,0.08,1.03,4.31,2.01,10.66,0.80,0.0009,0.0050,1.21,0.33,2122.64,2627.74,4206.26,1.62,40.39,0.13,3.15,7.61,16.23,3.86,0.00,72.30,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.37,0.00,0.00,0.06,0.81,0.08,1.03,4.31,2.01,10.66,0.80,0.0009,0.0050,1.21,0.33,0.00,1.60,0.00,13,2122.64,2627.74,4206.26,1.62,40.39,0.13,3.15,7.61,16.23,3.86,0.00,72.30,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.37,14.84,0.00,0.07,0.63,0.11,1.04,4.36,0.35,1.74,0.79,0.0012,0.0062,10.22,11.44,2.70,0.00,75.64,14,280.30,446.27,4206.26,1.26,31.40,0.13,3.33,0.02,0.52,0.03,1.04,4.35,0.04,0.30,0.85,0.0006,0.0044,3.05,18.61,2.70,0.00,75.64,14,69.14,132.72,4206.26,1.04,26.05,0.03,0.82,0.03,0.49,0.05,1.03,4.35,0.11,0.66,0.81,0.0010,0.0061,5.13,10.74,7.41,0.00,76.72,13,108.46,223.41,4206.26,0.97,24.27,0.05,1.29,0.02,0.78,0.03,1.03,4.34,0.05,0.27,0.79,0.0006,0.0030,2.76,13.12,7.41,0.00,76.72,13,93.10,119.90,4206.26,1.55,38.83,0.04,1.11,0.03,0.65,0.04,1.03,4.31,0.16,0.62,0.72,0.0014,0.0054,4.15,37.75,0.02,0.00,58.09,16,115.81,179.16,4206.26,1.29,32.32,0.06,1.38,0.29,1.12,0.26,1.01,4.26,0.97,5.29,0.81,0.0008,0.0043,25.72,16.17,0.02,0.00,58.09,16,1232.86,1096.18,4206.26,2.25,56.23,0.59,14.65,0.03,0.60,0.05,1.03,4.34,0.23,1.07,0.77,0.0017,0.0082,5.00,10.95,5.32,0.00,78.73,15,129.60,217.46,4206.26,1.19,29.80,0.06,1.54,0.02,0.44,0.05,1.04,4.37,0.10,0.71,0.84,0.0011,0.0076,4.86,11.07,5.32,0.00,78.75,15,93.38,212.65,4206.26,0.88,21.96,0.04,1.11,
2024-12-03,14:37:22.645,0.06,0.83,0.07,1.03,4.31,1.95,9.99,0.80,0.0010,0.0051,1.15,0.30,1966.98,2380.06,4240.32,1.65,41.32,0.12,2.90,6.84,14.04,3.93,0.00,75.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.62,0.00,0.00,0.06,0.83,0.07,1.03,4.31,1.95,9.99,0.80,0.0010,0.0051,1.15,0.30,0.00,1.52,0.00,14,1966.98,2380.06,4240.32,1.65,41.32,0.12,2.90,6.84,14.04,3.93,0.00,75.18,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.62,14.06,0.00,0.05,0.54,0.08,1.04,4.38,0.28,1.20,0.76,0.0014,0.0061,8.14,9.90,7.28,0.00,74.68,16,194.77,359.60,4240.32,1.08,27.08,0.09,2.30,0.01,0.49,0.03,1.03,4.33,0.10,0.36,0.69,0.0019,0.0067,2.48,15.54,7.28,0.00,74.70,16,53.44,108.22,4240.32,0.99,24.69,0.03,0.63,0.03,0.57,0.04,1.04,4.36,0.09,0.58,0.82,0.0008,0.0054,4.30,8.77,4.86,0.00,82.07,14,108.05,189.21,4240.32,1.14,28.55,0.05,1.27,0.02,0.74,0.03,1.03,4.33,0.12,0.43,0.71,0.0014,0.0052,2.59,10.48,4.86,0.00,82.07,14,83.97,113.03,4240.32,1.49,37.15,0.04,0.99,0.07,1.00,0.07,1.01,4.23,0.14,1.03,0.86,0.0005,0.0034,7.21,29.98,0.35,0.00,62.46,17,308.17,307.62,4240.32,2.00,50.09,0.15,3.64,0.23,1.14,0.21,1.02,4.27,0.83,4.56,0.82,0.0008,0.0046,20.23,16.98,0.35,0.00,62.44,17,991.49,871.53,4240.32,2.28,56.88,0.47,11.70,0.03,0.64,0.05,1.04,4.37,0.24,1.07,0.76,0.0019,0.0086,4.41,10.82,3.23,0.00,81.54,15,123.83,194.71,4240.32,1.27,31.80,0.06,1.46,0.02,0.44,0.06,1.04,4.36,0.15,0.75,0.79,0.0014,0.0073,5.37,9.89,3.23,0.00,81.51,15,103.26,236.13,4240.32,0.87,21.86,0.05,1.22,
2024-12-03,14:37:23.657,0.09,0.85,0.10,1.03,4.32,2.85,14.73,0.80,0.0010,0.0050,1.69,0.37,2922.76,3421.89,4244.95,1.71,42.71,0.17,4.30,9.79,20.03,6.10,0.00,64.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.63,0.00,0.00,0.09,0.85,0.10,1.03,4.32,2.85,14.73,0.80,0.0010,0.0050,1.69,0.37,0.00,2.16,0.00, 7,2922.76,3421.89,4244.95,1.71,42.71,0.17,4.30,9.79,20.03,6.10,0.00,64.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.63,19.07,0.00,0.06,0.52,0.11,1.04,4.35,0.40,2.11,0.80,0.0016,0.0086,10.82,14.78,11.13,0.00,63.26,10,245.76,475.68,4244.95,1.03,25.83,0.12,2.89,0.03,0.74,0.04,1.03,4.32,0.05,0.46,0.87,0.0004,0.0034,4.12,21.50,11.13,0.00,63.25,10,133.50,180.03,4244.95,1.48,37.08,0.06,1.57,0.06,0.70,0.08,1.03,4.33,0.24,1.22,0.78,0.0010,0.0050,7.95,10.00,7.69,0.00,74.36,10,244.61,348.51,4244.95,1.40,35.09,0.12,2.88,0.01,0.53,0.03,1.04,4.35,0.10,0.41,0.72,0.0017,0.0069,2.57,15.38,7.69,0.00,74.36,10,59.86,113.15,4244.95,1.06,26.45,0.03,0.70,0.07,0.89,0.08,1.01,4.24,0.22,1.38,0.84,0.0007,0.0045,8.10,42.08,1.12,0.00,48.71, 7,310.62,347.18,4244.95,1.79,44.74,0.15,3.66,0.30,1.12,0.27,1.03,4.32,1.14,5.78,0.80,0.0009,0.0045,26.38,23.80,1.12,0.00,48.71, 7,1287.93,1151.28,4244.95,2.24,55.93,0.61,15.16,0.13,0.92,0.14,1.03,4.32,0.51,2.62,0.80,0.0009,0.0049,13.34,12.22,4.46,0.00,69.98,11,538.95,583.75,4244.95,1.85,46.16,0.25,6.34,0.02,0.46,0.05,1.04,4.36,0.18,0.74,0.74,0.0018,0.0073,5.04,20.47,4.46,0.00,70.03,11,101.54,222.31,4244.95,0.91,22.84,0.05,1.20,
2024-12-03,14:37:24.670,0.09,0.86,0.10,1.02,4.29,2.80,14.30,0.80,0.0010,0.0049,1.62,0.45,2918.47,3397.11,4257.00,1.72,42.96,0.17,4.28,9.77,17.62,4.28,0.00,68.33,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.52,0.00,0.00,0.09,0.86,0.10,1.02,4.29,2.80,14.30,0.80,0.0010,0.0049,1.62,0.45,0.00,2.17,0.00,12,2918.47,3397.11,4257.00,1.72,42.96,0.17,4.28,9.77,17.62,4.28,0.00,68.33,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.52,17.90,0.00,0.14,0.80,0.18,1.03,4.31,0.64,2.85,0.77,0.0010,0.0046,17.73,12.66,5.88,0.00,63.73,12,615.90,774.65,4257.00,1.59,39.75,0.29,7.23,0.02,0.49,0.04,1.03,4.32,0.11,0.48,0.75,0.0015,0.0063,3.52,26.87,5.88,0.00,63.73,12,76.03,154.12,4257.00,0.99,24.66,0.04,0.89,0.10,0.85,0.11,1.00,4.22,0.31,1.68,0.81,0.0008,0.0041,11.36,13.33,6.86,0.00,68.44,13,410.99,486.09,4257.00,1.69,42.27,0.19,4.83,0.02,0.72,0.03,1.03,4.32,0.14,0.48,0.70,0.0013,0.0046,3.28,21.42,6.86,0.00,68.44,13,102.82,143.50,4257.00,1.43,35.83,0.05,1.21,0.09,0.94,0.09,1.01,4.23,0.25,1.38,0.81,0.0007,0.0037,9.16,27.55,1.32,0.00,61.97,14,368.23,392.70,4257.00,1.88,46.89,0.17,4.33,0.24,1.15,0.21,1.02,4.30,0.90,4.95,0.82,0.0009,0.0048,20.60,16.12,1.32,0.00,61.96,14,1030.13,897.10,4257.00,2.30,57.41,0.48,12.10,0.05,0.68,0.07,1.04,4.35,0.32,1.76,0.81,0.0016,0.0086,6.77,10.98,3.04,0.00,79.21,13,203.56,298.26,4257.00,1.36,34.12,0.10,2.39,0.03,0.44,0.06,1.02,4.30,0.14,0.73,0.80,0.0013,0.0066,5.75,12.05,3.04,0.00,79.16,13,110.81,250.69,4257.00,0.88,22.10,0.05,1.30,
2024-12-03,14:37:25.676,0.06,0.83,0.07,1.03,4.32,1.93,9.93,0.80,0.0010,0.0050,1.14,0.32,1974.41,2386.72,4226.75,1.65,41.36,0.12,2.92,6.86,13.72,4.13,0.00,75.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.27,0.00,0.00,0.06,0.83,0.07,1.03,4.32,1.93,9.93,0.80,0.0010,0.0050,1.14,0.32,0.00,1.52,0.00,13,1974.41,2386.72,4226.75,1.65,41.36,0.12,2.92,6.86,13.72,4.13,0.00,75.29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.27,13.72,0.00,0.03,0.42,0.07,1.04,4.36,0.18,0.97,0.80,0.0014,0.0078,6.70,13.48,4.43,0.00,75.39,15,124.79,293.98,4226.75,0.85,21.22,0.06,1.48,0.06,0.85,0.07,1.03,4.31,0.34,1.19,0.70,0.0015,0.0051,6.39,13.79,4.43,0.00,75.39,15,234.79,277.27,4226.75,1.69,42.34,0.11,2.78,0.03,0.58,0.05,1.04,4.37,0.11,0.62,0.79,0.0009,0.0050,4.87,7.47,7.48,0.00,80.18,13,123.76,214.03,4226.75,1.16,28.91,0.06,1.46,0.01,0.65,0.02,1.03,4.33,0.03,0.16,0.78,0.0006,0.0034,1.63,10.71,7.48,0.00,80.18,13,46.35,70.91,4226.75,1.31,32.68,0.02,0.55,0.02,0.75,0.03,1.04,4.35,0.06,0.51,0.88,0.0005,0.0051,3.08,31.83,1.75,0.00,63.34,16,100.72,135.11,4226.75,1.49,37.28,0.05,1.19,0.26,1.14,0.23,1.02,4.28,0.81,4.30,0.81,0.0007,0.0039,22.30,12.59,1.75,0.00,63.36,17,1091.77,959.81,4226.75,2.27,56.87,0.52,12.92,0.04,0.69,0.06,1.04,4.36,0.29,1.57,0.81,0.0018,0.0095,5.41,9.51,2.86,0.00,82.21,16,164.38,237.73,4226.75,1.38,34.57,0.08,1.94,0.02,0.44,0.05,1.03,4.34,0.11,0.61,0.82,0.0012,0.0070,4.53,10.38,2.87,0.00,82.23,16,87.85,197.88,4226.75,0.89,22.20,0.04,1.04,
2024-12-03,14:37:26.687,0.06,0.81,0.08,1.02,4.29,1.97,10.54,0.81,0.0009,0.0050,1.20,0.26,2120.96,2621.11,4243.72,1.62,40.46,0.12,3.12,7.55,16.37,3.68,0.00,72.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,0.00,0.00,0.06,0.81,0.08,1.02,4.29,1.97,10.54,0.81,0.0009,0.0050,1.20,0.26,0.00,1.52,0.00,14,2120.96,2621.11,4243.72,1.62,40.46,0.12,3.12,7.55,16.37,3.68,0.00,72.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,15.02,0.00,0.05,0.55,0.08,1.03,4.34,0.19,1.31,0.84,0.0010,0.0067,8.15,10.82,6.16,0.00,74.87,16,195.24,357.13,4243.72,1.09,27.33,0.09,2.30,0.01,0.41,0.02,1.03,4.33,0.03,0.25,0.85,0.0008,0.0063,2.21,16.76,6.16,0.00,74.87,16,39.68,96.95,4243.72,0.82,20.47,0.02,0.47,0.10,0.89,0.11,1.01,4.24,0.21,1.47,0.85,0.0005,0.0034,11.25,12.94,5.08,0.00,70.73,14,427.07,482.33,4243.72,1.77,44.27,0.20,5.03,0.03,0.80,0.03,1.01,4.26,0.04,0.38,0.88,0.0004,0.0035,3.15,21.05,5.08,0.00,70.72,14,108.80,135.24,4243.72,1.61,40.22,0.05,1.28,0.03,0.63,0.04,1.04,4.38,0.13,0.56,0.74,0.0012,0.0048,4.21,30.40,1.47,0.00,63.93,17,116.27,185.95,4243.72,1.25,31.26,0.05,1.37,0.21,1.09,0.19,1.01,4.25,0.78,4.11,0.81,0.0009,0.0046,19.15,15.45,1.47,0.00,63.93,17,898.29,822.15,4243.72,2.19,54.63,0.42,10.58,0.06,0.75,0.08,1.04,4.36,0.46,1.73,0.72,0.0019,0.0072,7.34,10.59,2.00,0.00,80.07,16,241.03,322.92,4243.72,1.49,37.32,0.11,2.84,0.02,0.43,0.05,1.04,4.35,0.12,0.72,0.82,0.0013,0.0076,4.97,12.95,2.00,0.00,80.07,16,94.58,218.44,4243.72,0.87,21.65,0.04,1.11,
