System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-11-14,14:04:51.486,0.02,0.53,0.03,0.84,3.52,0.08,0.28,0.70,0.0014,0.0052,0.05,0.01,54.81,103.47,453.09,1.06,26.49,0.03,0.76,3.41,20.20,2.39,0.00,74.01,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,0.00,0.00,0.02,0.53,0.03,0.84,3.52,0.08,0.28,0.70,0.0014,0.0052,0.05,0.01,0.00,0.06,0.00,43,54.81,103.47,453.09,1.06,26.49,0.03,0.76,3.41,20.20,2.39,0.00,74.01,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,0.88,0.00,0.04,0.58,0.07,0.86,3.63,0.03,0.10,0.73,0.0013,0.0053,8.42,4.63,4.89,0.00,82.06,43,19.12,32.94,453.09,1.16,29.03,0.08,2.11,0.01,0.46,0.01,0.82,3.44,0.00,0.01,0.62,0.0013,0.0041,1.51,11.52,4.89,0.00,82.07,43,2.55,5.59,453.09,0.91,22.76,0.01,0.28,0.02,0.43,0.04,0.80,3.35,0.01,0.05,0.72,0.0016,0.0063,4.88,5.41,0.00,0.00,89.71,43,7.62,17.62,453.09,0.86,21.62,0.03,0.84,0.01,0.57,0.01,0.84,3.51,0.01,0.02,0.55,0.0033,0.0077,1.39,8.90,0.00,0.00,89.71,43,2.99,5.27,453.09,1.14,28.43,0.01,0.33,0.02,0.56,0.03,0.82,3.45,0.01,0.03,0.72,0.0010,0.0040,3.58,7.39,4.65,0.00,84.38,44,7.53,13.33,453.09,1.13,28.25,0.03,0.83,0.00,0.22,0.01,0.58,2.42,0.00,0.01,0.83,0.0016,0.0120,1.36,9.61,4.65,0.00,84.38,44,0.77,3.54,453.09,0.43,10.85,0.00,0.08,0.03,0.68,0.04,0.90,3.78,0.01,0.03,0.71,0.0007,0.0028,4.24,55.86,0.00,0.00,39.89,43,11.83,17.29,453.09,1.37,34.21,0.05,1.31,0.01,0.30,0.02,0.93,3.90,0.01,0.03,0.67,0.0033,0.0110,1.88,58.23,0.00,0.00,39.89,43,2.40,7.89,453.09,0.61,15.23,0.01,0.27,
2024-11-14,14:04:51.595,0.00,0.64,0.01,0.19,0.80,0.01,0.07,0.85,0.0005,0.0040,0.01,0.00,17.67,27.81,458.86,1.27,31.76,0.01,0.24,3.97,4.58,0.00,0.00,91.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.64,0.01,0.19,0.80,0.01,0.07,0.85,0.0005,0.0040,0.01,0.00,0.00,0.01,0.00,44,17.67,27.81,458.86,1.27,31.76,0.01,0.24,3.97,4.58,0.00,0.00,91.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.05,0.00,0.00,0.37,0.01,0.19,0.80,0.00,0.02,0.90,0.0007,0.0080,6.14,2.72,0.00,0.00,91.14,44,2.00,5.38,458.86,0.74,18.62,0.01,0.22,0.00,0.25,0.00,0.19,0.80,0.00,0.00,0.74,0.0034,0.0152,1.50,7.37,0.00,0.00,91.13,44,0.33,1.32,458.86,0.50,12.39,0.00,0.04,0.00,0.48,0.01,0.19,0.80,0.00,0.01,0.94,0.0003,0.0059,3.54,2.90,0.00,0.00,93.56,44,1.50,3.10,458.86,0.97,24.22,0.01,0.16,0.00,0.33,0.00,0.19,0.80,0.00,0.01,0.85,0.0009,0.0078,2.19,4.24,0.00,0.00,93.57,44,0.64,1.92,458.86,0.67,16.67,0.00,0.07,0.01,0.85,0.01,0.19,0.80,0.00,0.01,0.79,0.0004,0.0024,7.67,2.33,0.00,0.00,90.00,45,5.73,6.72,458.86,1.70,42.60,0.02,0.62,0.00,0.33,0.00,0.19,0.80,0.00,0.00,0.94,0.0003,0.0063,1.75,8.25,0.00,0.00,90.00,45,0.51,1.53,458.86,0.66,16.58,0.00,0.06,0.01,0.81,0.01,0.19,0.80,0.00,0.01,0.87,0.0004,0.0030,4.62,4.28,0.00,0.00,91.10,44,3.27,4.05,458.86,1.61,40.31,0.01,0.36,0.01,0.97,0.01,0.19,0.80,0.00,0.01,0.81,0.0005,0.0027,4.34,4.57,0.00,0.00,91.09,44,3.70,3.80,458.86,1.95,48.66,0.02,0.40,
2024-11-14,14:04:51.706,0.00,0.61,0.01,0.19,0.80,0.01,0.06,0.86,0.0005,0.0039,0.01,0.00,14.55,23.78,464.53,1.22,30.58,0.01,0.20,3.35,3.55,0.00,0.00,93.10,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.61,0.01,0.19,0.80,0.01,0.06,0.86,0.0005,0.0039,0.01,0.00,0.00,0.01,0.00,44,14.55,23.78,464.53,1.22,30.58,0.01,0.20,3.35,3.55,0.00,0.00,93.10,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.05,0.00,0.00,0.37,0.01,0.19,0.80,0.00,0.01,0.89,0.0008,0.0084,5.10,4.85,0.00,0.00,90.05,44,1.68,4.52,464.53,0.74,18.54,0.01,0.18,0.01,0.97,0.01,0.19,0.80,0.00,0.00,0.89,0.0001,0.0013,4.24,5.72,0.00,0.00,90.05,44,3.63,3.76,464.53,1.93,48.30,0.02,0.39,0.00,0.53,0.01,0.19,0.80,0.00,0.01,0.86,0.0005,0.0043,4.67,1.32,0.00,0.00,94.00,45,2.21,4.15,464.53,1.07,26.67,0.01,0.24,0.00,0.21,0.00,0.19,0.80,0.00,0.00,0.87,0.0009,0.0101,1.13,4.86,0.00,0.00,94.00,45,0.21,1.01,464.53,0.43,10.65,0.00,0.02,0.00,0.48,0.00,0.19,0.80,0.00,0.01,0.77,0.0010,0.0051,2.47,2.24,0.00,0.00,95.29,45,1.05,2.19,464.53,0.96,24.05,0.00,0.11,0.00,0.30,0.00,0.19,0.80,0.00,0.01,0.93,0.0006,0.0100,2.37,2.34,0.00,0.00,95.29,45,0.64,2.11,464.53,0.61,15.17,0.00,0.07,0.01,0.73,0.01,0.19,0.80,0.00,0.01,0.82,0.0006,0.0035,4.69,2.26,0.00,0.00,93.06,45,3.05,4.16,464.53,1.47,36.63,0.01,0.33,0.00,1.10,0.00,0.19,0.80,0.00,0.00,0.77,0.0003,0.0017,2.13,4.78,0.00,0.00,93.09,45,2.07,1.89,464.53,2.19,54.84,0.01,0.22,
2024-11-14,14:04:51.808,0.03,0.85,0.04,0.51,2.16,0.12,0.41,0.68,0.0010,0.0035,0.06,0.02,118.83,140.60,427.95,1.69,42.26,0.07,1.74,7.98,10.58,0.81,0.00,80.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,0.00,0.00,0.03,0.85,0.04,0.51,2.16,0.12,0.41,0.68,0.0010,0.0035,0.06,0.02,0.00,0.08,0.00,44,118.83,140.60,427.95,1.69,42.26,0.07,1.74,7.98,10.58,0.81,0.00,80.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,0.49,0.00,0.03,0.73,0.04,0.38,1.58,0.01,0.05,0.69,0.0011,0.0042,10.15,10.97,0.96,0.00,77.92,44,11.90,16.30,427.95,1.46,36.51,0.06,1.39,0.02,0.63,0.03,0.47,1.97,0.01,0.02,0.63,0.0008,0.0027,5.67,15.44,0.96,0.00,77.93,44,7.20,11.40,427.95,1.26,31.58,0.03,0.84,0.02,0.46,0.04,0.47,1.98,0.01,0.06,0.80,0.0014,0.0083,7.80,8.59,0.85,0.00,82.75,45,7.19,15.71,427.95,0.91,22.86,0.03,0.84,0.00,0.32,0.01,0.47,1.96,0.00,0.01,0.80,0.0011,0.0068,3.13,13.26,0.85,0.00,82.76,45,1.99,6.25,427.95,0.64,15.93,0.01,0.23,0.04,0.68,0.06,0.58,2.46,0.04,0.11,0.62,0.0023,0.0067,9.98,10.24,1.41,0.00,78.37,45,17.04,24.96,427.95,1.37,34.13,0.08,1.99,0.05,1.00,0.05,0.50,2.09,0.04,0.07,0.45,0.0018,0.0034,10.29,9.92,1.41,0.00,78.38,45,21.81,21.87,427.95,1.99,49.87,0.10,2.55,0.11,1.24,0.09,0.68,2.86,0.01,0.07,0.92,0.0001,0.0015,13.30,3.18,0.00,0.00,83.52,45,48.07,38.72,427.95,2.48,62.07,0.22,5.62,0.01,0.68,0.01,0.36,1.50,0.00,0.01,0.77,0.0006,0.0032,3.52,13.00,0.00,0.00,83.48,45,3.65,5.39,427.95,1.35,33.81,0.02,0.43,
2024-11-14,14:04:51.920,0.00,0.54,0.01,0.22,0.90,0.01,0.06,0.86,0.0004,0.0034,0.01,0.00,18.08,33.67,462.72,1.07,26.86,0.01,0.24,4.22,4.28,0.00,0.00,91.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.54,0.01,0.22,0.90,0.01,0.06,0.86,0.0004,0.0034,0.01,0.00,0.00,0.01,0.00,45,18.08,33.67,462.72,1.07,26.86,0.01,0.24,4.22,4.28,0.00,0.00,91.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.07,0.00,0.00,0.35,0.01,0.22,0.94,0.00,0.01,0.92,0.0006,0.0092,2.93,3.34,0.00,0.00,93.73,45,1.05,3.04,462.72,0.69,17.32,0.00,0.11,0.00,0.70,0.01,0.21,0.86,0.00,0.01,0.90,0.0002,0.0027,2.96,3.32,0.00,0.00,93.72,45,1.98,2.81,462.72,1.41,35.24,0.01,0.21,0.01,0.88,0.01,0.22,0.91,0.00,0.02,0.77,0.0006,0.0031,5.53,1.99,0.00,0.00,92.47,45,4.89,5.54,462.72,1.77,44.15,0.02,0.53,0.00,0.34,0.00,0.22,0.91,0.00,0.00,0.91,0.0004,0.0067,1.65,5.87,0.00,0.00,92.48,45,0.56,1.66,462.72,0.68,16.92,0.00,0.06,0.00,0.65,0.01,0.20,0.86,0.00,0.01,0.94,0.0001,0.0031,3.72,1.32,0.00,0.00,94.96,46,2.28,3.51,462.72,1.30,32.58,0.01,0.25,0.00,0.26,0.00,0.22,0.91,0.00,0.00,0.88,0.0007,0.0087,1.14,3.91,0.00,0.00,94.95,46,0.30,1.15,462.72,0.53,13.22,0.00,0.03,0.00,0.17,0.01,0.22,0.93,0.00,0.00,0.89,0.0004,0.0048,4.99,10.83,0.00,0.00,84.18,45,0.90,5.22,462.72,0.34,8.61,0.00,0.10,0.01,0.57,0.02,0.21,0.90,0.00,0.01,0.87,0.0003,0.0022,10.81,3.57,0.00,0.00,85.62,45,6.11,10.73,462.72,1.14,28.44,0.03,0.66,
2024-11-14,14:04:52.024,0.03,0.59,0.05,0.47,1.99,0.07,0.49,0.83,0.0006,0.0044,0.06,0.01,111.94,188.87,447.03,1.19,29.64,0.06,1.57,11.17,12.28,1.61,0.00,74.93,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.03,0.59,0.05,0.47,1.99,0.07,0.49,0.83,0.0006,0.0044,0.06,0.01,0.00,0.07,0.00,44,111.94,188.87,447.03,1.19,29.64,0.06,1.57,11.17,12.28,1.61,0.00,74.93,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.66,0.00,0.02,0.36,0.05,0.47,1.96,0.01,0.08,0.79,0.0017,0.0088,11.56,8.56,2.83,0.00,77.05,44,8.73,24.09,447.03,0.73,18.13,0.04,0.98,0.01,0.36,0.03,0.47,1.95,0.01,0.03,0.79,0.0013,0.0076,5.60,14.53,2.83,0.00,77.05,44,4.24,11.65,447.03,0.73,18.19,0.02,0.47,0.03,0.58,0.06,0.49,2.05,0.01,0.08,0.83,0.0007,0.0050,12.24,5.22,3.32,0.00,79.22,45,15.38,26.72,447.03,1.15,28.77,0.07,1.72,0.02,0.52,0.03,0.40,1.69,0.01,0.04,0.80,0.0009,0.0053,8.02,9.44,3.32,0.00,79.22,45,7.45,14.40,447.03,1.03,25.87,0.03,0.83,0.11,0.87,0.12,0.55,2.32,0.02,0.15,0.86,0.0004,0.0031,22.03,9.41,0.14,0.00,68.42,45,47.35,54.31,447.03,1.74,43.59,0.21,5.30,0.01,0.30,0.02,0.25,1.04,0.00,0.02,0.86,0.0007,0.0067,9.31,22.13,0.14,0.00,68.42,45,3.10,10.34,447.03,0.60,14.99,0.01,0.35,0.03,0.44,0.07,0.68,2.84,0.01,0.04,0.85,0.0004,0.0033,10.03,14.11,0.15,0.00,75.71,45,13.08,29.82,447.03,0.88,21.93,0.06,1.49,0.03,0.72,0.04,0.37,1.56,0.01,0.05,0.85,0.0005,0.0040,10.57,14.91,0.15,0.00,74.37,45,12.62,17.53,447.03,1.44,35.99,0.06,1.41,
2024-11-14,14:04:52.145,0.03,0.67,0.04,0.37,1.57,0.04,0.50,0.90,0.0004,0.0049,0.04,0.01,101.86,151.56,475.73,1.34,33.60,0.05,1.33,10.59,16.68,1.11,0.00,71.62,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,0.03,0.67,0.04,0.37,1.57,0.04,0.50,0.90,0.0004,0.0049,0.04,0.01,0.00,0.04,0.00,44,101.86,151.56,475.73,1.34,33.60,0.05,1.33,10.59,16.68,1.11,0.00,71.62,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.35,0.00,0.02,0.42,0.04,0.48,2.04,0.01,0.08,0.87,0.0012,0.0092,9.20,16.00,0.59,0.00,74.21,44,8.89,21.21,475.73,0.84,20.96,0.04,0.93,0.02,0.58,0.03,0.41,1.71,0.01,0.05,0.84,0.0007,0.0050,8.15,17.05,0.59,0.00,74.21,44,9.12,15.83,475.73,1.15,28.79,0.04,0.96,0.09,1.16,0.08,0.30,1.27,0.01,0.12,0.95,0.0001,0.0027,25.03,3.89,0.00,0.00,71.08,43,44.31,38.34,475.73,2.31,57.78,0.18,4.38,0.00,0.31,0.01,0.50,2.12,0.00,0.01,0.68,0.0029,0.0097,2.08,22.24,0.00,0.00,75.68,44,1.53,4.98,475.73,0.61,15.36,0.01,0.16,0.02,0.55,0.04,0.48,2.03,0.01,0.08,0.92,0.0005,0.0068,9.26,13.95,0.81,0.00,75.98,45,11.73,21.28,475.73,1.10,27.56,0.05,1.23,0.00,0.27,0.01,0.35,1.48,0.00,0.01,0.65,0.0018,0.0059,3.69,19.52,0.81,0.00,75.98,45,1.69,6.19,475.73,0.55,13.64,0.01,0.18,0.02,0.40,0.04,0.45,1.90,0.00,0.10,0.96,0.0005,0.0126,8.94,25.05,3.06,0.00,62.94,45,7.76,19.23,475.73,0.81,20.19,0.03,0.82,0.04,0.69,0.05,0.30,1.24,0.00,0.05,0.90,0.0003,0.0031,17.44,16.56,3.06,0.00,62.94,45,16.82,24.49,475.73,1.37,34.34,0.07,1.77,
2024-11-14,14:04:52.247,0.01,0.66,0.02,0.39,1.62,0.02,0.17,0.86,0.0005,0.0042,0.02,0.00,40.58,61.70,459.56,1.32,32.89,0.02,0.56,4.38,5.89,0.00,0.00,89.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0.00,0.00,0.01,0.66,0.02,0.39,1.62,0.02,0.17,0.86,0.0005,0.0042,0.02,0.00,0.00,0.02,0.00,45,40.58,61.70,459.56,1.32,32.89,0.02,0.56,4.38,5.89,0.00,0.00,89.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0.13,0.00,0.03,0.80,0.03,0.46,1.92,0.01,0.03,0.81,0.0005,0.0027,7.04,4.26,0.00,0.00,88.69,45,11.79,14.81,459.56,1.59,39.79,0.05,1.28,0.01,0.76,0.01,0.37,1.55,0.00,0.01,0.89,0.0003,0.0032,2.76,8.39,0.00,0.00,88.86,45,3.53,4.68,459.56,1.51,37.75,0.02,0.39,0.02,0.66,0.03,0.43,1.80,0.00,0.06,0.94,0.0004,0.0067,7.37,2.65,0.00,0.00,89.99,45,8.87,13.49,459.56,1.31,32.86,0.04,1.04,0.00,0.31,0.01,0.29,1.22,0.00,0.01,0.76,0.0016,0.0085,2.03,14.23,0.00,0.00,83.74,45,0.83,2.72,459.56,0.61,15.30,0.00,0.09,0.02,0.71,0.02,0.31,1.28,0.01,0.03,0.76,0.0008,0.0037,7.23,2.70,0.00,0.00,90.08,46,7.18,10.14,459.56,1.42,35.43,0.03,0.78,0.00,0.29,0.01,0.39,1.63,0.00,0.01,0.88,0.0009,0.0092,1.82,7.97,0.00,0.00,90.21,46,0.93,3.24,459.56,0.58,14.39,0.00,0.10,0.01,0.56,0.01,0.35,1.47,0.00,0.02,0.84,0.0006,0.0041,4.11,2.74,0.00,0.00,93.15,46,3.68,6.59,459.56,1.12,27.89,0.02,0.40,0.01,0.63,0.01,0.46,1.91,0.00,0.01,0.80,0.0006,0.0033,2.89,3.98,0.00,0.00,93.13,46,3.78,6.03,459.56,1.25,31.30,0.02,0.41,
2024-11-14,14:04:52.354,0.01,0.58,0.01,0.19,0.80,0.02,0.11,0.80,0.0008,0.0047,0.01,0.00,22.44,38.73,450.21,1.16,28.97,0.01,0.31,5.62,6.80,0.00,0.00,87.58,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.00,0.01,0.58,0.01,0.19,0.80,0.02,0.11,0.80,0.0008,0.0047,0.01,0.00,0.00,0.02,0.00,44,22.44,38.73,450.21,1.16,28.97,0.01,0.31,5.62,6.80,0.00,0.00,87.58,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.07,0.00,0.01,0.37,0.02,0.19,0.80,0.00,0.03,0.89,0.0008,0.0082,9.79,6.77,0.00,0.00,83.44,44,3.11,8.42,450.21,0.74,18.48,0.01,0.35,0.01,0.58,0.01,0.19,0.80,0.00,0.01,0.83,0.0005,0.0032,5.50,11.21,0.00,0.00,83.29,44,2.75,4.74,450.21,1.16,28.97,0.01,0.30,0.01,0.57,0.01,0.19,0.80,0.00,0.02,0.79,0.0009,0.0052,6.10,3.99,0.00,0.00,89.91,45,3.01,5.26,450.21,1.14,28.59,0.01,0.33,0.00,0.32,0.00,0.19,0.80,0.00,0.01,0.80,0.0014,0.0091,2.60,7.27,0.00,0.00,90.14,45,0.70,2.23,450.21,0.63,15.78,0.00,0.08,0.01,0.90,0.02,0.19,0.80,0.00,0.02,0.81,0.0005,0.0026,8.52,3.10,0.00,0.00,88.38,46,6.59,7.33,450.21,1.80,44.95,0.03,0.73,0.00,0.25,0.00,0.19,0.80,0.00,0.01,0.87,0.0013,0.0125,1.90,9.85,0.00,0.00,88.25,46,0.41,1.64,450.21,0.50,12.51,0.00,0.05,0.00,0.46,0.01,0.19,0.80,0.00,0.01,0.83,0.0008,0.0057,4.49,6.90,0.00,0.00,88.61,45,1.78,3.87,450.21,0.92,23.06,0.01,0.20,0.01,0.78,0.01,0.19,0.80,0.01,0.02,0.66,0.0014,0.0042,6.10,5.28,0.00,0.00,88.62,45,4.09,5.25,450.21,1.56,38.98,0.02,0.45,
