System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,READ,WRITE,IO,IA,GT,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,C10res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-11-14,14:02:26.336,0.02,0.59,0.04,0.92,3.88,0.09,0.36,0.72,0.0011,0.0043,0.06,0.02,85.19,144.11,437.81,1.18,29.56,0.05,1.22,4.46,21.74,4.31,0.00,69.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,0.00,0.00,0.02,0.59,0.04,0.92,3.88,0.09,0.36,0.72,0.0011,0.0043,0.06,0.02,0.00,0.08,0.00,47,85.19,144.11,437.81,1.18,29.56,0.05,1.22,4.46,21.74,4.31,0.00,69.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,0.95,0.00,0.03,0.39,0.08,0.91,3.82,0.02,0.10,0.78,0.0015,0.0075,8.32,10.17,6.65,0.00,74.86,47,12.87,33.18,437.81,0.78,19.39,0.06,1.47,0.03,0.93,0.04,0.77,3.24,0.01,0.02,0.36,0.0010,0.0017,4.69,13.78,6.65,0.00,74.88,47,14.72,15.84,437.81,1.86,46.45,0.07,1.68,0.04,0.60,0.07,0.95,3.99,0.02,0.06,0.73,0.0008,0.0033,7.34,12.93,0.03,0.00,79.70,48,18.24,30.56,437.81,1.19,29.85,0.08,2.08,0.03,0.86,0.04,1.01,4.26,0.01,0.05,0.69,0.0010,0.0032,3.81,16.46,0.03,0.00,79.70,48,14.59,16.90,437.81,1.73,43.15,0.07,1.67,0.02,0.63,0.04,0.95,3.97,0.01,0.04,0.79,0.0006,0.0038,4.17,7.96,10.54,0.00,77.32,47,10.89,17.27,437.81,1.26,31.53,0.05,1.24,0.01,0.63,0.02,0.89,3.74,0.01,0.03,0.68,0.0017,0.0059,2.03,10.10,10.54,0.00,77.33,47,5.02,7.92,437.81,1.27,31.68,0.02,0.57,0.01,0.45,0.03,0.95,3.98,0.00,0.03,0.84,0.0009,0.0065,2.74,51.17,0.00,0.00,46.09,47,5.13,11.37,437.81,0.90,22.56,0.02,0.59,0.01,0.34,0.03,0.98,4.13,0.01,0.03,0.70,0.0023,0.0085,2.57,51.34,0.00,0.00,46.09,47,3.74,11.07,437.81,0.68,16.90,0.02,0.43,
2024-11-14,14:02:26.448,0.01,0.57,0.01,0.20,0.84,0.01,0.09,0.82,0.0008,0.0049,0.01,0.00,18.87,33.27,466.47,1.13,28.37,0.01,0.25,4.45,4.84,0.00,0.00,90.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.01,0.57,0.01,0.20,0.84,0.01,0.09,0.82,0.0008,0.0049,0.01,0.00,0.00,0.01,0.00,48,18.87,33.27,466.47,1.13,28.37,0.01,0.25,4.45,4.84,0.00,0.00,90.71,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.06,0.00,0.00,0.31,0.01,0.20,0.84,0.00,0.02,0.85,0.0014,0.0103,6.19,6.49,0.00,0.00,87.32,48,1.79,5.77,466.47,0.62,15.54,0.01,0.19,0.01,0.93,0.01,0.19,0.81,0.00,0.02,0.70,0.0009,0.0031,5.90,6.76,0.00,0.00,87.34,48,4.90,5.29,466.47,1.85,46.29,0.02,0.53,0.00,0.35,0.01,0.19,0.81,0.00,0.01,0.92,0.0006,0.0090,5.24,4.30,0.00,0.00,90.45,48,1.64,4.71,466.47,0.69,17.37,0.01,0.18,0.00,0.56,0.01,0.19,0.81,0.00,0.01,0.89,0.0004,0.0041,3.44,6.11,0.00,0.00,90.45,48,1.72,3.09,466.47,1.11,27.79,0.01,0.18,0.00,0.66,0.01,0.20,0.83,0.00,0.01,0.80,0.0005,0.0030,3.53,3.30,0.00,0.00,93.17,49,2.14,3.25,466.47,1.31,32.87,0.01,0.23,0.01,0.61,0.01,0.19,0.81,0.00,0.01,0.85,0.0005,0.0039,4.36,3.64,0.00,0.00,92.00,49,2.45,3.99,466.47,1.23,30.69,0.01,0.26,0.00,0.30,0.01,0.20,0.83,0.00,0.01,0.73,0.0023,0.0108,3.67,3.85,0.00,0.00,92.48,48,1.01,3.38,466.47,0.60,14.93,0.00,0.11,0.01,0.85,0.01,0.25,1.05,0.00,0.01,0.83,0.0005,0.0030,3.25,4.28,0.00,0.00,92.48,48,3.23,3.78,466.47,1.71,42.74,0.01,0.35,
2024-11-14,14:02:26.561,0.00,0.56,0.01,0.19,0.80,0.01,0.06,0.90,0.0004,0.0046,0.01,0.00,13.99,24.88,477.16,1.12,28.10,0.01,0.18,3.42,4.42,0.00,0.00,92.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.56,0.01,0.19,0.80,0.01,0.06,0.90,0.0004,0.0046,0.01,0.00,0.00,0.01,0.00,48,13.99,24.88,477.16,1.12,28.10,0.01,0.18,3.42,4.42,0.00,0.00,92.16,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.05,0.00,0.00,0.29,0.01,0.19,0.80,0.00,0.01,0.93,0.0007,0.0119,4.47,5.84,0.00,0.00,89.69,48,1.18,4.07,477.16,0.58,14.54,0.00,0.12,0.01,1.00,0.01,0.19,0.80,0.00,0.01,0.90,0.0002,0.0021,4.83,5.50,0.00,0.00,89.67,48,4.41,4.40,477.16,2.00,50.06,0.02,0.46,0.00,0.46,0.01,0.19,0.80,0.00,0.01,0.93,0.0004,0.0062,4.41,3.87,0.00,0.00,91.72,48,1.85,4.02,477.16,0.92,23.02,0.01,0.19,0.00,0.35,0.01,0.19,0.80,0.00,0.01,0.88,0.0006,0.0062,2.93,5.36,0.00,0.00,91.72,48,0.95,2.67,477.16,0.71,17.75,0.00,0.10,0.00,0.31,0.01,0.19,0.80,0.00,0.01,0.85,0.0010,0.0083,3.35,5.05,0.00,0.00,91.60,49,0.94,3.06,477.16,0.62,15.43,0.00,0.10,0.00,0.74,0.01,0.19,0.80,0.00,0.01,0.89,0.0003,0.0029,2.88,4.37,0.00,0.00,92.75,49,1.91,2.59,477.16,1.47,36.85,0.01,0.20,0.00,0.31,0.00,0.19,0.80,0.00,0.01,0.94,0.0004,0.0094,1.97,2.95,0.00,0.00,95.07,49,0.55,1.80,477.16,0.61,15.33,0.00,0.06,0.00,0.96,0.00,0.19,0.80,0.00,0.00,0.78,0.0004,0.0023,2.49,2.44,0.00,0.00,95.07,49,2.19,2.27,477.16,1.93,48.24,0.01,0.23,
2024-11-14,14:02:26.666,0.01,0.77,0.02,0.35,1.46,0.10,0.20,0.47,0.0022,0.0045,0.05,0.01,43.71,56.41,443.07,1.55,38.74,0.02,0.62,4.57,5.40,0.00,0.00,90.03,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.01,0.77,0.02,0.35,1.46,0.10,0.20,0.47,0.0022,0.0045,0.05,0.01,0.00,0.06,0.00,49,43.71,56.41,443.07,1.55,38.74,0.02,0.62,4.57,5.40,0.00,0.00,90.03,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.15,0.00,0.00,0.26,0.01,0.34,1.44,0.00,0.01,0.77,0.0017,0.0085,3.76,5.62,0.00,0.00,90.62,49,1.46,5.73,443.07,0.51,12.78,0.01,0.17,0.01,0.98,0.01,0.27,1.14,0.00,0.01,0.75,0.0005,0.0021,4.65,4.68,0.00,0.00,90.66,49,5.50,5.59,443.07,1.97,49.17,0.02,0.62,0.01,0.55,0.01,0.28,1.19,0.00,0.01,0.77,0.0009,0.0048,4.42,5.56,0.00,0.00,90.02,49,3.03,5.54,443.07,1.09,27.34,0.01,0.34,0.02,0.82,0.03,0.65,2.73,0.04,0.06,0.36,0.0037,0.0059,4.66,5.31,0.00,0.00,90.02,49,10.96,13.44,443.07,1.63,40.76,0.05,1.24,0.02,0.93,0.02,0.26,1.10,0.00,0.01,0.67,0.0006,0.0019,6.48,2.26,0.00,0.00,91.27,49,7.02,7.52,443.07,1.87,46.68,0.03,0.79,0.00,0.70,0.01,0.39,1.65,0.00,0.00,0.64,0.0007,0.0024,1.65,7.09,0.00,0.00,91.27,49,2.00,2.87,443.07,1.39,34.81,0.01,0.23,0.03,0.88,0.03,0.34,1.42,0.04,0.07,0.38,0.0037,0.0061,8.92,2.88,0.00,0.00,88.20,49,11.74,13.37,443.07,1.76,43.92,0.05,1.33,0.00,0.85,0.01,0.26,1.10,0.00,0.00,0.80,0.0003,0.0018,2.03,9.78,0.00,0.00,88.19,49,2.01,2.36,443.07,1.70,42.55,0.01,0.23,
2024-11-14,14:02:26.778,0.02,0.82,0.02,0.33,1.40,0.02,0.25,0.91,0.0003,0.0034,0.02,0.00,73.80,89.60,467.21,1.65,41.18,0.04,0.99,7.20,8.59,0.93,0.00,83.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.02,0.82,0.02,0.33,1.40,0.02,0.25,0.91,0.0003,0.0034,0.02,0.00,0.00,0.02,0.00,48,73.80,89.60,467.21,1.65,41.18,0.04,0.99,7.20,8.59,0.93,0.00,83.28,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.27,0.00,0.00,0.26,0.01,0.25,1.05,0.00,0.02,0.88,0.0012,0.0121,4.62,12.56,0.00,0.00,82.82,48,1.39,5.40,467.21,0.51,12.87,0.01,0.15,0.09,1.43,0.06,0.52,2.18,0.00,0.07,0.94,0.0001,0.0017,12.49,4.73,0.00,0.00,82.78,48,43.41,30.33,467.21,2.86,71.56,0.19,4.64,0.01,0.32,0.02,0.33,1.38,0.00,0.03,0.90,0.0006,0.0083,7.55,9.78,0.42,0.00,82.25,49,3.75,11.67,467.21,0.64,16.06,0.02,0.40,0.01,0.82,0.01,0.21,0.88,0.00,0.02,0.68,0.0009,0.0032,6.08,10.95,0.42,0.00,82.54,48,4.88,5.96,467.21,1.64,40.95,0.02,0.52,0.01,0.53,0.02,0.26,1.11,0.00,0.03,0.87,0.0005,0.0049,8.33,2.65,3.06,0.00,85.96,48,5.42,10.28,467.21,1.05,26.36,0.02,0.58,0.00,0.33,0.01,0.24,0.99,0.00,0.01,0.89,0.0004,0.0062,3.18,7.80,3.06,0.00,85.96,48,1.14,3.50,467.21,0.65,16.28,0.00,0.12,0.01,0.67,0.02,0.26,1.09,0.00,0.03,0.93,0.0003,0.0045,8.21,9.57,0.26,0.00,81.96,49,6.64,9.98,467.21,1.33,33.29,0.03,0.71,0.02,0.57,0.03,0.37,1.57,0.00,0.05,0.95,0.0003,0.0071,7.14,10.64,0.26,0.00,81.97,49,7.18,12.49,467.21,1.15,28.73,0.03,0.77,
2024-11-14,14:02:26.880,0.04,0.57,0.06,0.82,3.45,0.10,0.58,0.81,0.0008,0.0048,0.08,0.01,121.09,211.83,429.87,1.14,28.58,0.07,1.76,7.51,11.17,5.99,0.00,75.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.95,0.00,0.00,0.04,0.57,0.06,0.82,3.45,0.10,0.58,0.81,0.0008,0.0048,0.08,0.01,0.00,0.09,0.00,48,121.09,211.83,429.87,1.14,28.58,0.07,1.76,7.51,11.17,5.99,0.00,75.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.95,0.80,0.00,0.03,0.43,0.08,0.85,3.55,0.02,0.09,0.79,0.0011,0.0061,9.50,11.15,15.67,0.00,63.67,48,14.99,34.57,429.87,0.87,21.68,0.07,1.74,0.01,0.36,0.03,0.78,3.27,0.00,0.03,0.83,0.0009,0.0065,3.67,16.98,15.67,0.00,63.67,48,4.38,12.30,429.87,0.71,17.79,0.02,0.51,0.04,0.67,0.06,0.92,3.85,0.01,0.07,0.79,0.0008,0.0042,6.55,10.32,8.13,0.00,74.99,48,17.30,25.72,429.87,1.35,33.63,0.08,2.02,0.02,0.42,0.05,0.58,2.44,0.02,0.07,0.74,0.0019,0.0077,9.14,8.06,8.10,0.00,74.70,48,9.61,22.85,429.87,0.84,21.03,0.04,1.12,0.12,0.79,0.16,0.93,3.90,0.02,0.17,0.87,0.0004,0.0032,16.77,3.96,0.01,0.00,79.27,48,52.80,66.86,429.87,1.58,39.48,0.25,6.14,0.01,0.41,0.03,0.89,3.72,0.01,0.04,0.82,0.0012,0.0075,3.23,17.49,0.01,0.00,79.27,48,5.02,12.31,429.87,0.82,20.38,0.02,0.58,0.02,0.41,0.05,0.93,3.91,0.01,0.06,0.83,0.0010,0.0067,5.64,10.63,0.17,0.00,83.56,48,9.15,22.59,429.87,0.81,20.26,0.04,1.06,0.02,0.54,0.03,0.61,2.58,0.01,0.04,0.69,0.0014,0.0054,5.53,10.73,0.17,0.00,83.56,48,7.85,14.62,429.87,1.07,26.83,0.04,0.91,
2024-11-14,14:02:27.000,0.10,0.98,0.10,0.66,2.76,0.25,0.91,0.71,0.0007,0.0024,0.19,0.04,387.09,396.20,480.58,1.95,48.85,0.20,5.00,15.60,15.67,0.58,0.00,68.15,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.24,0.00,0.00,0.10,0.98,0.10,0.66,2.76,0.25,0.91,0.71,0.0007,0.0024,0.19,0.04,0.00,0.22,0.00,41,387.09,396.20,480.58,1.95,48.85,0.20,5.00,15.60,15.67,0.58,0.00,68.15,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.24,0.96,0.00,0.02,0.28,0.07,0.70,2.95,0.02,0.09,0.72,0.0026,0.0102,9.85,15.69,2.00,0.00,72.46,46,9.18,33.29,480.58,0.55,13.78,0.04,0.95,0.07,0.96,0.08,0.53,2.21,0.02,0.07,0.68,0.0006,0.0019,14.28,11.33,2.00,0.00,72.39,46,34.81,36.18,480.58,1.92,48.10,0.14,3.62,0.06,0.52,0.11,0.77,3.25,0.02,0.07,0.73,0.0006,0.0026,13.96,38.40,0.00,0.00,47.64,35,28.58,54.51,480.58,1.05,26.21,0.11,2.83,0.46,1.58,0.29,0.70,2.93,0.07,0.30,0.75,0.0003,0.0014,41.87,8.03,0.00,0.00,50.09,41,222.07,140.54,480.58,3.16,79.00,0.92,23.11,0.09,0.86,0.11,0.55,2.30,0.06,0.19,0.65,0.0014,0.0042,19.84,5.25,0.33,0.00,74.58,46,44.91,52.12,480.58,1.72,43.08,0.19,4.67,0.02,0.54,0.03,0.67,2.82,0.01,0.04,0.69,0.0012,0.0042,5.15,19.94,0.33,0.00,74.58,46,8.95,16.60,480.58,1.08,26.96,0.04,0.93,0.05,0.70,0.07,0.65,2.75,0.02,0.09,0.71,0.0009,0.0035,11.34,11.41,0.00,0.00,77.25,45,24.78,35.64,480.58,1.39,34.76,0.10,2.58,0.03,0.51,0.06,0.66,2.78,0.02,0.06,0.66,0.0014,0.0044,8.59,14.16,0.00,0.00,77.24,45,13.83,27.32,480.58,1.01,25.30,0.06,1.44,
2024-11-14,14:02:27.103,0.06,0.49,0.12,1.01,4.23,0.22,0.99,0.75,0.0010,0.0046,0.16,0.02,214.61,441.94,455.64,0.97,24.28,0.12,2.96,12.11,27.91,2.64,0.00,57.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,0.00,0.00,0.06,0.49,0.12,1.01,4.23,0.22,0.99,0.75,0.0010,0.0046,0.16,0.02,0.00,0.18,0.00,39,214.61,441.94,455.64,0.97,24.28,0.12,2.96,12.11,27.91,2.64,0.00,57.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,1.93,0.00,0.05,0.38,0.12,1.03,4.33,0.03,0.13,0.75,0.0014,0.0064,11.48,17.79,0.11,0.00,70.63,43,20.62,53.93,455.64,0.76,19.11,0.09,2.26,0.05,0.45,0.11,1.02,4.29,0.04,0.18,0.75,0.0019,0.0082,10.36,18.83,0.11,0.00,70.70,43,21.56,48.20,455.64,0.89,22.37,0.09,2.37,0.19,0.49,0.38,0.98,4.12,0.03,0.23,0.84,0.0004,0.0029,38.29,45.10,1.98,0.00,14.64,39,79.75,162.00,455.64,0.98,24.61,0.37,9.26,0.01,0.28,0.03,1.02,4.30,0.01,0.04,0.65,0.0034,0.0103,2.65,81.64,1.87,0.00,13.84,39,3.45,12.35,455.64,0.56,13.96,0.02,0.38,0.10,0.73,0.13,1.04,4.36,0.05,0.16,0.66,0.0012,0.0036,12.50,14.24,0.16,0.00,73.11,46,43.41,59.13,455.64,1.47,36.71,0.19,4.77,0.05,0.54,0.09,0.99,4.15,0.01,0.06,0.82,0.0005,0.0030,8.63,18.11,0.16,0.00,73.10,46,20.91,38.80,455.64,1.08,26.95,0.09,2.30,0.03,0.37,0.07,1.02,4.29,0.02,0.08,0.71,0.0016,0.0062,7.22,14.22,8.34,0.00,70.22,44,12.30,33.62,455.64,0.73,18.30,0.05,1.35,0.03,0.37,0.07,1.03,4.34,0.03,0.13,0.75,0.0021,0.0099,7.20,14.25,8.34,0.00,70.21,44,12.61,33.92,455.64,0.74,18.58,0.06,1.38,
2024-11-14,14:02:27.210,0.02,0.66,0.04,0.78,3.28,0.09,0.38,0.73,0.0011,0.0043,0.07,0.01,88.24,134.11,449.28,1.32,32.90,0.05,1.23,4.77,9.96,0.00,0.00,85.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.02,0.66,0.04,0.78,3.28,0.09,0.38,0.73,0.0011,0.0043,0.07,0.01,0.00,0.08,0.00,45,88.24,134.11,449.28,1.32,32.90,0.05,1.23,4.77,9.96,0.00,0.00,85.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.56,0.00,0.05,0.77,0.07,0.63,2.64,0.02,0.09,0.76,0.0009,0.0037,10.79,11.98,0.00,0.00,77.24,45,23.50,30.48,449.28,1.54,38.55,0.10,2.62,0.03,1.00,0.03,0.80,3.36,0.01,0.03,0.65,0.0006,0.0019,4.04,18.92,0.00,0.00,77.04,45,14.59,14.54,449.28,2.01,50.20,0.06,1.62,0.01,0.42,0.02,0.74,3.10,0.01,0.03,0.81,0.0013,0.0081,3.04,10.95,0.00,0.00,86.01,46,4.26,10.08,449.28,0.85,21.15,0.02,0.47,0.04,0.95,0.05,0.89,3.73,0.01,0.06,0.77,0.0006,0.0029,5.29,8.65,0.00,0.00,86.06,46,20.13,21.11,449.28,1.91,47.69,0.09,2.24,0.02,0.47,0.05,0.87,3.67,0.02,0.06,0.74,0.0015,0.0063,5.53,4.49,0.00,0.00,89.98,46,10.11,21.73,449.28,0.93,23.26,0.04,1.12,0.00,0.29,0.01,0.71,2.98,0.01,0.02,0.68,0.0034,0.0118,2.08,7.89,0.00,0.00,90.03,46,1.95,6.64,449.28,0.59,14.70,0.01,0.22,0.02,0.54,0.03,0.82,3.44,0.01,0.03,0.72,0.0011,0.0045,3.85,8.23,0.00,0.00,87.92,46,7.66,14.17,449.28,1.08,27.03,0.03,0.85,0.01,0.39,0.03,0.96,4.03,0.02,0.05,0.65,0.0027,0.0082,3.57,8.51,0.00,0.00,87.92,46,6.02,15.37,449.28,0.78,19.58,0.03,0.67,
